Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,18.0,17.1,18.12,16.64,7.55,0.84,M
23/02/2022,17.85,18.28,18.6,17.85,4.79,-1.98,M
22/02/2022,18.21,17.66,18.39,17.66,7.02,5.87,M
21/02/2022,17.2,18.88,18.97,17.15,3.65,-6.27,M
18/02/2022,18.35,19.0,19.0,17.95,8.19,-2.65,M
17/02/2022,18.85,18.54,19.24,18.3,7.39,1.67,M
16/02/2022,18.54,18.76,18.79,18.16,3.79,-0.05,M
15/02/2022,18.55,17.79,18.89,17.69,10.25,5.28,M
14/02/2022,17.62,16.52,17.85,16.46,8.11,6.59,M
11/02/2022,16.53,16.87,17.2,16.43,5.61,-1.25,M
10/02/2022,16.74,17.38,17.54,16.44,5.72,-3.13,M
09/02/2022,17.28,17.31,17.75,17.15,2.88,0.47,M
08/02/2022,17.2,17.76,17.86,17.18,4.73,-3.37,M
07/02/2022,17.8,17.64,18.16,17.32,4.39,0.74,M
04/02/2022,17.67,17.67,18.07,16.72,8.71,0.45,M
03/02/2022,17.59,17.64,18.58,17.49,4.67,-0.45,M
02/02/2022,17.67,18.0,18.29,17.47,5.8,-1.56,M
01/02/2022,17.95,17.7,18.3,17.64,5.37,0.79,M
31/01/2022,17.81,17.08,18.0,16.94,4.67,4.4,M
28/01/2022,17.06,17.58,17.7,16.83,5.72,-2.57,M
27/01/2022,17.51,18.32,18.48,17.12,10.59,-2.78,M
26/01/2022,18.01,16.98,18.98,16.98,20.63,7.33,M
25/01/2022,16.78,15.7,16.9,15.53,6.62,5.6,M
24/01/2022,15.89,16.7,16.7,15.85,7.83,-4.85,M
21/01/2022,16.7,16.09,17.04,15.87,8.83,3.34,M
20/01/2022,16.16,14.74,16.47,14.74,10.13,9.71,M
19/01/2022,14.73,14.87,15.68,14.73,5.18,-0.34,M
18/01/2022,14.78,14.9,15.07,14.51,5.58,-1.6,M
17/01/2022,15.02,15.23,15.29,14.92,1.72,-1.44,M
14/01/2022,15.24,15.3,15.5,14.88,3.2,-1.04,M
13/01/2022,15.4,15.47,15.6,14.85,5.59,-0.96,M
12/01/2022,15.55,15.0,16.13,14.97,11.01,3.74,M
11/01/2022,14.99,14.0,15.21,14.0,13.1,7.07,M
10/01/2022,14.0,14.0,14.08,13.37,7.16,-1.27,M
07/01/2022,14.18,13.95,14.52,13.6,6.57,1.07,M
06/01/2022,14.03,13.91,14.46,13.39,8.4,1.89,M
05/01/2022,13.77,14.41,14.72,13.77,10.04,-4.44,M
04/01/2022,14.41,15.96,16.08,14.37,12.29,-8.91,M
03/01/2022,15.82,16.41,16.57,15.52,6.45,-3.36,M
30/12/2021,16.37,16.5,16.7,16.2,5.84,-0.18,M
29/12/2021,16.4,16.56,16.93,16.28,4.42,-1.38,M
28/12/2021,16.63,16.9,17.22,16.63,2.09,-1.6,M
27/12/2021,16.9,16.95,17.23,16.84,2.64,0.42,M
23/12/2021,16.83,17.44,17.47,16.51,6.13,-2.89,M
22/12/2021,17.33,17.65,17.9,17.3,3.88,-1.14,M
21/12/2021,17.53,17.97,18.08,17.27,5.55,-2.01,M
20/12/2021,17.89,18.41,18.47,17.85,3.05,-3.92,M
17/12/2021,18.62,18.61,18.78,18.01,8.78,-0.27,M
16/12/2021,18.67,19.17,19.62,18.54,4.02,-2.61,M
15/12/2021,19.17,19.03,19.35,18.44,5.44,1.64,M
14/12/2021,18.86,19.77,20.11,18.8,3.98,-4.75,M
13/12/2021,19.8,19.81,20.53,19.63,3.49,-0.2,M
10/12/2021,19.84,19.57,20.2,19.48,3.39,2.69,M
09/12/2021,19.32,20.36,20.39,19.22,3.95,-5.76,M
08/12/2021,20.5,19.9,20.63,19.21,4.26,3.96,M
07/12/2021,19.72,19.2,19.93,19.15,3.44,4.23,M
