Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,10.75,10.19,10.85,9.94,987.2,3.27,K
23/02/2022,10.41,10.32,10.59,10.18,1.36,0.58,M
22/02/2022,10.35,9.85,10.5,9.68,2.24,5.83,M
21/02/2022,9.78,9.38,9.78,9.3,1.07,4.26,M
18/02/2022,9.38,9.49,9.52,9.29,357.7,-1.16,K
17/02/2022,9.49,9.38,9.63,9.38,690.8,1.06,K
16/02/2022,9.39,9.29,9.44,9.1,868.2,2.29,K
15/02/2022,9.18,8.91,9.23,8.91,487.8,1.55,K
14/02/2022,9.04,8.95,9.17,8.93,366.3,0.33,K
11/02/2022,9.01,9.12,9.22,8.92,648.2,-1.53,K
10/02/2022,9.15,9.17,9.26,9.03,432.2,0.44,K
09/02/2022,9.11,9.01,9.28,9.01,460.7,0.44,K
08/02/2022,9.07,9.0,9.09,8.89,475.7,0.33,K
07/02/2022,9.04,9.06,9.2,8.86,439.4,-0.77,K
04/02/2022,9.11,9.02,9.15,8.75,606.2,0.33,K
03/02/2022,9.08,9.34,9.37,8.99,529.3,-2.78,K
02/02/2022,9.34,9.1,9.45,9.05,2.11,1.74,M
01/02/2022,9.18,8.6,9.42,8.4,2.25,6.74,M
31/01/2022,8.6,8.29,8.7,8.25,1.25,3.49,M
28/01/2022,8.31,8.35,8.42,8.22,488.9,-0.72,K
27/01/2022,8.37,8.32,8.44,8.25,639.7,0.6,K
26/01/2022,8.32,8.38,8.53,8.22,897.2,-0.72,K
25/01/2022,8.38,8.2,8.38,8.1,470.7,3.08,K
24/01/2022,8.13,8.07,8.18,7.85,720.7,0.62,K
21/01/2022,8.08,8.11,8.17,8.02,721.2,-0.98,K
20/01/2022,8.16,8.23,8.38,8.13,1.04,0.0,M
19/01/2022,8.16,8.11,8.3,7.95,877.2,0.62,K
18/01/2022,8.11,8.25,8.4,8.05,623.3,-1.7,K
17/01/2022,8.25,8.11,8.32,8.11,269.2,0.49,K
14/01/2022,8.21,8.18,8.27,8.01,745.2,0.37,K
13/01/2022,8.18,8.43,8.43,8.04,787.3,-2.97,K
12/01/2022,8.43,8.23,8.43,8.12,938.4,2.06,K
11/01/2022,8.26,8.0,8.26,7.95,799.7,2.48,K
10/01/2022,8.06,8.38,8.43,7.99,866.4,-3.24,K
07/01/2022,8.33,8.21,8.42,8.15,738.4,-0.12,K
06/01/2022,8.34,8.45,8.63,8.25,765.6,-1.77,K
05/01/2022,8.49,8.8,8.8,8.4,955.1,-2.64,K
04/01/2022,8.72,9.21,9.25,8.7,777.5,-5.22,K
03/01/2022,9.2,9.58,9.58,8.98,1.0,-1.6,M
30/12/2021,9.35,9.69,9.69,9.21,1.04,-1.27,M
29/12/2021,9.47,9.48,9.51,9.27,944.8,0.64,K
28/12/2021,9.41,9.09,9.41,8.99,1.33,3.52,M
27/12/2021,9.09,9.09,9.09,8.87,713.5,1.79,K
23/12/2021,8.93,8.98,9.1,8.86,457.6,0.0,K
22/12/2021,8.93,8.97,8.98,8.61,751.0,1.59,K
21/12/2021,8.79,8.67,8.85,8.67,376.0,0.57,K
20/12/2021,8.74,8.89,8.91,8.66,707.9,-2.78,K
17/12/2021,8.99,8.73,8.99,8.58,1.3,3.57,M
16/12/2021,8.68,8.69,8.73,8.54,821.9,0.93,K
15/12/2021,8.6,8.85,8.93,8.53,1.08,-1.26,M
14/12/2021,8.71,8.75,8.8,8.46,1.04,1.28,M
13/12/2021,8.6,8.88,8.95,8.54,961.1,-0.58,K
10/12/2021,8.65,8.52,8.81,8.52,606.6,2.0,K
09/12/2021,8.48,8.53,8.61,8.39,807.4,-0.82,K
08/12/2021,8.55,8.48,8.69,8.35,743.4,1.54,K
07/12/2021,8.42,8.45,8.56,8.3,608.8,1.32,K
06/12/2021,8.31,8.28,8.46,8.22,575.5,1.34,K
03/12/2021,8.2,8.03,8.33,8.03,774.6,1.99,K
02/12/2021,8.04,8.01,8.15,7.93,762.1,1.9,K
01/12/2021,7.89,8.26,8.34,7.85,911.5,-2.95,K
30/11/2021,8.13,8.41,8.43,8.04,1.29,-4.35,M
29/11/2021,8.5,8.67,8.72,8.43,1.01,-1.96,M
26/11/2021,8.67,8.8,8.86,8.63,606.3,-3.13,K
25/11/2021,8.95,8.62,9.12,8.62,587.3,2.99,K
24/11/2021,8.69,8.65,8.81,8.58,860.5,0.12,K
23/11/2021,8.68,8.71,8.71,8.46,932.7,1.05,K
22/11/2021,8.59,8.77,8.98,8.52,1.38,-1.15,M
19/11/2021,8.69,8.74,8.83,8.54,1.62,-0.57,M
18/11/2021,8.74,8.75,8.97,8.66,713.1,-0.11,K
17/11/2021,8.75,9.02,9.04,8.61,1.05,-2.34,M
16/11/2021,8.96,9.31,9.35,8.94,1.34,-3.66,M
12/11/2021,9.3,9.6,9.6,9.24,1.59,-3.43,M
11/11/2021,9.63,9.71,9.71,9.36,2.97,0.42,M
10/11/2021,9.59,9.6,9.94,9.51,1.4,0.74,M
09/11/2021,9.52,9.57,9.82,9.52,751.5,0.11,K
08/11/2021,9.51,9.95,10.05,9.51,819.4,-5.0,K
05/11/2021,10.01,10.14,10.24,10.0,944.8,0.91,K
04/11/2021,9.92,9.76,10.21,9.61,1.61,1.43,M
03/11/2021,9.78,9.6,9.95,9.57,1.18,0.93,M
01/11/2021,9.69,9.54,9.82,9.25,1.6,2.65,M
29/10/2021,9.44,9.62,9.72,9.41,1.92,-0.94,M
28/10/2021,9.53,9.86,10.0,9.46,1.43,-3.74,M
27/10/2021,9.9,9.92,10.09,9.81,1.4,-0.1,M
26/10/2021,9.91,10.29,10.33,9.84,782.1,-4.62,K
25/10/2021,10.39,10.1,10.47,9.9,1.7,3.49,M
22/10/2021,10.04,10.43,10.44,9.6,2.68,-4.74,M
21/10/2021,10.54,10.7,10.81,10.41,903.5,-3.3,K
20/10/2021,10.9,11.25,11.28,10.77,1.16,-2.42,M
19/10/2021,11.17,11.92,11.92,11.15,843.0,-6.37,K
18/10/2021,11.93,11.8,12.07,11.55,970.8,-0.25,K
15/10/2021,11.96,11.83,12.04,11.69,830.7,1.1,K
14/10/2021,11.83,11.75,11.88,11.58,706.1,0.68,K
13/10/2021,11.75,11.69,11.83,11.5,861.6,0.51,K
11/10/2021,11.69,11.63,11.79,11.53,847.8,0.43,K
08/10/2021,11.64,11.52,11.74,11.5,777.8,0.43,K
07/10/2021,11.59,11.68,11.75,11.36,1.19,-0.86,M
06/10/2021,11.69,11.86,11.96,11.4,1.12,-2.58,M
05/10/2021,12.0,12.39,12.5,12.0,1.3,-3.38,M
04/10/2021,12.42,12.85,12.94,12.4,743.0,-3.12,K
01/10/2021,12.82,12.43,12.82,12.2,1.02,3.14,M
30/09/2021,12.43,12.46,12.53,12.13,918.7,0.32,K
29/09/2021,12.39,12.49,12.54,12.24,531.4,-0.24,K
28/09/2021,12.42,12.55,12.59,12.21,748.1,-1.51,K
27/09/2021,12.61,12.76,12.78,12.5,927.3,-1.02,K
24/09/2021,12.74,12.96,13.08,12.68,1.29,-2.6,M
23/09/2021,13.08,12.95,13.11,12.69,910.3,1.55,K
22/09/2021,12.88,13.05,13.05,12.66,1.85,0.0,M
21/09/2021,12.88,12.95,13.11,12.76,767.4,-0.08,K
20/09/2021,12.89,12.82,12.89,12.43,926.7,-1.9,K
17/09/2021,13.14,12.97,13.14,12.7,999.2,1.15,K
16/09/2021,12.99,13.17,13.21,12.85,1.43,-1.96,M
15/09/2021,13.25,13.44,13.44,12.87,1.68,-1.49,M
14/09/2021,13.45,13.57,13.75,13.26,1.3,-0.44,M
13/09/2021,13.51,13.28,13.56,13.0,1.4,4.73,M
10/09/2021,12.9,13.53,13.66,12.85,1.56,-3.73,M
09/09/2021,13.4,12.94,13.4,12.6,1.49,3.55,M
08/09/2021,12.94,13.23,13.4,12.65,1.37,-2.63,M
06/09/2021,13.29,13.19,13.41,12.8,1.3,0.45,M
03/09/2021,13.23,12.3,13.23,12.18,5.18,8.8,M
02/09/2021,12.16,12.43,12.48,12.05,861.8,-1.54,K
01/09/2021,12.35,12.19,12.38,12.14,608.1,1.98,K
31/08/2021,12.11,12.7,12.8,12.03,1.17,-4.5,M
30/08/2021,12.68,12.37,12.68,12.31,894.0,2.26,K
27/08/2021,12.4,12.51,12.61,12.37,637.8,-0.96,K
26/08/2021,12.52,12.73,12.8,12.52,355.9,-1.96,K
25/08/2021,12.77,12.56,12.77,12.5,768.3,1.19,K
24/08/2021,12.62,12.39,12.69,12.32,657.7,2.69,K
23/08/2021,12.29,12.91,12.96,12.18,2.08,-4.65,M
20/08/2021,12.89,12.8,13.0,12.65,617.2,0.7,K
19/08/2021,12.8,12.0,12.91,11.96,822.3,3.48,K
18/08/2021,12.37,12.62,12.95,12.18,993.7,-2.83,K
17/08/2021,12.73,13.05,13.26,12.58,2.02,-4.93,M
16/08/2021,13.39,13.64,13.64,13.32,1.74,-1.11,M
13/08/2021,13.54,13.33,13.66,13.12,1.17,1.5,M
12/08/2021,13.34,13.65,13.65,13.29,867.3,-2.27,K
11/08/2021,13.65,13.39,13.74,13.27,1.07,1.94,M
10/08/2021,13.39,13.06,13.4,13.03,1.4,3.0,M
09/08/2021,13.0,12.88,13.1,12.77,1.49,1.56,M
06/08/2021,12.8,12.47,12.83,12.33,943.8,2.65,K
05/08/2021,12.47,12.81,12.92,12.4,2.05,-1.73,M
04/08/2021,12.69,12.58,12.85,12.5,1.48,0.79,M
03/08/2021,12.59,12.32,12.59,12.22,2.16,4.14,M
02/08/2021,12.09,12.14,12.16,11.93,947.7,1.17,K
30/07/2021,11.95,12.12,12.18,11.78,769.3,-1.89,K
29/07/2021,12.18,12.26,12.32,12.13,475.5,-0.98,K
28/07/2021,12.3,12.17,12.44,12.17,876.2,0.0,K
27/07/2021,12.3,12.5,12.54,12.11,1.22,-2.15,M
26/07/2021,12.57,12.52,12.68,12.43,998.1,0.4,K
23/07/2021,12.52,12.7,12.79,12.5,1.16,-1.26,M
22/07/2021,12.68,12.4,12.74,12.3,876.1,2.42,K
21/07/2021,12.38,12.28,12.42,12.01,971.9,0.81,K
20/07/2021,12.28,12.2,12.43,12.06,1.01,0.66,M
19/07/2021,12.2,12.13,12.27,11.61,980.1,0.41,K
16/07/2021,12.15,12.3,12.45,12.01,1.16,-0.82,M
15/07/2021,12.25,12.1,12.25,11.97,631.4,0.82,K
14/07/2021,12.15,12.28,12.37,12.06,937.3,-1.06,K
13/07/2021,12.28,11.79,12.31,11.77,1.42,3.28,M
12/07/2021,11.89,11.65,11.94,11.57,1.4,3.3,M
08/07/2021,11.51,11.44,11.65,11.29,751.8,-0.69,K
07/07/2021,11.59,11.55,11.64,11.39,790.9,1.58,K
06/07/2021,11.41,11.74,11.74,11.32,729.3,-2.73,K
05/07/2021,11.73,11.48,11.74,11.37,701.6,2.45,K
02/07/2021,11.45,11.52,11.52,11.32,551.4,-0.61,K
01/07/2021,11.52,11.12,11.55,11.12,1.18,2.4,M
30/06/2021,11.25,11.34,11.46,11.06,939.5,-0.18,K
29/06/2021,11.27,11.35,11.44,11.12,540.6,-1.05,K
28/06/2021,11.39,11.36,11.52,11.22,443.7,-0.96,K
25/06/2021,11.5,11.59,11.7,11.36,944.5,-1.79,K
24/06/2021,11.71,11.94,11.94,11.71,577.9,-1.18,K
23/06/2021,11.85,11.88,11.99,11.63,562.6,-0.42,K
22/06/2021,11.9,11.78,11.95,11.61,438.4,-0.75,K
21/06/2021,11.99,11.76,11.99,11.72,326.3,1.61,K
18/06/2021,11.8,11.91,12.0,11.7,792.3,-1.67,K
17/06/2021,12.0,12.61,12.83,11.73,8.7,-5.88,M
16/06/2021,12.75,12.97,12.97,12.58,603.1,-0.31,K
15/06/2021,12.79,12.38,13.14,12.38,3.16,2.48,M
14/06/2021,12.48,12.53,12.66,12.33,547.6,0.24,K
11/06/2021,12.45,12.69,12.69,12.32,922.3,-1.97,K
10/06/2021,12.7,12.41,12.78,12.39,694.7,2.42,K
09/06/2021,12.4,12.73,12.82,12.18,956.4,-2.05,K
08/06/2021,12.66,12.49,12.73,12.33,1.54,2.1,M
07/06/2021,12.4,11.9,12.49,11.87,977.9,4.38,K
04/06/2021,11.88,11.7,11.89,11.66,304.9,0.51,K
02/06/2021,11.82,11.8,11.82,11.61,405.8,0.85,K
01/06/2021,11.72,11.95,11.95,11.65,668.8,-1.18,K
31/05/2021,11.86,11.69,11.97,11.69,465.7,0.51,K
28/05/2021,11.8,11.68,11.81,11.57,293.9,0.43,K
27/05/2021,11.75,11.97,11.97,11.64,707.6,-1.18,K
26/05/2021,11.89,12.01,12.09,11.73,552.2,-0.83,K
25/05/2021,11.99,11.63,11.99,11.63,1.89,3.72,M
24/05/2021,11.56,11.63,11.63,11.28,690.3,0.52,K
21/05/2021,11.5,11.66,11.73,11.4,774.6,-1.71,K
20/05/2021,11.7,11.74,11.91,11.58,767.3,-0.43,K
19/05/2021,11.75,12.05,12.4,11.53,2.49,-0.17,M
18/05/2021,11.77,12.0,12.3,11.65,3.95,9.59,M
17/05/2021,10.74,10.68,10.78,10.51,328.2,0.56,K
14/05/2021,10.68,10.92,10.94,10.57,607.0,-1.48,K
13/05/2021,10.84,10.66,10.84,10.5,1.18,1.78,M
12/05/2021,10.65,10.93,11.0,10.55,1.19,-3.09,M
11/05/2021,10.99,10.5,10.99,10.46,800.1,2.14,K
10/05/2021,10.76,10.82,10.82,10.46,864.8,1.99,K
07/05/2021,10.55,10.2,10.69,10.07,1.72,3.43,M
06/05/2021,10.2,10.21,10.33,9.95,723.8,0.0,K
05/05/2021,10.2,9.75,10.2,9.7,2.0,4.62,M
04/05/2021,9.75,9.85,9.93,9.6,1.41,0.1,M
03/05/2021,9.74,9.69,9.79,9.54,1.01,1.46,M
30/04/2021,9.6,9.57,9.66,9.38,618.6,0.21,K
29/04/2021,9.58,9.41,9.61,9.29,1.12,3.01,M
28/04/2021,9.3,9.16,9.35,9.16,806.9,0.54,K
27/04/2021,9.25,9.2,9.42,9.05,4.31,2.1,M
26/04/2021,9.06,9.27,9.32,9.03,2.31,-2.16,M
23/04/2021,9.26,9.2,9.57,9.15,778.2,0.11,K
