Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,3.17,3.17,3.26,3.02,673.2,-2.16,K
23/02/2022,3.24,3.28,3.38,3.24,426.4,-2.99,K
22/02/2022,3.34,3.28,3.4,3.25,332.9,1.83,K
21/02/2022,3.28,3.5,3.5,3.21,519.0,-6.29,K
18/02/2022,3.5,3.55,3.55,3.41,258.4,0.29,K
17/02/2022,3.49,3.59,3.6,3.48,378.2,-3.32,K
16/02/2022,3.61,3.54,3.61,3.51,368.9,0.0,K
15/02/2022,3.61,3.42,3.61,3.42,635.8,6.18,K
14/02/2022,3.4,3.5,3.54,3.4,522.0,-2.86,K
11/02/2022,3.5,3.73,3.74,3.46,639.4,-5.66,K
10/02/2022,3.71,3.8,3.82,3.63,548.9,-2.37,K
09/02/2022,3.8,3.84,3.96,3.73,551.2,-1.04,K
08/02/2022,3.84,3.74,3.86,3.7,666.3,1.86,K
07/02/2022,3.77,3.72,3.88,3.72,595.9,-0.26,K
04/02/2022,3.78,3.79,3.8,3.54,700.5,0.27,K
03/02/2022,3.77,3.78,3.88,3.72,893.1,-0.26,K
02/02/2022,3.78,3.76,3.88,3.66,579.7,0.8,K
01/02/2022,3.75,3.82,3.9,3.75,646.2,-1.32,K
31/01/2022,3.8,3.62,3.83,3.55,833.2,4.97,K
28/01/2022,3.62,3.6,3.63,3.5,368.8,0.0,K
27/01/2022,3.62,3.47,3.64,3.47,932.4,4.02,K
26/01/2022,3.48,3.48,3.6,3.44,1.07,0.87,M
25/01/2022,3.45,3.31,3.45,3.25,564.2,4.23,K
24/01/2022,3.31,3.33,3.34,3.19,671.6,-1.78,K
21/01/2022,3.37,3.18,3.37,3.17,1.04,4.98,M
20/01/2022,3.21,3.04,3.25,3.01,1.88,5.94,M
19/01/2022,3.03,3.05,3.11,2.96,1.74,1.0,M
18/01/2022,3.0,3.25,3.27,2.97,1.61,-6.54,M
17/01/2022,3.21,3.27,3.27,3.15,427.4,1.9,K
14/01/2022,3.15,3.16,3.26,3.05,622.2,-0.32,K
13/01/2022,3.16,3.11,3.17,3.05,356.7,0.32,K
12/01/2022,3.15,3.09,3.18,3.06,488.1,1.61,K
11/01/2022,3.1,2.9,3.1,2.85,734.1,6.9,K
10/01/2022,2.9,3.03,3.03,2.78,1.01,-4.61,M
07/01/2022,3.04,2.75,3.04,2.61,1.33,10.14,M
06/01/2022,2.76,2.87,2.93,2.69,1.36,-1.78,M
05/01/2022,2.81,3.13,3.13,2.72,1.4,-7.87,M
04/01/2022,3.05,3.19,3.19,3.05,581.4,-1.93,K
03/01/2022,3.11,3.25,3.28,3.1,599.5,-4.31,K
30/12/2021,3.25,3.31,3.36,3.25,609.4,-1.52,K
29/12/2021,3.3,3.23,3.3,3.17,475.6,3.12,K
28/12/2021,3.2,3.18,3.26,3.17,405.2,0.63,K
27/12/2021,3.18,3.24,3.27,3.15,308.9,0.0,K
23/12/2021,3.18,3.28,3.29,3.18,285.3,-2.45,K
22/12/2021,3.26,3.23,3.32,3.13,473.6,1.87,K
21/12/2021,3.2,3.34,3.38,3.17,588.0,-3.32,K
20/12/2021,3.31,3.44,3.44,3.31,340.9,-4.06,K
17/12/2021,3.45,3.37,3.45,3.23,829.5,3.29,K
16/12/2021,3.34,3.46,3.54,3.34,429.4,-2.34,K
15/12/2021,3.42,3.41,3.42,3.21,671.4,2.09,K
14/12/2021,3.35,3.45,3.62,3.23,1.59,-2.9,M
13/12/2021,3.45,3.41,3.48,3.34,358.6,1.17,K
10/12/2021,3.41,3.32,3.56,3.29,1.55,3.96,M
09/12/2021,3.28,3.19,3.31,3.16,996.0,2.5,K
08/12/2021,3.2,3.29,3.43,3.2,1.75,-3.03,M
07/12/2021,3.3,3.4,3.45,3.23,788.9,-3.23,K
06/12/2021,3.41,3.31,3.41,3.22,697.1,3.65,K
03/12/2021,3.29,3.13,3.29,3.13,664.8,7.17,K
02/12/2021,3.07,2.98,3.16,2.98,844.2,3.02,K
01/12/2021,2.98,3.09,3.15,2.93,741.8,-2.61,K
30/11/2021,3.06,3.13,3.18,2.93,1.21,-2.24,M
29/11/2021,3.13,3.35,3.35,3.07,978.2,-0.95,K
26/11/2021,3.16,3.36,3.36,3.15,1.13,-8.67,M
25/11/2021,3.46,3.32,3.46,3.3,637.0,3.9,K
24/11/2021,3.33,3.29,3.33,3.17,870.5,2.46,K
23/11/2021,3.25,3.31,3.34,3.16,1.32,-2.4,M
22/11/2021,3.33,3.3,3.37,3.14,510.0,1.52,K
19/11/2021,3.28,3.23,3.42,3.22,1.14,1.86,M
18/11/2021,3.22,3.39,3.44,3.11,1.53,-3.01,M
17/11/2021,3.32,3.45,3.48,3.25,998.3,-2.06,K
16/11/2021,3.39,3.48,3.5,3.29,968.9,-2.59,K
12/11/2021,3.48,3.48,3.7,3.39,1.63,-1.97,M
