Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,2.81,2.78,2.81,2.69,5.39,-0.35,M
23/02/2022,2.82,2.87,2.91,2.8,2.86,-1.4,M
22/02/2022,2.86,2.85,2.92,2.85,3.12,0.7,M
21/02/2022,2.84,2.95,2.95,2.81,2.99,-3.07,M
18/02/2022,2.93,2.96,2.97,2.89,2.73,-0.34,M
17/02/2022,2.94,3.02,3.05,2.94,4.63,-3.61,M
16/02/2022,3.05,3.02,3.08,3.0,2.58,0.33,M
15/02/2022,3.04,2.98,3.04,2.94,2.84,2.36,M
14/02/2022,2.97,2.92,2.97,2.9,2.52,1.71,M
11/02/2022,2.92,3.02,3.03,2.92,6.28,-2.99,M
10/02/2022,3.01,3.03,3.06,2.95,4.23,-0.33,M
09/02/2022,3.02,3.02,3.07,3.0,3.54,-0.66,M
08/02/2022,3.04,3.01,3.1,2.99,3.45,1.0,M
07/02/2022,3.01,3.04,3.07,2.97,6.22,-2.27,M
04/02/2022,3.08,3.26,3.26,3.08,5.69,-5.81,M
03/02/2022,3.27,3.29,3.29,3.19,3.57,-0.61,M
02/02/2022,3.29,3.27,3.33,3.2,6.34,0.92,M
01/02/2022,3.26,3.42,3.45,3.26,6.51,-4.68,M
31/01/2022,3.42,3.36,3.42,3.31,7.29,1.79,M
28/01/2022,3.36,3.29,3.4,3.28,8.44,1.82,M
27/01/2022,3.3,3.28,3.33,3.25,5.0,0.92,M
26/01/2022,3.27,3.23,3.31,3.2,6.54,1.55,M
25/01/2022,3.22,3.1,3.26,3.1,10.35,3.21,M
24/01/2022,3.12,3.17,3.19,3.09,5.44,-2.19,M
21/01/2022,3.19,3.27,3.27,3.15,5.68,-0.93,M
20/01/2022,3.22,3.15,3.27,3.15,5.99,1.9,M
19/01/2022,3.16,3.14,3.2,3.12,4.64,0.64,M
18/01/2022,3.14,3.09,3.15,3.08,5.38,1.62,M
17/01/2022,3.09,3.12,3.17,3.08,3.68,-1.59,M
14/01/2022,3.14,3.1,3.18,3.09,5.45,1.62,M
13/01/2022,3.09,3.12,3.22,3.07,7.89,-0.96,M
12/01/2022,3.12,3.07,3.15,3.05,5.42,1.96,M
11/01/2022,3.06,3.04,3.1,2.98,5.01,2.68,M
10/01/2022,2.98,3.09,3.16,2.96,7.88,-3.25,M
07/01/2022,3.08,2.9,3.12,2.87,9.34,6.21,M
06/01/2022,2.9,2.94,3.0,2.9,6.71,-0.68,M
05/01/2022,2.92,2.93,3.08,2.87,9.3,-0.34,M
04/01/2022,2.93,2.98,3.04,2.93,4.7,-1.01,M
03/01/2022,2.96,3.05,3.08,2.95,5.11,-2.95,M
