Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,8.0,7.81,8.12,7.54,5.58,-3.73,M
23/02/2022,8.31,8.79,8.93,8.26,3.57,-4.48,M
22/02/2022,8.7,8.82,8.94,8.58,3.47,0.93,M
21/02/2022,8.62,9.32,9.35,8.6,3.77,-7.11,M
18/02/2022,9.28,9.45,9.55,9.28,2.21,-0.22,M
17/02/2022,9.3,9.49,9.61,9.22,2.38,-2.0,M
16/02/2022,9.49,9.26,9.59,9.12,2.64,2.48,M
15/02/2022,9.26,8.69,9.3,8.66,4.4,7.67,M
14/02/2022,8.6,8.69,8.95,8.44,3.07,-0.35,M
11/02/2022,8.63,8.95,9.23,8.59,3.34,-3.25,M
10/02/2022,8.92,8.87,9.12,8.49,3.52,0.56,M
09/02/2022,8.87,8.81,9.17,8.81,1.63,0.57,M
08/02/2022,8.82,8.8,8.98,8.67,1.76,0.0,M
07/02/2022,8.82,9.0,9.15,8.81,2.03,-2.0,M
04/02/2022,9.0,9.2,9.23,8.82,2.27,-1.85,M
03/02/2022,9.17,9.53,9.65,9.11,2.96,-4.28,M
02/02/2022,9.58,9.32,9.73,9.27,4.02,3.57,M
01/02/2022,9.25,9.44,9.56,9.09,2.81,-1.18,M
31/01/2022,9.36,9.07,9.45,9.03,2.55,3.43,M
28/01/2022,9.05,8.87,9.12,8.8,2.42,1.46,M
27/01/2022,8.92,8.8,9.33,8.8,5.12,2.88,M
26/01/2022,8.67,9.1,9.2,8.61,4.02,-1.59,M
25/01/2022,8.81,8.29,8.88,8.2,2.91,5.38,M
24/01/2022,8.36,8.4,8.58,8.07,3.51,-1.53,M
21/01/2022,8.49,8.3,8.9,8.18,4.46,1.43,M
20/01/2022,8.37,8.11,8.45,8.05,4.16,3.98,M
19/01/2022,8.05,7.96,8.21,7.91,2.75,1.77,M
18/01/2022,7.91,8.12,8.15,7.89,2.74,-3.89,M
17/01/2022,8.23,8.17,8.4,8.04,2.25,0.37,M
14/01/2022,8.2,8.55,8.63,8.18,3.12,-3.87,M
13/01/2022,8.53,8.58,8.62,8.27,3.07,-1.5,M
12/01/2022,8.66,8.32,8.73,8.2,4.2,5.74,M
11/01/2022,8.19,7.97,8.3,7.82,4.33,2.63,M
10/01/2022,7.98,8.16,8.31,7.89,3.35,-3.16,M
07/01/2022,8.24,8.46,8.73,8.18,4.32,-3.74,M
06/01/2022,8.56,8.9,9.11,8.44,5.04,-5.31,M
05/01/2022,9.04,9.81,9.93,9.04,3.64,-8.69,M
04/01/2022,9.9,10.57,10.61,9.87,3.77,-5.71,M
03/01/2022,10.5,11.2,11.26,10.35,5.91,-3.67,M
30/12/2021,10.9,11.25,11.42,10.9,8.95,-2.24,M
29/12/2021,11.15,10.51,11.48,10.43,8.26,5.89,M
28/12/2021,10.53,10.29,10.6,10.18,4.05,3.24,M
27/12/2021,10.2,9.68,10.24,9.68,5.04,5.37,M
23/12/2021,9.68,9.65,9.97,9.62,1.67,0.62,M
22/12/2021,9.62,9.61,9.83,9.41,1.89,0.42,M
21/12/2021,9.58,9.83,9.9,9.53,1.79,-1.54,M
20/12/2021,9.73,9.9,9.93,9.62,2.02,-3.76,M
17/12/2021,10.11,9.72,10.11,9.56,2.49,0.4,M
16/12/2021,10.07,10.63,10.85,10.0,2.97,-4.37,M
15/12/2021,10.53,10.28,10.61,9.85,3.08,3.54,M
14/12/2021,10.17,10.59,10.68,10.14,2.45,-3.05,M
13/12/2021,10.49,10.8,11.1,10.48,3.33,-1.96,M
10/12/2021,10.7,10.5,10.79,10.3,4.0,2.98,M
09/12/2021,10.39,10.44,10.92,10.21,4.25,-2.9,M
08/12/2021,10.7,10.18,10.77,9.76,6.0,5.42,M
07/12/2021,10.15,10.09,10.42,9.93,5.0,3.26,M
06/12/2021,9.83,10.09,10.19,9.52,5.09,-0.91,M
03/12/2021,9.92,9.6,10.39,9.57,5.73,3.33,M
02/12/2021,9.6,9.01,9.65,9.01,6.18,8.11,M
01/12/2021,8.88,9.41,9.74,8.88,4.84,-3.06,M
30/11/2021,9.16,9.34,9.72,9.01,3.23,-3.88,M
29/11/2021,9.53,9.5,9.97,9.5,3.57,1.71,M
26/11/2021,9.37,9.22,9.37,8.88,4.33,-3.4,M
25/11/2021,9.7,9.63,9.97,9.55,3.19,1.57,M
24/11/2021,9.55,9.26,9.7,9.03,3.58,3.13,M
23/11/2021,9.26,9.16,9.38,8.91,3.68,2.66,M
22/11/2021,9.02,9.12,9.38,8.83,2.62,-0.99,M
19/11/2021,9.11,8.79,9.23,8.62,3.05,3.05,M
18/11/2021,8.84,8.81,9.14,8.71,3.02,0.8,M
17/11/2021,8.77,9.11,9.37,8.6,4.53,-2.99,M
