Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,24.86,25.69,26.19,24.56,28.42,-0.12,M
23/02/2022,24.89,24.64,25.63,24.55,21.82,1.43,M
22/02/2022,24.54,26.1,26.22,24.36,26.97,-2.89,M
21/02/2022,25.27,24.56,25.46,24.44,13.35,3.65,M
18/02/2022,24.38,24.62,24.83,24.29,12.88,-2.05,M
17/02/2022,24.89,25.11,25.34,24.65,21.58,-1.39,M
16/02/2022,25.24,26.51,26.63,25.0,25.38,-1.98,M
15/02/2022,25.75,25.72,26.08,25.35,25.79,-2.83,M
14/02/2022,26.5,25.8,26.5,25.52,22.82,2.71,M
11/02/2022,25.8,25.21,26.1,24.94,26.98,4.24,M
10/02/2022,24.75,24.79,25.52,24.72,29.33,1.02,M
09/02/2022,24.5,23.95,24.95,23.95,14.35,2.64,M
08/02/2022,23.87,23.74,23.95,23.3,15.06,-1.24,M
07/02/2022,24.17,24.33,24.8,23.95,15.94,-0.98,M
04/02/2022,24.41,23.15,24.41,23.08,30.59,7.34,M
03/02/2022,22.74,22.9,23.15,22.21,15.21,-1.26,M
02/02/2022,23.03,23.94,24.42,22.58,18.26,-2.99,M
01/02/2022,23.74,23.89,23.94,23.16,15.27,-0.75,M
31/01/2022,23.92,23.95,24.02,23.38,18.05,0.34,M
28/01/2022,23.84,23.85,24.27,23.25,16.69,0.13,M
27/01/2022,23.81,24.0,24.46,23.38,23.57,0.93,M
26/01/2022,23.59,24.6,24.9,23.45,22.54,-1.21,M
25/01/2022,23.88,23.12,24.09,22.95,22.33,3.06,M
24/01/2022,23.17,23.49,23.75,22.9,21.42,-1.82,M
21/01/2022,23.6,23.6,23.92,23.12,26.21,-2.48,M
20/01/2022,24.2,23.8,24.35,23.41,20.67,0.88,M
19/01/2022,23.99,24.34,24.57,23.72,20.67,0.29,M
18/01/2022,23.92,23.04,24.07,23.0,30.73,4.82,M
17/01/2022,22.82,22.9,23.34,22.44,13.79,-0.35,M
14/01/2022,22.9,22.27,23.05,22.06,22.42,4.0,M
13/01/2022,22.02,21.18,22.61,21.18,24.55,3.09,M
12/01/2022,21.36,21.25,21.64,20.99,21.9,0.75,M
11/01/2022,21.2,20.21,21.35,20.21,19.57,5.26,M
10/01/2022,20.14,19.56,20.45,19.22,17.15,1.61,M
07/01/2022,19.82,19.08,20.28,18.84,23.66,4.54,M
