Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,20.85,20.57,21.03,20.22,2.0,-0.86,M
23/02/2022,21.03,21.25,21.36,21.01,1.08,-0.33,M
22/02/2022,21.1,21.19,21.48,21.03,1.41,-0.33,M
21/02/2022,21.17,21.54,21.69,21.17,1.23,-1.67,M
18/02/2022,21.53,21.7,21.88,21.45,976.1,-0.42,K
17/02/2022,21.62,21.68,21.98,21.39,3.66,-0.23,M
16/02/2022,21.67,21.21,21.92,21.17,3.03,2.46,M
15/02/2022,21.15,21.54,21.54,20.96,3.1,-0.66,M
14/02/2022,21.29,21.27,21.5,21.09,2.31,0.05,M
11/02/2022,21.28,21.17,21.52,20.94,3.71,0.81,M
10/02/2022,21.11,21.37,21.55,20.93,3.65,-0.98,M
09/02/2022,21.32,20.55,21.32,20.55,4.24,3.8,M
08/02/2022,20.54,19.65,20.67,19.44,4.09,3.58,M
07/02/2022,19.83,19.37,19.98,19.19,2.52,3.39,M
04/02/2022,19.18,19.79,19.79,19.06,2.32,-3.03,M
03/02/2022,19.78,19.85,20.09,19.65,1.7,-0.25,M
02/02/2022,19.83,20.0,20.14,19.71,1.43,-0.55,M
01/02/2022,19.94,19.93,20.19,19.66,2.16,0.55,M
31/01/2022,19.83,19.89,20.22,19.71,3.82,0.2,M
28/01/2022,19.79,20.0,20.28,19.74,1.51,-1.0,M
27/01/2022,19.99,19.35,20.15,19.34,2.38,3.68,M
26/01/2022,19.28,19.03,19.56,18.75,3.04,2.12,M
25/01/2022,18.88,18.66,19.04,18.53,2.69,0.96,M
24/01/2022,18.7,19.31,19.61,18.63,2.2,-3.26,M
21/01/2022,19.33,19.41,19.42,19.13,1.69,-0.41,M
20/01/2022,19.41,19.42,19.64,19.16,2.19,0.57,M
19/01/2022,19.3,18.91,19.45,18.91,2.52,2.22,M
18/01/2022,18.88,19.24,19.35,18.78,3.53,-2.63,M
17/01/2022,19.39,19.41,19.7,19.26,2.15,0.15,M
14/01/2022,19.36,19.45,19.5,19.18,1.23,-0.62,M
13/01/2022,19.48,19.4,19.7,19.37,1.12,0.41,M
12/01/2022,19.4,19.16,19.52,19.02,1.86,1.73,M
11/01/2022,19.07,19.13,19.23,18.74,2.35,-0.1,M
10/01/2022,19.09,19.36,19.61,18.91,2.25,-1.14,M
07/01/2022,19.31,19.18,19.43,18.92,2.35,1.1,M
06/01/2022,19.1,19.39,19.43,19.0,2.03,-0.98,M
05/01/2022,19.29,19.87,19.98,19.29,3.37,-2.82,M
04/01/2022,19.85,20.12,20.19,19.62,3.09,-1.15,M
03/01/2022,20.08,21.42,21.43,20.08,1.5,-4.02,M
30/12/2021,20.92,20.91,21.1,20.55,3.01,0.24,M
29/12/2021,20.87,20.93,20.93,20.52,960.3,-0.05,K
28/12/2021,20.88,21.14,21.25,20.77,521.8,-0.57,K
27/12/2021,21.0,20.91,21.18,20.91,530.3,0.48,K
23/12/2021,20.9,20.51,21.02,20.31,2.4,1.46,M
22/12/2021,20.6,20.75,20.8,20.48,1.05,-0.53,M
21/12/2021,20.71,21.0,21.0,20.49,1.22,-0.53,M
20/12/2021,20.82,21.04,21.08,20.6,830.6,-0.76,K
17/12/2021,20.98,21.39,21.39,20.92,1.35,-1.96,M
16/12/2021,21.4,21.66,21.95,21.3,1.52,-0.93,M
15/12/2021,21.6,21.13,21.76,21.01,1.81,2.76,M
14/12/2021,21.02,21.51,21.82,21.02,1.83,-2.0,M
13/12/2021,21.45,21.77,22.09,21.36,2.24,-1.29,M
10/12/2021,21.73,21.8,21.97,21.62,1.98,0.51,M
09/12/2021,21.62,21.94,21.94,21.44,2.36,-1.5,M
08/12/2021,21.95,22.1,22.17,21.26,3.82,-0.9,M
07/12/2021,22.15,22.5,22.56,21.94,1.82,-0.98,M
06/12/2021,22.37,22.53,22.68,22.23,1.53,-0.4,M
03/12/2021,22.46,22.6,22.91,22.21,2.28,-0.35,M
02/12/2021,22.54,21.92,22.63,21.78,2.3,3.87,M
01/12/2021,21.7,22.31,22.73,21.54,3.63,-2.52,M
30/11/2021,22.26,22.72,22.74,22.05,2.24,-2.58,M
29/11/2021,22.85,23.03,23.03,22.52,2.22,-0.17,M
26/11/2021,22.89,23.0,23.14,22.67,1.7,-2.76,M
25/11/2021,23.54,22.52,23.55,22.52,1.61,4.53,M
24/11/2021,22.52,22.23,22.66,22.1,1.12,0.63,M
23/11/2021,22.38,22.21,22.53,21.95,1.9,1.22,M
22/11/2021,22.11,23.03,23.03,22.05,4.26,-3.7,M
19/11/2021,22.96,23.83,23.87,22.96,2.56,-3.65,M
18/11/2021,23.83,24.26,24.36,23.61,1.43,-1.45,M
17/11/2021,24.18,24.71,25.0,24.11,2.76,-1.51,M
16/11/2021,24.55,24.6,24.82,24.25,2.17,-0.69,M
12/11/2021,24.72,24.51,24.87,24.47,2.26,0.28,M
11/11/2021,24.65,24.89,24.89,23.98,3.93,-1.04,M
10/11/2021,24.91,24.57,25.18,24.53,2.07,1.38,M
09/11/2021,24.57,24.39,24.96,24.19,2.33,1.99,M
08/11/2021,24.09,24.25,24.58,23.94,2.07,-0.08,M
05/11/2021,24.11,23.77,24.39,23.77,1.34,2.16,M
04/11/2021,23.6,23.89,24.03,23.43,1.68,-0.72,M
03/11/2021,23.77,23.26,24.05,23.12,2.77,1.58,M
01/11/2021,23.4,23.27,23.66,22.93,1.93,0.26,M
29/10/2021,23.34,23.95,23.95,23.28,1.95,-1.39,M
28/10/2021,23.67,23.75,24.11,23.51,3.86,-0.46,M
27/10/2021,23.78,23.71,24.14,23.46,1.67,1.11,M
26/10/2021,23.52,24.07,24.17,23.43,1.58,-2.33,M
25/10/2021,24.08,24.11,24.58,23.89,2.45,1.13,M
22/10/2021,23.81,23.9,24.24,22.69,5.53,-0.46,M
21/10/2021,23.92,23.64,24.68,23.12,7.09,1.01,M
20/10/2021,23.68,23.5,24.05,23.43,3.3,1.28,M
19/10/2021,23.38,23.04,23.5,22.96,4.87,1.23,M
18/10/2021,23.09,22.82,23.24,22.62,1.73,0.72,M
15/10/2021,22.93,22.64,22.97,22.52,2.16,1.46,M
14/10/2021,22.6,23.27,23.27,22.35,3.05,-2.29,M
13/10/2021,23.13,22.84,23.13,22.7,2.13,1.63,M
11/10/2021,22.76,23.6,23.64,22.72,2.51,-3.5,M
08/10/2021,23.58,23.15,23.71,23.1,3.13,2.54,M
07/10/2021,23.0,23.75,23.78,22.86,5.86,-2.58,M
06/10/2021,23.61,24.11,24.29,23.41,4.32,-3.49,M
05/10/2021,24.47,24.51,24.58,23.9,3.01,0.49,M
04/10/2021,24.34,24.8,24.81,23.81,2.46,-1.87,M
01/10/2021,24.81,24.57,24.85,24.42,4.04,0.32,M
30/09/2021,24.73,25.26,25.42,24.73,3.14,-1.43,M
29/09/2021,25.09,25.31,25.54,25.09,1.98,-0.73,M
28/09/2021,25.27,25.58,25.72,25.07,2.87,-1.67,M
27/09/2021,25.7,25.77,25.94,25.52,1.87,-0.1,M
24/09/2021,25.73,25.61,25.9,25.46,1.99,-0.12,M
23/09/2021,25.76,25.98,26.2,25.76,1.86,-0.35,M
22/09/2021,25.85,25.8,25.99,25.55,2.83,1.08,M
21/09/2021,25.58,25.51,25.93,25.3,3.32,0.89,M
20/09/2021,25.35,25.74,25.74,25.11,3.29,-2.85,M
17/09/2021,26.09,25.91,26.09,25.57,4.86,0.33,M
16/09/2021,26.01,25.33,26.01,25.3,3.05,1.15,M
15/09/2021,25.72,26.12,26.2,25.46,4.65,-1.87,M
14/09/2021,26.2,26.43,26.74,26.03,2.38,-1.04,M
13/09/2021,26.48,26.81,26.92,26.28,2.38,-0.64,M
10/09/2021,26.65,26.88,27.07,26.45,1.69,0.57,M
09/09/2021,26.5,26.42,26.5,25.82,2.75,0.74,M
08/09/2021,26.31,27.32,27.39,26.18,2.86,-3.87,M
06/09/2021,27.36,27.18,27.53,27.03,1.35,0.46,M
03/09/2021,27.24,27.75,27.9,26.73,4.47,-1.98,M
02/09/2021,27.79,28.11,28.14,27.58,2.42,-1.7,M
01/09/2021,28.27,28.58,28.66,27.98,4.01,-1.1,M
31/08/2021,28.58,28.8,29.12,28.14,4.32,-1.14,M
30/08/2021,28.92,29.0,29.13,28.61,2.1,-0.28,M
27/08/2021,29.0,28.74,29.15,28.51,1.9,1.12,M
26/08/2021,28.67,28.73,28.88,28.4,1.6,-0.21,M
25/08/2021,28.74,28.95,28.98,28.41,2.96,-1.15,M
24/08/2021,29.07,29.15,29.28,28.81,3.16,-0.21,M
23/08/2021,29.13,29.44,29.68,28.95,4.55,-0.48,M
20/08/2021,29.27,29.04,29.43,28.91,2.07,0.15,M
19/08/2021,29.23,28.46,29.33,28.32,3.36,1.58,M
18/08/2021,28.77,27.78,28.99,27.68,4.74,4.33,M
