Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,13.85,15.35,15.57,13.31,15.89,-14.77,M
23/02/2022,16.25,16.24,16.88,16.21,2.49,0.0,M
22/02/2022,16.25,15.82,16.45,15.67,3.4,3.11,M
21/02/2022,15.76,17.16,17.28,15.75,3.76,-8.64,M
18/02/2022,17.25,17.5,17.75,17.15,2.76,-1.09,M
17/02/2022,17.44,17.25,17.69,16.86,2.68,1.04,M
16/02/2022,17.26,17.38,17.56,17.19,1.98,-0.46,M
15/02/2022,17.34,16.89,17.36,16.76,2.29,3.96,M
14/02/2022,16.68,16.73,16.96,16.49,1.73,-0.48,M
11/02/2022,16.76,16.9,17.47,16.72,2.53,-0.18,M
10/02/2022,16.79,16.51,17.18,16.03,2.36,1.94,M
09/02/2022,16.47,16.93,17.15,16.33,3.18,-2.02,M
08/02/2022,16.81,16.57,17.08,16.24,2.74,0.18,M
07/02/2022,16.78,17.19,17.19,16.52,3.93,-2.39,M
04/02/2022,17.19,18.21,18.21,17.12,2.77,-5.55,M
03/02/2022,18.2,18.48,18.61,17.92,2.29,-0.93,M
02/02/2022,18.37,18.12,18.43,17.94,2.34,1.6,M
01/02/2022,18.08,18.4,18.4,17.87,1.85,-1.74,M
31/01/2022,18.4,17.84,18.41,17.63,1.81,2.97,M
28/01/2022,17.87,17.54,17.94,17.26,1.88,0.45,M
27/01/2022,17.79,17.83,17.93,17.47,1.64,1.08,M
26/01/2022,17.6,17.56,17.98,17.35,2.88,0.86,M
25/01/2022,17.45,16.09,17.69,16.0,3.46,7.52,M
24/01/2022,16.23,17.0,17.19,16.18,2.17,-4.59,M
21/01/2022,17.01,16.91,17.09,16.52,2.17,0.41,M
20/01/2022,16.94,16.7,17.14,16.46,3.38,1.8,M
19/01/2022,16.64,16.15,16.75,16.12,2.66,3.61,M
18/01/2022,16.06,16.3,16.4,15.88,2.21,-1.89,M
17/01/2022,16.37,15.89,16.62,15.76,2.25,2.76,M
14/01/2022,15.93,15.52,16.0,15.12,1.32,2.64,M
13/01/2022,15.52,15.87,15.9,15.32,1.96,-2.94,M
12/01/2022,15.99,15.12,15.99,15.05,2.25,5.2,M
11/01/2022,15.2,14.63,15.2,14.37,2.4,3.97,M
10/01/2022,14.62,15.35,15.37,14.61,2.39,-5.56,M
07/01/2022,15.48,15.2,15.7,14.9,2.05,1.24,M
06/01/2022,15.29,15.2,15.71,15.06,2.2,0.59,M
05/01/2022,15.2,15.37,15.78,15.12,1.93,-1.62,M
04/01/2022,15.45,16.13,16.23,15.37,1.89,-4.45,M
03/01/2022,16.17,16.9,17.02,16.06,1.9,-4.32,M
30/12/2021,16.9,16.14,16.93,16.0,3.9,5.49,M
29/12/2021,16.02,16.92,16.92,15.86,3.23,-4.76,M
28/12/2021,16.82,16.59,16.83,16.36,1.43,1.02,M
27/12/2021,16.65,16.03,16.65,15.87,1.93,4.91,M
23/12/2021,15.87,16.29,16.29,15.6,2.34,-2.16,M
22/12/2021,16.22,16.51,16.67,15.8,3.76,-2.47,M
21/12/2021,16.63,16.51,16.71,16.31,1.32,0.18,M
20/12/2021,16.6,16.7,16.86,16.45,1.79,-3.09,M
17/12/2021,17.13,16.87,17.38,16.72,2.64,-0.06,M
16/12/2021,17.14,16.67,17.85,16.61,7.17,5.54,M
15/12/2021,16.24,16.3,16.42,15.88,2.05,-0.31,M
14/12/2021,16.29,17.29,17.29,16.21,1.88,-3.5,M
13/12/2021,16.88,16.65,17.15,16.4,2.05,1.26,M
10/12/2021,16.67,16.81,16.84,16.46,1.4,1.52,M
09/12/2021,16.42,16.75,16.82,16.18,1.51,-2.26,M
08/12/2021,16.8,16.64,17.06,16.48,2.46,1.27,M
07/12/2021,16.59,16.65,16.81,16.27,2.34,0.18,M
06/12/2021,16.56,16.29,16.66,16.29,2.36,2.1,M
03/12/2021,16.22,15.91,16.61,15.89,3.23,2.27,M
02/12/2021,15.86,15.47,16.18,15.37,3.21,4.96,M
01/12/2021,15.11,15.96,16.01,15.09,2.73,-3.94,M
30/11/2021,15.73,16.08,16.19,15.36,3.5,-2.9,M
29/11/2021,16.2,16.66,16.68,15.96,2.65,-1.76,M
26/11/2021,16.49,16.75,16.89,16.19,1.73,-4.02,M
25/11/2021,17.18,17.0,17.46,16.76,1.62,1.72,M
24/11/2021,16.89,16.69,17.24,16.58,1.78,-0.12,M
23/11/2021,16.91,17.14,17.14,16.43,2.34,-0.18,M
22/11/2021,16.94,17.7,17.76,16.94,1.26,-4.19,M
19/11/2021,17.68,17.59,18.08,17.53,1.36,0.91,M
18/11/2021,17.52,17.1,17.77,17.0,1.5,3.06,M
17/11/2021,17.0,18.22,18.43,16.85,3.31,-6.59,M
