Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,23.19,21.53,23.2,21.32,9.62,3.9,M
23/02/2022,22.32,23.07,23.24,21.93,18.53,-6.02,M
22/02/2022,23.75,23.51,23.95,23.29,5.29,1.89,M
21/02/2022,23.31,23.5,23.74,23.2,2.45,-1.65,M
18/02/2022,23.7,23.87,24.03,23.62,4.3,0.59,M
17/02/2022,23.56,23.55,23.74,23.37,4.72,0.26,M
16/02/2022,23.5,23.46,23.8,23.33,6.31,0.21,M
15/02/2022,23.45,23.45,23.78,23.2,6.02,1.96,M
14/02/2022,23.0,22.37,23.17,22.34,6.51,3.14,M
11/02/2022,22.3,22.4,22.58,22.09,4.61,-0.45,M
10/02/2022,22.4,22.48,22.64,22.11,5.35,-0.44,M
09/02/2022,22.5,21.92,22.65,21.85,4.9,2.74,M
08/02/2022,21.9,21.7,21.91,21.53,2.83,-0.5,M
07/02/2022,22.01,21.97,22.32,21.8,4.23,0.14,M
04/02/2022,21.98,22.61,22.69,21.85,4.58,-3.0,M
03/02/2022,22.66,23.0,23.28,22.63,4.01,-1.31,M
02/02/2022,22.96,22.85,23.29,22.78,4.9,0.61,M
01/02/2022,22.82,22.94,23.15,22.54,6.65,-1.47,M
31/01/2022,23.16,22.5,23.53,22.18,8.73,2.03,M
28/01/2022,22.7,22.15,22.97,22.14,5.76,1.43,M
27/01/2022,22.38,22.01,22.48,21.9,9.3,1.87,M
26/01/2022,21.97,21.81,22.2,21.68,5.91,1.71,M
25/01/2022,21.6,20.93,21.74,20.85,6.15,2.86,M
24/01/2022,21.0,21.01,21.17,20.52,8.48,0.0,M
21/01/2022,21.0,20.36,21.08,20.21,6.18,2.69,M
20/01/2022,20.45,20.56,21.0,20.29,10.73,-0.44,M
19/01/2022,20.54,20.71,21.07,20.45,8.56,-0.19,M
18/01/2022,20.58,20.33,20.58,19.71,9.4,0.19,M
17/01/2022,20.54,21.1,21.14,20.44,4.36,-2.19,M
14/01/2022,21.0,21.09,21.14,20.82,4.3,0.0,M
13/01/2022,21.0,22.11,22.22,20.91,6.31,-4.98,M
12/01/2022,22.1,21.49,22.55,21.03,10.1,2.84,M
11/01/2022,21.49,21.16,21.52,20.83,5.52,2.04,M
10/01/2022,21.06,21.35,21.46,20.64,13.36,-1.96,M
07/01/2022,21.48,21.73,22.02,21.3,10.32,-1.47,M
06/01/2022,21.8,22.23,22.32,21.5,10.85,-2.11,M
05/01/2022,22.27,23.19,23.35,22.12,8.36,-4.63,M
04/01/2022,23.35,23.27,23.58,23.2,4.59,0.43,M
03/01/2022,23.25,24.69,24.74,22.96,7.17,-4.32,M
30/12/2021,24.3,23.78,24.32,23.78,5.8,2.19,M
29/12/2021,23.78,23.62,23.98,23.46,2.76,0.3,M
28/12/2021,23.71,23.97,24.09,23.56,2.1,-1.5,M
27/12/2021,24.07,24.28,24.54,23.93,2.8,-0.12,M
23/12/2021,24.1,24.2,24.3,23.94,4.68,0.08,M
22/12/2021,24.08,24.15,24.24,23.61,2.72,-0.45,M
21/12/2021,24.19,24.09,24.3,23.8,3.12,0.17,M
20/12/2021,24.15,23.9,24.3,23.9,3.32,-0.41,M
17/12/2021,24.25,23.71,24.52,23.67,7.93,0.79,M
16/12/2021,24.06,23.99,24.19,23.86,4.05,0.29,M
15/12/2021,23.99,24.19,24.47,23.81,7.89,-0.62,M
