Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,16.11,15.35,16.31,15.1,12.9,2.29,M
23/02/2022,15.75,15.86,16.45,15.74,17.04,-0.82,M
22/02/2022,15.88,15.6,16.22,15.59,22.84,3.99,M
21/02/2022,15.27,15.32,16.0,15.16,17.72,0.39,M
18/02/2022,15.21,15.9,16.0,14.96,47.34,-8.81,M
17/02/2022,16.68,16.64,16.98,16.63,7.18,-0.18,M
16/02/2022,16.71,16.78,16.82,16.46,7.04,0.42,M
15/02/2022,16.64,16.46,16.71,16.38,8.07,2.78,M
14/02/2022,16.19,16.08,16.49,16.08,8.83,0.81,M
11/02/2022,16.06,16.07,16.25,15.89,10.42,0.56,M
10/02/2022,15.97,16.04,16.18,15.85,17.79,-0.56,M
09/02/2022,16.06,15.54,16.24,15.53,15.56,3.15,M
08/02/2022,15.57,15.0,15.62,14.77,16.1,4.71,M
07/02/2022,14.87,15.15,15.15,14.72,14.1,-2.56,M
04/02/2022,15.26,15.19,15.26,14.79,19.25,0.26,M
03/02/2022,15.22,15.52,15.66,15.02,10.54,-1.49,M
02/02/2022,15.45,15.51,15.81,15.43,4.91,-0.39,M
01/02/2022,15.51,15.76,15.88,15.19,14.26,-0.7,M
31/01/2022,15.62,15.78,15.95,15.41,16.53,-0.89,M
28/01/2022,15.76,16.66,16.66,15.67,23.98,-5.4,M
27/01/2022,16.66,17.11,17.11,16.48,24.28,-1.24,M
26/01/2022,16.87,17.0,17.27,16.81,14.27,0.3,M
25/01/2022,16.82,16.55,16.94,16.46,8.87,1.14,M
24/01/2022,16.63,16.98,17.09,16.58,6.43,-2.06,M
21/01/2022,16.98,17.4,17.42,16.85,11.59,-2.86,M
20/01/2022,17.48,16.88,17.62,16.84,9.03,4.48,M
19/01/2022,16.73,16.56,16.9,16.43,6.97,2.01,M
18/01/2022,16.4,16.5,16.5,16.22,4.79,0.31,M
17/01/2022,16.35,16.13,16.54,16.13,3.88,0.25,M
14/01/2022,16.31,16.22,16.42,16.12,4.79,0.31,M
13/01/2022,16.26,16.2,16.5,16.15,7.61,-0.43,M
12/01/2022,16.33,15.9,16.35,15.76,8.95,2.06,M
11/01/2022,16.0,15.51,16.04,15.51,10.74,2.24,M
10/01/2022,15.65,15.82,15.82,15.39,9.97,-1.32,M
07/01/2022,15.86,16.04,16.11,15.69,8.65,-1.49,M
06/01/2022,16.1,16.98,16.98,15.99,17.3,-3.07,M
05/01/2022,16.61,17.1,17.23,16.56,10.35,-4.38,M
04/01/2022,17.37,17.36,17.56,17.1,10.05,-0.12,M
03/01/2022,17.39,17.9,17.9,17.1,9.08,-2.08,M
30/12/2021,17.76,17.65,17.82,17.44,8.78,1.49,M
29/12/2021,17.5,17.49,17.68,17.3,5.98,-0.17,M
28/12/2021,17.53,17.92,17.92,17.44,5.83,-1.52,M
27/12/2021,17.8,17.78,17.95,17.67,6.99,0.74,M
23/12/2021,17.67,18.02,18.02,17.67,4.89,-1.83,M
22/12/2021,18.0,18.2,18.2,17.76,7.1,-0.33,M
21/12/2021,18.06,18.11,18.18,17.74,9.74,-0.66,M
20/12/2021,18.18,18.13,18.27,17.86,8.36,-0.33,M
17/12/2021,18.24,17.92,18.44,17.85,14.78,-1.14,M
16/12/2021,18.45,18.95,19.04,18.19,16.42,-1.7,M
15/12/2021,18.77,18.61,19.13,18.57,18.38,1.24,M
14/12/2021,18.54,18.31,18.78,18.3,14.05,2.32,M
13/12/2021,18.12,17.9,18.39,17.81,9.68,0.55,M
10/12/2021,18.02,17.66,18.2,17.65,8.74,3.27,M
09/12/2021,17.45,17.66,17.81,17.31,6.65,-1.41,M
08/12/2021,17.7,17.3,17.78,17.05,14.52,2.37,M
07/12/2021,17.29,17.69,17.84,17.15,13.57,-1.76,M
06/12/2021,17.6,18.23,18.37,17.5,19.31,-2.76,M
03/12/2021,18.1,17.61,18.55,17.6,19.03,2.78,M
02/12/2021,17.61,17.65,17.92,17.41,10.83,0.57,M
01/12/2021,17.51,17.83,17.97,17.4,16.2,-0.34,M
30/11/2021,17.57,17.54,17.57,17.2,24.59,-0.28,M
29/11/2021,17.62,17.84,17.87,17.4,11.58,0.0,M
26/11/2021,17.62,17.5,17.69,17.35,8.95,-1.62,M
25/11/2021,17.91,17.68,17.98,17.6,7.26,2.05,M
24/11/2021,17.55,17.29,17.74,17.27,14.6,-0.06,M
23/11/2021,17.56,17.21,17.56,16.87,17.3,4.15,M
22/11/2021,16.86,17.02,17.43,16.68,10.14,-0.94,M
19/11/2021,17.02,16.81,17.23,16.75,12.99,1.61,M
18/11/2021,16.75,16.94,17.09,16.64,9.33,-0.18,M
17/11/2021,16.78,16.84,17.11,16.56,11.0,0.6,M
16/11/2021,16.68,16.89,16.94,16.52,11.75,-0.54,M
12/11/2021,16.77,17.01,17.18,16.6,19.07,-2.39,M
11/11/2021,17.18,17.11,17.5,16.96,12.4,2.02,M
10/11/2021,16.84,16.83,17.1,16.67,12.69,-0.53,M
09/11/2021,16.93,16.79,17.17,16.72,10.33,1.01,M
08/11/2021,16.76,17.07,17.13,16.56,14.25,-1.35,M
05/11/2021,16.99,17.42,17.45,16.71,17.46,-1.39,M
