Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,5.77,5.55,5.79,5.38,11.36,1.94,M
23/02/2022,5.66,5.7,5.75,5.6,10.77,0.18,M
22/02/2022,5.65,5.83,5.9,5.61,7.35,-2.08,M
21/02/2022,5.77,6.14,6.15,5.72,8.73,-5.56,M
18/02/2022,6.11,6.31,6.33,5.98,12.54,-2.86,M
17/02/2022,6.29,6.46,6.47,6.21,16.17,-2.18,M
16/02/2022,6.43,6.44,6.55,6.37,12.03,0.16,M
15/02/2022,6.42,6.55,6.55,6.22,17.43,0.0,M
14/02/2022,6.42,6.36,6.5,6.36,12.68,1.1,M
11/02/2022,6.35,6.46,6.51,6.3,8.0,-1.24,M
10/02/2022,6.43,6.4,6.47,6.27,9.67,1.26,M
09/02/2022,6.35,6.33,6.47,6.3,8.87,0.32,M
08/02/2022,6.33,6.29,6.42,6.18,9.77,0.96,M
07/02/2022,6.27,6.43,6.51,6.26,7.18,-1.72,M
04/02/2022,6.38,6.45,6.56,6.35,8.48,-1.24,M
03/02/2022,6.46,6.4,6.53,6.33,8.39,1.1,M
02/02/2022,6.39,6.45,6.63,6.37,8.81,-0.16,M
01/02/2022,6.4,6.5,6.53,6.24,8.05,-0.31,M
31/01/2022,6.42,6.32,6.53,6.28,7.51,0.63,M
28/01/2022,6.38,6.21,6.46,6.21,15.57,2.08,M
27/01/2022,6.25,6.29,6.48,6.23,8.5,0.48,M
26/01/2022,6.22,6.31,6.4,6.19,11.61,0.32,M
25/01/2022,6.2,6.08,6.28,6.05,8.1,0.81,M
24/01/2022,6.15,6.16,6.19,6.03,8.53,-1.28,M
21/01/2022,6.23,6.4,6.41,6.18,7.61,-3.26,M
20/01/2022,6.44,6.37,6.58,6.35,9.34,1.1,M
19/01/2022,6.37,6.21,6.48,6.21,12.66,3.07,M
18/01/2022,6.18,6.17,6.24,6.06,3.85,0.0,M
17/01/2022,6.18,6.14,6.34,6.14,3.14,-0.16,M
14/01/2022,6.19,6.11,6.2,6.01,4.75,1.31,M
13/01/2022,6.11,6.04,6.21,6.04,4.39,-0.33,M
12/01/2022,6.13,5.93,6.22,5.89,9.08,3.9,M
11/01/2022,5.9,5.66,5.9,5.66,5.43,3.51,M
10/01/2022,5.7,5.7,5.78,5.53,11.25,-2.06,M
07/01/2022,5.82,5.61,5.95,5.57,10.96,4.68,M
06/01/2022,5.56,5.8,5.85,5.49,8.43,-3.97,M
05/01/2022,5.79,6.28,6.3,5.79,7.2,-8.53,M
04/01/2022,6.33,6.26,6.35,6.16,10.61,0.96,M
03/01/2022,6.27,6.44,6.5,6.23,7.45,-2.79,M
30/12/2021,6.45,6.02,6.46,5.95,23.1,7.32,M
29/12/2021,6.01,6.02,6.09,5.9,5.39,-0.66,M
28/12/2021,6.05,5.9,6.05,5.87,4.38,2.2,M
27/12/2021,5.92,5.71,5.92,5.67,4.49,3.5,M
23/12/2021,5.72,5.65,5.74,5.62,3.17,0.88,M
22/12/2021,5.67,5.72,5.74,5.56,4.65,-1.39,M
21/12/2021,5.75,5.85,5.91,5.68,5.05,-1.2,M
20/12/2021,5.82,5.86,5.86,5.6,8.43,-1.85,M
17/12/2021,5.93,6.02,6.05,5.93,50.15,-2.95,M
16/12/2021,6.11,6.24,6.28,6.05,9.24,-1.45,M
15/12/2021,6.2,6.2,6.25,6.03,4.79,0.49,M
14/12/2021,6.17,6.22,6.34,6.14,6.64,-0.8,M
13/12/2021,6.22,6.16,6.36,6.14,8.27,0.97,M
10/12/2021,6.16,5.96,6.3,5.93,8.74,4.05,M
09/12/2021,5.92,5.89,6.15,5.86,9.21,-1.0,M
08/12/2021,5.98,5.91,6.04,5.8,9.2,1.01,M
07/12/2021,5.92,5.93,5.95,5.56,9.91,1.54,M
06/12/2021,5.83,6.08,6.13,5.83,5.88,-3.16,M
03/12/2021,6.02,5.68,6.03,5.63,10.55,5.8,M
02/12/2021,5.69,5.55,5.69,5.37,18.38,3.64,M
01/12/2021,5.49,5.54,5.83,5.49,12.49,0.55,M
30/11/2021,5.46,5.74,5.8,5.42,11.28,-5.7,M
29/11/2021,5.79,5.98,6.1,5.79,7.81,-2.03,M
26/11/2021,5.91,5.7,6.04,5.68,8.56,-2.8,M
25/11/2021,6.08,5.6,6.08,5.43,20.55,9.16,M
24/11/2021,5.57,5.57,5.68,5.46,8.4,-1.76,M
23/11/2021,5.67,5.66,5.77,5.41,9.08,0.71,M
22/11/2021,5.63,5.92,6.03,5.63,8.52,-5.06,M
19/11/2021,5.93,5.84,5.98,5.76,11.36,1.54,M
18/11/2021,5.84,5.9,6.04,5.74,17.74,-0.17,M
17/11/2021,5.85,6.07,6.18,5.66,24.6,-2.82,M
16/11/2021,6.02,6.55,6.58,5.91,27.45,-7.67,M
12/11/2021,6.52,6.88,6.88,6.26,20.57,-4.12,M
11/11/2021,6.8,6.6,6.83,6.57,8.6,4.62,M
10/11/2021,6.5,6.74,6.8,6.5,10.07,-3.42,M
09/11/2021,6.73,6.78,6.98,6.73,5.18,-0.59,M
08/11/2021,6.77,6.8,6.83,6.72,3.9,0.3,M
05/11/2021,6.75,6.79,6.85,6.72,3.11,0.0,M
04/11/2021,6.75,6.9,6.97,6.61,8.64,-2.17,M
03/11/2021,6.9,6.77,7.0,6.7,5.7,1.62,M
01/11/2021,6.79,6.75,6.86,6.73,5.04,0.15,M
29/10/2021,6.78,6.74,6.81,6.61,3.89,0.0,M
28/10/2021,6.78,6.51,6.82,6.48,8.13,2.26,M
27/10/2021,6.63,6.6,6.75,6.55,7.62,0.76,M
26/10/2021,6.58,6.6,6.64,6.43,8.43,-0.75,M
25/10/2021,6.63,6.43,6.65,6.28,11.41,4.08,M
22/10/2021,6.37,6.34,6.4,5.88,18.79,-0.93,M
21/10/2021,6.43,6.56,6.61,6.19,12.31,-3.16,M
20/10/2021,6.64,6.8,6.84,6.61,6.03,-0.75,M
19/10/2021,6.69,6.98,7.0,6.67,11.35,-4.15,M
18/10/2021,6.98,7.08,7.09,6.96,7.46,-1.69,M
15/10/2021,7.1,7.17,7.19,7.04,34.19,-0.7,M
14/10/2021,7.15,7.07,7.22,7.06,10.97,1.42,M
13/10/2021,7.05,7.07,7.12,7.03,7.99,0.28,M
11/10/2021,7.03,7.2,7.25,7.03,10.31,-1.54,M
08/10/2021,7.14,7.2,7.53,7.12,20.08,0.14,M
07/10/2021,7.13,7.11,7.33,7.03,18.3,2.0,M
06/10/2021,6.99,7.07,7.1,6.88,10.29,-1.74,M
05/10/2021,7.11,7.12,7.21,7.06,12.87,1.34,M
04/10/2021,7.02,7.4,7.43,7.02,11.9,-4.75,M
01/10/2021,7.37,7.18,7.45,7.18,15.46,3.8,M
30/09/2021,7.1,6.9,7.2,6.87,15.96,3.65,M
29/09/2021,6.85,7.05,7.09,6.85,6.41,-1.3,M
28/09/2021,6.94,7.1,7.12,6.94,6.76,-2.94,M
27/09/2021,7.15,7.0,7.19,6.92,6.33,2.14,M
24/09/2021,7.0,7.19,7.23,6.99,4.99,-3.18,M
23/09/2021,7.23,7.38,7.42,7.19,6.3,-1.09,M
22/09/2021,7.31,7.33,7.44,7.26,10.21,0.41,M
21/09/2021,7.28,7.2,7.4,7.11,11.04,2.39,M
20/09/2021,7.11,6.99,7.17,6.88,8.95,-1.8,M
17/09/2021,7.24,7.1,7.24,6.78,15.95,1.69,M
16/09/2021,7.12,7.2,7.29,7.0,6.07,-1.66,M
15/09/2021,7.24,7.24,7.38,7.14,7.2,0.7,M
14/09/2021,7.19,7.06,7.38,7.06,9.63,3.45,M
13/09/2021,6.95,6.75,7.0,6.72,8.91,6.92,M
10/09/2021,6.5,6.54,6.69,6.37,5.85,1.4,M
09/09/2021,6.41,6.53,6.62,6.35,5.27,-1.84,M
08/09/2021,6.53,6.93,6.93,6.42,10.16,-5.77,M
06/09/2021,6.93,6.94,7.02,6.88,1.63,-1.0,M
03/09/2021,7.0,6.84,7.0,6.73,3.7,2.94,M
02/09/2021,6.8,7.07,7.09,6.77,3.64,-3.82,M
01/09/2021,7.07,7.1,7.15,7.03,6.46,-0.42,M
31/08/2021,7.1,7.15,7.15,7.01,3.69,-0.14,M
30/08/2021,7.11,7.25,7.28,7.09,4.94,-1.11,M
27/08/2021,7.19,7.15,7.24,7.12,5.79,1.27,M
26/08/2021,7.1,7.34,7.38,7.1,7.86,-3.27,M
25/08/2021,7.34,7.32,7.38,7.26,5.16,1.24,M
24/08/2021,7.25,7.24,7.4,7.18,6.01,1.12,M
23/08/2021,7.17,7.04,7.2,7.01,6.09,2.72,M
20/08/2021,6.98,6.89,7.05,6.83,3.08,0.72,M
19/08/2021,6.93,6.7,6.93,6.42,5.34,1.76,M
18/08/2021,6.81,6.83,7.0,6.72,8.79,-0.15,M
17/08/2021,6.82,6.93,6.99,6.76,17.66,-2.85,M
16/08/2021,7.02,6.97,7.12,6.78,13.37,0.14,M
13/08/2021,7.01,6.98,7.04,6.86,21.04,0.72,M
12/08/2021,6.96,6.97,6.98,6.75,16.95,1.31,M
11/08/2021,6.87,7.13,7.14,6.8,31.76,-3.24,M
10/08/2021,7.1,7.12,7.16,7.05,9.86,0.42,M
09/08/2021,7.07,7.18,7.31,7.07,14.34,-0.42,M
06/08/2021,7.1,7.25,7.35,7.03,28.56,-1.93,M
