Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,5.88,5.4,5.9,5.39,2.13,2.26,M
23/02/2022,5.75,5.92,6.0,5.74,1.39,-2.38,M
22/02/2022,5.89,5.92,6.09,5.88,1.1,-0.17,M
21/02/2022,5.9,5.91,6.04,5.86,932.8,-0.17,K
18/02/2022,5.91,5.95,6.04,5.91,1.0,0.0,M
17/02/2022,5.91,5.98,6.02,5.84,1.87,-1.66,M
16/02/2022,6.01,6.08,6.13,5.98,907.7,-0.83,K
15/02/2022,6.06,6.04,6.14,6.03,948.9,0.83,K
14/02/2022,6.01,5.96,6.15,5.96,1.59,0.84,M
11/02/2022,5.96,6.15,6.2,5.96,928.9,-2.93,K
10/02/2022,6.14,6.15,6.26,6.11,1.8,0.33,M
09/02/2022,6.12,6.12,6.25,6.12,939.0,0.0,K
08/02/2022,6.12,6.02,6.18,6.02,799.1,1.83,K
07/02/2022,6.01,6.12,6.18,6.01,722.2,-2.44,K
04/02/2022,6.16,6.1,6.2,5.93,1.48,1.15,M
03/02/2022,6.09,6.27,6.35,6.09,1.78,-2.56,M
02/02/2022,6.25,6.49,6.6,6.25,1.34,-3.85,M
01/02/2022,6.5,6.47,6.6,6.32,1.59,1.25,M
31/01/2022,6.42,6.26,6.45,6.26,1.04,2.56,M
28/01/2022,6.26,6.25,6.4,6.14,798.3,-0.48,K
27/01/2022,6.29,6.21,6.33,6.16,954.4,1.94,K
26/01/2022,6.17,6.37,6.48,6.17,1.04,-2.83,M
25/01/2022,6.35,6.07,6.35,6.02,1.12,3.59,M
24/01/2022,6.13,6.06,6.13,5.95,1.05,1.32,M
21/01/2022,6.05,6.23,6.37,6.05,1.28,-2.58,M
20/01/2022,6.21,6.2,6.42,6.2,975.0,0.16,K
19/01/2022,6.2,6.07,6.26,6.07,928.1,2.31,K
18/01/2022,6.06,6.09,6.19,5.99,888.8,-0.98,K
17/01/2022,6.12,6.15,6.2,6.09,538.1,-0.49,K
14/01/2022,6.15,6.23,6.26,6.09,1.06,-1.13,M
13/01/2022,6.22,6.44,6.46,6.21,736.8,-3.72,K
12/01/2022,6.46,6.27,6.55,6.23,1.4,4.87,M
11/01/2022,6.16,6.3,6.32,6.15,976.4,-2.22,K
10/01/2022,6.3,6.16,6.31,6.11,778.1,0.96,K
07/01/2022,6.24,6.09,6.27,6.05,1.44,1.46,M
06/01/2022,6.15,6.31,6.42,6.1,1.48,-2.38,M
05/01/2022,6.3,6.47,6.61,6.3,1.25,-2.63,M
04/01/2022,6.47,6.58,6.66,6.34,1.2,-1.37,M
03/01/2022,6.56,6.94,7.04,6.56,1.02,-4.93,M
30/12/2021,6.9,6.93,7.08,6.9,955.7,-0.29,K
29/12/2021,6.92,7.02,7.06,6.9,293.2,-1.0,K
28/12/2021,6.99,7.02,7.15,6.97,554.3,-0.99,K
27/12/2021,7.06,6.95,7.12,6.85,899.1,3.37,K
23/12/2021,6.83,6.99,7.07,6.76,1.13,-1.87,M
22/12/2021,6.96,7.01,7.2,6.88,970.0,-2.52,K
21/12/2021,7.14,7.06,7.19,6.9,667.9,1.13,K
20/12/2021,7.06,7.0,7.13,6.91,1.28,-2.22,M
17/12/2021,7.22,7.0,7.22,6.89,1.25,2.7,M
16/12/2021,7.03,7.15,7.29,6.99,979.0,-0.71,K
15/12/2021,7.08,7.01,7.15,6.81,1.16,2.61,M
14/12/2021,6.9,6.93,7.04,6.81,1.17,-1.43,M
13/12/2021,7.0,7.07,7.07,6.72,1.57,0.0,M
10/12/2021,7.0,7.46,7.55,6.96,3.77,-5.41,M
09/12/2021,7.4,7.35,7.4,7.22,922.7,0.14,K
08/12/2021,7.39,7.15,7.49,7.11,1.2,3.21,M
07/12/2021,7.16,7.2,7.3,7.04,859.6,0.7,K
06/12/2021,7.11,7.07,7.22,6.99,875.8,0.42,K
03/12/2021,7.08,6.88,7.15,6.87,1.48,2.76,M
02/12/2021,6.89,6.89,6.91,6.57,2.33,1.03,M
01/12/2021,6.82,7.09,7.22,6.8,2.34,-3.12,M
30/11/2021,7.04,6.91,7.06,6.7,1.61,1.15,M
29/11/2021,6.96,7.07,7.07,6.82,1.31,0.29,M
26/11/2021,6.94,6.84,7.01,6.75,1.54,-3.34,M
25/11/2021,7.18,6.77,7.18,6.77,1.34,5.74,M
24/11/2021,6.79,6.6,6.85,6.45,1.2,2.11,M
23/11/2021,6.65,6.49,6.66,6.45,1.08,2.62,M
22/11/2021,6.48,6.72,6.76,6.45,1.12,-3.71,M
19/11/2021,6.73,6.47,6.8,6.44,1.12,4.02,M
18/11/2021,6.47,6.49,6.57,6.36,1.02,0.15,M
17/11/2021,6.46,6.61,6.67,6.33,929.9,-1.22,K
16/11/2021,6.54,6.9,6.9,6.3,2.32,-1.36,M
12/11/2021,6.63,6.71,6.81,6.58,1.36,-1.34,M
11/11/2021,6.72,6.57,6.92,6.48,1.73,2.75,M
10/11/2021,6.54,6.39,6.57,6.33,1.53,2.19,M
09/11/2021,6.4,6.37,6.51,6.31,1.35,-0.31,M
08/11/2021,6.42,6.58,6.63,6.4,1.56,-3.02,M
05/11/2021,6.62,6.41,6.74,6.37,1.43,4.25,M
04/11/2021,6.35,6.58,6.72,6.25,2.28,-4.65,M
03/11/2021,6.66,6.45,6.8,6.38,3.23,2.62,M
01/11/2021,6.49,6.51,6.6,6.31,2.24,1.41,M
29/10/2021,6.4,6.61,6.82,6.24,4.4,-0.93,M
28/10/2021,6.46,6.49,6.77,6.34,2.36,-1.22,M
27/10/2021,6.54,6.94,6.94,6.44,3.18,-4.8,M
26/10/2021,6.87,7.21,7.41,6.84,2.0,-5.89,M
25/10/2021,7.3,7.19,7.5,7.02,3.09,3.11,M
22/10/2021,7.08,6.77,7.17,6.61,3.24,3.51,M
21/10/2021,6.84,6.94,7.2,6.76,3.39,-3.39,M
20/10/2021,7.08,7.24,7.29,7.01,1.26,-1.39,M
19/10/2021,7.18,7.6,7.6,7.16,2.1,-4.77,M
18/10/2021,7.54,7.31,7.65,7.3,1.67,3.15,M
15/10/2021,7.31,7.24,7.47,7.24,944.2,0.97,K
14/10/2021,7.24,7.34,7.47,7.2,1.37,-1.09,M
13/10/2021,7.32,7.22,7.58,7.22,1.92,1.81,M
11/10/2021,7.19,7.12,7.51,7.08,3.93,0.98,M
08/10/2021,7.12,6.57,7.3,6.57,2.9,9.2,M
07/10/2021,6.52,6.43,6.66,6.4,2.96,2.68,M
06/10/2021,6.35,6.05,6.38,5.93,2.22,3.76,M
05/10/2021,6.12,6.07,6.22,6.02,2.05,2.0,M
04/10/2021,6.0,6.31,6.35,6.0,1.49,-5.06,M
01/10/2021,6.32,6.3,6.45,6.18,2.6,1.28,M
30/09/2021,6.24,6.25,6.39,6.18,1.83,0.65,M
29/09/2021,6.2,6.32,6.41,6.2,1.05,-1.43,M
28/09/2021,6.29,6.52,6.56,6.2,1.59,-2.33,M
27/09/2021,6.44,6.86,6.86,6.36,2.67,-1.53,M
24/09/2021,6.54,6.59,6.65,6.46,1.34,-1.06,M
23/09/2021,6.61,6.31,6.73,6.26,1.66,5.76,M
22/09/2021,6.25,6.31,6.39,6.25,1.23,0.32,M
21/09/2021,6.23,6.18,6.32,6.13,1.76,1.96,M
20/09/2021,6.11,6.1,6.22,5.97,2.16,-3.78,M
17/09/2021,6.35,6.45,6.45,6.17,2.02,-1.7,M
16/09/2021,6.46,6.6,6.63,6.41,1.76,-1.37,M
15/09/2021,6.55,6.78,6.8,6.48,1.68,-3.53,M
14/09/2021,6.79,6.82,6.89,6.76,857.2,-0.59,K
13/09/2021,6.83,6.81,6.84,6.65,1.72,2.09,M
10/09/2021,6.69,6.87,6.98,6.68,1.29,-0.59,M
09/09/2021,6.73,6.61,6.9,6.61,1.78,2.28,M
08/09/2021,6.58,6.92,6.92,6.4,2.56,-5.6,M
06/09/2021,6.97,6.89,6.99,6.71,843.5,1.6,K
03/09/2021,6.86,6.92,7.01,6.7,2.3,0.29,M
02/09/2021,6.84,7.03,7.1,6.82,1.5,-2.7,M
01/09/2021,7.03,7.01,7.14,6.89,1.74,1.3,M
31/08/2021,6.94,7.29,7.3,6.93,1.76,-4.8,M
30/08/2021,7.29,7.45,7.56,7.26,897.9,-2.41,K
27/08/2021,7.47,7.42,7.47,7.22,1.45,1.63,M
26/08/2021,7.35,7.66,7.74,7.31,1.41,-4.3,M
25/08/2021,7.68,7.66,7.82,7.41,2.52,0.39,M
24/08/2021,7.65,7.47,7.8,7.4,1.55,3.24,M
23/08/2021,7.41,7.36,7.61,7.32,1.74,1.09,M
20/08/2021,7.33,7.25,7.44,7.21,1.05,0.41,M
19/08/2021,7.3,7.1,7.52,7.0,1.73,1.39,M
18/08/2021,7.2,7.1,7.47,7.05,1.79,-0.69,M
17/08/2021,7.25,7.3,7.45,7.04,1.94,-0.68,M
16/08/2021,7.3,7.64,7.67,7.18,2.64,-5.32,M
13/08/2021,7.71,7.93,7.98,7.67,1.42,-2.77,M
12/08/2021,7.93,8.1,8.12,7.93,1.01,-2.1,M
11/08/2021,8.1,8.26,8.31,8.1,668.4,-2.99,K
10/08/2021,8.35,8.27,8.53,8.24,1.24,1.09,M
09/08/2021,8.26,8.02,8.37,7.93,1.4,2.86,M
06/08/2021,8.03,8.04,8.18,8.01,1.04,-1.23,M
05/08/2021,8.13,8.2,8.31,8.02,1.25,-0.73,M
04/08/2021,8.19,8.27,8.28,8.06,1.28,-0.61,M
03/08/2021,8.24,8.41,8.45,8.1,2.28,-2.83,M
02/08/2021,8.48,8.28,8.64,8.28,3.82,4.82,M
30/07/2021,8.09,8.2,8.24,7.96,1.76,-1.34,M
29/07/2021,8.2,7.88,8.32,7.88,1.89,4.06,M
