Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,51.25,55.0,55.77,49.56,15.45,-7.66,M
23/02/2022,55.5,51.13,55.5,50.09,4.98,8.82,M
22/02/2022,51.0,49.7,51.4,48.99,3.28,4.04,M
21/02/2022,49.02,50.37,50.37,48.59,1.64,-2.02,M
18/02/2022,50.03,50.3,50.37,49.69,3.17,-0.26,M
17/02/2022,50.16,50.4,50.58,49.57,2.65,-0.75,M
16/02/2022,50.54,49.77,50.87,49.3,2.7,1.0,M
15/02/2022,50.04,48.52,50.21,47.95,4.6,4.8,M
14/02/2022,47.75,47.75,48.25,47.25,2.42,0.29,M
11/02/2022,47.61,47.98,48.56,47.15,3.52,0.06,M
10/02/2022,47.58,47.61,48.11,46.71,3.63,0.17,M
09/02/2022,47.5,46.96,47.6,46.3,3.5,3.62,M
08/02/2022,45.84,45.9,46.49,45.0,3.0,-0.11,M
07/02/2022,45.89,45.82,47.5,45.34,3.62,0.37,M
04/02/2022,45.72,45.75,46.11,44.4,3.92,-0.89,M
03/02/2022,46.13,45.58,46.85,45.35,3.44,1.18,M
02/02/2022,45.59,45.26,47.27,45.26,3.04,0.89,M
01/02/2022,45.19,44.7,45.65,43.55,3.65,1.96,M
31/01/2022,44.32,43.8,44.99,43.69,2.36,0.75,M
28/01/2022,43.99,42.84,44.85,42.81,2.13,-0.05,M
27/01/2022,44.01,44.32,44.46,42.75,3.13,0.39,M
26/01/2022,43.84,43.0,44.57,42.69,4.78,3.74,M
25/01/2022,42.26,39.96,42.73,39.83,3.33,4.06,M
24/01/2022,40.61,42.26,42.28,40.14,2.66,-2.85,M
21/01/2022,41.8,41.04,42.16,40.45,3.04,1.33,M
20/01/2022,41.25,40.39,42.6,40.18,3.34,2.77,M
19/01/2022,40.14,39.39,40.83,38.92,2.96,3.19,M
18/01/2022,38.9,39.45,39.47,37.66,3.37,-1.74,M
17/01/2022,39.59,40.48,40.71,39.33,2.03,-3.44,M
14/01/2022,41.0,41.54,41.61,39.51,3.83,-0.97,M
13/01/2022,41.4,41.2,43.45,39.24,7.63,0.49,M
12/01/2022,41.2,40.83,41.5,40.23,3.07,0.96,M
11/01/2022,40.81,39.3,41.08,39.25,3.01,3.39,M
10/01/2022,39.47,41.0,41.31,39.04,2.61,-4.11,M
07/01/2022,41.16,40.8,41.62,40.1,13.98,1.81,M
06/01/2022,40.43,40.06,41.08,39.16,9.11,1.08,M
05/01/2022,40.0,42.9,42.94,40.0,3.68,-6.76,M
04/01/2022,42.9,43.98,44.1,42.5,1.91,-2.46,M
03/01/2022,43.98,44.76,45.44,43.24,3.0,-1.9,M
30/12/2021,44.83,45.26,45.8,44.5,9.26,1.08,M
29/12/2021,44.35,46.0,46.23,44.22,1.94,-3.25,M
28/12/2021,45.84,44.8,45.9,44.57,2.75,2.5,M
27/12/2021,44.72,43.08,44.94,43.0,2.75,4.83,M
23/12/2021,42.66,42.75,43.12,42.3,1.99,-0.21,M
22/12/2021,42.75,44.96,45.47,42.65,3.44,-5.67,M
21/12/2021,45.32,45.2,45.69,44.76,1.13,0.27,M
20/12/2021,45.2,45.58,46.11,44.97,2.09,-1.68,M
17/12/2021,45.97,45.9,47.08,44.3,6.51,0.0,M
16/12/2021,45.97,47.21,48.05,45.62,3.11,-2.02,M
15/12/2021,46.92,47.41,47.77,46.32,2.99,-0.87,M
14/12/2021,47.33,49.35,49.91,47.15,1.8,-3.31,M
13/12/2021,48.95,50.27,51.29,48.95,2.59,-2.53,M
10/12/2021,50.22,48.8,50.22,48.79,1.6,3.06,M
09/12/2021,48.73,48.9,49.27,47.85,1.77,-1.67,M
08/12/2021,49.56,49.62,49.85,48.75,1.53,0.73,M
07/12/2021,49.2,48.03,49.2,47.5,2.46,3.08,M
06/12/2021,47.73,50.11,50.12,47.25,3.55,-3.22,M
03/12/2021,49.32,48.25,50.49,48.25,2.23,1.4,M
02/12/2021,48.64,49.28,49.28,47.23,2.59,1.31,M
01/12/2021,48.01,50.53,50.99,47.56,3.17,-4.31,M
30/11/2021,50.17,51.25,51.64,48.75,4.4,-2.11,M
29/11/2021,51.25,51.2,52.72,50.87,1.77,0.91,M
26/11/2021,50.79,51.25,52.98,50.79,2.17,-2.33,M
25/11/2021,52.0,52.24,52.57,51.35,2.01,-0.29,M
24/11/2021,52.15,53.35,53.71,51.97,2.47,-3.12,M
23/11/2021,53.83,54.27,54.27,52.17,1.77,-0.35,M
22/11/2021,54.02,55.76,56.2,54.02,1.67,-3.02,M
19/11/2021,55.7,54.44,57.09,54.44,2.14,1.74,M
18/11/2021,54.75,54.52,56.57,54.52,1.87,0.42,M
17/11/2021,54.52,55.5,55.94,54.24,1.96,-0.33,M
16/11/2021,54.7,57.12,57.38,54.21,2.29,-3.78,M
12/11/2021,56.85,57.86,58.91,56.63,1.53,-1.97,M
11/11/2021,57.99,58.18,59.21,56.94,2.07,0.78,M
10/11/2021,57.54,58.02,58.96,57.54,1.71,-0.67,M
09/11/2021,57.93,58.12,59.61,57.7,1.57,-0.12,M
08/11/2021,58.0,57.24,58.72,56.52,1.34,0.68,M
05/11/2021,57.61,57.34,59.3,57.33,1.76,0.7,M
04/11/2021,57.21,61.62,61.7,57.2,5.67,-8.17,M
03/11/2021,62.3,58.55,62.7,58.41,2.95,5.61,M
01/11/2021,58.99,58.47,59.52,58.25,3.14,-0.02,M
29/10/2021,59.0,59.81,60.5,58.87,2.82,-0.84,M
28/10/2021,59.5,60.33,61.22,58.95,2.44,-1.83,M
27/10/2021,60.61,60.6,61.81,60.16,1.5,0.43,M
26/10/2021,60.35,62.51,62.81,59.7,3.44,-4.21,M
25/10/2021,63.0,60.96,63.25,60.34,2.99,3.48,M
22/10/2021,60.88,60.06,61.43,58.0,4.64,-0.6,M
21/10/2021,61.25,62.87,62.88,60.02,4.56,-3.77,M
20/10/2021,63.65,63.6,64.26,63.05,1.67,0.09,M
19/10/2021,63.59,65.34,65.34,62.84,2.32,-2.69,M
18/10/2021,65.35,65.02,66.01,64.66,1.65,-0.52,M
15/10/2021,65.69,65.9,66.91,65.1,2.23,-0.12,M
14/10/2021,65.77,66.09,66.25,64.99,1.84,-0.42,M
13/10/2021,66.05,64.81,66.49,64.72,3.43,2.06,M
11/10/2021,64.72,65.93,66.5,64.72,1.79,-2.65,M
08/10/2021,66.48,65.99,67.69,65.58,2.02,1.48,M
07/10/2021,65.51,66.28,67.03,65.51,1.71,-2.27,M
06/10/2021,67.03,66.0,67.3,65.0,2.79,0.92,M
05/10/2021,66.42,67.1,67.45,66.12,1.95,-1.01,M
04/10/2021,67.1,67.45,67.89,66.41,3.29,-2.2,M
01/10/2021,68.61,67.91,68.83,67.34,1.65,1.03,M
30/09/2021,67.91,67.5,68.25,66.57,3.1,1.54,M
29/09/2021,66.88,66.62,67.67,66.16,1.81,0.28,M
28/09/2021,66.69,66.97,67.39,65.85,2.25,-1.59,M
27/09/2021,67.77,69.38,69.38,66.82,2.84,-1.85,M
24/09/2021,69.05,68.54,69.39,68.24,2.11,-0.72,M
23/09/2021,69.55,69.0,69.55,67.76,2.34,1.03,M
22/09/2021,68.84,69.1,69.3,67.81,3.69,-0.69,M
21/09/2021,69.32,67.58,70.25,67.4,2.21,2.39,M
20/09/2021,67.7,68.75,68.84,65.6,4.05,-1.94,M
17/09/2021,69.04,69.84,70.1,68.24,15.34,-1.27,M
16/09/2021,69.93,69.66,71.19,68.79,2.63,0.39,M
15/09/2021,69.66,70.65,70.65,68.95,2.44,-0.91,M
14/09/2021,70.3,70.26,71.34,69.97,3.26,-0.28,M
