Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,20.3,21.0,21.35,20.24,1.91,-1.93,M
23/02/2022,20.7,20.38,21.2,20.19,1.99,1.72,M
22/02/2022,20.35,21.37,21.8,20.3,972.4,-3.74,K
21/02/2022,21.14,21.0,21.65,20.93,1.22,3.22,M
18/02/2022,20.48,21.17,21.54,20.48,684.6,-2.98,K
17/02/2022,21.11,21.7,22.0,21.11,880.8,-2.0,K
16/02/2022,21.54,21.56,22.24,21.54,568.7,-0.05,K
15/02/2022,21.55,21.8,22.01,21.13,583.6,-1.33,K
14/02/2022,21.84,21.79,22.21,21.28,1.16,0.41,M
11/02/2022,21.75,21.39,22.36,21.0,1.6,2.11,M
10/02/2022,21.3,21.02,21.88,21.0,754.2,1.38,K
09/02/2022,21.01,20.06,21.01,19.96,451.8,4.58,K
08/02/2022,20.09,20.5,20.79,19.8,857.4,-2.19,K
07/02/2022,20.54,21.24,21.33,20.54,726.7,-3.84,K
04/02/2022,21.36,20.75,21.36,20.14,741.4,4.45,K
03/02/2022,20.45,20.9,20.9,20.02,440.9,-2.29,K
02/02/2022,20.93,20.52,21.02,20.22,527.4,0.19,K
01/02/2022,20.89,20.5,20.89,19.71,817.6,2.4,K
31/01/2022,20.4,20.01,20.56,19.79,694.9,1.64,K
28/01/2022,20.07,20.17,20.35,19.51,819.8,-1.13,K
27/01/2022,20.3,20.61,20.95,19.96,980.9,-1.36,K
26/01/2022,20.58,20.64,21.12,20.18,879.1,0.88,K
25/01/2022,20.4,19.52,20.62,19.51,787.0,3.82,K
24/01/2022,19.65,19.96,20.25,19.2,747.7,-2.63,K
21/01/2022,20.18,20.1,20.29,19.28,622.8,0.0,K
20/01/2022,20.18,20.72,20.72,20.1,544.8,-3.17,K
19/01/2022,20.84,19.5,20.84,19.35,883.1,8.49,K
18/01/2022,19.21,19.1,19.5,18.88,441.4,0.68,K
17/01/2022,19.08,19.09,19.21,18.6,219.6,-0.1,K
14/01/2022,19.1,18.9,19.1,18.31,715.6,2.36,K
13/01/2022,18.66,18.51,18.84,18.1,512.2,0.76,K
12/01/2022,18.52,17.6,18.77,17.59,749.6,5.29,K
11/01/2022,17.59,17.07,17.66,16.74,854.0,3.41,K
10/01/2022,17.01,18.02,18.02,16.31,884.1,-1.22,K
07/01/2022,17.22,16.44,17.49,16.24,650.8,5.26,K
06/01/2022,16.36,16.75,17.09,16.04,568.0,-0.24,K
05/01/2022,16.4,17.83,18.12,16.3,1.16,-8.02,M
04/01/2022,17.83,17.45,18.4,17.31,1.24,1.48,M
03/01/2022,17.57,18.7,18.8,17.57,1.11,-6.04,M
30/12/2021,18.7,17.57,18.7,17.38,3.37,7.53,M
29/12/2021,17.39,17.94,18.08,17.39,860.7,-3.07,K
28/12/2021,17.94,17.61,17.94,17.42,499.3,3.4,K
27/12/2021,17.35,16.32,17.5,16.26,323.6,6.31,K
23/12/2021,16.32,16.5,16.85,16.24,1.65,-0.31,M
22/12/2021,16.37,16.36,16.49,15.93,467.3,1.99,K
21/12/2021,16.05,16.0,16.32,15.56,350.7,2.43,K
20/12/2021,15.67,15.62,15.88,15.37,899.4,-1.69,K
17/12/2021,15.94,15.53,16.59,15.45,2.4,-1.12,M
16/12/2021,16.12,15.81,16.23,15.61,1.36,2.22,M
15/12/2021,15.77,16.0,16.0,15.12,622.6,-1.44,K
14/12/2021,16.0,15.54,16.29,15.53,892.3,1.52,K
13/12/2021,15.76,15.31,15.87,15.3,559.7,1.61,K
10/12/2021,15.51,14.52,15.68,14.52,763.2,5.44,K
09/12/2021,14.71,14.7,14.93,14.21,377.3,-0.61,K
08/12/2021,14.8,14.5,14.94,14.27,377.3,1.51,K
07/12/2021,14.58,14.92,15.24,14.58,445.3,-0.55,K
06/12/2021,14.66,14.34,14.7,13.98,846.2,4.86,K
03/12/2021,13.98,14.32,14.87,13.72,485.2,-0.21,K
02/12/2021,14.01,13.74,14.31,13.44,577.7,2.26,K
01/12/2021,13.7,13.99,14.54,13.41,571.3,-0.51,K
30/11/2021,13.77,14.46,14.46,13.22,1.08,-6.13,M
29/11/2021,14.67,14.52,14.76,14.26,400.4,2.3,K
26/11/2021,14.34,13.99,14.34,13.7,737.0,-3.95,K
25/11/2021,14.93,14.59,15.09,14.3,290.1,3.54,K
24/11/2021,14.42,15.39,15.39,14.42,511.9,-4.44,K
23/11/2021,15.09,14.4,15.09,13.95,492.5,5.08,K
22/11/2021,14.36,13.64,14.36,13.57,616.6,5.9,K
19/11/2021,13.56,13.95,13.97,13.07,855.5,-3.14,K
18/11/2021,14.0,14.59,14.66,13.83,552.4,-3.78,K
17/11/2021,14.55,15.27,15.33,14.3,383.5,-2.87,K
16/11/2021,14.98,15.75,16.04,14.98,328.9,-4.22,K
12/11/2021,15.64,16.61,16.74,15.38,646.3,-6.52,K
11/11/2021,16.73,16.1,16.94,15.6,871.7,6.22,K
10/11/2021,15.75,15.48,15.8,15.2,416.5,1.94,K
09/11/2021,15.45,15.58,15.65,15.18,412.0,0.59,K
08/11/2021,15.36,15.1,15.98,14.96,546.8,1.05,K
05/11/2021,15.2,14.1,15.33,14.1,1.01,7.27,M
04/11/2021,14.17,14.19,14.34,13.84,407.7,-0.14,K
03/11/2021,14.19,13.95,14.19,13.42,469.7,1.14,K
01/11/2021,14.03,13.7,14.32,13.55,420.5,3.47,K
29/10/2021,13.56,14.39,14.48,13.37,2.12,-4.84,M
28/10/2021,14.25,15.09,15.1,14.25,598.5,-4.87,K
27/10/2021,14.98,15.8,15.9,14.98,928.9,-5.19,K
26/10/2021,15.8,16.0,16.31,15.46,504.5,-2.29,K
25/10/2021,16.17,15.24,16.54,14.96,912.6,7.16,K
22/10/2021,15.09,15.55,15.55,14.05,2.8,-4.19,M
21/10/2021,15.75,16.2,16.26,14.9,2.11,-4.89,M
20/10/2021,16.56,16.47,16.66,16.14,4.04,1.53,M
19/10/2021,16.31,17.32,17.32,16.31,2.22,-4.95,M
18/10/2021,17.16,17.28,17.88,16.94,1.6,-0.92,M
15/10/2021,17.32,17.75,17.93,17.32,719.6,-2.15,K
14/10/2021,17.7,18.25,18.41,17.67,1.09,-1.39,M
13/10/2021,17.95,19.0,19.36,17.71,1.14,-5.28,M
11/10/2021,18.95,18.7,19.35,18.35,917.6,3.89,K
08/10/2021,18.24,18.36,18.82,18.21,605.1,-0.33,K
07/10/2021,18.3,18.9,19.39,18.17,1.0,-3.28,M
06/10/2021,18.92,19.35,19.41,18.77,598.8,-4.2,K
05/10/2021,19.75,19.67,20.09,19.06,1.22,0.61,M
04/10/2021,19.63,20.48,20.48,19.34,979.1,-3.82,K
01/10/2021,20.41,20.35,20.6,19.7,998.0,1.54,K
30/09/2021,20.1,20.5,20.72,19.52,1.2,-0.1,M
29/09/2021,20.12,20.27,20.75,19.78,840.1,-0.74,K
28/09/2021,20.27,20.56,21.62,19.58,2.09,-1.84,M
27/09/2021,20.65,19.31,20.98,19.3,1.83,6.99,M
24/09/2021,19.3,18.08,19.3,17.45,918.7,5.18,K
23/09/2021,18.35,17.71,18.42,17.1,744.2,3.67,K
22/09/2021,17.7,16.21,17.72,16.2,722.1,10.63,K
21/09/2021,16.0,15.79,16.27,15.5,639.9,2.04,K
20/09/2021,15.68,17.0,17.0,15.34,1.01,-9.26,M
17/09/2021,17.28,17.39,17.42,16.86,781.5,-0.97,K
16/09/2021,17.45,17.38,17.45,16.6,1.1,0.4,M
15/09/2021,17.38,16.96,17.49,16.66,635.4,3.76,K
14/09/2021,16.75,16.5,16.88,16.4,495.8,1.52,K
13/09/2021,16.5,15.75,16.77,15.75,586.4,6.45,K
10/09/2021,15.5,16.62,16.76,15.5,417.1,-3.43,K
09/09/2021,16.05,15.76,16.3,15.54,432.5,1.9,K
08/09/2021,15.75,16.6,16.6,15.7,604.7,-3.96,K
06/09/2021,16.4,16.12,16.51,15.96,396.6,-0.91,K
03/09/2021,16.55,16.5,16.75,16.34,260.5,0.61,K
02/09/2021,16.45,16.86,17.4,16.31,410.0,-2.37,K
01/09/2021,16.85,17.36,17.58,16.85,171.9,-4.37,K
31/08/2021,17.62,17.79,17.93,16.9,414.9,-1.01,K
30/08/2021,17.8,17.6,17.88,17.41,458.7,1.02,K
