Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,58.34,57.05,58.77,55.82,5.39,-0.03,M
23/02/2022,58.36,58.8,59.43,57.6,11.35,-5.23,M
22/02/2022,61.58,58.74,62.06,58.65,13.73,6.08,M
21/02/2022,58.05,58.39,59.49,57.71,2.84,-0.67,M
18/02/2022,58.44,59.74,59.98,58.14,3.69,-1.65,M
17/02/2022,59.42,59.96,60.28,58.28,4.41,-1.05,M
16/02/2022,60.05,60.65,61.4,58.75,5.33,-0.89,M
15/02/2022,60.59,59.5,61.05,58.91,6.2,3.36,M
14/02/2022,58.62,57.76,59.59,57.28,6.7,2.21,M
11/02/2022,57.35,57.0,58.41,56.56,6.71,0.81,M
10/02/2022,56.89,56.91,57.51,56.26,4.2,0.26,M
09/02/2022,56.74,56.65,58.04,56.44,3.18,1.12,M
08/02/2022,56.11,55.0,56.53,54.46,3.73,0.74,M
07/02/2022,55.7,56.58,57.81,55.4,5.59,-2.66,M
04/02/2022,57.22,57.51,57.75,55.27,5.84,-0.49,M
03/02/2022,57.5,58.85,59.75,57.12,6.18,-1.64,M
02/02/2022,58.46,58.71,59.5,57.23,6.03,-0.36,M
01/02/2022,58.67,58.66,59.39,57.8,4.98,0.12,M
31/01/2022,58.6,57.35,59.1,57.26,6.64,2.02,M
28/01/2022,57.44,57.22,58.06,56.0,4.71,-0.57,M
27/01/2022,57.77,58.7,59.18,57.67,6.94,0.03,M
26/01/2022,57.75,57.0,59.5,57.0,15.39,3.59,M
25/01/2022,55.75,53.43,56.43,53.21,8.76,3.97,M
24/01/2022,53.62,54.82,54.82,53.11,5.77,-2.33,M
21/01/2022,54.9,53.8,55.04,52.82,8.87,1.42,M
20/01/2022,54.13,50.18,55.59,49.94,20.77,8.59,M
19/01/2022,49.85,50.07,51.34,49.54,5.46,0.28,M
18/01/2022,49.71,50.12,50.17,48.27,5.59,-1.53,M
17/01/2022,50.48,50.71,51.06,49.8,4.25,-1.54,M
14/01/2022,51.27,49.25,51.37,49.02,7.31,3.68,M
13/01/2022,49.45,49.28,49.73,48.27,4.42,-0.34,M
12/01/2022,49.62,49.18,49.83,48.72,8.9,0.85,M
11/01/2022,49.2,48.09,49.78,48.0,6.85,1.44,M
10/01/2022,48.5,48.7,48.94,47.18,4.72,-1.96,M
07/01/2022,49.47,49.8,50.73,48.98,5.08,-0.84,M
06/01/2022,49.89,49.78,50.58,48.95,6.79,0.38,M
05/01/2022,49.7,50.87,51.85,49.22,10.14,-2.89,M
04/01/2022,51.18,50.84,51.42,50.04,6.31,0.57,M
03/01/2022,50.89,52.97,53.46,50.48,7.25,-3.98,M
30/12/2021,53.0,52.24,53.13,51.61,14.22,1.73,M
29/12/2021,52.1,53.69,53.69,51.61,11.01,-2.71,M
28/12/2021,53.55,54.98,55.33,53.09,5.96,-2.72,M
27/12/2021,55.05,54.82,55.67,54.55,3.02,0.55,M
23/12/2021,54.75,55.86,55.86,53.41,4.47,-1.6,M
22/12/2021,55.64,55.88,56.28,55.02,2.81,-0.47,M
21/12/2021,55.9,55.94,56.03,54.33,5.38,-0.18,M
20/12/2021,56.0,55.75,56.39,54.0,9.29,-1.34,M
17/12/2021,56.76,58.86,59.26,55.7,20.15,-4.97,M
16/12/2021,59.73,59.88,61.26,58.18,11.67,0.74,M
15/12/2021,59.29,57.75,61.18,57.01,23.85,3.13,M
14/12/2021,57.49,58.19,58.48,57.16,5.1,0.45,M
13/12/2021,57.23,57.09,58.7,55.98,7.32,0.93,M
10/12/2021,56.7,56.2,58.29,55.76,7.78,2.64,M
09/12/2021,55.24,55.65,56.26,54.31,8.43,-1.3,M
08/12/2021,55.97,53.94,56.05,53.06,7.37,3.86,M
07/12/2021,53.89,55.49,55.59,53.01,6.66,-1.61,M
06/12/2021,54.77,55.91,56.27,54.34,7.63,-0.16,M
03/12/2021,54.86,54.01,56.98,54.01,10.21,2.12,M
02/12/2021,53.72,51.71,53.72,51.26,11.1,6.57,M
01/12/2021,50.41,51.51,52.26,50.18,9.11,-1.37,M
30/11/2021,51.11,51.89,52.05,49.67,9.26,-2.18,M
29/11/2021,52.25,53.24,53.25,51.93,6.49,-0.21,M
26/11/2021,52.36,52.9,53.12,51.38,5.06,-3.23,M
25/11/2021,54.11,53.31,54.5,53.02,4.12,2.35,M
24/11/2021,52.87,52.97,53.9,52.02,5.12,-1.16,M
23/11/2021,53.49,52.95,53.49,51.71,5.31,1.35,M
22/11/2021,52.78,53.98,54.85,52.03,5.8,-1.93,M
19/11/2021,53.82,52.76,54.44,52.39,7.03,2.28,M
18/11/2021,52.62,51.88,53.53,51.41,6.15,2.15,M
17/11/2021,51.51,51.57,52.12,50.25,5.5,1.22,M
16/11/2021,50.89,51.99,52.45,50.52,5.09,-1.45,M
12/11/2021,51.64,53.06,53.84,51.32,5.31,-2.79,M
11/11/2021,53.12,51.09,55.17,50.93,12.93,5.19,M
10/11/2021,50.5,49.52,51.56,48.55,12.08,1.81,M
09/11/2021,49.6,48.79,50.38,48.53,6.42,2.29,M
08/11/2021,48.49,49.71,49.74,48.19,5.78,-3.19,M
05/11/2021,50.09,48.8,50.58,48.63,7.82,3.79,M
04/11/2021,48.26,48.55,49.79,47.57,6.58,-0.08,M
03/11/2021,48.3,45.48,48.96,45.38,11.84,5.97,M
01/11/2021,45.58,45.79,46.31,45.21,4.74,0.62,M
29/10/2021,45.3,46.19,46.41,44.9,8.77,-1.41,M
28/10/2021,45.95,46.27,47.55,45.74,7.49,-0.88,M
27/10/2021,46.36,45.75,47.0,45.3,9.53,1.89,M
26/10/2021,45.5,47.96,48.3,45.05,10.39,-6.17,M
25/10/2021,48.49,48.13,49.42,47.75,4.5,1.34,M
22/10/2021,47.85,48.61,48.99,46.44,10.76,-3.16,M
21/10/2021,49.41,50.48,51.25,48.93,8.96,-4.58,M
20/10/2021,51.78,54.03,54.03,51.7,9.04,-3.34,M
19/10/2021,53.57,55.1,55.24,52.7,6.66,-4.76,M
18/10/2021,56.25,55.82,56.78,54.97,4.66,-0.67,M
15/10/2021,56.63,55.68,57.07,55.41,5.56,1.93,M
14/10/2021,55.56,55.4,56.1,54.91,3.1,0.04,M
13/10/2021,55.54,54.89,55.85,54.57,6.41,1.61,M
11/10/2021,54.66,55.04,56.29,54.15,5.73,-0.71,M
08/10/2021,55.05,53.39,55.55,53.15,8.82,4.28,M
07/10/2021,52.79,53.19,54.28,52.79,6.33,-1.62,M
06/10/2021,53.66,53.12,54.02,51.93,7.37,0.39,M
05/10/2021,53.45,52.92,54.09,52.41,4.52,0.66,M
04/10/2021,53.1,55.12,55.2,52.3,4.75,-4.84,M
01/10/2021,55.8,54.57,55.92,54.2,4.11,2.44,M
30/09/2021,54.47,54.5,55.23,53.7,9.92,-0.51,M
29/09/2021,54.75,55.89,55.89,53.9,4.45,-1.42,M
28/09/2021,55.54,56.03,56.17,54.16,7.22,-1.89,M
27/09/2021,56.61,56.53,57.48,55.66,3.91,-0.42,M
24/09/2021,56.85,57.08,57.31,55.45,6.23,-2.15,M
23/09/2021,58.1,57.9,58.37,57.33,2.92,0.66,M
22/09/2021,57.72,57.49,58.25,56.31,3.64,1.1,M
21/09/2021,57.09,55.85,57.69,55.13,6.09,2.98,M
20/09/2021,55.44,56.2,56.56,53.95,5.19,-2.63,M
17/09/2021,56.94,57.0,57.59,55.65,7.43,-0.51,M
16/09/2021,57.23,56.96,57.93,56.41,3.21,-0.3,M
15/09/2021,57.4,57.95,58.1,56.14,4.83,-1.03,M
14/09/2021,58.0,58.82,59.28,57.97,3.07,-1.69,M
13/09/2021,59.0,58.45,60.39,57.88,6.03,3.02,M
10/09/2021,57.27,60.0,60.7,56.13,9.75,-4.55,M
09/09/2021,60.0,59.8,60.18,56.34,12.53,0.2,M
08/09/2021,59.88,61.49,62.8,58.4,24.01,8.03,M
06/09/2021,55.43,54.38,55.76,54.06,2.19,1.17,M
03/09/2021,54.79,54.89,54.89,53.61,5.29,1.05,M
02/09/2021,54.22,54.94,54.94,53.3,5.66,-1.36,M
01/09/2021,54.97,56.51,56.51,54.75,6.79,-0.88,M
31/08/2021,55.46,56.79,56.89,54.84,7.92,-2.27,M
30/08/2021,56.75,57.73,57.9,56.48,2.76,-2.66,M
27/08/2021,58.3,56.42,58.48,56.11,6.82,4.18,M
26/08/2021,55.96,57.48,57.55,55.83,4.6,-2.73,M
25/08/2021,57.53,57.05,57.53,55.76,4.06,0.84,M
24/08/2021,57.05,57.22,57.54,56.39,5.32,1.1,M
23/08/2021,56.43,59.22,59.22,56.14,7.22,-3.92,M
20/08/2021,58.73,57.0,59.35,56.29,8.06,1.01,M
19/08/2021,58.14,54.91,58.57,54.25,7.83,5.31,M
18/08/2021,55.21,54.52,56.18,53.42,8.87,1.12,M
17/08/2021,54.6,55.93,56.08,52.93,11.13,-2.67,M
16/08/2021,56.1,57.32,57.46,55.52,7.2,-2.35,M
13/08/2021,57.45,58.31,58.31,56.73,6.88,-1.07,M
12/08/2021,58.07,56.6,58.89,56.32,9.67,1.18,M
11/08/2021,57.39,57.08,57.91,56.36,8.68,-0.07,M
10/08/2021,57.43,58.75,58.97,57.11,5.36,-2.0,M
09/08/2021,58.6,58.2,59.44,57.85,6.11,0.6,M
06/08/2021,58.25,58.81,59.2,57.8,6.21,-0.43,M
05/08/2021,58.5,59.78,59.78,57.71,12.08,-1.12,M
04/08/2021,59.16,60.62,60.87,58.86,8.53,-3.19,M
03/08/2021,61.11,61.15,61.36,59.04,7.12,-0.1,M
02/08/2021,61.17,62.41,62.91,61.17,6.4,-1.58,M
30/07/2021,62.15,65.5,65.5,62.14,13.79,-7.36,M
29/07/2021,67.09,66.32,67.29,65.56,4.35,1.44,M
28/07/2021,66.14,67.0,67.23,65.05,4.01,-1.0,M
27/07/2021,66.81,67.63,67.92,65.28,4.12,-1.78,M
26/07/2021,68.02,68.43,68.6,67.56,2.71,-0.44,M
23/07/2021,68.32,68.27,68.73,67.15,4.84,0.03,M
22/07/2021,68.3,67.0,68.78,66.62,6.71,2.23,M
21/07/2021,66.81,67.59,67.59,65.45,6.62,-1.02,M
20/07/2021,67.5,66.95,67.75,66.31,1.72,0.37,M
19/07/2021,67.25,67.0,67.68,66.2,3.76,-0.66,M
16/07/2021,67.7,68.99,68.99,67.43,2.47,-1.47,M
15/07/2021,68.71,68.26,69.86,67.95,2.96,0.19,M
14/07/2021,68.58,66.73,68.7,66.53,9.53,3.64,M
13/07/2021,66.17,65.52,66.44,64.94,4.86,0.09,M
12/07/2021,66.11,66.14,66.46,65.25,3.15,0.92,M
08/07/2021,65.51,64.63,65.94,64.57,4.5,-1.27,M
07/07/2021,66.35,63.97,66.41,63.75,5.03,5.42,M
06/07/2021,62.94,63.84,64.09,62.61,2.69,-1.82,M
05/07/2021,64.11,63.94,65.16,63.82,3.01,-0.54,M
02/07/2021,64.46,63.01,64.6,62.79,2.25,3.14,M
01/07/2021,62.5,63.75,64.33,62.0,3.42,-2.34,M
30/06/2021,64.0,64.04,64.2,62.63,7.14,-0.82,M
29/06/2021,64.53,64.25,64.58,62.85,5.4,0.44,M
28/06/2021,64.25,63.79,64.59,63.0,2.57,1.02,M
25/06/2021,63.6,64.26,64.9,62.6,3.22,-1.4,M
24/06/2021,64.5,64.76,65.8,63.98,5.05,0.78,M
23/06/2021,64.0,63.0,64.69,62.7,7.29,1.59,M
22/06/2021,63.0,63.37,63.37,62.12,5.0,-0.35,M
21/06/2021,63.22,63.18,63.7,62.82,2.01,0.65,M
18/06/2021,62.81,62.25,63.97,62.07,5.15,0.37,M
17/06/2021,62.58,63.78,64.43,62.55,5.75,-2.4,M
16/06/2021,64.12,64.77,64.87,63.27,5.84,-0.43,M
15/06/2021,64.4,64.88,65.13,64.01,2.91,-0.25,M
14/06/2021,64.56,64.52,65.28,64.3,4.8,0.81,M
11/06/2021,64.04,65.61,65.66,63.25,5.5,-2.08,M
10/06/2021,65.4,65.99,66.17,64.53,3.43,-0.21,M
09/06/2021,65.54,66.99,67.22,65.51,4.64,-1.77,M
08/06/2021,66.72,66.58,67.5,66.0,2.92,-0.42,M
07/06/2021,67.0,66.36,67.86,65.7,4.07,0.53,M
04/06/2021,66.65,64.7,66.72,64.18,7.92,2.97,M
02/06/2021,64.73,64.34,64.98,63.81,3.59,0.89,M
01/06/2021,64.16,62.82,64.59,62.6,7.61,2.41,M
31/05/2021,62.65,61.52,62.75,61.52,3.68,1.15,M
28/05/2021,61.94,61.75,62.22,60.71,4.02,0.32,M
27/05/2021,61.74,63.82,63.82,60.82,10.54,-2.62,M
26/05/2021,63.4,63.83,64.68,62.87,4.89,0.32,M
25/05/2021,63.2,64.54,65.4,62.89,3.83,-1.63,M
24/05/2021,64.25,63.14,64.93,63.13,4.62,2.18,M
21/05/2021,62.88,62.51,63.72,61.94,4.95,0.66,M
20/05/2021,62.47,60.09,62.71,59.8,7.33,4.53,M
19/05/2021,59.76,61.99,61.99,59.11,7.76,-2.03,M
18/05/2021,61.0,59.63,61.25,59.19,5.36,1.8,M
17/05/2021,59.92,58.56,59.98,58.15,3.57,1.92,M
14/05/2021,58.79,59.76,60.35,58.03,8.21,0.0,M
13/05/2021,58.79,59.17,59.88,58.43,4.47,0.84,M
12/05/2021,58.3,61.6,62.23,58.0,8.65,-7.22,M
11/05/2021,62.84,62.29,62.9,61.45,4.29,-0.17,M
10/05/2021,62.95,63.29,63.29,62.31,3.27,-0.41,M
07/05/2021,63.21,62.11,63.33,61.76,3.02,2.33,M
