Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,14.03,13.73,14.18,13.18,711.0,0.0,K
23/02/2022,14.03,14.27,14.52,14.02,528.0,-1.34,K
22/02/2022,14.22,14.54,14.67,14.02,701.1,-1.32,K
21/02/2022,14.41,15.29,15.29,14.35,807.0,-5.51,K
18/02/2022,15.25,15.48,15.6,15.1,377.9,-1.23,K
17/02/2022,15.44,15.81,16.13,15.33,632.9,-2.89,K
16/02/2022,15.9,15.83,16.08,15.56,675.5,0.95,K
15/02/2022,15.75,15.28,15.88,15.23,723.0,3.41,K
14/02/2022,15.23,15.18,15.44,15.05,648.6,-0.65,K
11/02/2022,15.33,15.76,15.85,15.13,809.0,-2.23,K
10/02/2022,15.68,15.43,15.99,15.26,839.8,1.75,K
09/02/2022,15.41,15.2,15.69,15.06,887.9,1.99,K
08/02/2022,15.11,15.3,15.3,14.92,754.0,-2.14,K
07/02/2022,15.44,15.46,15.62,15.09,823.5,0.26,K
04/02/2022,15.4,16.0,16.01,15.1,1.03,-3.75,M
03/02/2022,16.0,16.65,16.93,15.86,734.0,-3.61,K
02/02/2022,16.6,16.8,17.35,16.41,1.24,-0.95,M
01/02/2022,16.76,17.27,17.43,16.45,1.53,-1.41,M
31/01/2022,17.0,15.85,17.0,15.8,924.3,7.59,K
28/01/2022,15.8,15.91,16.13,15.51,572.7,-1.06,K
27/01/2022,15.97,15.89,16.24,15.61,634.5,2.5,K
26/01/2022,15.58,16.04,16.48,15.36,943.4,-1.83,K
25/01/2022,15.87,15.45,16.0,15.31,548.9,1.67,K
24/01/2022,15.61,15.89,15.89,15.2,838.4,-2.07,K
21/01/2022,15.94,15.84,16.43,15.72,543.1,-0.13,K
20/01/2022,15.96,15.8,16.43,15.65,874.1,1.79,K
19/01/2022,15.68,15.95,16.14,15.57,947.7,-0.76,K
18/01/2022,15.8,15.85,16.1,15.57,594.7,-0.63,K
17/01/2022,15.9,15.84,16.42,15.47,1.06,-0.06,M
14/01/2022,15.91,15.5,15.96,15.35,643.2,2.51,K
13/01/2022,15.52,16.69,16.7,15.27,1.87,-7.07,M
12/01/2022,16.7,15.3,16.98,15.3,1.55,9.15,M
11/01/2022,15.3,15.2,15.64,14.83,767.9,1.06,K
10/01/2022,15.14,15.04,15.73,15.0,834.9,-2.07,K
07/01/2022,15.46,15.44,15.97,14.97,887.3,0.39,K
06/01/2022,15.4,16.13,16.34,15.33,874.7,-3.69,K
05/01/2022,15.99,16.2,17.16,15.85,1.46,-1.84,M
04/01/2022,16.29,17.33,17.54,16.12,1.86,-5.57,M
03/01/2022,17.25,18.46,18.69,17.12,1.43,-6.3,M
30/12/2021,18.41,17.12,18.97,16.7,2.13,7.72,M
