Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,32.07,33.0,33.49,32.01,8.72,1.52,M
23/02/2022,31.59,35.59,35.84,31.51,18.32,-12.49,M
22/02/2022,36.1,38.35,38.35,35.56,4.7,-2.54,M
21/02/2022,37.04,36.0,37.31,35.76,3.73,3.87,M
18/02/2022,35.66,36.02,36.62,34.95,4.0,-2.3,M
17/02/2022,36.5,36.9,37.12,35.59,4.36,-1.75,M
16/02/2022,37.15,37.68,38.06,36.91,4.18,0.38,M
15/02/2022,37.01,37.8,37.9,36.85,3.75,-4.74,M
14/02/2022,38.85,39.6,40.17,38.21,3.84,-1.32,M
11/02/2022,39.37,39.07,39.8,38.65,5.4,2.13,M
10/02/2022,38.55,37.6,39.69,37.57,6.92,3.07,M
09/02/2022,37.4,37.0,37.9,36.56,3.82,2.05,M
08/02/2022,36.65,36.85,36.86,35.58,4.24,-1.61,M
07/02/2022,37.25,37.4,37.78,37.0,1.76,-0.61,M
04/02/2022,37.48,37.02,38.18,36.41,5.24,2.68,M
03/02/2022,36.5,36.17,36.8,35.0,4.11,0.14,M
02/02/2022,36.45,37.6,38.39,36.2,4.57,-2.28,M
01/02/2022,37.3,36.5,37.47,36.5,31.06,-2.46,M
31/01/2022,38.24,38.56,39.7,37.98,4.89,1.32,M
28/01/2022,37.74,37.4,38.2,36.8,2.58,1.13,M
27/01/2022,37.32,37.1,38.37,36.9,3.12,1.52,M
26/01/2022,36.76,37.72,38.59,36.42,3.51,-1.61,M
25/01/2022,37.36,35.4,37.63,35.0,4.65,5.18,M
24/01/2022,35.52,35.4,36.52,35.21,2.08,-1.33,M
21/01/2022,36.0,36.01,36.44,35.56,2.21,-1.37,M
20/01/2022,36.5,37.09,37.4,36.17,3.59,-1.59,M
19/01/2022,37.09,36.85,38.0,36.8,3.37,1.59,M
18/01/2022,36.51,36.92,37.8,36.16,2.98,-0.11,M
17/01/2022,36.55,36.85,37.34,36.02,1.95,-0.38,M
14/01/2022,36.69,36.44,36.9,35.13,2.36,2.34,M
13/01/2022,35.85,36.01,37.57,35.74,3.0,-0.64,M
12/01/2022,36.08,36.55,37.21,35.3,3.25,-0.61,M
11/01/2022,36.3,34.7,36.85,34.31,3.89,5.19,M
10/01/2022,34.51,33.48,35.05,33.34,2.79,1.5,M
07/01/2022,34.0,31.66,34.0,31.55,2.68,6.88,M
06/01/2022,31.81,32.28,33.1,31.08,2.73,-0.62,M
05/01/2022,32.01,34.23,34.42,31.99,2.68,-7.16,M
04/01/2022,34.48,34.15,35.9,34.15,5.41,0.97,M
03/01/2022,34.15,34.14,34.78,32.36,3.5,1.79,M
30/12/2021,33.55,33.32,34.3,33.11,7.86,0.21,M
29/12/2021,33.48,32.26,33.64,31.82,2.85,4.4,M
28/12/2021,32.07,31.99,32.92,31.79,1.92,0.94,M
27/12/2021,31.77,31.0,32.07,31.0,1.25,1.6,M
23/12/2021,31.27,31.55,31.79,31.06,760.4,-0.67,K
22/12/2021,31.48,30.75,31.77,30.39,1.66,2.08,M
21/12/2021,30.84,30.97,31.37,30.15,1.74,1.78,M
20/12/2021,30.3,31.2,31.32,29.73,2.4,-6.19,M
17/12/2021,32.3,31.35,32.58,30.84,3.87,1.99,M
16/12/2021,31.67,30.5,31.91,30.25,3.42,7.36,M
15/12/2021,29.5,29.49,29.75,28.69,1.69,-0.67,M
14/12/2021,29.7,30.42,31.01,29.13,1.48,-2.85,M
13/12/2021,30.57,30.49,31.36,29.96,1.5,0.43,M
10/12/2021,30.44,30.58,30.78,29.74,1.26,1.1,M
09/12/2021,30.11,30.1,30.85,29.64,1.43,-0.92,M
08/12/2021,30.39,31.4,31.69,30.14,2.63,-3.25,M
07/12/2021,31.41,33.04,34.02,30.96,3.3,-2.94,M
06/12/2021,32.36,31.68,32.57,31.4,3.13,3.65,M
03/12/2021,31.22,29.38,31.76,29.38,4.09,6.37,M
02/12/2021,29.35,27.6,29.4,27.02,3.21,6.34,M
01/12/2021,27.6,28.1,28.97,27.22,3.41,-0.07,M
30/11/2021,27.62,27.44,27.62,26.35,4.68,-1.25,M
29/11/2021,27.97,28.39,28.84,27.7,1.82,1.34,M
26/11/2021,27.6,27.5,28.55,26.73,3.61,-7.1,M
25/11/2021,29.71,29.75,30.41,29.1,1.34,-0.3,M
24/11/2021,29.8,30.27,31.2,29.35,2.11,-2.87,M
23/11/2021,30.68,29.16,30.79,29.06,2.75,5.36,M
22/11/2021,29.12,29.1,30.19,28.95,2.89,0.41,M
19/11/2021,29.0,29.1,29.44,28.22,3.78,-2.91,M
18/11/2021,29.87,30.21,30.83,28.92,3.22,-0.8,M
17/11/2021,30.11,31.35,31.74,29.7,3.02,-3.96,M
16/11/2021,31.35,32.65,33.39,30.8,2.86,-2.03,M
12/11/2021,32.0,33.2,34.24,31.74,3.35,-4.9,M
11/11/2021,33.65,34.14,34.46,33.1,3.21,-1.35,M
10/11/2021,34.11,35.51,37.07,33.91,4.24,-4.4,M
09/11/2021,35.68,35.05,36.3,33.74,6.92,2.26,M
08/11/2021,34.89,36.04,36.06,33.9,5.84,-1.72,M
05/11/2021,35.5,34.3,37.02,32.81,9.02,2.75,M
04/11/2021,34.55,35.65,36.34,34.43,3.32,-2.84,M
03/11/2021,35.56,34.11,36.16,33.64,1.93,2.18,M
01/11/2021,34.8,33.5,35.67,33.22,3.54,7.61,M
29/10/2021,32.34,34.92,35.4,32.34,2.97,-7.36,M
28/10/2021,34.91,35.45,36.37,34.44,1.67,-4.33,M
27/10/2021,36.49,37.3,37.3,35.65,2.23,-2.38,M
26/10/2021,37.38,37.58,38.44,36.77,2.12,-1.89,M
25/10/2021,38.1,34.08,38.58,34.08,3.37,12.22,M
22/10/2021,33.95,34.99,35.44,32.3,4.78,-5.17,M
21/10/2021,35.8,37.06,37.55,34.83,3.03,-5.79,M
20/10/2021,38.0,39.59,39.59,37.8,1.77,-2.81,M
19/10/2021,39.1,41.17,41.7,38.35,2.83,-5.74,M
18/10/2021,41.48,41.33,43.12,40.76,2.51,0.36,M
15/10/2021,41.33,41.19,42.02,41.04,1.12,0.51,M
14/10/2021,41.12,41.89,42.65,40.83,1.84,-0.34,M
13/10/2021,41.26,41.02,41.67,40.45,1.1,0.56,M
11/10/2021,41.03,41.2,42.7,40.61,1.46,1.11,M
08/10/2021,40.58,41.5,41.91,40.2,1.35,-0.51,M
07/10/2021,40.79,41.55,42.27,40.36,2.57,-2.9,M
06/10/2021,42.01,41.71,42.76,40.4,4.17,-2.07,M
05/10/2021,42.9,43.51,44.81,42.6,2.96,0.35,M
04/10/2021,42.75,42.82,44.33,41.79,3.67,0.42,M
01/10/2021,42.57,42.0,43.82,40.32,4.66,-0.07,M
30/09/2021,42.6,39.81,43.18,39.81,4.73,6.42,M
29/09/2021,40.03,37.95,40.88,37.95,4.24,6.15,M
28/09/2021,37.71,37.51,38.8,37.14,3.74,1.32,M
27/09/2021,37.22,36.4,37.44,36.1,1.89,3.56,M
24/09/2021,35.94,35.85,37.09,35.25,2.58,0.25,M
23/09/2021,35.85,34.33,36.59,34.33,1.45,4.43,M
22/09/2021,34.33,33.56,34.75,33.32,971.7,4.35,K
21/09/2021,32.9,32.41,33.19,31.81,922.4,3.17,K
20/09/2021,31.89,32.99,33.4,31.06,1.69,-6.84,M
17/09/2021,34.23,35.84,35.84,33.64,1.3,-4.41,M
16/09/2021,35.81,35.99,36.84,35.44,1.46,-0.89,M
15/09/2021,36.13,35.33,36.4,34.85,2.17,2.55,M
14/09/2021,35.23,35.6,36.19,34.74,1.14,-0.65,M
13/09/2021,35.46,34.51,35.69,34.51,1.27,3.53,M
10/09/2021,34.25,35.83,36.21,34.04,1.27,-2.34,M
09/09/2021,35.07,34.5,35.42,33.41,1.71,-0.09,M
08/09/2021,35.1,37.56,37.56,34.89,1.68,-6.57,M
06/09/2021,37.57,36.8,38.27,36.31,781.4,1.79,K
03/09/2021,36.91,38.0,38.19,36.17,1.08,-0.78,M
02/09/2021,37.2,37.63,38.32,36.15,1.17,-0.69,M
01/09/2021,37.46,38.6,38.73,36.9,1.12,-2.55,M
31/08/2021,38.44,39.1,39.1,37.46,1.7,-0.9,M
30/08/2021,38.79,38.0,39.8,37.84,1.8,2.35,M
27/08/2021,37.9,37.2,38.14,36.44,2.64,7.21,M
26/08/2021,35.35,35.65,36.8,35.17,1.14,-2.35,M
25/08/2021,36.2,36.8,37.67,35.56,1.19,-1.79,M
24/08/2021,36.86,35.3,36.86,34.82,1.4,6.84,M
23/08/2021,34.5,35.1,35.81,34.1,2.03,-1.23,M
20/08/2021,34.93,33.25,35.4,32.92,1.47,3.34,M
19/08/2021,33.8,32.0,34.5,31.75,1.93,2.42,M
18/08/2021,33.0,32.57,33.7,32.22,1.34,1.48,M
17/08/2021,32.52,33.33,33.49,31.65,2.73,-3.79,M
16/08/2021,33.8,35.8,35.8,33.8,1.51,-6.53,M
13/08/2021,36.16,37.13,37.42,35.99,888.6,-3.78,K
12/08/2021,37.58,37.65,38.44,36.9,668.5,-0.84,K
11/08/2021,37.9,37.94,38.23,37.55,769.0,-0.16,K
10/08/2021,37.96,38.76,39.73,37.71,1.51,-1.66,M
09/08/2021,38.6,37.57,38.95,37.39,1.18,-0.1,M
06/08/2021,38.64,39.14,39.48,38.42,806.2,-1.68,K
05/08/2021,39.3,40.5,40.85,39.03,791.0,-1.38,K
04/08/2021,39.85,40.66,40.91,39.38,997.6,-2.76,K
03/08/2021,40.98,40.6,41.43,39.55,733.8,0.89,K
02/08/2021,40.62,40.75,41.97,39.73,3.28,4.93,M
30/07/2021,38.71,39.08,39.81,37.8,1.14,-1.38,M
29/07/2021,39.25,40.2,40.48,39.15,1.38,-2.0,M
28/07/2021,40.05,40.15,40.72,39.53,792.4,-0.12,K
27/07/2021,40.1,42.26,42.49,39.87,1.5,-5.42,M
26/07/2021,42.4,42.1,42.5,41.55,711.8,0.47,K
23/07/2021,42.2,42.26,42.51,41.82,697.2,-0.8,K
22/07/2021,42.54,42.74,42.81,42.01,735.1,1.07,K
21/07/2021,42.09,42.0,43.07,41.85,947.6,0.21,K
20/07/2021,42.0,41.86,42.46,40.66,3.23,0.36,M
19/07/2021,41.85,42.1,42.71,41.1,1.58,-3.55,M
16/07/2021,43.39,43.3,43.6,42.08,1.44,-0.37,M
15/07/2021,43.55,45.64,45.95,43.04,2.65,-4.07,M
14/07/2021,45.4,46.42,46.58,45.31,736.3,-1.77,K
13/07/2021,46.22,46.71,46.72,45.88,950.6,-0.67,K
12/07/2021,46.53,47.6,47.6,45.86,1.55,1.15,M
08/07/2021,46.0,46.3,46.62,45.2,1.4,-2.15,M
07/07/2021,47.01,46.3,47.5,45.58,1.36,1.84,M
06/07/2021,46.16,47.63,47.8,45.52,1.52,-1.49,M
05/07/2021,46.86,46.8,48.08,46.22,3.31,1.43,M
02/07/2021,46.2,46.3,46.61,45.3,1.49,0.98,M
01/07/2021,45.75,45.0,46.2,43.76,3.84,0.9,M
30/06/2021,45.34,46.0,46.25,45.26,1.24,-1.58,M
29/06/2021,46.07,46.47,47.33,45.57,1.26,-0.56,M
28/06/2021,46.33,45.91,46.44,44.95,1.08,0.17,M
25/06/2021,46.25,46.8,46.8,45.75,1.31,-0.77,M
24/06/2021,46.61,47.92,48.03,46.15,1.01,-2.31,M
23/06/2021,47.71,48.85,49.15,47.65,1.45,-0.81,M
22/06/2021,48.1,49.49,49.98,47.01,2.29,-1.56,M
21/06/2021,48.86,45.5,49.15,45.29,2.59,7.86,M
18/06/2021,45.3,44.2,45.97,43.4,1.49,2.49,M
17/06/2021,44.2,44.69,45.78,43.3,1.54,-2.0,M
16/06/2021,45.1,44.97,46.32,43.27,1.9,0.92,M
15/06/2021,44.69,42.06,46.0,42.06,4.09,6.91,M
14/06/2021,41.8,40.66,41.81,40.65,2.26,5.45,M
11/06/2021,39.64,39.9,40.19,39.14,613.2,-0.65,K
10/06/2021,39.9,39.47,40.02,39.1,575.9,0.88,K
09/06/2021,39.55,40.04,40.22,38.8,815.3,-1.15,K
08/06/2021,40.01,39.98,40.42,39.24,942.2,-0.15,K
07/06/2021,40.07,40.99,41.2,39.64,1.46,-2.84,M
04/06/2021,41.24,41.99,42.28,40.85,1.48,-0.39,M
02/06/2021,41.4,41.44,41.95,40.64,1.88,0.51,M
01/06/2021,41.19,42.0,42.25,41.04,1.29,0.54,M
31/05/2021,40.97,40.98,41.73,40.6,695.8,0.17,K
28/05/2021,40.9,41.1,41.61,39.21,1.24,0.52,M
27/05/2021,40.69,40.16,41.25,40.16,1.86,1.98,M
26/05/2021,39.9,39.06,40.16,39.06,1.51,2.84,M
25/05/2021,38.8,39.04,40.35,38.73,1.69,-0.31,M
24/05/2021,38.92,36.86,39.5,36.86,1.78,6.84,M
21/05/2021,36.43,36.22,37.33,36.17,1.22,1.11,M
20/05/2021,36.03,35.91,36.69,35.91,918.4,0.95,K
19/05/2021,35.69,35.5,36.48,35.28,14.06,-2.38,M
18/05/2021,36.56,38.0,38.4,35.99,2.01,-3.54,M
17/05/2021,37.9,38.0,38.63,37.38,922.1,-0.26,K
14/05/2021,38.0,38.4,39.5,37.6,1.64,0.8,M
13/05/2021,37.7,38.58,39.05,37.21,970.8,-2.2,K
12/05/2021,38.55,39.34,40.26,38.55,766.2,-1.53,K
11/05/2021,39.15,39.67,39.78,38.4,1.01,-1.9,M
10/05/2021,39.91,40.6,41.15,39.6,1.54,-1.21,M
07/05/2021,40.4,41.26,41.61,39.03,2.18,-2.39,M
06/05/2021,41.39,41.9,42.15,41.09,909.6,0.1,K
05/05/2021,41.35,41.5,42.28,40.65,3.57,0.85,M
04/05/2021,41.0,42.26,42.7,40.56,1.45,-2.38,M
03/05/2021,42.0,43.69,43.84,41.7,1.47,-3.82,M
30/04/2021,43.67,45.73,46.29,43.15,3.82,-4.5,M
29/04/2021,45.73,46.16,47.42,45.11,1.17,-0.15,M
28/04/2021,45.8,45.64,46.46,42.57,1.77,0.66,M
27/04/2021,45.5,45.15,46.1,44.78,1.12,0.78,M
26/04/2021,45.15,45.87,47.15,45.05,1.23,-1.57,M
23/04/2021,45.87,44.55,46.1,44.09,1.86,4.06,M
22/04/2021,44.08,44.3,44.5,42.7,1.15,0.99,M
20/04/2021,43.65,43.0,44.89,43.0,1.91,1.51,M
19/04/2021,43.0,42.01,43.94,41.83,1.75,3.37,M
16/04/2021,41.6,42.2,42.9,41.2,918.2,-0.95,K
15/04/2021,42.0,42.3,43.19,41.1,1.28,0.72,M
14/04/2021,41.7,40.07,42.88,40.07,1.78,4.35,M
13/04/2021,39.96,40.29,40.29,39.77,956.1,-0.27,K
12/04/2021,40.07,39.91,40.35,39.57,707.1,0.63,K
09/04/2021,39.82,40.23,40.54,38.55,1.06,-1.36,M
08/04/2021,40.37,40.31,41.0,39.1,1.49,1.3,M
07/04/2021,39.85,38.87,40.34,38.17,1.94,3.78,M
06/04/2021,38.4,37.3,38.83,36.74,1.6,3.45,M
05/04/2021,37.12,38.51,38.51,36.51,1.07,-1.98,M
01/04/2021,37.87,38.51,38.72,37.18,1.82,-0.86,M
31/03/2021,38.2,39.0,39.6,37.7,2.76,-2.8,M
30/03/2021,39.3,38.86,40.6,37.75,926.2,1.16,K
29/03/2021,38.85,39.43,40.49,38.41,572.0,-1.4,K
26/03/2021,39.4,41.57,42.6,39.08,822.0,-2.96,K
25/03/2021,40.6,40.71,41.98,40.1,408.5,-1.46,K
24/03/2021,41.2,41.61,42.35,40.41,448.4,0.61,K
23/03/2021,40.95,42.5,42.6,40.95,325.4,-4.32,K
22/03/2021,42.8,43.98,44.57,42.8,248.3,-2.73,K
19/03/2021,44.0,43.13,45.95,43.13,625.5,3.43,K
18/03/2021,42.54,45.79,46.84,42.21,560.3,-6.89,K
17/03/2021,45.69,44.2,45.84,42.92,627.4,2.72,K
16/03/2021,44.48,46.3,47.01,44.48,549.1,-3.97,K
15/03/2021,46.32,47.5,48.6,46.0,345.7,-2.48,K
12/03/2021,47.5,49.05,50.99,47.01,934.0,-3.06,K
11/03/2021,49.0,46.6,49.0,46.6,666.0,5.38,K
10/03/2021,46.5,45.6,46.7,45.13,416.3,2.74,K
09/03/2021,45.26,44.0,45.26,41.5,551.4,3.81,K
08/03/2021,43.6,45.31,46.4,42.35,990.9,-1.58,K
05/03/2021,44.3,42.22,44.37,42.22,700.4,6.72,K
04/03/2021,41.51,41.2,42.99,40.9,483.7,2.24,K
03/03/2021,40.6,41.4,44.37,39.6,1.53,-2.38,M
02/03/2021,41.59,38.91,41.88,38.53,1.04,6.89,M
01/03/2021,38.91,37.29,40.88,36.71,2.11,8.17,M
26/02/2021,35.97,38.01,38.71,35.11,401.2,-5.39,K
25/02/2021,38.02,39.7,40.48,37.81,392.6,-3.65,K
24/02/2021,39.46,38.41,41.0,38.06,579.4,2.84,K
23/02/2021,38.37,39.2,39.86,37.7,371.3,-2.12,K
22/02/2021,39.2,36.9,39.41,35.95,580.7,3.51,K
19/02/2021,37.87,38.9,39.0,37.3,274.1,-1.64,K
18/02/2021,38.5,37.84,38.89,37.15,647.3,2.12,K
17/02/2021,37.7,35.93,37.7,35.93,432.5,5.34,K
12/02/2021,35.79,35.03,35.92,33.99,213.5,1.73,K
11/02/2021,35.18,36.24,36.73,35.15,125.5,-2.92,K
10/02/2021,36.24,35.82,36.76,35.61,182.2,1.54,K
09/02/2021,35.69,36.41,37.45,35.2,486.7,-0.86,K
08/02/2021,36.0,34.57,36.0,34.57,443.4,4.14,K
05/02/2021,34.57,34.0,34.73,33.84,539.2,1.68,K
