Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,30.33,30.62,30.81,29.7,4.33,-3.41,M
23/02/2022,31.4,31.38,32.22,31.35,4.19,-0.66,M
22/02/2022,31.61,32.04,32.04,31.52,1.72,-0.35,M
21/02/2022,31.72,31.88,31.97,31.48,1.34,-1.21,M
18/02/2022,32.11,32.09,32.18,31.68,2.05,0.88,M
17/02/2022,31.83,32.4,32.66,31.83,1.88,-1.79,M
16/02/2022,32.41,32.11,32.67,32.0,2.7,1.5,M
15/02/2022,31.93,32.19,32.75,31.93,3.41,-0.56,M
14/02/2022,32.11,32.07,32.17,31.56,2.48,0.28,M
11/02/2022,32.02,31.65,32.81,31.64,5.32,-0.77,M
10/02/2022,32.27,31.86,32.65,31.69,3.13,1.8,M
09/02/2022,31.7,32.36,32.4,31.43,4.1,-2.13,M
08/02/2022,32.39,32.25,32.51,32.01,2.04,0.28,M
07/02/2022,32.3,32.24,32.69,32.14,2.02,0.03,M
04/02/2022,32.29,31.8,32.48,31.67,2.32,1.32,M
03/02/2022,31.87,31.87,32.26,31.32,2.91,0.38,M
02/02/2022,31.75,31.8,32.35,31.35,8.14,-2.99,M
01/02/2022,32.73,32.98,33.6,32.54,4.29,-0.43,M
31/01/2022,32.87,33.0,33.18,32.2,4.73,-0.51,M
28/01/2022,33.04,33.56,33.63,32.91,2.79,-2.28,M
27/01/2022,33.81,33.53,34.82,33.43,4.49,1.56,M
26/01/2022,33.29,33.5,33.63,32.96,3.78,0.48,M
25/01/2022,33.13,30.95,33.41,30.95,6.34,6.25,M
24/01/2022,31.18,31.7,31.93,30.81,2.05,-0.8,M
21/01/2022,31.43,31.16,32.1,31.11,2.36,0.83,M
20/01/2022,31.17,31.55,31.85,31.11,2.56,-1.11,M
19/01/2022,31.52,31.33,32.07,31.33,2.17,0.19,M
18/01/2022,31.46,31.48,31.71,31.16,3.34,-0.73,M
17/01/2022,31.69,31.78,32.03,31.07,1.91,-0.53,M
14/01/2022,31.86,31.62,32.02,31.55,1.39,1.14,M
13/01/2022,31.5,30.58,32.13,30.21,3.46,2.94,M
12/01/2022,30.6,31.4,31.66,30.36,3.96,-2.61,M
11/01/2022,31.42,31.67,31.7,31.05,2.78,-0.79,M
10/01/2022,31.67,31.25,31.8,31.07,3.02,1.09,M
07/01/2022,31.33,31.23,31.44,31.0,2.15,0.32,M
06/01/2022,31.23,30.82,31.46,30.82,2.76,1.33,M
05/01/2022,30.82,30.98,31.35,30.67,1.6,-1.19,M
04/01/2022,31.19,30.74,31.72,30.66,2.21,1.46,M
03/01/2022,30.74,30.15,30.74,30.08,3.6,2.54,M
30/12/2021,29.98,30.75,30.75,29.84,2.39,-1.35,M
29/12/2021,30.39,30.63,30.86,30.22,1.26,-1.3,M
28/12/2021,30.79,30.89,30.9,30.47,772.0,0.16,K
27/12/2021,30.74,30.6,30.84,30.43,980.9,0.92,K
23/12/2021,30.46,30.29,30.68,30.15,992.1,0.4,K
22/12/2021,30.34,30.42,30.51,29.92,1.76,-0.26,M
21/12/2021,30.42,30.75,30.86,30.34,1.1,-0.88,M
20/12/2021,30.69,31.05,31.2,30.36,1.79,-1.16,M
17/12/2021,31.05,32.05,32.28,31.05,5.83,-3.69,M
16/12/2021,32.24,32.07,32.51,31.84,3.19,1.22,M
15/12/2021,31.85,31.7,32.27,31.32,2.76,0.92,M
14/12/2021,31.56,31.7,32.79,31.53,2.99,0.06,M
13/12/2021,31.54,31.99,32.7,31.54,3.02,-1.31,M
10/12/2021,31.96,32.28,32.47,31.42,4.22,-0.16,M
09/12/2021,32.01,33.19,33.19,31.81,2.41,-3.41,M
08/12/2021,33.14,33.29,33.42,32.73,1.73,-0.21,M
07/12/2021,33.21,34.01,34.14,32.93,2.41,-1.34,M
06/12/2021,33.66,33.6,34.28,33.13,2.59,0.0,M
03/12/2021,33.66,33.75,34.46,33.38,2.75,-0.44,M
02/12/2021,33.81,33.22,33.83,32.88,1.89,3.9,M
01/12/2021,32.54,33.38,33.51,32.5,2.23,-1.27,M
30/11/2021,32.96,33.68,34.02,32.63,6.0,-2.37,M
29/11/2021,33.76,34.6,34.65,33.33,3.19,-1.2,M
26/11/2021,34.17,34.87,35.08,33.66,2.46,-3.45,M
25/11/2021,35.39,34.86,35.84,34.79,2.47,1.72,M
24/11/2021,34.79,34.0,34.95,33.89,1.54,1.81,M
23/11/2021,34.17,33.9,34.55,33.66,2.64,1.12,M
22/11/2021,33.79,34.17,34.83,33.79,1.77,-0.88,M
19/11/2021,34.09,34.32,34.57,33.93,1.25,-0.76,M
18/11/2021,34.35,34.75,34.75,33.96,1.51,-0.38,M
17/11/2021,34.48,34.74,34.94,33.98,1.72,0.52,M
16/11/2021,34.3,35.0,35.14,33.9,1.85,-2.17,M
12/11/2021,35.06,34.57,35.2,34.25,1.36,0.92,M
11/11/2021,34.74,35.23,35.66,34.55,2.36,-1.0,M
10/11/2021,35.09,33.76,35.66,33.63,3.55,3.97,M
09/11/2021,33.75,34.25,34.72,33.5,2.49,-1.17,M
08/11/2021,34.15,33.92,34.79,33.92,1.36,-0.67,M
05/11/2021,34.38,34.68,34.94,34.02,2.26,-1.21,M
04/11/2021,34.8,36.41,36.59,34.72,2.23,-4.13,M
03/11/2021,36.3,36.09,36.97,35.73,2.79,0.25,M
01/11/2021,36.21,35.1,36.47,34.83,3.85,5.26,M
29/10/2021,34.4,35.15,35.4,34.4,1.76,-1.88,M
28/10/2021,35.06,34.87,35.48,34.47,2.44,0.0,M
27/10/2021,35.06,35.5,36.28,34.98,6.29,-0.03,M
26/10/2021,35.07,35.25,35.47,34.7,2.19,-1.9,M
25/10/2021,35.75,35.29,35.96,35.19,2.56,1.3,M
22/10/2021,35.29,35.15,35.29,33.24,5.31,-0.45,M
21/10/2021,35.45,35.18,36.42,34.92,4.33,-1.72,M
20/10/2021,36.07,35.11,36.25,35.05,2.72,3.26,M
19/10/2021,34.93,35.76,35.86,34.62,3.74,-4.3,M
18/10/2021,36.5,36.01,37.39,36.01,4.39,-2.8,M
15/10/2021,37.55,36.15,38.06,35.97,5.09,3.99,M
14/10/2021,36.11,36.12,36.29,35.69,1.95,0.56,M
13/10/2021,35.91,36.29,36.3,35.21,3.25,0.03,M
11/10/2021,35.9,37.04,37.04,35.81,2.46,-3.1,M
08/10/2021,37.05,36.62,38.15,36.59,5.02,2.07,M
07/10/2021,36.3,36.85,36.9,36.22,2.97,-1.47,M
06/10/2021,36.84,36.0,36.84,35.9,2.54,0.35,M
05/10/2021,36.71,35.9,37.03,35.71,3.82,2.86,M
04/10/2021,35.69,36.5,36.5,35.52,3.58,-2.99,M
01/10/2021,36.79,35.66,36.79,35.55,2.97,4.01,M
30/09/2021,35.37,36.5,36.62,35.24,3.5,-2.91,M
29/09/2021,36.43,36.24,36.9,36.15,2.01,1.11,M
28/09/2021,36.03,36.16,37.17,36.03,3.0,-1.26,M
27/09/2021,36.49,35.1,36.84,35.1,2.88,3.78,M
24/09/2021,35.16,35.75,36.07,34.95,2.73,-2.79,M
23/09/2021,36.17,35.37,36.61,35.3,2.77,3.02,M
22/09/2021,35.11,34.81,35.53,34.74,2.22,1.56,M
21/09/2021,34.57,34.76,35.14,34.57,1.74,-0.26,M
20/09/2021,34.66,35.53,35.53,34.22,1.8,-3.27,M
17/09/2021,35.83,36.49,36.59,35.65,2.77,-1.86,M
16/09/2021,36.51,35.92,36.64,35.76,1.78,0.97,M
15/09/2021,36.16,37.0,37.11,36.16,2.4,-2.06,M
14/09/2021,36.92,37.17,37.45,36.85,1.87,-0.62,M
13/09/2021,37.15,37.38,37.48,36.9,2.44,0.87,M
10/09/2021,36.83,37.97,38.26,36.77,2.08,-1.6,M
09/09/2021,37.43,37.24,37.64,36.52,3.58,0.54,M
08/09/2021,37.23,39.09,39.09,37.23,2.86,-4.95,M
06/09/2021,39.17,38.66,39.39,38.65,1.18,0.59,M
03/09/2021,38.94,39.86,39.86,38.3,5.45,-1.37,M
02/09/2021,39.48,41.29,41.47,39.4,3.64,-5.23,M
01/09/2021,41.66,42.26,42.4,41.53,1.88,-0.67,M
31/08/2021,41.94,41.56,42.59,41.25,4.28,1.57,M
30/08/2021,41.29,41.78,41.86,41.0,1.47,-0.84,M
27/08/2021,41.64,41.07,41.76,40.82,1.48,1.81,M
26/08/2021,40.9,41.35,41.87,40.9,2.21,-1.59,M
25/08/2021,41.56,41.31,41.59,40.88,1.38,0.39,M
24/08/2021,41.4,40.91,41.67,40.81,1.94,1.6,M
23/08/2021,40.75,40.06,40.8,40.04,2.09,1.34,M
20/08/2021,40.21,39.89,40.45,39.7,1.6,0.0,M
19/08/2021,40.21,39.75,40.51,39.62,1.79,0.32,M
18/08/2021,40.08,40.5,40.94,40.03,2.14,-0.79,M
17/08/2021,40.4,40.59,41.02,39.94,2.79,-0.62,M
16/08/2021,40.65,40.78,41.33,40.4,2.55,-0.29,M
13/08/2021,40.77,40.02,40.77,39.59,2.26,2.33,M
12/08/2021,39.84,40.0,40.35,39.62,1.81,-0.55,M
11/08/2021,40.06,39.94,40.69,39.53,2.69,0.65,M
10/08/2021,39.8,40.71,40.93,39.8,2.32,-2.24,M
09/08/2021,40.71,40.78,41.2,40.6,1.33,-0.42,M
06/08/2021,40.88,39.52,40.95,39.45,3.41,3.97,M
05/08/2021,39.32,39.91,40.13,39.23,3.71,-2.36,M
04/08/2021,40.27,40.45,40.83,40.0,2.47,-1.42,M
03/08/2021,40.85,40.72,41.11,39.99,3.16,0.62,M
02/08/2021,40.6,41.11,41.83,40.57,2.79,0.15,M
30/07/2021,40.54,40.75,41.45,40.44,3.02,-1.19,M
29/07/2021,41.03,41.63,41.8,40.81,6.9,-1.44,M
28/07/2021,41.63,41.36,42.01,40.25,6.66,1.04,M
27/07/2021,41.2,40.55,41.27,40.39,1.71,0.61,M
26/07/2021,40.95,39.95,41.29,39.87,1.56,2.25,M
23/07/2021,40.05,40.09,40.53,39.65,1.27,-0.12,M
22/07/2021,40.1,40.96,40.96,40.05,1.67,-1.23,M
21/07/2021,40.6,40.19,40.9,40.05,1.44,1.05,M
20/07/2021,40.18,39.73,40.27,39.43,2.33,1.29,M
19/07/2021,39.67,39.44,39.9,39.36,1.71,-0.58,M
16/07/2021,39.9,40.85,41.02,39.85,1.55,-1.75,M
15/07/2021,40.61,41.27,41.55,40.36,2.02,-1.6,M
14/07/2021,41.27,41.8,42.53,41.17,2.56,-0.15,M
13/07/2021,41.33,41.12,41.6,40.7,2.76,0.07,M
12/07/2021,41.3,39.95,41.73,39.9,3.85,3.77,M
08/07/2021,39.8,39.5,39.96,39.22,2.17,-0.8,M
07/07/2021,40.12,39.92,40.36,39.73,1.54,0.73,M
