Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,19.81,19.94,20.17,19.31,2.07,-2.32,M
23/02/2022,20.28,19.81,20.48,19.77,1.93,2.53,M
22/02/2022,19.78,19.85,20.05,19.68,1.86,0.51,M
21/02/2022,19.68,19.7,20.07,19.66,1.69,-0.86,M
18/02/2022,19.85,19.69,19.99,19.67,1.01,1.28,M
17/02/2022,19.6,19.89,19.98,19.6,1.35,-1.21,M
16/02/2022,19.84,19.83,20.04,19.75,1.01,0.1,M
15/02/2022,19.82,19.64,19.89,19.54,908.6,1.12,K
14/02/2022,19.6,19.86,19.96,19.47,1.1,-1.16,M
11/02/2022,19.83,19.84,19.99,19.64,2.65,0.1,M
10/02/2022,19.81,19.86,19.98,19.7,743.6,-0.1,K
09/02/2022,19.83,19.67,19.94,19.67,725.9,0.86,K
08/02/2022,19.66,19.68,19.92,19.54,1.27,-0.25,M
07/02/2022,19.71,19.86,19.96,19.55,1.79,-1.05,M
04/02/2022,19.92,20.02,20.05,19.65,1.35,-0.4,M
03/02/2022,20.0,19.62,20.08,19.51,1.58,1.78,M
02/02/2022,19.65,19.86,19.95,19.53,963.0,-0.96,K
01/02/2022,19.84,20.05,20.23,19.74,1.47,-1.59,M
31/01/2022,20.16,19.53,20.27,19.43,2.58,3.33,M
28/01/2022,19.51,19.49,19.75,19.38,1.25,-0.26,M
27/01/2022,19.56,19.31,19.65,19.21,1.59,2.03,M
26/01/2022,19.17,19.18,19.5,19.06,2.39,0.58,M
25/01/2022,19.06,18.75,19.26,18.67,1.48,0.95,M
24/01/2022,18.88,18.74,19.02,18.57,1.55,0.48,M
21/01/2022,18.79,18.75,18.79,18.57,1.53,-0.32,M
20/01/2022,18.85,18.25,18.94,18.25,1.64,3.51,M
19/01/2022,18.21,17.77,18.28,17.77,1.34,2.53,M
18/01/2022,17.76,17.96,17.98,17.75,969.7,-1.11,K
17/01/2022,17.96,17.6,18.11,17.6,921.1,1.87,K
14/01/2022,17.63,17.73,17.88,17.62,1.04,-0.56,M
13/01/2022,17.73,17.72,17.86,17.6,1.0,0.0,M
12/01/2022,17.73,17.26,17.83,17.23,1.23,2.6,M
11/01/2022,17.28,17.17,17.45,17.13,862.2,0.64,K
10/01/2022,17.17,17.42,17.59,17.09,2.09,-1.44,M
07/01/2022,17.42,17.29,17.55,17.01,1.23,1.22,M
06/01/2022,17.21,17.84,17.88,17.21,2.42,-3.64,M
05/01/2022,17.86,17.95,18.27,17.76,1.87,-0.72,M
04/01/2022,17.99,18.16,18.22,17.78,2.67,-0.66,M
