Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,23.35,22.7,23.57,21.75,1.35,0.3,M
23/02/2022,23.28,22.34,23.95,22.28,2.51,4.54,M
22/02/2022,22.27,21.9,22.68,21.78,681.2,2.91,K
21/02/2022,21.64,22.09,22.49,21.4,1.01,-3.95,M
18/02/2022,22.53,22.87,23.0,22.21,986.0,-0.4,K
17/02/2022,22.62,23.31,23.92,22.62,844.9,-4.11,K
16/02/2022,23.59,24.07,24.18,23.02,863.2,-1.42,K
15/02/2022,23.93,22.06,24.11,21.91,1.76,8.48,M
14/02/2022,22.06,22.08,22.6,21.61,1.67,1.19,M
11/02/2022,21.8,22.88,22.97,21.45,2.2,-3.67,M
10/02/2022,22.63,22.26,22.9,21.6,1.33,1.21,M
09/02/2022,22.36,22.59,23.18,22.03,1.3,-0.13,M
08/02/2022,22.39,22.45,22.77,22.03,905.9,-1.24,K
07/02/2022,22.67,22.87,23.57,22.32,648.5,-2.45,K
04/02/2022,23.24,24.76,24.95,22.67,1.46,-5.14,M
03/02/2022,24.5,24.75,25.22,23.98,1.11,-2.2,M
02/02/2022,25.05,24.83,26.09,24.16,2.01,0.89,M
01/02/2022,24.83,25.75,25.92,24.56,1.54,-3.57,M
31/01/2022,25.75,25.43,26.35,25.11,1.36,1.38,M
28/01/2022,25.4,24.99,25.6,24.48,1.17,0.24,M
27/01/2022,25.34,24.49,26.32,24.32,1.42,4.8,M
26/01/2022,24.18,23.0,24.87,22.83,2.31,5.87,M
25/01/2022,22.84,21.85,22.99,21.61,1.1,3.77,M
24/01/2022,22.01,21.89,22.12,20.75,1.26,0.32,M
21/01/2022,21.94,21.63,22.07,21.2,909.1,0.97,K
20/01/2022,21.73,20.5,22.7,20.18,1.1,7.79,M
19/01/2022,20.16,19.82,20.74,19.82,584.9,2.02,K
18/01/2022,19.76,20.54,20.54,19.55,880.5,-4.54,K
17/01/2022,20.7,21.12,21.34,20.4,353.9,-1.33,K
14/01/2022,20.98,20.9,21.07,20.03,846.9,0.48,K
13/01/2022,20.88,21.12,21.23,20.46,578.4,-1.88,K
12/01/2022,21.28,20.64,21.67,20.3,787.6,5.29,K
11/01/2022,20.21,19.8,20.63,19.58,597.7,2.07,K
10/01/2022,19.8,20.35,20.35,19.38,513.9,-2.7,K
