Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,40.22,38.99,40.45,38.66,2.87,1.26,M
23/02/2022,39.72,39.54,40.28,39.54,2.28,0.03,M
22/02/2022,39.71,39.31,40.11,39.06,3.16,1.35,M
21/02/2022,39.18,38.15,39.48,37.86,3.5,3.54,M
18/02/2022,37.84,37.5,38.63,37.22,2.97,1.07,M
17/02/2022,37.44,36.83,37.74,36.3,3.94,1.68,M
16/02/2022,36.82,36.7,37.09,36.47,1.99,1.07,M
15/02/2022,36.43,35.78,36.46,35.27,1.55,2.82,M
14/02/2022,35.43,36.09,36.32,35.18,2.17,-1.72,M
11/02/2022,36.05,36.26,36.65,35.78,2.42,0.19,M
10/02/2022,35.98,35.73,36.35,35.65,1.35,0.5,M
09/02/2022,35.8,36.15,36.48,35.58,1.98,-0.03,M
08/02/2022,35.81,35.2,36.26,35.05,1.43,0.56,M
07/02/2022,35.61,35.84,36.1,35.37,1.24,-0.72,M
04/02/2022,35.87,36.81,36.81,35.61,1.86,-2.23,M
03/02/2022,36.69,36.46,36.88,35.96,2.63,0.74,M
02/02/2022,36.42,36.92,37.15,36.11,2.23,-1.62,M
01/02/2022,37.02,37.53,38.03,36.84,2.55,-0.91,M
31/01/2022,37.36,36.42,37.63,36.26,2.58,2.36,M
28/01/2022,36.5,36.76,37.15,36.22,2.84,-1.35,M
27/01/2022,37.0,36.75,37.29,36.47,3.13,2.13,M
26/01/2022,36.23,35.71,37.0,35.45,4.46,1.66,M
25/01/2022,35.64,34.87,35.66,34.25,3.19,0.54,M
24/01/2022,35.45,35.64,36.28,34.95,1.65,-1.53,M
21/01/2022,36.0,35.85,36.5,35.62,1.75,0.0,M
20/01/2022,36.0,35.89,36.65,35.86,1.58,0.87,M
19/01/2022,35.69,35.14,35.96,35.04,1.54,2.38,M
18/01/2022,34.86,35.23,35.54,34.76,1.19,-1.55,M
17/01/2022,35.41,35.22,35.87,35.03,1.07,0.85,M
14/01/2022,35.11,35.25,35.48,34.96,947.2,-0.4,K
13/01/2022,35.25,35.28,35.54,34.82,2.04,-0.09,M
12/01/2022,35.28,34.65,35.44,34.46,2.18,1.35,M
11/01/2022,34.81,34.59,35.04,34.36,1.53,0.09,M
10/01/2022,34.78,35.15,35.28,34.28,1.98,-1.92,M
07/01/2022,35.46,35.9,36.12,35.25,3.48,-2.07,M
06/01/2022,36.21,37.13,37.31,36.18,1.49,-2.61,M
05/01/2022,37.18,38.91,38.92,37.0,2.6,-4.3,M
04/01/2022,38.85,39.89,39.89,38.37,3.52,-2.75,M
03/01/2022,39.95,40.48,40.76,39.53,1.97,-0.57,M
30/12/2021,40.18,39.89,40.34,39.61,2.02,0.83,M
29/12/2021,39.85,40.09,40.09,39.54,1.22,-0.47,M
28/12/2021,40.04,40.09,40.09,39.55,735.0,-0.02,K
27/12/2021,40.05,40.09,40.4,39.72,1.89,0.4,M
23/12/2021,39.89,39.97,40.28,39.66,2.1,-0.65,M
22/12/2021,40.15,40.09,40.27,39.57,1.89,0.38,M
21/12/2021,40.0,39.64,40.04,39.13,1.98,1.06,M
20/12/2021,39.58,39.15,40.04,38.99,1.83,-0.98,M
17/12/2021,39.97,39.16,40.77,39.09,7.31,0.96,M
16/12/2021,39.59,39.62,39.87,39.13,2.1,-0.08,M
15/12/2021,39.62,39.0,39.89,38.35,2.91,1.75,M
14/12/2021,38.94,39.58,39.92,38.91,2.88,-0.66,M
13/12/2021,39.2,38.51,39.6,38.24,3.76,1.48,M
10/12/2021,38.63,38.7,39.1,38.37,2.24,0.89,M
09/12/2021,38.29,38.31,38.77,37.92,2.47,-0.67,M
08/12/2021,38.55,38.05,38.95,37.97,2.55,1.47,M
07/12/2021,37.99,38.22,38.29,37.56,2.91,0.48,M
06/12/2021,37.81,37.49,38.53,37.44,2.92,1.31,M
03/12/2021,37.32,36.73,37.68,36.73,2.94,1.69,M
02/12/2021,36.7,34.42,36.72,34.23,4.26,8.07,M
01/12/2021,33.96,33.65,34.37,33.21,2.61,0.83,M
30/11/2021,33.68,34.15,34.21,33.18,4.61,-1.81,M
29/11/2021,34.3,34.33,34.51,33.93,1.55,0.44,M
26/11/2021,34.15,34.46,34.63,33.86,1.87,-2.29,M
