Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,11.48,11.01,11.55,10.83,675.2,0.7,K
23/02/2022,11.4,11.36,11.62,11.32,377.2,0.26,K
22/02/2022,11.37,11.11,11.53,11.1,702.1,3.36,K
21/02/2022,11.0,11.8,11.8,11.0,583.1,-6.06,K
18/02/2022,11.71,11.46,11.71,11.29,412.2,2.63,K
17/02/2022,11.41,11.78,12.12,11.31,719.5,-3.14,K
16/02/2022,11.78,11.81,11.9,11.44,539.8,0.51,K
15/02/2022,11.72,11.49,11.8,11.39,435.9,2.45,K
14/02/2022,11.44,11.02,11.48,10.92,542.9,3.91,K
11/02/2022,11.01,11.23,11.52,10.97,525.8,-2.13,K
10/02/2022,11.25,11.1,11.29,10.91,405.3,1.35,K
09/02/2022,11.1,11.1,11.41,10.99,324.9,-0.09,K
08/02/2022,11.11,10.86,11.11,10.78,488.3,1.0,K
07/02/2022,11.0,11.22,11.22,10.77,501.5,-1.61,K
04/02/2022,11.18,11.74,11.76,11.16,384.8,-4.77,K
03/02/2022,11.74,11.72,11.91,11.45,554.6,-0.68,K
02/02/2022,11.82,11.68,11.88,11.48,572.8,1.03,K
01/02/2022,11.7,11.62,12.11,11.44,785.5,1.12,K
31/01/2022,11.57,11.38,11.6,11.25,601.5,1.85,K
28/01/2022,11.36,11.31,11.53,11.15,572.1,0.26,K
27/01/2022,11.33,11.41,11.64,11.24,840.9,0.18,K
26/01/2022,11.31,11.6,11.73,11.21,850.2,-1.31,K
25/01/2022,11.46,10.76,11.81,10.75,1.08,6.41,M
24/01/2022,10.77,10.82,11.03,10.58,746.6,-0.46,K
21/01/2022,10.82,10.7,10.86,10.56,582.4,0.74,K
20/01/2022,10.74,10.5,10.92,10.45,559.5,2.09,K
19/01/2022,10.52,10.06,10.55,10.06,1.2,4.99,M
18/01/2022,10.02,9.83,10.06,9.77,316.0,0.4,K
17/01/2022,9.98,10.08,10.08,9.83,195.8,1.73,K
14/01/2022,9.81,9.83,9.88,9.53,394.0,1.03,K
13/01/2022,9.71,9.68,9.74,9.45,524.4,0.21,K
12/01/2022,9.69,9.6,9.9,9.56,502.1,-0.31,K
11/01/2022,9.72,9.67,9.83,9.43,436.4,2.21,K
10/01/2022,9.51,9.43,9.54,9.3,470.9,-0.31,K
07/01/2022,9.54,9.7,9.7,9.38,571.7,-0.63,K
06/01/2022,9.6,9.46,9.73,9.22,499.7,2.02,K
05/01/2022,9.41,9.94,9.98,9.41,956.9,-4.18,K
04/01/2022,9.82,10.15,10.2,9.75,690.6,-2.29,K
03/01/2022,10.05,10.56,10.72,10.0,811.5,-4.19,K
