Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,14.81,14.15,14.81,13.42,2.47,-0.27,M
23/02/2022,14.85,14.35,14.93,14.26,1.53,2.77,M
22/02/2022,14.45,13.9,15.65,13.9,4.23,3.96,M
21/02/2022,13.9,14.33,14.43,13.54,3.06,-3.34,M
18/02/2022,14.38,15.04,15.32,14.27,2.36,-4.13,M
17/02/2022,15.0,15.2,15.22,14.52,1.62,-1.32,M
16/02/2022,15.2,15.35,15.35,14.86,845.5,-0.46,K
15/02/2022,15.27,14.7,15.46,14.66,1.83,4.45,M
14/02/2022,14.62,14.83,15.15,14.61,1.25,-1.55,M
11/02/2022,14.85,15.07,15.24,14.34,2.16,-1.39,M
10/02/2022,15.06,14.97,15.27,14.6,650.0,0.8,K
09/02/2022,14.94,14.79,15.5,14.59,774.0,0.54,K
08/02/2022,14.86,14.86,15.08,14.52,904.8,-0.2,K
07/02/2022,14.89,14.94,15.08,14.63,1.04,-0.6,M
04/02/2022,14.98,14.99,15.18,13.87,2.19,1.77,M
03/02/2022,14.72,14.84,14.99,14.36,1.17,-0.74,M
02/02/2022,14.83,14.83,15.13,14.41,2.05,0.0,M
01/02/2022,14.83,15.35,15.52,14.6,2.09,-2.82,M
31/01/2022,15.26,14.16,15.46,14.12,2.31,7.62,M
28/01/2022,14.18,14.35,14.41,13.95,1.88,-1.46,M
27/01/2022,14.39,13.82,14.42,13.71,2.36,5.19,M
26/01/2022,13.68,13.35,14.1,13.3,3.96,3.95,M
25/01/2022,13.16,12.43,13.16,12.08,5.4,5.28,M
24/01/2022,12.5,12.72,12.8,11.75,4.09,-2.8,M
21/01/2022,12.86,12.87,13.26,12.53,1.7,-1.08,M
20/01/2022,13.0,11.54,13.08,11.44,3.38,13.34,M
19/01/2022,11.47,11.2,11.74,11.12,1.41,2.59,M
18/01/2022,11.18,11.74,11.74,11.08,1.56,-5.57,M
17/01/2022,11.84,11.54,11.94,11.44,768.4,2.25,K
14/01/2022,11.58,12.02,12.18,11.39,2.14,-4.38,M
13/01/2022,12.11,12.3,12.5,11.75,2.35,-2.34,M
12/01/2022,12.4,12.25,12.63,12.07,1.96,1.39,M
11/01/2022,12.23,11.25,12.37,11.18,1.68,6.81,M
10/01/2022,11.45,10.96,11.78,10.89,2.2,4.66,M
07/01/2022,10.94,11.0,11.38,10.81,1.03,-1.08,M
06/01/2022,11.06,11.09,11.25,10.61,1.91,0.64,M
