Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,10.72,10.27,10.77,10.13,3.66,-1.65,M
23/02/2022,10.9,11.01,11.36,10.84,2.66,-0.18,M
22/02/2022,10.92,10.58,10.98,10.53,2.58,5.51,M
21/02/2022,10.35,11.01,11.06,10.35,1.46,-6.33,M
18/02/2022,11.05,11.35,11.37,10.89,1.8,-0.63,M
17/02/2022,11.12,11.49,11.49,11.12,1.09,-3.3,M
16/02/2022,11.5,11.5,11.51,11.24,1.15,1.05,M
15/02/2022,11.38,11.2,11.48,11.15,1.12,2.61,M
14/02/2022,11.09,10.68,11.17,10.68,1.37,2.88,M
11/02/2022,10.78,11.14,11.35,10.61,2.09,-2.71,M
10/02/2022,11.08,11.19,11.42,10.99,1.13,0.36,M
09/02/2022,11.04,10.8,11.19,10.77,855.0,2.32,K
08/02/2022,10.79,10.9,11.11,10.76,1.4,-1.37,M
07/02/2022,10.94,10.71,11.06,10.57,1.42,1.67,M
04/02/2022,10.76,11.19,11.19,10.68,1.55,-3.58,M
03/02/2022,11.16,11.33,11.46,11.05,1.49,-0.45,M
02/02/2022,11.21,11.23,11.57,11.01,2.54,0.81,M
01/02/2022,11.12,11.25,11.3,10.95,1.26,0.45,M
31/01/2022,11.07,10.92,11.24,10.78,2.54,1.47,M
28/01/2022,10.91,10.7,10.91,10.45,1.29,1.77,M
27/01/2022,10.72,10.89,11.04,10.58,1.63,-0.09,M
26/01/2022,10.73,10.49,10.98,10.45,2.99,3.37,M
25/01/2022,10.38,9.82,10.4,9.79,2.25,4.85,M
24/01/2022,9.9,10.03,10.03,9.69,1.38,-1.59,M
21/01/2022,10.06,9.61,10.17,9.56,2.62,4.14,M
20/01/2022,9.66,9.14,10.05,9.14,4.44,6.15,M
19/01/2022,9.1,9.1,9.27,8.98,1.69,0.66,M
18/01/2022,9.04,9.28,9.31,8.91,1.34,-3.42,M
17/01/2022,9.36,9.35,9.49,9.22,992.1,-0.74,K
14/01/2022,9.43,9.18,9.44,8.97,1.58,2.17,M
13/01/2022,9.23,9.75,9.77,9.19,1.84,-5.04,M
12/01/2022,9.72,9.35,9.81,9.26,2.35,4.52,M
11/01/2022,9.3,8.98,9.45,8.97,1.26,2.54,M
10/01/2022,9.07,9.49,9.5,8.93,3.64,-5.32,M
07/01/2022,9.58,9.69,9.72,9.37,1.87,-1.74,M
06/01/2022,9.75,10.0,10.0,9.35,4.16,-1.12,M
05/01/2022,9.86,10.41,10.47,9.73,4.67,-6.36,M
04/01/2022,10.53,11.13,11.22,10.45,2.8,-5.31,M
03/01/2022,11.12,11.79,11.82,11.02,1.81,-4.79,M
30/12/2021,11.68,11.25,11.73,11.05,2.8,3.82,M
29/12/2021,11.25,11.48,11.59,11.12,1.08,-2.26,M
28/12/2021,11.51,11.59,11.78,11.41,1.59,-0.78,M
27/12/2021,11.6,11.69,11.84,11.41,1.86,-1.19,M
23/12/2021,11.74,12.03,12.03,11.53,1.21,-2.17,M
22/12/2021,12.0,11.98,12.18,11.55,2.31,0.33,M
21/12/2021,11.96,12.32,12.41,11.96,1.57,-2.84,M
20/12/2021,12.31,12.5,12.54,11.82,3.13,-1.6,M
17/12/2021,12.51,12.06,12.71,11.98,4.39,1.96,M
16/12/2021,12.27,12.6,12.85,12.04,1.78,-0.41,M
15/12/2021,12.32,12.0,12.51,11.81,2.06,2.5,M
14/12/2021,12.02,12.28,12.34,11.87,1.96,-1.31,M
13/12/2021,12.18,12.38,12.59,11.97,2.8,-0.16,M
10/12/2021,12.2,12.38,12.41,11.78,1.8,4.36,M
09/12/2021,11.69,11.88,11.95,11.59,1.34,-2.42,M
08/12/2021,11.98,11.29,12.03,11.11,1.97,7.44,M
07/12/2021,11.15,11.38,11.59,11.13,1.76,-0.18,M
06/12/2021,11.17,11.23,11.4,10.94,1.93,1.09,M
03/12/2021,11.05,10.5,11.3,10.5,2.99,6.25,M
02/12/2021,10.4,10.19,10.55,10.13,1.92,3.59,M
01/12/2021,10.04,10.62,11.0,10.03,2.2,-4.65,M
30/11/2021,10.53,10.65,10.77,10.1,2.66,-1.96,M
29/11/2021,10.74,11.37,11.37,10.66,1.66,-2.81,M
26/11/2021,11.05,10.99,11.13,10.73,2.07,-2.64,M
25/11/2021,11.35,10.99,11.43,10.99,1.58,3.65,M
24/11/2021,10.95,10.65,11.37,10.64,3.19,1.77,M
23/11/2021,10.76,11.3,11.44,10.64,3.79,-4.69,M
22/11/2021,11.29,11.67,11.99,11.17,1.7,-3.83,M
19/11/2021,11.74,11.36,11.88,11.25,1.54,3.25,M
18/11/2021,11.37,11.01,11.59,11.01,1.53,1.7,M
17/11/2021,11.18,11.41,11.7,10.96,2.36,-3.12,M
16/11/2021,11.54,12.17,12.23,11.06,3.42,-2.12,M
12/11/2021,11.79,12.17,12.37,11.79,2.61,-3.91,M
11/11/2021,12.27,12.28,12.86,12.18,4.06,4.07,M
10/11/2021,11.79,11.68,12.11,11.46,2.62,1.99,M
09/11/2021,11.56,11.35,11.95,11.35,1.82,2.66,M
08/11/2021,11.26,11.67,11.67,11.11,1.84,-1.4,M
05/11/2021,11.42,11.3,11.71,11.18,1.8,2.24,M
04/11/2021,11.17,11.21,11.92,10.95,3.9,-0.71,M
03/11/2021,11.25,10.33,11.39,10.3,3.7,7.14,M
01/11/2021,10.5,10.5,10.85,10.45,3.67,2.44,M
29/10/2021,10.25,11.32,11.48,10.12,7.13,-5.0,M
28/10/2021,10.79,11.6,11.61,10.79,2.53,-5.85,M
27/10/2021,11.46,11.42,11.8,11.36,2.02,0.97,M
26/10/2021,11.35,12.0,12.04,11.28,3.06,-6.12,M
25/10/2021,12.09,11.65,12.46,11.63,3.66,2.54,M
22/10/2021,11.79,12.3,12.3,11.08,6.36,-6.06,M
21/10/2021,12.55,12.8,13.12,12.12,3.81,-5.43,M
20/10/2021,13.27,13.9,13.95,12.97,2.62,-3.56,M
19/10/2021,13.76,14.78,14.8,13.49,2.99,-6.39,M
18/10/2021,14.7,14.88,15.31,14.37,3.4,0.48,M
15/10/2021,14.63,13.85,14.87,13.67,4.13,7.34,M
14/10/2021,13.63,13.71,13.93,13.38,1.26,0.07,M
13/10/2021,13.62,13.54,13.98,13.42,1.33,1.11,M
11/10/2021,13.47,13.44,13.76,13.27,1.54,0.15,M
08/10/2021,13.45,13.32,13.72,13.25,1.97,1.82,M
07/10/2021,13.21,13.51,13.57,13.1,1.39,0.08,M
06/10/2021,13.2,12.85,13.2,12.51,2.4,0.84,M
05/10/2021,13.09,13.37,13.41,12.91,2.46,-1.95,M
04/10/2021,13.35,13.99,14.04,13.35,1.15,-4.64,M
01/10/2021,14.0,13.84,14.04,13.55,1.81,2.41,M
30/09/2021,13.67,13.9,13.92,13.46,1.97,-0.94,M
29/09/2021,13.8,14.04,14.2,13.68,1.15,-0.65,M
28/09/2021,13.89,14.4,14.43,13.67,2.03,-4.54,M
27/09/2021,14.55,14.66,14.73,14.3,1.31,0.48,M
24/09/2021,14.48,14.65,14.65,14.2,2.19,-1.5,M
23/09/2021,14.7,14.16,14.93,14.16,2.79,3.16,M
22/09/2021,14.25,14.5,14.75,14.11,1.79,1.64,M
21/09/2021,14.02,13.74,14.09,13.45,1.32,3.7,M
20/09/2021,13.52,13.63,13.75,13.26,2.29,-3.22,M
17/09/2021,13.97,14.34,14.54,13.97,5.61,-2.99,M
16/09/2021,14.4,14.63,14.91,14.39,1.23,-2.17,M
15/09/2021,14.72,14.71,14.84,14.35,1.1,-0.07,M
14/09/2021,14.73,14.88,15.11,14.45,1.86,-0.54,M
13/09/2021,14.81,14.19,15.0,14.07,2.47,5.11,M
10/09/2021,14.09,14.54,14.65,13.78,3.0,0.64,M
09/09/2021,14.0,13.42,14.4,13.31,3.08,2.26,M
08/09/2021,13.69,14.31,14.6,13.6,2.43,-5.0,M
06/09/2021,14.41,13.91,14.48,13.91,1.04,2.93,M
03/09/2021,14.0,14.3,14.45,13.87,4.71,-1.27,M
02/09/2021,14.18,14.87,14.91,14.04,3.4,-4.64,M
01/09/2021,14.87,14.85,15.24,14.38,3.49,0.13,M
31/08/2021,14.85,15.48,15.58,14.47,3.36,-4.07,M
30/08/2021,15.48,16.2,16.6,15.41,2.78,-4.44,M
27/08/2021,16.2,15.35,16.28,15.1,3.25,6.51,M
26/08/2021,15.21,15.55,15.78,15.06,2.7,-2.5,M
25/08/2021,15.6,15.37,15.89,15.25,2.19,1.5,M
24/08/2021,15.37,15.46,15.57,15.1,1.66,2.33,M
23/08/2021,15.02,14.94,15.33,14.7,2.14,0.81,M
20/08/2021,14.9,14.73,15.03,14.39,2.36,0.68,M
19/08/2021,14.8,13.9,14.95,13.59,3.47,2.78,M
18/08/2021,14.4,14.2,14.78,13.92,4.08,0.35,M
17/08/2021,14.35,13.8,14.35,13.1,8.54,0.07,M
16/08/2021,14.34,15.74,15.74,13.57,13.2,-9.53,M
13/08/2021,15.85,16.5,16.55,15.2,3.89,-3.35,M
12/08/2021,16.4,15.93,17.44,15.92,3.09,0.74,M
11/08/2021,16.28,16.6,16.99,15.74,2.45,-1.63,M
10/08/2021,16.55,17.05,17.22,16.55,2.36,-2.13,M
09/08/2021,16.91,16.7,17.0,16.52,2.02,2.64,M
06/08/2021,16.48,16.76,16.77,16.27,1.36,-0.08,M
05/08/2021,16.49,16.68,16.99,16.3,2.38,-1.02,M
04/08/2021,16.66,17.13,17.25,16.64,2.48,-2.73,M
03/08/2021,17.13,17.41,17.42,16.89,2.91,-2.0,M
02/08/2021,17.48,17.66,17.89,17.36,2.34,0.36,M
30/07/2021,17.41,17.23,17.66,17.01,3.08,0.94,M
29/07/2021,17.25,16.53,17.62,16.53,2.77,4.78,M
28/07/2021,16.46,16.51,17.09,16.07,2.51,0.11,M
27/07/2021,16.44,16.77,16.89,16.39,2.05,-2.26,M
26/07/2021,16.83,17.05,17.05,16.53,2.47,-0.74,M
23/07/2021,16.95,16.91,17.13,16.76,1.62,0.44,M
22/07/2021,16.88,16.6,17.14,16.57,2.32,1.93,M
21/07/2021,16.56,16.51,16.66,16.25,2.09,0.7,M
20/07/2021,16.44,16.13,16.56,16.03,1.32,2.18,M
19/07/2021,16.09,15.87,16.28,15.66,1.73,-0.06,M
16/07/2021,16.1,16.07,16.24,15.74,2.05,1.1,M
15/07/2021,15.93,15.78,16.08,15.55,2.02,1.08,M
14/07/2021,15.76,15.48,15.85,15.35,1.76,1.84,M
13/07/2021,15.47,15.29,15.49,15.19,1.59,0.44,M
12/07/2021,15.4,14.99,15.42,14.86,1.77,3.84,M
08/07/2021,14.83,14.67,14.83,14.44,2.07,0.0,M
07/07/2021,14.83,14.65,15.06,14.6,1.83,1.25,M
06/07/2021,14.65,14.84,14.84,14.35,1.81,-1.26,M
05/07/2021,14.84,14.75,14.98,14.64,1.16,0.41,M
02/07/2021,14.78,14.21,14.97,14.21,4.53,6.01,M
01/07/2021,13.94,14.13,14.52,13.93,3.97,0.25,M
30/06/2021,13.9,13.52,13.9,13.49,2.85,1.5,M
29/06/2021,13.7,13.68,13.81,13.14,2.65,0.05,M
28/06/2021,13.69,13.45,13.99,13.45,2.7,0.55,M
25/06/2021,13.62,13.57,13.75,13.42,1.85,-0.95,M
24/06/2021,13.75,14.01,14.01,13.41,2.9,-0.56,M
23/06/2021,13.82,13.82,13.91,13.58,2.52,0.55,M
22/06/2021,13.75,14.11,14.13,13.73,1.74,-2.57,M
21/06/2021,14.11,14.12,14.34,13.81,1.49,1.36,M
18/06/2021,13.92,13.8,14.09,13.56,3.47,1.25,M
17/06/2021,13.75,13.77,13.82,13.4,1.79,0.36,M
16/06/2021,13.7,13.63,13.75,13.36,1.56,0.74,M
15/06/2021,13.6,13.76,13.97,13.34,3.23,-1.09,M
14/06/2021,13.75,13.12,13.85,13.01,3.54,5.51,M
11/06/2021,13.03,13.18,13.18,12.61,1.71,-1.64,M
10/06/2021,13.25,13.25,13.36,13.11,1.89,0.76,M
09/06/2021,13.15,13.11,13.2,12.96,1.24,0.48,M
08/06/2021,13.09,13.13,13.24,12.84,2.0,-0.48,M
07/06/2021,13.15,13.18,13.4,13.0,2.12,-0.75,M
04/06/2021,13.25,13.25,13.38,13.09,1.8,0.0,M
02/06/2021,13.25,13.44,13.44,13.13,1.64,0.0,M
01/06/2021,13.25,13.04,13.47,12.92,3.53,2.0,M
31/05/2021,12.99,12.44,12.99,12.44,2.62,4.57,M
28/05/2021,12.42,12.47,12.61,12.27,1.68,-0.58,M
27/05/2021,12.49,12.45,12.49,12.19,2.68,0.77,M
26/05/2021,12.4,12.4,12.54,12.04,1.67,0.0,M
25/05/2021,12.4,12.29,12.51,12.18,1.55,1.41,M
24/05/2021,12.23,12.12,12.37,12.02,1.8,-0.35,M
21/05/2021,12.27,12.32,12.32,12.02,1.31,0.39,M
20/05/2021,12.23,12.02,12.27,11.95,1.83,2.3,M
19/05/2021,11.95,11.86,12.02,11.68,2.27,1.16,M
18/05/2021,11.81,11.83,12.16,11.68,2.37,0.66,M
17/05/2021,11.73,11.27,11.82,11.2,2.19,3.39,M
14/05/2021,11.35,11.75,11.88,11.31,2.02,-2.91,M
13/05/2021,11.69,11.33,11.73,11.27,2.94,3.7,M
12/05/2021,11.27,11.52,11.52,10.94,2.69,-2.15,M
11/05/2021,11.52,11.32,11.52,11.06,2.03,1.16,M
10/05/2021,11.39,11.65,11.71,11.32,1.96,-2.25,M
07/05/2021,11.65,11.67,11.68,11.39,2.22,1.97,M
06/05/2021,11.43,11.44,11.55,11.27,2.06,-0.15,M
05/05/2021,11.44,11.23,11.75,11.13,3.99,3.36,M
04/05/2021,11.07,10.88,11.19,10.77,3.27,1.79,M
03/05/2021,10.88,10.98,11.0,10.53,4.45,0.55,M
30/04/2021,10.81,10.55,10.81,10.28,4.71,2.14,M
29/04/2021,10.59,10.38,10.66,10.14,4.6,1.99,M
28/04/2021,10.38,9.71,10.42,9.69,4.39,7.11,M
27/04/2021,9.69,9.53,9.94,9.51,2.75,1.46,M
26/04/2021,9.55,9.68,9.68,9.45,1.67,-0.72,M
23/04/2021,9.62,9.8,9.83,9.44,1.81,-0.67,M
22/04/2021,9.69,10.04,10.05,9.66,2.17,-2.72,M
20/04/2021,9.96,10.07,10.29,9.86,2.1,-1.11,M
19/04/2021,10.07,9.9,10.16,9.9,1.9,1.5,M
16/04/2021,9.92,9.72,9.92,9.57,1.55,2.1,M
15/04/2021,9.72,9.6,9.84,9.6,1.85,1.27,M
14/04/2021,9.6,9.71,9.9,9.55,1.72,-1.41,M
13/04/2021,9.73,9.92,9.92,9.62,1.4,-1.9,M
12/04/2021,9.92,10.1,10.1,9.84,1.62,-1.6,M
09/04/2021,10.08,9.86,10.21,9.74,2.05,2.42,M
08/04/2021,9.85,9.72,10.01,9.66,1.42,1.36,M
07/04/2021,9.71,9.77,9.86,9.57,1.74,-0.86,M
06/04/2021,9.8,9.44,9.82,9.41,3.37,3.9,M
05/04/2021,9.43,9.45,9.51,9.28,1.68,1.63,M
01/04/2021,9.28,9.53,9.53,9.22,2.45,-0.13,M
31/03/2021,9.29,9.01,9.35,8.91,2.98,3.23,M
30/03/2021,9.0,8.72,9.08,8.66,1.98,3.28,M
29/03/2021,8.71,8.8,8.95,8.61,1.29,-1.71,M
26/03/2021,8.87,9.0,9.18,8.76,2.16,-1.33,M
25/03/2021,8.98,8.6,9.07,8.43,2.64,4.27,M
24/03/2021,8.62,8.97,9.06,8.51,2.02,-4.28,M
23/03/2021,9.0,9.2,9.23,8.88,1.71,-2.69,M
22/03/2021,9.25,9.09,9.27,8.9,1.88,1.36,M
19/03/2021,9.13,9.04,9.25,8.89,2.12,0.63,M
18/03/2021,9.07,9.28,9.67,8.99,3.14,-2.23,M
17/03/2021,9.28,9.05,9.37,8.99,2.92,0.73,M
16/03/2021,9.21,8.77,9.41,8.77,3.93,5.05,M
15/03/2021,8.77,8.73,8.95,8.66,2.3,0.43,M
12/03/2021,8.73,8.92,8.92,8.62,2.07,-1.32,M
11/03/2021,8.85,8.47,8.94,8.47,4.59,8.02,M
10/03/2021,8.19,8.42,8.42,7.99,6.71,-0.81,M
09/03/2021,8.26,8.45,8.62,8.14,3.26,-0.98,M
08/03/2021,8.34,8.95,8.98,8.26,6.47,-8.31,M
05/03/2021,9.09,9.08,9.14,8.62,4.61,1.33,M
04/03/2021,8.97,9.08,9.37,8.83,2.6,-0.88,M
03/03/2021,9.05,9.39,9.39,8.73,2.74,-2.78,M
02/03/2021,9.31,9.05,9.45,8.81,2.49,1.27,M
01/03/2021,9.2,9.34,9.52,9.1,3.08,-1.52,M
26/02/2021,9.34,9.58,9.62,9.17,3.17,-2.06,M
25/02/2021,9.53,9.89,9.95,9.3,2.42,-3.6,M
24/02/2021,9.89,9.9,10.12,9.81,2.82,-0.08,M
23/02/2021,9.9,9.99,10.12,9.8,2.3,-0.65,M
22/02/2021,9.96,9.7,10.32,9.48,4.05,-2.53,M
19/02/2021,10.22,10.2,10.38,10.02,1.76,0.2,M
18/02/2021,10.2,10.45,10.64,10.01,2.02,-1.54,M
17/02/2021,10.36,10.35,10.45,10.18,1.49,0.0,M
12/02/2021,10.35,10.39,10.47,10.16,1.7,-0.62,M
11/02/2021,10.42,10.58,10.71,10.31,1.82,0.41,M
10/02/2021,10.38,10.55,10.61,10.2,1.96,-1.53,M
09/02/2021,10.54,10.88,10.88,10.53,2.4,-1.99,M
08/02/2021,10.75,10.52,10.83,10.32,3.52,2.25,M
05/02/2021,10.52,10.06,10.94,9.95,28.68,5.15,M
04/02/2021,10.0,9.95,10.27,9.85,3.88,1.57,M
03/02/2021,9.85,9.55,9.95,9.47,2.26,3.1,M
02/02/2021,9.55,9.38,9.69,9.38,5.24,1.88,M
01/02/2021,9.38,8.95,9.52,8.76,6.14,6.5,M
29/01/2021,8.8,8.95,9.26,8.6,7.87,0.54,M
28/01/2021,8.76,8.46,8.94,8.36,7.88,3.47,M
27/01/2021,8.46,8.24,8.71,8.13,3.82,3.15,M
26/01/2021,8.2,8.6,8.68,8.18,2.31,-4.74,M
22/01/2021,8.61,8.73,8.86,8.48,2.06,-2.86,M
21/01/2021,8.87,9.09,9.15,8.68,1.86,-2.46,M
20/01/2021,9.09,9.34,9.4,8.95,2.15,-2.27,M
19/01/2021,9.3,9.55,9.55,9.0,3.84,1.52,M
18/01/2021,9.16,8.91,9.2,8.9,1.77,3.16,M
15/01/2021,8.88,8.92,9.0,8.73,1.46,-1.27,M
14/01/2021,8.99,8.92,9.09,8.76,2.43,2.32,M
13/01/2021,8.79,8.93,9.35,8.62,2.48,-1.7,M
12/01/2021,8.94,8.89,9.12,8.58,4.39,1.01,M
11/01/2021,8.85,8.36,8.85,8.28,3.52,5.11,M
08/01/2021,8.42,8.04,8.54,8.04,2.16,4.57,M
07/01/2021,8.05,8.21,8.37,8.05,2.43,-1.23,M
06/01/2021,8.15,8.46,8.54,8.15,3.42,-3.66,M
05/01/2021,8.46,8.3,8.64,8.03,3.76,1.01,M
04/01/2021,8.38,8.9,8.91,8.25,5.67,-4.65,M
30/12/2020,8.79,8.6,8.9,8.53,5.89,3.44,M
29/12/2020,8.5,8.46,8.58,8.25,3.07,0.56,M
28/12/2020,8.45,7.9,8.46,7.87,3.34,7.6,M
23/12/2020,7.85,7.52,7.91,7.49,4.08,7.97,M
22/12/2020,7.27,7.39,7.61,7.24,1.82,-1.08,M
21/12/2020,7.35,7.35,7.46,7.14,2.07,-1.92,M
18/12/2020,7.5,7.61,7.74,7.43,1.84,-2.42,M
17/12/2020,7.68,7.78,7.9,7.64,1.27,-1.27,M
16/12/2020,7.78,7.9,7.93,7.67,1.13,-1.2,M
15/12/2020,7.87,7.76,7.9,7.59,1.47,2.38,M
