Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,39.63,37.16,39.81,35.75,2.41,3.61,M
23/02/2022,38.25,39.27,39.59,37.62,1.91,-2.17,M
22/02/2022,39.1,38.62,39.35,38.56,2.49,2.2,M
21/02/2022,38.26,39.25,39.3,38.26,925.4,-2.35,K
18/02/2022,39.18,39.87,40.05,39.18,892.6,-1.19,K
17/02/2022,39.65,39.56,39.97,38.23,2.24,-0.25,M
16/02/2022,39.75,39.07,40.68,38.66,2.55,2.19,M
15/02/2022,38.9,38.87,39.06,38.02,1.5,1.25,M
14/02/2022,38.42,37.78,38.64,37.78,1.16,2.02,M
11/02/2022,37.66,37.87,38.52,37.57,1.35,0.0,M
10/02/2022,37.66,37.31,37.78,37.22,1.13,1.24,M
09/02/2022,37.2,36.76,37.53,36.55,1.0,2.37,M
08/02/2022,36.34,36.89,37.09,36.34,860.2,-1.28,K
07/02/2022,36.81,36.79,37.35,36.48,768.7,0.19,K
04/02/2022,36.74,36.42,36.79,35.73,767.4,0.91,K
03/02/2022,36.41,36.94,37.27,36.28,628.1,-1.38,K
02/02/2022,36.92,37.67,37.85,36.46,947.8,-1.23,K
01/02/2022,37.38,38.0,38.11,37.0,1.7,1.74,M
31/01/2022,36.74,36.86,37.57,36.46,1.27,-0.33,M
28/01/2022,36.86,36.63,37.12,36.33,1.13,0.82,M
27/01/2022,36.56,37.11,37.22,35.42,1.51,-0.46,M
26/01/2022,36.73,37.09,37.37,36.48,1.55,0.03,M
25/01/2022,36.72,36.1,37.04,36.1,1.46,0.99,M
24/01/2022,36.36,36.64,37.11,36.08,1.32,-0.93,M
21/01/2022,36.7,37.56,37.91,36.68,1.34,-2.73,M
20/01/2022,37.73,37.01,38.34,36.89,1.98,2.56,M
19/01/2022,36.79,35.39,37.05,35.23,1.93,5.05,M
18/01/2022,35.02,35.18,35.25,34.57,853.7,0.37,K
17/01/2022,34.89,35.68,35.78,34.5,788.4,-2.21,K
14/01/2022,35.68,35.41,36.47,35.41,1.42,1.13,M
13/01/2022,35.28,34.8,35.99,34.7,1.39,0.92,M
12/01/2022,34.96,33.58,35.26,33.48,1.11,4.64,M
11/01/2022,33.41,33.27,33.67,33.01,1.4,0.42,M
10/01/2022,33.27,33.57,33.67,33.12,741.1,-0.72,K
07/01/2022,33.51,33.4,33.84,33.04,906.8,0.33,K
06/01/2022,33.4,33.73,33.82,33.08,1.23,-0.12,M
05/01/2022,33.44,34.21,34.95,33.35,1.13,-2.65,M
04/01/2022,34.35,33.72,34.65,33.35,1.21,2.32,M
03/01/2022,33.57,34.46,34.67,33.57,684.0,-2.53,K
30/12/2021,34.44,34.32,34.75,34.13,794.1,0.61,K
29/12/2021,34.23,34.34,34.53,34.01,654.9,-0.35,K
28/12/2021,34.35,34.26,34.44,33.96,631.2,0.88,K
27/12/2021,34.05,34.46,34.46,33.91,578.9,0.44,K
23/12/2021,33.9,34.16,34.62,33.81,774.1,-0.76,K
22/12/2021,34.16,33.78,34.38,33.66,1.21,0.32,M
21/12/2021,34.05,34.04,34.44,33.38,1.46,0.38,M
20/12/2021,33.92,33.69,34.17,32.33,2.63,-3.09,M
17/12/2021,35.0,35.69,35.82,34.85,3.13,-2.4,M
16/12/2021,35.86,36.76,37.2,35.61,1.27,-2.71,M
15/12/2021,36.86,37.53,38.66,36.46,1.72,-1.31,M
