Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,13.18,12.45,13.44,12.33,3.35,0.0,M
23/02/2022,13.18,13.12,13.61,13.1,3.07,-0.15,M
22/02/2022,13.2,12.48,13.49,12.4,7.2,7.32,M
21/02/2022,12.3,12.79,12.94,12.2,2.83,-4.13,M
18/02/2022,12.83,13.0,13.07,12.77,2.45,-0.62,M
17/02/2022,12.91,13.37,13.54,12.91,1.9,-3.51,M
16/02/2022,13.38,13.51,13.59,13.17,3.18,-0.52,M
15/02/2022,13.45,12.97,13.63,12.97,2.81,4.02,M
14/02/2022,12.93,12.61,13.1,12.53,2.49,2.54,M
11/02/2022,12.61,12.9,13.17,12.4,3.52,-1.56,M
10/02/2022,12.81,13.05,13.21,12.49,4.27,-1.76,M
09/02/2022,13.04,13.12,13.53,12.75,4.85,-0.84,M
08/02/2022,13.15,13.21,13.35,12.9,5.77,-1.65,M
07/02/2022,13.37,13.69,13.72,13.2,3.19,-3.33,M
04/02/2022,13.83,13.8,13.86,12.96,5.57,0.22,M
03/02/2022,13.8,14.12,14.4,13.59,5.03,-2.13,M
02/02/2022,14.1,14.4,14.43,13.87,4.57,-1.61,M
01/02/2022,14.33,14.5,14.67,14.0,2.64,-1.17,M
31/01/2022,14.5,14.16,14.64,14.11,3.81,1.68,M
28/01/2022,14.26,14.28,14.51,13.95,4.43,-0.77,M
27/01/2022,14.37,13.75,14.6,13.55,16.58,5.58,M
26/01/2022,13.61,12.52,14.3,12.52,13.53,9.76,M
25/01/2022,12.4,11.82,12.56,11.63,6.61,4.2,M
24/01/2022,11.9,12.39,12.39,11.82,5.31,-4.19,M
21/01/2022,12.42,12.06,12.47,11.76,6.67,2.48,M
20/01/2022,12.12,11.17,12.25,11.13,9.56,9.19,M
19/01/2022,11.1,10.74,11.32,10.65,4.46,4.23,M
18/01/2022,10.65,10.84,11.09,10.57,4.15,-2.56,M
17/01/2022,10.93,11.06,11.16,10.73,2.59,-1.44,M
14/01/2022,11.09,11.08,11.11,10.72,3.35,0.45,M
