Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,17.19,15.46,17.25,15.14,1.3,5.59,M
23/02/2022,16.28,16.52,17.3,16.23,569.1,-1.39,K
22/02/2022,16.51,16.16,16.88,16.16,770.0,2.67,K
21/02/2022,16.08,17.16,17.16,16.08,558.8,-5.08,K
18/02/2022,16.94,16.87,17.19,16.71,818.5,0.36,K
17/02/2022,16.88,17.55,17.72,16.83,953.2,-3.82,K
16/02/2022,17.55,17.95,18.17,17.39,809.8,-2.06,K
15/02/2022,17.92,17.89,18.22,17.64,952.5,3.64,K
14/02/2022,17.29,17.26,17.58,16.96,609.1,0.23,K
11/02/2022,17.25,17.74,18.02,17.06,895.6,-1.99,K
10/02/2022,17.6,17.86,18.22,17.39,802.8,-1.4,K
09/02/2022,17.85,18.35,19.02,17.82,1.11,-2.72,M
08/02/2022,18.35,18.64,18.89,18.24,732.6,-1.71,K
07/02/2022,18.67,19.17,19.61,18.67,900.2,-2.35,K
04/02/2022,19.12,18.93,19.16,18.23,815.3,1.38,K
03/02/2022,18.86,19.12,19.46,18.73,1.1,-1.36,M
02/02/2022,19.12,19.24,19.92,18.82,1.47,-0.1,M
01/02/2022,19.14,19.0,19.48,18.49,1.54,0.42,M
31/01/2022,19.06,17.53,19.26,17.53,1.89,8.85,M
28/01/2022,17.51,17.36,17.74,17.12,1.02,0.81,M
27/01/2022,17.37,17.13,17.67,17.02,932.7,2.18,K
26/01/2022,17.0,16.38,17.4,16.28,1.27,4.81,M
25/01/2022,16.22,16.02,16.45,15.82,1.01,0.43,M
24/01/2022,16.15,15.86,16.38,15.43,1.38,1.83,M
21/01/2022,15.86,15.4,16.3,15.31,2.2,2.39,M
20/01/2022,15.49,13.87,15.65,13.83,2.48,12.41,M
19/01/2022,13.78,13.15,14.31,13.05,2.31,7.74,M
18/01/2022,12.79,13.65,13.65,12.79,1.18,-7.18,M
17/01/2022,13.78,13.12,13.78,13.12,450.9,4.47,K
14/01/2022,13.19,13.21,13.29,12.86,526.9,-0.3,K
13/01/2022,13.23,13.6,13.69,13.15,443.5,-2.14,K
12/01/2022,13.52,13.28,13.9,13.26,808.9,2.11,K
11/01/2022,13.24,13.0,13.38,12.77,715.8,2.16,K
10/01/2022,12.96,13.1,13.28,12.66,845.5,-1.59,K
07/01/2022,13.17,13.57,14.09,13.17,1.32,-3.02,M
06/01/2022,13.58,13.5,14.11,13.11,993.4,0.82,K
05/01/2022,13.47,15.07,15.07,13.47,1.28,-10.26,M
04/01/2022,15.01,15.93,16.06,15.01,1.06,-5.89,M
03/01/2022,15.95,16.71,16.92,15.76,671.9,-3.51,K
30/12/2021,16.53,16.48,16.75,16.28,741.7,0.73,K
29/12/2021,16.41,17.06,17.08,16.41,666.2,-3.24,K
28/12/2021,16.96,16.6,17.1,16.53,932.3,1.74,K
27/12/2021,16.67,17.05,17.14,16.51,1.34,-1.24,M
23/12/2021,16.88,16.99,17.41,16.33,2.14,6.03,M
22/12/2021,15.92,15.6,16.31,15.5,904.1,1.79,K
21/12/2021,15.64,15.8,16.09,15.27,1.0,-0.7,M
20/12/2021,15.75,15.85,15.96,15.46,929.1,-2.72,K
17/12/2021,16.19,15.7,16.19,15.45,851.6,1.31,K
16/12/2021,15.98,16.3,16.9,15.92,1.03,-1.6,M
15/12/2021,16.24,16.01,16.34,15.64,1.05,1.75,M
14/12/2021,15.96,17.0,17.26,15.92,1.01,-6.12,M
13/12/2021,17.0,17.5,18.02,17.0,928.0,-3.35,K
10/12/2021,17.59,17.23,17.83,17.06,1.25,4.45,M
09/12/2021,16.84,17.01,17.2,16.45,607.3,-2.6,K
08/12/2021,17.29,16.85,17.6,16.65,1.31,2.86,M
07/12/2021,16.81,16.62,17.01,16.58,905.8,2.25,K
