Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,6.62,6.4,6.62,6.3,4.37,-2.65,M
23/02/2022,6.8,6.88,6.95,6.75,2.49,-0.29,M
22/02/2022,6.82,6.78,6.89,6.65,4.67,1.49,M
21/02/2022,6.72,6.94,6.95,6.62,3.6,-3.17,M
18/02/2022,6.94,7.08,7.1,6.89,3.07,-1.7,M
17/02/2022,7.06,7.17,7.17,6.89,4.18,-1.81,M
16/02/2022,7.19,7.4,7.4,7.11,4.12,-1.91,M
15/02/2022,7.33,7.06,7.49,7.03,7.29,4.56,M
14/02/2022,7.01,6.81,7.1,6.79,3.63,2.79,M
11/02/2022,6.82,6.91,7.13,6.74,6.06,-1.59,M
10/02/2022,6.93,6.99,7.12,6.82,4.34,-0.86,M
09/02/2022,6.99,6.87,7.01,6.78,3.87,1.6,M
08/02/2022,6.88,7.02,7.09,6.82,3.31,-1.99,M
07/02/2022,7.02,7.18,7.24,6.97,3.4,-2.5,M
04/02/2022,7.2,7.24,7.29,6.99,4.11,-1.1,M
03/02/2022,7.28,7.14,7.42,7.13,4.23,1.96,M
02/02/2022,7.14,7.18,7.3,6.98,3.56,-0.14,M
01/02/2022,7.15,7.03,7.2,6.8,8.24,2.44,M
31/01/2022,6.98,6.68,7.32,6.6,10.9,4.65,M
28/01/2022,6.67,6.72,6.87,6.58,5.91,-1.04,M
27/01/2022,6.74,6.71,6.93,6.68,4.35,1.05,M
26/01/2022,6.67,6.45,6.98,6.4,5.68,4.06,M
25/01/2022,6.41,5.95,6.45,5.94,5.45,5.95,M
24/01/2022,6.05,6.05,6.09,5.83,3.68,-0.49,M
21/01/2022,6.08,5.97,6.14,5.87,3.78,1.33,M
20/01/2022,6.0,5.56,6.06,5.56,5.36,7.33,M
19/01/2022,5.59,5.58,5.74,5.54,3.08,0.18,M
18/01/2022,5.58,5.44,5.65,5.41,3.1,1.64,M
17/01/2022,5.49,5.82,5.84,5.43,6.47,-5.83,M
14/01/2022,5.83,5.64,5.88,5.58,3.43,2.64,M
13/01/2022,5.68,5.52,5.81,5.43,4.12,1.97,M
12/01/2022,5.57,5.31,5.6,5.26,4.92,4.7,M
11/01/2022,5.32,5.33,5.41,5.23,3.96,0.38,M
10/01/2022,5.3,5.51,5.51,5.15,6.5,-5.19,M
07/01/2022,5.59,5.52,5.7,5.42,4.58,1.27,M
06/01/2022,5.52,5.67,5.77,5.49,5.4,-1.78,M
05/01/2022,5.62,6.0,6.01,5.58,8.07,-6.8,M
04/01/2022,6.03,6.62,6.62,5.97,4.97,-8.08,M
03/01/2022,6.56,6.73,6.74,6.3,10.06,2.02,M
30/12/2021,6.43,6.24,6.47,6.12,8.15,3.88,M
29/12/2021,6.19,6.39,6.39,6.18,2.4,-2.37,M
28/12/2021,6.34,6.4,6.54,6.32,1.9,-0.94,M
27/12/2021,6.4,6.33,6.44,6.27,2.1,1.75,M
23/12/2021,6.29,6.39,6.44,6.23,2.4,-1.56,M
22/12/2021,6.39,6.29,6.49,6.15,3.65,-2.44,M
21/12/2021,6.55,6.59,6.62,6.35,3.69,0.46,M
20/12/2021,6.52,6.81,6.85,6.49,5.35,-5.78,M
17/12/2021,6.92,6.54,6.94,6.44,11.04,5.65,M
16/12/2021,6.55,6.77,6.88,6.48,3.91,-1.95,M
15/12/2021,6.68,6.77,6.85,6.64,3.43,-1.33,M
14/12/2021,6.77,6.85,6.94,6.68,3.83,-1.17,M
13/12/2021,6.85,6.92,6.99,6.79,3.44,-0.72,M
10/12/2021,6.9,6.77,6.93,6.64,4.48,2.37,M
09/12/2021,6.74,6.81,6.93,6.61,8.34,-1.32,M
08/12/2021,6.83,6.09,6.89,5.97,10.15,12.34,M
07/12/2021,6.08,6.3,6.41,5.93,7.6,-2.56,M
06/12/2021,6.24,6.2,6.37,6.14,4.58,0.97,M
03/12/2021,6.18,6.12,6.44,6.08,7.86,0.32,M
02/12/2021,6.16,5.9,6.19,5.77,4.75,5.3,M
01/12/2021,5.85,5.9,6.16,5.73,15.64,-2.34,M
30/11/2021,5.99,5.9,5.99,5.63,7.24,0.84,M
29/11/2021,5.94,6.17,6.23,5.86,4.92,-2.62,M
26/11/2021,6.1,6.01,6.17,5.91,4.47,-1.77,M
25/11/2021,6.21,6.18,6.38,6.15,3.83,0.65,M
24/11/2021,6.17,5.92,6.22,5.92,4.81,2.49,M
23/11/2021,6.02,6.05,6.05,5.71,4.94,2.38,M
22/11/2021,5.88,5.96,6.17,5.82,2.73,-0.68,M
19/11/2021,5.92,6.05,6.2,5.89,5.39,-1.66,M
18/11/2021,6.02,5.89,6.23,5.75,6.63,2.91,M
17/11/2021,5.85,5.94,6.08,5.74,4.49,-0.85,M
16/11/2021,5.9,6.08,6.13,5.81,3.77,-2.64,M
12/11/2021,6.06,6.31,6.31,6.0,4.43,-2.57,M
11/11/2021,6.22,6.01,6.46,5.94,6.44,4.89,M
10/11/2021,5.93,5.88,6.14,5.8,12.31,2.24,M
09/11/2021,5.8,5.64,6.05,5.64,8.89,3.57,M
08/11/2021,5.6,5.71,5.71,5.53,3.89,-1.93,M
05/11/2021,5.71,5.65,5.85,5.59,3.81,2.51,M
04/11/2021,5.57,5.79,5.9,5.48,8.37,-3.8,M
03/11/2021,5.79,5.64,5.95,5.48,11.1,1.4,M
01/11/2021,5.71,5.4,5.88,5.35,12.73,10.87,M
29/10/2021,5.15,5.41,5.41,4.89,23.08,-3.74,M
28/10/2021,5.35,5.77,5.86,5.34,8.11,-8.23,M
27/10/2021,5.83,5.81,5.95,5.76,5.61,0.87,M
26/10/2021,5.78,6.2,6.26,5.69,8.96,-7.37,M
25/10/2021,6.24,6.37,6.51,6.1,7.14,-0.79,M
22/10/2021,6.29,6.11,6.38,5.64,13.32,2.28,M
21/10/2021,6.15,6.61,6.65,6.09,11.58,-9.02,M
20/10/2021,6.76,7.01,7.05,6.7,3.41,-2.45,M
19/10/2021,6.93,7.36,7.42,6.85,7.85,-6.48,M
18/10/2021,7.41,7.4,7.55,7.28,2.04,-0.67,M
15/10/2021,7.46,7.37,7.52,7.17,4.76,1.22,M
14/10/2021,7.37,7.43,7.78,7.16,4.83,-0.14,M
13/10/2021,7.38,7.31,7.45,7.27,4.28,0.27,M
11/10/2021,7.36,7.53,7.56,7.35,2.06,-2.26,M
08/10/2021,7.53,7.31,7.62,7.28,2.47,3.58,M
07/10/2021,7.27,7.53,7.59,7.26,4.03,-2.81,M
06/10/2021,7.48,7.66,7.66,7.31,3.92,-3.36,M
05/10/2021,7.74,7.91,7.92,7.47,5.0,-1.53,M
04/10/2021,7.86,8.27,8.39,7.81,2.71,-4.73,M
01/10/2021,8.25,7.93,8.29,7.86,4.0,4.04,M
30/09/2021,7.93,8.05,8.08,7.8,4.66,-0.88,M
29/09/2021,8.0,8.15,8.23,7.87,5.82,-1.23,M
28/09/2021,8.1,8.17,8.17,7.87,2.9,-1.1,M
27/09/2021,8.19,8.34,8.4,8.07,4.3,-1.33,M
24/09/2021,8.3,8.07,8.33,7.97,2.28,2.22,M
23/09/2021,8.12,8.09,8.28,8.05,2.78,0.37,M
22/09/2021,8.09,7.71,8.25,7.71,5.85,6.45,M
21/09/2021,7.6,7.26,7.63,7.24,2.63,5.12,M
20/09/2021,7.23,7.34,7.34,7.11,2.77,-2.82,M
17/09/2021,7.44,7.57,7.64,7.4,5.53,-1.59,M
16/09/2021,7.56,7.63,7.75,7.51,2.07,-1.31,M
15/09/2021,7.66,7.67,7.73,7.53,1.77,0.0,M
14/09/2021,7.66,7.7,7.79,7.63,2.09,0.0,M
13/09/2021,7.66,7.65,7.84,7.57,3.62,1.32,M
10/09/2021,7.56,7.7,7.85,7.56,3.42,0.27,M
09/09/2021,7.54,7.33,7.61,7.21,2.71,2.17,M
08/09/2021,7.38,7.64,7.7,7.32,4.69,-5.14,M
06/09/2021,7.78,7.64,7.84,7.59,1.49,1.04,M
03/09/2021,7.7,7.69,7.73,7.48,2.33,1.05,M
02/09/2021,7.62,7.67,7.77,7.5,3.65,-1.42,M
01/09/2021,7.73,7.93,7.93,7.64,2.69,-1.78,M
31/08/2021,7.87,8.11,8.19,7.76,5.28,-2.84,M
30/08/2021,8.1,8.15,8.2,8.0,2.22,-0.74,M
27/08/2021,8.16,7.9,8.17,7.89,1.94,3.68,M
26/08/2021,7.87,8.11,8.13,7.8,2.7,-3.32,M
25/08/2021,8.14,8.06,8.19,7.96,2.55,0.62,M
24/08/2021,8.09,7.81,8.16,7.74,3.74,4.39,M
23/08/2021,7.75,7.98,8.0,7.67,5.53,-1.9,M
20/08/2021,7.9,7.7,7.94,7.5,7.27,1.94,M
19/08/2021,7.75,7.33,7.81,7.28,4.94,2.51,M
18/08/2021,7.56,7.62,7.72,7.28,9.73,-0.92,M
17/08/2021,7.63,7.21,7.67,6.96,14.57,3.39,M
16/08/2021,7.38,8.31,8.38,7.01,17.07,-12.14,M
13/08/2021,8.4,8.77,8.8,8.36,4.39,-4.55,M
12/08/2021,8.8,8.9,8.99,8.75,2.99,-1.01,M
11/08/2021,8.89,9.15,9.22,8.79,6.8,-1.44,M
10/08/2021,9.02,9.09,9.15,8.98,2.42,-0.33,M
09/08/2021,9.05,8.87,9.09,8.87,2.82,1.12,M
06/08/2021,8.95,9.01,9.05,8.79,2.37,0.11,M
05/08/2021,8.94,9.03,9.14,8.87,2.37,-0.67,M
04/08/2021,9.0,9.28,9.32,8.93,3.35,-3.23,M
03/08/2021,9.3,9.05,9.3,8.94,4.03,3.68,M
02/08/2021,8.97,9.0,9.2,8.73,16.37,-0.99,M
30/07/2021,9.06,9.29,9.3,8.95,4.15,-3.0,M
29/07/2021,9.34,9.3,9.4,9.17,1.9,0.43,M
28/07/2021,9.3,9.2,9.33,9.03,5.24,1.09,M
27/07/2021,9.2,9.44,9.49,9.05,3.26,-3.16,M
26/07/2021,9.5,9.52,9.77,9.43,3.37,0.11,M
23/07/2021,9.49,9.5,9.69,9.28,5.29,-0.11,M
22/07/2021,9.5,9.12,9.69,9.08,9.28,4.74,M
21/07/2021,9.07,9.07,9.09,8.9,2.06,0.55,M
20/07/2021,9.02,9.17,9.19,9.0,4.0,-1.85,M
19/07/2021,9.19,8.96,9.22,8.7,3.78,1.1,M
16/07/2021,9.09,9.32,9.39,9.05,4.65,-1.84,M
15/07/2021,9.26,9.61,9.65,9.22,7.59,-4.14,M
14/07/2021,9.66,9.97,9.99,9.59,5.14,-2.72,M
13/07/2021,9.93,9.53,9.94,9.49,4.43,3.87,M
12/07/2021,9.56,9.58,9.64,9.38,8.0,0.21,M
08/07/2021,9.54,9.48,9.57,9.34,3.26,-1.14,M
07/07/2021,9.65,9.45,9.73,9.33,4.78,2.99,M
06/07/2021,9.37,9.44,9.57,9.33,4.74,-0.74,M
05/07/2021,9.44,9.24,9.57,9.24,3.06,1.51,M
02/07/2021,9.3,9.26,9.43,9.18,4.59,0.32,M
01/07/2021,9.27,8.88,9.5,8.88,9.33,2.66,M
30/06/2021,9.03,9.07,9.07,8.9,4.13,-0.33,M
29/06/2021,9.06,9.21,9.21,8.88,3.06,-1.63,M
28/06/2021,9.21,9.16,9.23,9.04,2.42,0.66,M
25/06/2021,9.15,9.34,9.41,8.97,4.15,-1.93,M
24/06/2021,9.33,9.34,9.6,9.29,4.32,0.32,M
23/06/2021,9.3,9.24,9.36,9.2,2.66,0.54,M
22/06/2021,9.25,9.3,9.3,9.08,2.32,-0.54,M
21/06/2021,9.3,9.25,9.38,9.2,2.79,1.2,M
18/06/2021,9.19,9.33,9.35,9.19,8.24,-1.61,M
17/06/2021,9.34,9.39,9.45,9.16,4.11,-0.21,M
16/06/2021,9.36,9.19,9.44,9.08,5.89,2.52,M
15/06/2021,9.13,9.17,9.19,8.9,4.6,-0.44,M
14/06/2021,9.17,9.02,9.24,8.97,6.42,2.12,M
11/06/2021,8.98,9.13,9.15,8.84,4.76,-1.32,M
10/06/2021,9.1,9.2,9.23,8.92,3.25,-0.44,M
09/06/2021,9.14,9.2,9.4,8.98,6.87,-0.65,M
08/06/2021,9.2,9.19,9.24,9.08,4.2,0.44,M
07/06/2021,9.16,9.16,9.33,9.11,5.48,0.44,M
04/06/2021,9.12,8.88,9.24,8.84,7.46,2.82,M
02/06/2021,8.87,8.82,8.91,8.72,4.42,0.57,M
01/06/2021,8.82,9.05,9.12,8.75,8.94,-1.78,M
31/05/2021,8.98,8.65,8.98,8.61,7.05,4.3,M
28/05/2021,8.61,8.53,8.61,8.4,2.43,0.7,M
27/05/2021,8.55,8.5,8.65,8.38,5.91,0.83,M
26/05/2021,8.48,8.38,8.52,8.34,3.79,1.44,M
25/05/2021,8.36,8.33,8.53,8.32,2.86,0.48,M
24/05/2021,8.32,8.41,8.56,8.15,6.79,0.6,M
21/05/2021,8.27,8.51,8.54,8.24,3.13,-2.59,M
20/05/2021,8.49,8.53,8.68,8.38,6.08,-0.12,M
19/05/2021,8.5,8.42,8.57,8.33,6.31,-0.12,M
18/05/2021,8.51,8.53,8.68,8.21,12.1,0.71,M
17/05/2021,8.45,8.0,8.46,7.9,11.72,5.89,M
14/05/2021,7.98,7.85,8.03,7.81,6.74,2.7,M
13/05/2021,7.77,7.34,7.83,7.28,12.8,6.44,M
12/05/2021,7.3,7.47,7.54,7.23,6.41,-1.35,M
11/05/2021,7.4,7.42,7.5,7.35,3.83,-0.8,M
10/05/2021,7.46,7.43,7.6,7.37,7.8,0.67,M
07/05/2021,7.41,7.25,7.49,7.21,5.08,3.06,M
06/05/2021,7.19,7.3,7.33,7.1,4.14,-1.51,M
05/05/2021,7.3,7.25,7.31,7.16,3.57,1.11,M
04/05/2021,7.22,7.21,7.33,7.08,5.48,0.14,M
03/05/2021,7.21,7.02,7.21,6.92,6.57,2.12,M
30/04/2021,7.06,7.17,7.21,7.0,6.87,-1.81,M
29/04/2021,7.19,7.31,7.35,7.1,4.12,-1.64,M
28/04/2021,7.31,7.18,7.45,7.18,5.1,1.95,M
27/04/2021,7.17,7.25,7.33,7.12,2.54,-1.1,M
26/04/2021,7.25,7.29,7.38,7.18,3.16,0.28,M
23/04/2021,7.23,7.42,7.48,7.16,3.77,-1.77,M
22/04/2021,7.36,7.16,7.52,7.15,8.31,2.79,M
20/04/2021,7.16,7.15,7.18,6.97,4.39,1.13,M
19/04/2021,7.08,7.07,7.28,7.01,7.45,1.14,M
16/04/2021,7.0,7.29,7.32,6.96,6.78,-3.58,M
15/04/2021,7.26,7.32,7.37,7.24,3.7,-0.55,M
14/04/2021,7.3,7.22,7.37,7.2,10.26,1.39,M
13/04/2021,7.2,7.28,7.33,7.2,4.05,-1.23,M
12/04/2021,7.29,7.37,7.49,7.14,7.64,0.55,M
09/04/2021,7.25,7.25,7.33,7.12,8.02,0.0,M
08/04/2021,7.25,7.15,7.33,7.05,9.58,1.97,M
07/04/2021,7.11,7.4,7.62,7.0,35.62,5.02,M
06/04/2021,6.77,6.8,6.84,6.68,6.65,-0.44,M
05/04/2021,6.8,6.79,6.86,6.68,5.07,1.64,M
01/04/2021,6.69,6.9,6.95,6.58,9.56,-1.91,M
31/03/2021,6.82,6.7,6.92,6.69,4.62,1.94,M
30/03/2021,6.69,6.68,6.91,6.67,5.15,-0.15,M
29/03/2021,6.7,6.75,6.81,6.61,3.75,-0.89,M
26/03/2021,6.76,6.78,6.82,6.59,3.71,0.0,M
25/03/2021,6.76,6.55,6.83,6.37,5.88,3.36,M
24/03/2021,6.54,6.79,6.92,6.54,6.77,-3.68,M
23/03/2021,6.79,6.8,6.95,6.74,8.71,-0.73,M
22/03/2021,6.84,6.81,6.91,6.63,6.34,0.0,M
19/03/2021,6.84,6.68,6.95,6.63,5.89,2.86,M
18/03/2021,6.65,6.73,6.81,6.58,3.93,-1.19,M
17/03/2021,6.73,6.45,6.79,6.44,4.15,2.91,M
16/03/2021,6.54,6.94,7.07,6.48,11.52,-2.68,M
15/03/2021,6.72,6.54,6.78,6.49,6.84,2.75,M
12/03/2021,6.54,6.48,6.63,6.37,4.97,1.24,M
11/03/2021,6.46,5.91,6.47,5.86,11.38,11.57,M
10/03/2021,5.79,5.51,5.84,5.47,5.02,6.04,M
09/03/2021,5.46,5.4,5.68,5.32,5.43,3.02,M
08/03/2021,5.3,5.58,5.65,5.26,7.11,-6.69,M
05/03/2021,5.68,5.8,5.8,5.49,4.83,0.53,M
04/03/2021,5.65,5.72,5.89,5.6,5.82,-0.18,M
03/03/2021,5.66,5.78,5.83,5.39,7.15,-2.92,M
02/03/2021,5.83,5.76,5.92,5.51,9.38,-1.19,M
01/03/2021,5.9,5.81,5.9,5.65,6.53,1.9,M
26/02/2021,5.79,5.9,5.99,5.72,3.98,-1.36,M
25/02/2021,5.87,6.14,6.15,5.82,3.61,-4.55,M
24/02/2021,6.15,6.14,6.21,6.03,3.83,-0.16,M
23/02/2021,6.16,6.2,6.23,5.84,6.48,0.33,M
22/02/2021,6.14,6.24,6.27,6.05,7.78,-5.1,M
19/02/2021,6.47,6.62,6.7,6.43,3.36,-2.27,M
18/02/2021,6.62,6.59,6.65,6.55,4.65,0.61,M
17/02/2021,6.58,6.62,6.63,6.47,2.79,-0.6,M
12/02/2021,6.62,6.6,6.64,6.51,4.4,-0.15,M
11/02/2021,6.63,6.6,6.74,6.52,5.25,0.61,M
10/02/2021,6.59,6.55,6.65,6.46,6.82,0.61,M
09/02/2021,6.55,6.55,6.62,6.38,8.87,0.0,M
08/02/2021,6.55,6.46,6.73,6.37,7.24,2.18,M
05/02/2021,6.41,6.42,6.5,6.33,4.02,0.31,M
04/02/2021,6.39,6.6,6.6,6.32,9.63,-2.29,M
03/02/2021,6.54,6.53,6.65,6.49,8.34,0.93,M
02/02/2021,6.48,6.57,6.83,6.41,9.17,-0.15,M
01/02/2021,6.49,6.32,6.54,6.14,9.59,5.36,M
29/01/2021,6.16,6.2,6.34,5.97,7.85,-1.44,M
28/01/2021,6.25,5.99,6.29,5.96,6.65,4.17,M
27/01/2021,6.0,5.88,6.12,5.81,5.32,1.69,M
26/01/2021,5.9,6.09,6.21,5.78,8.7,-3.28,M
22/01/2021,6.1,6.15,6.17,5.98,6.09,-2.24,M
21/01/2021,6.24,6.23,6.31,6.2,6.13,0.16,M
20/01/2021,6.23,6.22,6.4,6.17,6.24,0.48,M
19/01/2021,6.2,6.05,6.35,5.93,10.62,4.73,M
18/01/2021,5.92,6.01,6.18,5.9,5.74,-1.33,M
15/01/2021,6.0,6.01,6.14,5.93,8.04,-1.48,M
14/01/2021,6.09,5.85,6.12,5.83,6.21,4.46,M
13/01/2021,5.83,5.77,6.02,5.7,12.6,1.04,M
12/01/2021,5.77,5.48,5.8,5.46,5.29,5.87,M
11/01/2021,5.45,5.48,5.74,5.4,6.42,-1.98,M
08/01/2021,5.56,5.31,5.58,5.31,7.74,5.1,M
07/01/2021,5.29,5.37,5.41,5.22,8.15,-0.94,M
06/01/2021,5.34,5.5,5.5,5.27,10.23,-2.73,M
05/01/2021,5.49,5.66,5.66,5.29,7.77,0.18,M
04/01/2021,5.48,5.3,5.53,5.23,10.7,4.38,M
30/12/2020,5.25,5.21,5.28,5.2,2.66,0.77,M
29/12/2020,5.21,5.26,5.29,5.2,2.51,-0.19,M
28/12/2020,5.22,5.11,5.27,5.11,6.11,2.35,M
23/12/2020,5.1,4.99,5.12,4.97,2.81,2.62,M
22/12/2020,4.97,5.18,5.2,4.91,7.52,-3.31,M
21/12/2020,5.14,5.16,5.25,5.06,6.74,-3.56,M
18/12/2020,5.33,5.03,5.36,4.98,13.53,5.96,M
17/12/2020,5.03,5.05,5.16,5.01,9.52,-0.4,M
16/12/2020,5.05,5.11,5.15,4.96,9.35,-0.2,M
15/12/2020,5.06,5.12,5.13,5.04,3.33,-0.59,M
14/12/2020,5.09,5.17,5.2,5.08,3.53,-0.97,M
11/12/2020,5.14,5.11,5.17,5.04,4.39,-0.58,M
10/12/2020,5.17,5.13,5.19,4.96,5.06,0.98,M
09/12/2020,5.12,5.15,5.25,5.1,5.89,0.0,M
08/12/2020,5.12,5.13,5.17,5.06,3.36,-0.19,M
07/12/2020,5.13,5.16,5.23,5.08,5.9,-0.97,M
04/12/2020,5.18,5.04,5.18,4.95,12.45,5.71,M
03/12/2020,4.9,4.91,5.08,4.85,7.25,0.2,M
02/12/2020,4.89,4.96,5.0,4.87,3.55,-1.81,M
01/12/2020,4.98,4.92,4.98,4.83,5.01,1.84,M
30/11/2020,4.89,4.89,4.94,4.69,7.1,0.0,M
27/11/2020,4.89,4.87,5.0,4.75,7.01,1.03,M
26/11/2020,4.84,4.94,5.02,4.83,4.89,-1.63,M
25/11/2020,4.92,4.65,5.04,4.65,14.48,5.58,M
24/11/2020,4.66,4.62,4.73,4.56,3.44,1.75,M
23/11/2020,4.58,4.67,4.7,4.58,3.21,-1.51,M
20/11/2020,4.65,4.67,4.7,4.6,3.1,0.22,M
19/11/2020,4.64,4.58,4.67,4.43,5.96,0.87,M
18/11/2020,4.6,4.49,4.69,4.41,6.99,2.22,M
17/11/2020,4.5,4.32,4.53,4.3,6.15,3.45,M
16/11/2020,4.35,4.28,4.41,4.22,6.08,2.59,M
13/11/2020,4.24,4.22,4.28,4.15,4.13,0.71,M
12/11/2020,4.21,4.35,4.35,4.12,4.97,-3.66,M
11/11/2020,4.37,4.35,4.39,4.12,5.02,0.46,M
10/11/2020,4.35,4.38,4.43,4.32,3.45,0.69,M
09/11/2020,4.32,4.46,4.53,4.28,4.13,-0.69,M
06/11/2020,4.35,4.31,4.44,4.24,6.76,-0.68,M
05/11/2020,4.38,4.16,4.38,4.15,5.27,6.05,M
04/11/2020,4.13,3.88,4.13,3.87,5.44,7.27,M
03/11/2020,3.85,4.0,4.04,3.8,4.56,-2.04,M
30/10/2020,3.93,3.95,3.97,3.8,3.89,-0.76,M
29/10/2020,3.96,3.96,4.02,3.78,3.45,-0.25,M
28/10/2020,3.97,4.04,4.07,3.94,4.79,-3.41,M
27/10/2020,4.11,4.19,4.24,4.11,2.04,-1.91,M
26/10/2020,4.19,4.28,4.29,4.11,2.79,-2.56,M
23/10/2020,4.3,4.3,4.32,4.25,3.03,0.47,M
22/10/2020,4.28,4.39,4.39,4.24,4.25,-2.51,M
21/10/2020,4.39,4.27,4.43,4.24,6.46,2.57,M
20/10/2020,4.28,4.24,4.28,4.17,3.93,1.66,M
19/10/2020,4.21,4.33,4.41,4.15,6.69,-2.55,M
16/10/2020,4.32,4.34,4.38,4.25,4.63,-0.23,M
15/10/2020,4.33,4.17,4.33,4.15,8.11,3.1,M
14/10/2020,4.2,4.11,4.28,4.1,5.92,2.69,M
13/10/2020,4.09,4.22,4.27,4.08,4.56,-2.15,M
09/10/2020,4.18,4.08,4.38,4.08,11.79,2.96,M
08/10/2020,4.06,4.09,4.1,4.01,4.13,-0.49,M
07/10/2020,4.08,4.17,4.2,4.03,6.6,-1.92,M
06/10/2020,4.16,4.14,4.27,4.07,6.53,1.22,M
05/10/2020,4.11,4.14,4.18,4.09,3.12,0.0,M
02/10/2020,4.11,4.15,4.22,4.06,7.83,-1.2,M
01/10/2020,4.16,4.06,4.17,3.92,10.45,3.23,M
30/09/2020,4.03,4.07,4.09,3.96,7.0,0.5,M
29/09/2020,4.01,4.05,4.18,3.96,15.09,-0.74,M
28/09/2020,4.04,4.23,4.39,3.98,21.0,-4.27,M
25/09/2020,4.22,4.28,4.32,4.17,24.92,-2.76,M
24/09/2020,4.34,4.72,4.75,4.33,13.59,-7.86,M
23/09/2020,4.71,4.84,4.89,4.67,2.05,-2.69,M
22/09/2020,4.84,4.85,4.9,4.72,1.84,-0.21,M
21/09/2020,4.85,4.88,4.9,4.76,3.19,-3.0,M
18/09/2020,5.0,5.13,5.17,4.86,4.2,-2.91,M
17/09/2020,5.15,5.12,5.17,5.07,2.73,0.59,M
16/09/2020,5.12,5.14,5.23,5.09,3.06,0.2,M
15/09/2020,5.11,5.22,5.26,4.96,5.57,-1.54,M
14/09/2020,5.19,5.05,5.21,5.03,3.32,3.8,M
