Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,35.64,38.0,38.21,34.0,52.08,15.19,M
23/02/2022,30.94,24.84,30.94,24.29,5.21,25.16,M
22/02/2022,24.72,24.54,25.76,24.54,2.6,0.94,M
21/02/2022,24.49,25.49,25.61,24.46,2.11,-4.89,M
18/02/2022,25.75,26.28,26.35,25.45,1.92,-1.19,M
17/02/2022,26.06,25.99,26.69,25.66,6.52,0.97,M
16/02/2022,25.81,25.62,25.97,25.44,1.75,0.9,M
15/02/2022,25.58,25.48,25.87,25.29,2.29,0.83,M
14/02/2022,25.37,25.49,25.71,25.06,2.3,-0.16,M
11/02/2022,25.41,25.27,26.04,25.21,3.35,0.67,M
10/02/2022,25.24,24.97,25.53,24.63,2.31,1.16,M
09/02/2022,24.95,24.48,25.04,24.39,4.06,1.88,M
08/02/2022,24.49,23.71,24.66,23.52,4.34,2.81,M
07/02/2022,23.82,23.92,24.15,23.47,2.43,-0.67,M
04/02/2022,23.98,24.79,24.8,23.42,3.38,-3.23,M
03/02/2022,24.78,24.81,25.4,24.4,3.71,0.12,M
02/02/2022,24.75,25.11,25.44,24.59,2.79,-1.28,M
01/02/2022,25.07,25.4,25.87,24.65,3.45,-1.3,M
31/01/2022,25.4,25.64,25.75,25.16,2.76,-1.13,M
28/01/2022,25.69,25.27,25.87,25.01,1.74,1.22,M
27/01/2022,25.38,25.25,25.94,25.1,3.69,1.32,M
26/01/2022,25.05,24.34,25.24,24.05,4.23,3.68,M
25/01/2022,24.16,22.94,24.35,22.8,2.78,4.45,M
24/01/2022,23.13,23.8,24.07,22.8,3.65,-3.67,M
21/01/2022,24.01,24.21,24.57,23.73,3.46,-1.48,M
20/01/2022,24.37,23.9,24.49,23.69,3.58,2.52,M
19/01/2022,23.77,22.8,23.88,22.62,4.06,5.46,M
18/01/2022,22.54,23.2,23.39,22.15,5.71,-2.63,M
17/01/2022,23.15,23.09,23.54,22.98,2.14,0.52,M
14/01/2022,23.03,23.26,23.34,22.88,1.85,-1.03,M
13/01/2022,23.27,23.65,23.67,23.05,3.63,-1.48,M
12/01/2022,23.62,22.82,23.74,22.72,3.37,3.55,M
11/01/2022,22.81,22.78,23.16,22.65,2.37,0.31,M
10/01/2022,22.74,23.39,23.5,22.36,3.12,-3.23,M
07/01/2022,23.5,24.06,24.13,23.03,4.34,-2.53,M
06/01/2022,24.11,24.36,24.53,23.69,4.61,-0.78,M
05/01/2022,24.3,24.42,24.77,24.02,3.4,-0.41,M
04/01/2022,24.4,25.8,26.01,24.32,3.73,-5.35,M
03/01/2022,25.78,27.15,27.59,25.71,4.05,-6.22,M
30/12/2021,27.49,25.92,27.7,25.75,5.51,6.84,M
29/12/2021,25.73,26.06,26.35,25.6,2.23,-1.53,M
28/12/2021,26.13,25.66,26.13,25.52,1.78,1.44,M
27/12/2021,25.76,25.45,25.8,25.45,1.96,1.22,M
23/12/2021,25.45,25.7,25.83,24.6,4.06,-1.74,M
22/12/2021,25.9,25.9,26.0,25.4,4.32,0.43,M
21/12/2021,25.79,25.82,25.95,25.43,2.47,-0.35,M
20/12/2021,25.88,26.0,26.12,25.61,1.82,-1.56,M
17/12/2021,26.29,25.9,26.29,25.52,3.07,1.12,M
16/12/2021,26.0,26.56,26.87,25.87,1.9,-1.37,M
15/12/2021,26.36,25.7,26.43,25.66,2.77,2.81,M
14/12/2021,25.64,26.29,26.8,25.64,2.46,-2.55,M
13/12/2021,26.31,26.59,26.75,25.97,1.83,-1.05,M
10/12/2021,26.59,26.18,26.86,26.18,2.06,1.96,M
09/12/2021,26.08,26.7,26.7,25.78,3.37,-3.12,M
08/12/2021,26.92,26.03,26.97,25.93,3.91,3.1,M
07/12/2021,26.11,26.38,26.64,26.02,3.11,0.0,M
06/12/2021,26.11,26.5,26.93,26.06,3.72,-1.36,M
03/12/2021,26.47,26.09,27.41,26.09,7.57,1.61,M
02/12/2021,26.05,24.5,26.07,24.5,5.22,6.98,M
01/12/2021,24.35,24.95,26.25,24.35,7.26,-2.44,M
30/11/2021,24.96,25.36,25.62,24.63,4.26,-1.81,M
29/11/2021,25.42,25.83,25.83,25.15,2.34,0.04,M
26/11/2021,25.41,26.48,26.48,25.41,3.11,-5.92,M
25/11/2021,27.01,26.72,27.27,26.7,2.03,0.67,M
24/11/2021,26.83,26.58,27.23,26.38,2.83,0.11,M
23/11/2021,26.8,26.97,27.22,26.4,4.09,0.0,M
22/11/2021,26.8,27.54,27.72,26.57,3.46,-2.9,M
19/11/2021,27.6,28.59,28.78,27.44,3.79,-3.4,M
18/11/2021,28.57,28.57,28.99,28.3,1.7,1.06,M
17/11/2021,28.27,29.39,29.49,28.01,7.79,-2.95,M
16/11/2021,29.13,29.63,29.72,28.85,3.71,-1.02,M
12/11/2021,29.43,29.43,29.98,29.25,3.72,0.2,M
11/11/2021,29.37,29.66,30.08,28.21,4.06,-1.04,M
10/11/2021,29.68,28.64,30.29,28.35,5.58,3.27,M
09/11/2021,28.74,28.07,28.92,27.96,2.93,2.39,M
08/11/2021,28.07,27.81,28.39,27.56,3.08,-0.25,M
05/11/2021,28.14,27.8,28.47,27.41,4.29,2.25,M
04/11/2021,27.52,27.48,28.08,27.03,4.6,0.15,M
03/11/2021,27.48,25.82,27.56,25.81,5.18,5.86,M
01/11/2021,25.96,26.16,26.35,25.74,2.97,-0.04,M
29/10/2021,25.97,25.77,26.46,25.24,5.77,1.48,M
28/10/2021,25.59,26.2,26.5,25.54,5.13,-3.29,M
27/10/2021,26.46,25.63,26.82,25.36,3.93,3.85,M
26/10/2021,25.48,25.81,25.9,25.2,3.55,-1.74,M
