Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,53.93,52.1,54.35,52.1,6.71,0.84,M
23/02/2022,53.48,57.03,57.05,52.99,18.66,-6.11,M
22/02/2022,56.96,57.25,57.92,56.67,3.68,0.05,M
21/02/2022,56.93,56.89,58.08,56.58,3.82,-0.19,M
18/02/2022,57.04,58.41,59.47,56.82,5.79,-1.5,M
17/02/2022,57.91,57.43,58.24,56.99,4.5,1.1,M
16/02/2022,57.28,57.28,58.09,57.2,5.24,0.02,M
15/02/2022,57.27,58.57,58.99,57.24,5.35,-1.87,M
14/02/2022,58.36,57.4,58.73,57.27,4.58,1.11,M
11/02/2022,57.72,58.51,58.85,57.3,7.32,-1.1,M
10/02/2022,58.36,61.0,61.0,57.71,14.07,-3.7,M
09/02/2022,60.6,61.09,61.81,60.2,5.57,0.23,M
08/02/2022,60.46,59.97,61.12,59.39,3.42,-0.15,M
07/02/2022,60.55,60.41,61.14,60.19,2.67,-0.05,M
04/02/2022,60.58,59.05,60.88,58.13,5.32,2.56,M
03/02/2022,59.07,59.51,60.05,58.82,4.2,-0.34,M
02/02/2022,59.27,59.64,60.32,59.27,3.21,-0.62,M
01/02/2022,59.64,58.76,60.5,58.75,5.35,0.74,M
31/01/2022,59.2,59.54,60.46,58.53,6.7,-0.17,M
28/01/2022,59.3,57.86,59.68,57.02,7.17,1.38,M
27/01/2022,58.49,55.75,58.69,55.68,12.53,5.12,M
26/01/2022,55.64,56.72,57.24,55.4,8.95,-1.89,M
25/01/2022,56.71,57.85,58.08,55.85,9.86,-2.59,M
24/01/2022,58.22,59.45,59.6,57.65,4.94,-2.3,M
21/01/2022,59.59,60.29,60.75,59.41,6.17,-1.19,M
20/01/2022,60.31,62.09,62.47,60.01,8.88,-2.49,M
19/01/2022,61.85,62.55,62.96,61.51,7.76,-1.59,M
18/01/2022,62.85,62.28,62.85,61.48,5.04,1.32,M
17/01/2022,62.03,62.37,62.5,61.82,2.29,-1.18,M
14/01/2022,62.77,62.31,63.42,62.15,4.92,0.38,M
13/01/2022,62.53,61.89,62.69,61.51,6.08,1.48,M
12/01/2022,61.62,59.53,61.88,59.17,11.21,3.51,M
11/01/2022,59.53,59.18,60.44,57.9,7.21,0.59,M
10/01/2022,59.18,59.39,61.29,58.2,5.91,-0.24,M
07/01/2022,59.32,59.81,59.89,58.83,3.77,-0.67,M
06/01/2022,59.72,60.32,60.75,59.45,4.23,-0.8,M
05/01/2022,60.2,61.0,61.37,59.85,5.77,-1.13,M
04/01/2022,60.89,60.0,61.14,59.34,5.3,2.18,M
03/01/2022,59.59,60.34,60.73,59.01,5.29,-0.87,M
30/12/2021,60.11,59.75,60.4,59.03,4.58,1.81,M
29/12/2021,59.04,59.78,59.89,58.94,2.62,-1.04,M
28/12/2021,59.66,60.58,60.58,59.42,1.78,-1.13,M
27/12/2021,60.34,60.39,60.98,59.92,2.71,0.25,M
23/12/2021,60.19,59.6,61.27,59.6,3.21,0.94,M
22/12/2021,59.63,60.1,60.1,58.71,3.11,-0.6,M
21/12/2021,59.99,59.89,60.51,59.64,3.53,0.17,M
