Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,6.3,6.39,6.53,6.19,779.6,-3.08,K
23/02/2022,6.5,6.68,6.68,6.5,429.0,-1.52,K
22/02/2022,6.6,6.51,6.71,6.41,720.4,1.23,K
21/02/2022,6.52,6.86,6.86,6.52,555.8,-4.96,K
18/02/2022,6.86,6.86,6.97,6.84,242.8,0.29,K
17/02/2022,6.84,6.87,6.92,6.79,309.7,-0.58,K
16/02/2022,6.88,6.85,7.02,6.85,320.3,-0.72,K
15/02/2022,6.93,6.72,6.93,6.72,312.1,2.51,K
14/02/2022,6.76,6.83,6.92,6.72,468.5,-1.02,K
11/02/2022,6.83,6.9,7.02,6.79,465.0,-0.44,K
10/02/2022,6.86,6.99,6.99,6.84,295.5,-1.01,K
09/02/2022,6.93,6.92,7.0,6.83,312.6,0.14,K
08/02/2022,6.92,6.88,6.99,6.88,265.3,-0.43,K
07/02/2022,6.95,7.12,7.15,6.86,316.4,-2.39,K
04/02/2022,7.12,7.26,7.26,7.01,431.4,-1.25,K
03/02/2022,7.21,7.09,7.33,7.09,714.8,0.42,K
02/02/2022,7.18,7.39,7.4,7.18,731.6,-1.51,K
01/02/2022,7.29,7.27,7.34,7.09,448.3,0.69,K
31/01/2022,7.24,7.17,7.27,7.09,623.8,0.98,K
28/01/2022,7.17,7.11,7.3,7.06,371.0,0.14,K
27/01/2022,7.16,7.12,7.34,7.1,423.2,-0.97,K
26/01/2022,7.23,7.19,7.35,7.03,725.2,0.7,K
25/01/2022,7.18,6.9,7.27,6.82,657.5,4.06,K
24/01/2022,6.9,6.88,7.0,6.79,511.0,0.0,K
21/01/2022,6.9,6.92,7.05,6.9,535.1,-1.85,K
20/01/2022,7.03,6.9,7.04,6.88,487.7,2.03,K
19/01/2022,6.89,6.69,6.89,6.69,529.8,2.23,K
18/01/2022,6.74,6.72,6.79,6.64,375.6,-0.74,K
17/01/2022,6.79,6.78,6.84,6.59,443.8,0.15,K
14/01/2022,6.78,6.64,6.78,6.53,501.4,1.19,K
13/01/2022,6.7,6.7,6.75,6.5,549.0,0.15,K
12/01/2022,6.69,6.5,6.69,6.49,936.4,3.4,K
11/01/2022,6.47,6.52,6.55,6.36,769.4,-0.77,K
10/01/2022,6.52,6.7,6.7,6.42,815.0,-3.55,K
07/01/2022,6.76,6.66,6.78,6.54,2.11,0.9,M
06/01/2022,6.7,6.99,6.99,6.65,1.1,-3.32,M
05/01/2022,6.93,7.33,7.35,6.9,1.07,-5.07,M
04/01/2022,7.3,7.26,7.47,7.23,1.41,0.55,M
03/01/2022,7.26,7.28,7.38,7.12,1.13,0.83,M
30/12/2021,7.2,7.29,7.37,7.07,2.14,-0.69,M
29/12/2021,7.25,6.94,7.29,6.82,2.02,5.99,M
28/12/2021,6.84,6.71,6.87,6.61,1.36,1.94,M
27/12/2021,6.71,6.82,6.9,6.64,1.08,-0.3,M
23/12/2021,6.73,6.59,6.81,6.47,1.57,2.12,M
22/12/2021,6.59,6.41,6.64,6.23,2.28,2.65,M
21/12/2021,6.42,6.9,7.01,6.36,4.42,-6.96,M
20/12/2021,6.9,7.75,7.83,6.81,6.74,-59.03,M
17/12/2021,16.84,16.5,16.9,16.11,11.64,2.18,M
16/12/2021,16.48,16.5,16.66,16.05,13.74,3.39,M
15/12/2021,15.94,16.25,16.35,15.51,12.15,11.16,M
14/12/2021,14.34,14.47,14.7,14.14,846.9,-1.04,K
13/12/2021,14.49,14.66,14.8,14.33,1.64,-0.21,M
10/12/2021,14.52,14.2,14.6,14.14,479.5,3.13,K
09/12/2021,14.08,14.3,14.45,14.06,441.2,-2.02,K
08/12/2021,14.37,13.92,14.5,13.85,740.3,3.23,K
07/12/2021,13.92,14.4,14.43,13.8,348.3,-2.93,K
06/12/2021,14.34,14.03,14.45,13.55,1.07,2.06,M
03/12/2021,14.05,13.79,14.66,13.68,1.33,2.86,M
02/12/2021,13.66,13.38,13.91,13.26,1.19,3.09,M
01/12/2021,13.25,12.8,13.67,12.52,635.3,6.43,K
30/11/2021,12.45,12.47,12.47,12.12,1.08,-0.88,M
29/11/2021,12.56,12.43,12.72,12.06,330.7,2.53,K
26/11/2021,12.25,12.48,12.5,12.07,1.19,-3.24,M
25/11/2021,12.66,12.56,12.92,12.42,167.4,0.88,K
24/11/2021,12.55,12.48,12.81,12.39,393.1,0.0,K
23/11/2021,12.55,12.99,12.99,12.41,355.4,-2.49,K
22/11/2021,12.87,13.31,13.39,12.52,250.1,-2.57,K
19/11/2021,13.21,13.1,13.48,12.93,209.5,0.84,K
18/11/2021,13.1,13.06,13.1,12.71,272.8,1.16,K
17/11/2021,12.95,13.05,13.29,12.38,904.1,-0.15,K
16/11/2021,12.97,14.15,14.15,12.86,458.2,-7.36,K
12/11/2021,14.0,13.78,14.15,13.7,509.5,1.38,K
11/11/2021,13.81,13.32,14.0,13.3,458.9,3.06,K
10/11/2021,13.4,13.23,13.78,13.23,735.0,1.44,K
09/11/2021,13.21,13.65,13.83,13.21,728.1,-2.87,K
08/11/2021,13.6,13.95,13.95,13.46,322.4,-2.72,K
05/11/2021,13.98,13.75,14.05,13.75,607.7,1.97,K
04/11/2021,13.71,13.71,13.96,13.31,534.9,-0.29,K
03/11/2021,13.75,13.07,14.13,13.07,834.1,4.09,K
01/11/2021,13.21,13.0,13.5,12.58,541.3,3.93,K
29/10/2021,12.71,12.1,13.01,12.08,462.4,2.75,K
28/10/2021,12.37,12.4,12.56,12.14,1.12,0.9,M
27/10/2021,12.26,11.48,12.35,11.4,420.9,4.97,K
26/10/2021,11.68,11.7,11.97,11.35,703.2,-2.59,K
25/10/2021,11.99,12.1,12.48,11.95,618.3,-0.66,K
22/10/2021,12.07,12.67,12.7,11.95,783.4,-4.36,K
21/10/2021,12.62,12.5,12.62,11.93,3.56,14.42,M
20/10/2021,11.03,11.16,11.5,11.03,736.1,-1.08,K
19/10/2021,11.15,11.71,11.75,11.15,409.5,-4.29,K
18/10/2021,11.65,11.32,11.75,11.1,1.24,3.1,M
15/10/2021,11.3,11.43,11.53,11.15,1.05,0.71,M
14/10/2021,11.22,11.14,11.42,11.09,459.5,-1.15,K
13/10/2021,11.35,10.68,11.6,10.57,747.5,7.38,K
11/10/2021,10.57,10.2,10.83,10.06,676.7,2.32,K
08/10/2021,10.33,9.92,10.57,9.91,484.1,3.71,K
07/10/2021,9.96,9.84,10.12,9.67,368.9,1.01,K
06/10/2021,9.86,10.01,10.14,9.41,976.9,-1.99,K
05/10/2021,10.06,10.55,10.55,9.91,542.1,-4.1,K
04/10/2021,10.49,10.77,10.77,10.28,389.5,-1.59,K
01/10/2021,10.66,10.21,10.77,10.21,449.8,3.6,K
30/09/2021,10.29,10.41,10.49,10.1,968.4,-0.19,K
29/09/2021,10.31,10.31,10.43,10.12,229.9,0.0,K
28/09/2021,10.31,10.49,10.5,10.1,336.4,-0.87,K
27/09/2021,10.4,10.49,10.58,10.21,272.0,0.68,K
24/09/2021,10.33,10.36,10.56,10.19,201.5,0.39,K
23/09/2021,10.29,10.34,10.54,10.19,362.0,-1.15,K
22/09/2021,10.41,10.5,10.76,10.27,277.2,-1.14,K
21/09/2021,10.53,10.75,10.75,10.27,181.7,0.19,K
20/09/2021,10.51,10.39,10.52,10.15,835.4,-2.41,K
17/09/2021,10.77,10.78,10.99,10.18,687.0,-0.55,K
16/09/2021,10.83,10.79,10.94,10.51,423.0,0.74,K
15/09/2021,10.75,10.9,11.09,10.58,208.4,-0.46,K
14/09/2021,10.8,10.69,10.8,10.36,123.5,0.19,K
13/09/2021,10.78,10.5,10.79,10.16,175.1,6.1,K
10/09/2021,10.16,10.7,10.86,10.16,326.0,-4.51,K
09/09/2021,10.64,10.3,10.67,10.22,316.7,3.1,K
08/09/2021,10.32,11.12,11.12,10.32,312.7,-7.28,K
06/09/2021,11.13,11.24,11.28,10.56,377.0,-1.5,K
03/09/2021,11.3,10.98,11.32,10.59,2.78,7.11,M
02/09/2021,10.55,10.56,10.68,10.26,404.9,0.57,K
01/09/2021,10.49,10.23,11.25,10.07,399.2,4.69,K
31/08/2021,10.02,10.56,10.73,10.02,415.1,-4.75,K
30/08/2021,10.52,10.3,10.52,10.17,252.4,2.14,K
27/08/2021,10.3,10.15,10.3,9.99,256.5,1.88,K
26/08/2021,10.11,10.36,10.46,9.93,276.9,-1.94,K
25/08/2021,10.31,10.01,10.52,10.01,276.6,1.68,K
24/08/2021,10.14,9.97,10.28,9.85,242.0,2.94,K
23/08/2021,9.85,9.88,10.01,9.64,700.4,0.0,K
20/08/2021,9.85,9.51,9.85,9.48,327.2,1.03,K
19/08/2021,9.75,9.56,9.75,9.37,572.2,1.04,K
18/08/2021,9.65,9.88,9.96,9.64,414.8,-1.53,K
17/08/2021,9.8,9.87,9.95,9.52,335.5,-0.41,K
16/08/2021,9.84,10.23,10.23,9.74,389.5,-3.72,K
13/08/2021,10.22,10.53,10.53,10.06,341.3,-1.45,K
12/08/2021,10.37,10.48,10.52,10.2,273.3,-0.96,K
11/08/2021,10.47,10.55,10.62,10.4,269.7,-1.23,K
10/08/2021,10.6,10.77,10.9,10.55,234.7,-2.3,K
09/08/2021,10.85,10.77,10.98,10.73,326.4,0.74,K
06/08/2021,10.77,11.02,11.02,10.77,275.7,-1.37,K
05/08/2021,10.92,11.2,11.29,10.92,298.2,-1.71,K
04/08/2021,11.11,11.27,11.38,11.11,191.5,-1.94,K
03/08/2021,11.33,11.46,11.49,11.18,240.8,-1.48,K
02/08/2021,11.5,11.35,11.55,11.25,192.4,2.04,K
30/07/2021,11.27,11.68,11.68,11.25,231.2,-3.68,K
29/07/2021,11.7,11.81,11.97,11.65,192.6,-0.76,K
28/07/2021,11.79,11.99,11.99,11.56,130.3,-0.42,K
27/07/2021,11.84,11.66,11.84,11.56,129.4,1.63,K
26/07/2021,11.65,11.79,11.81,11.64,168.4,-1.44,K
23/07/2021,11.82,12.11,12.15,11.82,128.4,-3.04,K
22/07/2021,12.19,12.07,12.26,12.06,187.6,1.16,K
21/07/2021,12.05,12.06,12.09,11.94,124.6,-0.25,K
20/07/2021,12.08,11.85,12.1,11.74,143.1,2.81,K
19/07/2021,11.75,11.84,12.01,11.66,176.6,-1.84,K
16/07/2021,11.97,12.1,12.1,11.82,120.5,-0.58,K
15/07/2021,12.04,11.9,12.08,11.83,122.7,1.26,K
14/07/2021,11.89,11.92,12.03,11.69,165.3,-0.42,K
13/07/2021,11.94,11.95,12.03,11.7,187.3,0.34,K
12/07/2021,11.9,11.56,12.04,11.45,135.4,4.02,K
08/07/2021,11.44,11.51,11.51,11.24,208.5,-0.52,K
07/07/2021,11.5,11.6,11.78,11.46,352.4,-0.86,K
06/07/2021,11.6,11.76,11.76,11.45,131.9,-1.36,K
05/07/2021,11.76,11.95,11.99,11.76,224.5,-1.18,K
02/07/2021,11.9,11.78,11.9,11.75,140.6,0.93,K
01/07/2021,11.79,11.96,12.08,11.64,248.4,-0.92,K
30/06/2021,11.9,11.84,11.94,11.61,324.3,0.51,K
29/06/2021,11.84,12.01,12.01,11.76,395.1,-1.42,K
28/06/2021,12.01,12.23,12.28,11.9,340.7,-1.15,K
25/06/2021,12.15,12.56,12.6,12.07,205.5,-3.03,K
24/06/2021,12.53,12.45,12.76,12.27,338.8,0.64,K
23/06/2021,12.45,12.47,12.49,12.23,160.7,-0.32,K
22/06/2021,12.49,12.33,12.49,12.1,199.3,1.22,K
21/06/2021,12.34,12.3,12.34,12.1,214.7,0.65,K
18/06/2021,12.26,12.11,12.32,12.11,158.5,1.24,K
17/06/2021,12.11,12.45,12.49,12.11,308.0,-3.43,K
16/06/2021,12.54,12.71,12.72,12.33,198.9,-1.65,K
15/06/2021,12.75,12.84,12.85,12.5,253.9,-0.16,K
14/06/2021,12.77,12.73,12.92,12.58,408.1,2.0,K
11/06/2021,12.52,13.08,13.08,12.52,346.0,-4.79,K
10/06/2021,13.15,12.82,13.15,12.5,317.6,3.14,K
09/06/2021,12.75,13.23,13.23,12.75,451.3,-2.89,K
08/06/2021,13.13,13.4,13.46,13.08,366.5,-2.01,K
07/06/2021,13.4,14.01,14.01,13.36,547.3,-4.35,K
04/06/2021,14.01,12.8,14.05,12.71,804.7,8.52,K
02/06/2021,12.91,12.66,13.4,12.6,546.7,0.62,K
01/06/2021,12.83,12.44,12.83,12.36,677.9,4.31,K
31/05/2021,12.3,12.29,12.52,12.28,310.2,-0.16,K
28/05/2021,12.32,12.37,12.41,12.26,309.4,-0.08,K
27/05/2021,12.33,12.2,12.39,12.1,476.1,1.48,K
26/05/2021,12.15,12.23,12.29,12.06,528.0,-0.57,K
25/05/2021,12.22,12.15,12.45,12.13,579.3,1.41,K
24/05/2021,12.05,12.51,12.52,12.05,307.4,-3.52,K
21/05/2021,12.49,12.42,12.72,12.23,375.9,-0.87,K
20/05/2021,12.6,12.15,12.6,12.08,396.7,4.56,K
19/05/2021,12.05,12.31,12.55,12.05,432.5,-2.03,K
18/05/2021,12.3,12.76,12.88,12.3,365.3,-4.28,K
17/05/2021,12.85,13.2,13.2,12.76,416.6,-2.65,K
14/05/2021,13.2,12.81,13.39,12.81,775.1,3.04,K
13/05/2021,12.81,12.27,12.81,12.26,400.8,3.31,K
12/05/2021,12.4,12.63,12.7,12.22,716.3,-2.9,K
11/05/2021,12.77,12.8,12.94,12.57,410.1,-1.16,K
10/05/2021,12.92,12.76,12.92,12.51,567.6,2.38,K
07/05/2021,12.62,12.34,12.78,12.34,535.7,1.77,K
06/05/2021,12.4,12.21,12.51,12.15,329.2,1.56,K
05/05/2021,12.21,12.17,12.28,12.0,291.6,0.91,K
04/05/2021,12.1,12.27,12.44,12.07,379.2,-2.58,K
03/05/2021,12.42,12.4,12.42,12.01,530.8,2.04,K
30/04/2021,12.17,11.96,12.29,11.83,1.42,-0.08,M
29/04/2021,12.18,11.88,12.34,11.76,439.0,2.17,K
28/04/2021,11.92,11.98,12.03,11.64,322.6,0.25,K
27/04/2021,11.89,11.99,12.2,11.88,309.0,-2.6,K
26/04/2021,12.21,12.22,12.32,12.02,305.2,-0.08,K
23/04/2021,12.22,12.23,12.43,12.12,285.3,-0.08,K
22/04/2021,12.23,12.41,12.52,12.14,418.3,-1.12,K
20/04/2021,12.37,12.17,12.72,12.03,696.0,0.4,K
19/04/2021,12.32,12.03,12.58,11.89,1.12,4.11,M
16/04/2021,11.83,11.72,11.9,11.62,1.93,0.76,M
15/04/2021,11.74,11.84,11.97,11.74,176.1,-0.25,K
14/04/2021,11.77,11.7,11.83,11.68,232.8,0.59,K
13/04/2021,11.7,11.68,11.71,11.52,162.4,0.94,K
12/04/2021,11.59,11.43,11.66,11.32,244.2,1.48,K
09/04/2021,11.43,11.38,11.49,11.22,236.2,0.52,K
08/04/2021,11.37,11.71,11.71,11.37,216.7,-2.97,K
07/04/2021,11.71,11.72,11.76,11.51,229.7,-1.09,K
06/04/2021,11.84,11.48,11.84,11.48,340.6,1.88,K
05/04/2021,11.62,11.63,11.81,11.51,267.2,0.52,K
01/04/2021,11.57,11.57,11.64,11.3,175.2,0.0,K
31/03/2021,11.57,11.67,11.67,11.32,404.5,-0.51,K
30/03/2021,11.62,11.27,11.75,11.13,464.0,3.54,K
29/03/2021,11.23,11.11,11.37,11.04,172.3,-0.44,K
26/03/2021,11.28,11.42,11.48,11.09,159.0,-1.13,K
25/03/2021,11.41,11.07,11.43,10.84,272.1,3.14,K
24/03/2021,11.06,11.17,11.48,11.06,282.4,-0.98,K
23/03/2021,11.17,11.38,11.58,11.12,252.3,-2.26,K
22/03/2021,11.43,11.12,11.61,11.12,328.8,1.77,K
19/03/2021,11.23,10.97,11.39,10.87,346.4,3.29,K
18/03/2021,10.87,11.32,11.32,10.79,433.5,-3.7,K
