Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,39.65,38.98,39.91,38.64,3.29,-0.05,M
23/02/2022,39.67,38.96,40.0,38.96,3.85,2.11,M
22/02/2022,38.85,37.94,38.94,37.94,4.28,2.64,M
21/02/2022,37.85,37.65,38.37,37.64,2.1,0.4,M
18/02/2022,37.7,37.85,38.23,37.67,3.7,0.91,M
17/02/2022,37.36,37.46,37.62,37.32,1.81,-0.11,M
16/02/2022,37.4,37.85,37.94,37.4,2.08,-1.03,M
15/02/2022,37.79,37.68,38.0,37.42,2.4,0.83,M
14/02/2022,37.48,37.68,37.83,37.37,2.0,-0.37,M
11/02/2022,37.62,37.97,38.0,37.51,1.7,-0.63,M
10/02/2022,37.86,37.76,38.08,37.64,1.61,0.45,M
09/02/2022,37.69,37.46,37.92,37.26,1.98,0.56,M
08/02/2022,37.48,37.66,37.99,37.48,1.75,-0.43,M
07/02/2022,37.64,37.62,38.14,37.59,2.04,-0.03,M
04/02/2022,37.65,37.89,37.95,37.52,2.1,-0.61,M
03/02/2022,37.88,37.63,38.07,37.62,1.86,0.96,M
02/02/2022,37.52,37.72,37.91,37.5,2.15,-0.24,M
01/02/2022,37.61,38.1,38.22,37.59,2.97,-1.47,M
31/01/2022,38.17,37.7,38.31,37.68,2.23,1.25,M
28/01/2022,37.7,37.77,37.91,37.4,2.01,-0.08,M
27/01/2022,37.73,37.79,37.97,37.45,1.71,0.37,M
26/01/2022,37.59,38.12,38.56,37.59,2.79,-1.05,M
25/01/2022,37.99,37.97,38.22,37.48,2.48,0.0,M
24/01/2022,37.99,38.0,38.5,37.88,2.21,0.03,M
21/01/2022,37.98,37.48,38.19,37.3,2.93,0.88,M
20/01/2022,37.65,36.83,37.94,36.83,3.28,2.28,M
19/01/2022,36.81,36.24,36.96,36.21,2.46,1.74,M
18/01/2022,36.18,36.07,36.35,36.04,1.84,0.3,M
17/01/2022,36.07,36.06,36.43,35.96,1.72,0.03,M
14/01/2022,36.06,36.05,36.16,35.94,2.06,0.06,M
13/01/2022,36.04,36.08,36.24,36.0,1.96,-0.03,M
12/01/2022,36.05,36.15,36.35,35.99,3.11,-0.33,M
11/01/2022,36.17,36.16,36.27,35.98,1.9,0.06,M
10/01/2022,36.15,36.17,36.4,36.1,1.78,0.11,M
07/01/2022,36.11,36.25,36.49,36.02,2.11,-0.08,M
06/01/2022,36.14,36.31,36.4,36.01,2.65,-0.19,M
05/01/2022,36.21,36.6,36.7,36.21,1.82,-1.07,M
04/01/2022,36.6,36.4,36.92,36.14,2.68,0.83,M
03/01/2022,36.3,36.37,36.76,36.09,3.45,-0.19,M
30/12/2021,36.37,36.27,36.44,36.19,2.24,0.47,M
29/12/2021,36.2,36.3,36.46,36.1,1.04,-0.25,M
28/12/2021,36.29,36.32,36.66,36.17,1.02,-0.06,M
27/12/2021,36.31,36.33,36.44,36.17,1.1,0.3,M
23/12/2021,36.2,36.33,36.55,36.04,1.15,-0.36,M
22/12/2021,36.33,36.21,36.47,36.02,1.76,0.3,M
21/12/2021,36.22,36.47,36.48,35.91,1.3,0.11,M
20/12/2021,36.18,36.56,36.58,36.12,1.57,-1.07,M
17/12/2021,36.57,36.58,37.06,36.43,2.13,-0.03,M
16/12/2021,36.58,36.41,37.0,36.32,2.34,0.63,M
15/12/2021,36.35,36.12,36.55,35.69,3.08,1.17,M
14/12/2021,35.93,36.12,36.64,35.87,1.87,-0.47,M
13/12/2021,36.1,35.71,36.12,35.55,2.19,1.4,M
10/12/2021,35.6,35.5,36.04,35.5,1.53,0.31,M
09/12/2021,35.49,35.65,35.77,35.35,1.71,-0.81,M
08/12/2021,35.78,36.0,36.18,35.62,2.52,-0.33,M
07/12/2021,35.9,36.72,36.88,35.88,2.87,-5.65,M
06/12/2021,38.05,38.07,38.57,37.97,3.51,1.04,M
03/12/2021,37.66,37.4,38.53,37.38,5.53,1.18,M
02/12/2021,37.22,36.9,37.9,36.78,3.86,3.68,M
01/12/2021,35.9,36.08,36.67,35.74,2.22,-0.36,M
30/11/2021,36.03,36.36,36.78,35.92,3.02,-0.8,M
29/11/2021,36.32,36.26,36.44,36.04,2.03,1.06,M
26/11/2021,35.94,35.7,36.11,35.48,2.54,0.11,M
25/11/2021,35.9,35.49,36.15,35.49,1.64,1.16,M
24/11/2021,35.49,35.62,35.77,35.32,1.94,-0.39,M
23/11/2021,35.63,35.42,35.63,35.01,2.06,1.11,M
22/11/2021,35.24,35.53,35.66,35.23,2.08,-0.68,M
19/11/2021,35.48,35.51,35.83,35.31,1.62,0.37,M
18/11/2021,35.35,35.42,35.92,35.31,1.78,-0.03,M
17/11/2021,35.36,35.86,36.02,35.23,2.54,-1.31,M
16/11/2021,35.83,36.7,36.7,35.54,2.84,-1.84,M
12/11/2021,36.5,36.72,37.18,36.5,1.84,-0.44,M
11/11/2021,36.66,37.37,37.64,36.66,2.77,-2.4,M
10/11/2021,37.56,36.9,37.82,36.88,1.98,1.76,M
09/11/2021,36.91,36.52,37.13,36.42,2.05,1.23,M
08/11/2021,36.46,36.72,37.15,36.31,2.6,-0.84,M
05/11/2021,36.77,37.18,37.42,36.72,2.52,-0.49,M
04/11/2021,36.95,37.55,37.77,36.95,2.81,-1.57,M
03/11/2021,37.54,36.72,37.97,36.7,3.55,2.01,M
01/11/2021,36.8,37.0,37.26,36.78,2.18,0.38,M
29/10/2021,36.66,37.14,37.19,36.65,3.02,-0.19,M
28/10/2021,36.73,36.78,37.53,36.7,2.6,-0.81,M
27/10/2021,37.03,36.71,37.43,36.71,2.6,0.84,M
26/10/2021,36.72,37.02,37.29,36.68,3.38,-1.29,M
25/10/2021,37.2,37.07,37.5,36.99,1.91,1.03,M
22/10/2021,36.82,37.34,37.35,36.3,4.38,-1.47,M
21/10/2021,37.37,37.42,37.77,36.9,3.56,-0.85,M
20/10/2021,37.69,37.5,38.08,37.3,2.5,0.53,M
19/10/2021,37.49,37.74,38.13,37.49,3.02,-1.26,M
18/10/2021,37.97,37.69,38.14,37.55,2.73,0.74,M
15/10/2021,37.69,37.73,38.07,37.69,2.59,0.45,M
14/10/2021,37.52,37.56,37.74,37.36,1.56,0.27,M
13/10/2021,37.42,36.56,37.56,36.56,2.3,2.38,M
11/10/2021,36.55,36.69,36.96,36.55,1.52,-0.08,M
08/10/2021,36.58,36.19,37.0,36.15,2.32,1.78,M
07/10/2021,35.94,36.0,36.32,35.68,1.98,0.45,M
06/10/2021,35.78,35.39,36.1,35.07,3.64,0.87,M
05/10/2021,35.47,35.87,35.94,35.47,2.41,-0.98,M
04/10/2021,35.82,35.8,35.91,35.54,1.9,-0.2,M
01/10/2021,35.89,36.2,36.23,35.87,1.97,0.14,M
30/09/2021,35.84,36.8,37.15,35.84,3.3,-2.0,M
29/09/2021,36.57,36.8,37.39,36.57,2.33,-0.44,M
28/09/2021,36.73,36.67,37.09,36.53,2.15,0.14,M
27/09/2021,36.68,36.75,37.18,36.61,2.11,0.05,M
24/09/2021,36.66,36.93,37.25,36.66,2.13,-1.03,M
23/09/2021,37.04,37.01,37.24,36.7,2.0,0.49,M
22/09/2021,36.86,36.99,37.34,36.71,1.76,0.05,M
21/09/2021,36.84,36.6,37.07,36.51,1.88,1.07,M
20/09/2021,36.45,35.47,36.65,35.46,3.19,0.0,M
17/09/2021,36.45,37.34,37.44,36.45,4.2,-2.38,M
16/09/2021,37.34,37.46,37.69,37.34,2.23,-0.37,M
15/09/2021,37.48,38.14,38.26,37.48,2.03,-1.45,M
14/09/2021,38.03,37.54,38.57,37.54,2.81,1.33,M
13/09/2021,37.53,37.41,37.79,37.23,2.38,1.35,M
10/09/2021,37.03,37.45,37.79,37.03,2.15,-0.16,M
09/09/2021,37.09,36.86,37.76,36.66,2.91,0.68,M
08/09/2021,36.84,37.78,37.92,36.82,3.68,-2.49,M
06/09/2021,37.78,37.59,38.22,37.45,1.85,0.61,M
03/09/2021,37.55,38.14,38.26,37.55,3.72,-0.5,M
02/09/2021,37.74,38.22,38.32,37.74,2.5,-0.97,M
01/09/2021,38.11,38.05,38.77,38.05,1.82,0.53,M
31/08/2021,37.91,38.29,38.54,37.91,1.78,-0.76,M
30/08/2021,38.2,37.99,38.36,37.5,2.3,0.42,M
27/08/2021,38.04,38.29,38.42,37.83,1.8,-0.26,M
26/08/2021,38.14,39.41,39.41,38.14,3.32,-3.71,M
25/08/2021,39.61,39.79,40.01,39.44,1.83,-0.83,M
24/08/2021,39.94,39.95,40.07,39.79,1.34,0.58,M
23/08/2021,39.71,40.46,40.46,39.63,2.5,-1.93,M
20/08/2021,40.49,39.56,40.49,39.56,1.73,1.35,M
19/08/2021,39.95,39.35,40.09,39.32,2.43,1.09,M
18/08/2021,39.52,39.93,40.13,39.5,2.07,-1.0,M
17/08/2021,39.92,39.63,40.09,39.23,2.84,0.68,M
16/08/2021,39.65,39.36,39.96,39.31,2.8,0.38,M
13/08/2021,39.5,39.43,39.73,39.16,2.33,0.2,M
12/08/2021,39.42,39.81,39.87,39.42,1.94,-0.35,M
11/08/2021,39.56,39.8,39.97,39.25,1.94,-0.1,M
10/08/2021,39.6,40.37,40.37,39.6,2.05,-1.52,M
09/08/2021,40.21,39.45,40.28,39.45,2.98,2.06,M
06/08/2021,39.4,39.19,39.88,39.1,2.29,0.82,M
05/08/2021,39.08,39.37,39.69,39.05,1.3,-0.61,M
04/08/2021,39.32,39.38,39.73,39.01,1.71,0.23,M
03/08/2021,39.23,39.55,39.56,39.08,1.97,-0.81,M
02/08/2021,39.55,38.21,39.75,38.04,3.46,4.08,M
30/07/2021,38.0,37.98,38.23,37.77,1.49,-0.26,M
29/07/2021,38.1,38.48,38.48,37.91,1.26,-0.81,M
28/07/2021,38.41,38.02,38.41,37.9,1.27,1.45,M
27/07/2021,37.86,37.69,38.21,37.67,1.64,0.13,M
26/07/2021,37.81,38.26,38.27,37.59,1.73,-0.92,M
23/07/2021,38.16,38.63,38.74,38.05,1.09,-1.11,M
22/07/2021,38.59,38.68,39.0,38.59,1.19,-0.13,M
21/07/2021,38.64,38.57,38.86,38.44,1.33,0.23,M
20/07/2021,38.55,38.2,38.86,38.01,1.65,1.37,M
19/07/2021,38.03,38.13,38.75,37.87,1.93,-0.45,M
16/07/2021,38.2,37.97,38.4,37.87,1.89,0.69,M
15/07/2021,37.94,38.05,38.2,37.65,1.27,-0.05,M
14/07/2021,37.96,37.97,38.27,37.64,1.79,0.58,M
13/07/2021,37.74,37.43,37.96,37.32,1.51,0.8,M
12/07/2021,37.44,37.72,37.78,37.29,2.37,0.16,M
08/07/2021,37.38,37.42,37.88,37.2,1.9,-1.45,M
07/07/2021,37.93,37.55,37.99,37.12,1.57,1.53,M
06/07/2021,37.36,37.63,37.68,37.31,1.34,-0.93,M
05/07/2021,37.71,37.64,37.78,37.18,1.11,0.8,M
02/07/2021,37.41,36.97,37.41,36.87,1.83,1.57,M
01/07/2021,36.83,37.0,37.09,36.41,1.74,-0.19,M
30/06/2021,36.9,37.32,37.43,36.71,2.2,-1.13,M
29/06/2021,37.32,37.83,37.94,37.21,1.9,-1.35,M
28/06/2021,37.83,37.87,38.17,37.55,2.19,0.34,M
25/06/2021,37.7,38.4,38.49,37.5,2.25,-1.49,M
24/06/2021,38.27,38.67,38.97,38.27,1.91,-0.62,M
23/06/2021,38.51,39.01,39.14,38.51,1.66,-1.31,M
22/06/2021,39.02,39.28,39.54,38.85,2.07,-1.14,M
21/06/2021,39.47,39.88,39.96,39.12,1.51,0.1,M
18/06/2021,39.43,39.87,40.26,39.43,2.48,-0.73,M
17/06/2021,39.72,40.02,40.34,39.43,1.54,-0.48,M
