Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,21.7,21.8,21.9,20.96,1.34,-1.5,M
23/02/2022,22.03,21.45,22.45,21.45,1.32,2.7,M
22/02/2022,21.45,21.34,21.8,21.26,752.6,0.94,K
21/02/2022,21.25,21.08,21.8,21.08,862.8,1.0,K
18/02/2022,21.04,21.31,21.48,21.0,672.1,-0.89,K
17/02/2022,21.23,21.71,21.97,21.23,631.8,-2.53,K
16/02/2022,21.78,21.68,22.55,21.65,1.21,0.46,M
15/02/2022,21.68,21.14,21.84,21.08,1.04,2.75,M
14/02/2022,21.1,21.13,21.4,20.9,609.9,0.0,K
11/02/2022,21.1,21.48,21.58,21.05,726.1,-1.31,K
10/02/2022,21.38,21.15,21.69,20.96,640.0,1.52,K
09/02/2022,21.06,21.42,21.89,21.01,931.4,-1.86,K
08/02/2022,21.46,21.49,21.77,21.29,348.5,-0.37,K
07/02/2022,21.54,21.53,21.74,21.34,384.8,-0.09,K
04/02/2022,21.56,20.94,21.56,20.73,858.2,3.16,K
03/02/2022,20.9,21.08,21.5,20.9,972.4,-0.52,K
02/02/2022,21.01,21.83,22.17,21.01,1.3,-3.58,M
01/02/2022,21.79,21.81,22.25,21.54,851.6,-0.5,K
31/01/2022,21.9,21.74,22.3,21.52,949.0,0.78,K
28/01/2022,21.73,21.55,21.99,21.33,618.1,0.32,K
27/01/2022,21.66,21.71,21.95,21.33,718.9,1.21,K
26/01/2022,21.4,21.74,22.12,21.32,751.5,-0.83,K
25/01/2022,21.58,21.09,21.75,21.0,437.3,1.31,K
24/01/2022,21.3,21.69,21.91,21.0,735.1,-2.07,K
21/01/2022,21.75,22.07,22.22,21.6,651.0,-2.2,K
20/01/2022,22.24,21.67,22.38,21.66,863.8,2.63,K
19/01/2022,21.67,22.12,22.46,21.6,592.0,-0.91,K
18/01/2022,21.87,21.98,22.13,21.3,671.2,-0.5,K
17/01/2022,21.98,21.51,22.69,21.51,602.9,0.59,K
14/01/2022,21.85,21.83,22.34,21.56,820.0,-0.18,K
13/01/2022,21.89,22.39,23.0,21.88,746.2,-2.8,K
12/01/2022,22.52,21.43,22.89,21.3,808.2,5.73,K
11/01/2022,21.3,21.15,21.56,20.99,427.2,0.42,K
10/01/2022,21.21,21.07,21.32,20.6,720.8,-0.28,K
07/01/2022,21.27,21.03,21.6,20.6,864.7,1.33,K
06/01/2022,20.99,21.19,21.64,20.7,1.08,-0.1,M
05/01/2022,21.01,23.59,23.66,21.01,2.37,-10.67,M
04/01/2022,23.52,24.69,24.71,23.51,885.2,-4.16,K
03/01/2022,24.54,25.0,25.05,24.28,610.9,-0.49,K
30/12/2021,24.66,24.91,25.1,24.52,1.09,-0.52,M
29/12/2021,24.79,24.07,24.89,23.81,1.28,4.2,M
28/12/2021,23.79,24.08,24.18,23.75,556.2,-0.92,K
27/12/2021,24.01,23.87,24.21,23.48,737.2,1.09,K
23/12/2021,23.75,23.95,24.4,23.74,674.3,-0.63,K
22/12/2021,23.9,24.01,24.48,23.6,720.8,-0.13,K
21/12/2021,23.93,24.28,24.42,23.7,477.8,-0.08,K
20/12/2021,23.95,23.9,24.28,23.41,745.7,-0.75,K
17/12/2021,24.13,24.07,24.68,23.8,838.2,0.25,K
16/12/2021,24.07,24.74,24.85,23.94,830.1,-1.35,K
15/12/2021,24.4,23.52,24.45,23.03,1.3,4.5,M
14/12/2021,23.35,24.42,24.68,23.17,1.18,-4.3,M
13/12/2021,24.4,24.29,25.79,24.11,1.44,0.95,M
10/12/2021,24.17,24.94,25.08,24.03,984.2,-1.83,K
09/12/2021,24.62,24.49,25.2,24.22,1.14,-0.77,M
08/12/2021,24.81,23.67,24.95,23.41,1.74,5.62,M
07/12/2021,23.49,23.93,24.19,23.45,1.08,-0.42,M
06/12/2021,23.59,22.67,23.6,22.39,969.8,5.97,K
03/12/2021,22.26,22.9,23.93,22.08,1.63,-2.79,M
02/12/2021,22.9,23.1,23.42,22.62,956.4,0.62,K
01/12/2021,22.76,22.62,23.37,22.2,1.2,2.29,M
30/11/2021,22.25,22.58,22.58,21.51,1.23,-1.46,M
29/11/2021,22.58,23.03,23.2,22.2,820.3,0.98,K
26/11/2021,22.36,22.0,22.66,21.62,1.3,-3.16,M
25/11/2021,23.09,21.97,23.11,21.75,1.01,5.92,M
24/11/2021,21.8,20.9,21.85,20.9,836.5,2.98,K
23/11/2021,21.17,20.62,21.17,20.39,782.6,3.27,K
22/11/2021,20.5,21.26,21.46,20.15,970.7,-2.66,K
19/11/2021,21.06,20.48,21.44,19.95,1.45,2.78,M
18/11/2021,20.49,20.8,21.28,20.29,1.03,-1.44,M
17/11/2021,20.79,21.85,22.18,20.74,1.29,-4.46,M
16/11/2021,21.76,22.75,23.02,21.64,1.06,-4.23,M
12/11/2021,22.72,23.95,24.35,22.69,1.43,-4.82,M
11/11/2021,23.87,24.78,24.78,23.68,1.42,-2.89,M
10/11/2021,24.58,24.74,24.95,23.7,1.92,1.4,M
09/11/2021,24.24,24.02,24.66,23.79,1.04,0.54,M
08/11/2021,24.11,23.87,24.29,23.67,1.07,2.29,M
05/11/2021,23.57,21.91,23.57,21.82,1.2,8.47,M
04/11/2021,21.73,21.72,22.36,21.24,780.6,0.14,K
03/11/2021,21.7,20.61,21.81,20.29,997.1,5.6,K
01/11/2021,20.55,20.65,21.24,20.33,967.3,0.88,K
29/10/2021,20.37,21.55,21.88,20.35,1.33,-5.48,M
28/10/2021,21.55,21.7,22.18,21.02,1.13,-0.51,M
27/10/2021,21.66,21.7,22.05,21.24,851.1,0.32,K
26/10/2021,21.59,22.35,22.89,21.59,1.1,-4.76,M
25/10/2021,22.67,22.58,23.45,22.39,1.2,1.52,M
22/10/2021,22.33,23.37,23.98,21.04,3.86,-5.98,M
21/10/2021,23.75,23.65,24.5,22.55,1.78,-1.94,M
20/10/2021,24.22,24.75,25.15,24.0,1.37,-1.14,M
19/10/2021,24.5,24.17,25.22,23.92,2.35,1.07,M
18/10/2021,24.24,23.09,24.27,22.92,1.56,4.26,M
15/10/2021,23.25,23.8,23.88,23.05,861.4,-1.23,K
14/10/2021,23.54,22.46,23.6,22.21,1.48,5.28,M
13/10/2021,22.36,22.43,23.23,22.34,1.22,-0.04,M
11/10/2021,22.37,21.4,22.69,21.4,1.2,4.48,M
08/10/2021,21.41,21.72,22.23,21.25,933.2,-0.88,K
07/10/2021,21.6,21.09,21.78,20.84,1.01,3.9,M
06/10/2021,20.79,20.05,20.82,19.4,1.57,2.67,M
05/10/2021,20.25,21.05,21.18,20.14,1.47,-3.8,M
04/10/2021,21.05,21.51,22.29,20.89,1.15,-2.95,M
01/10/2021,21.69,21.35,21.78,20.97,985.5,1.88,K
30/09/2021,21.29,21.48,22.15,20.76,1.57,0.33,M
29/09/2021,21.22,21.14,21.5,20.39,1.24,2.81,M
28/09/2021,20.64,21.38,21.46,20.27,1.44,-3.51,M
27/09/2021,21.39,22.19,22.54,21.21,1.13,-3.47,M
24/09/2021,22.16,22.25,22.61,21.9,711.5,-1.51,K
23/09/2021,22.5,22.4,22.94,22.22,815.0,1.12,K
22/09/2021,22.25,21.39,22.4,21.3,1.13,6.36,M
21/09/2021,20.92,21.05,21.47,20.5,965.2,1.31,K
20/09/2021,20.65,20.73,21.16,20.1,1.98,-4.62,M
