Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,3.5,3.4,3.55,3.25,815.2,0.86,K
23/02/2022,3.47,3.48,3.64,3.46,706.5,-0.29,K
22/02/2022,3.48,3.47,3.6,3.47,559.9,1.46,K
21/02/2022,3.43,3.62,3.68,3.41,453.5,-6.03,K
18/02/2022,3.65,3.68,3.79,3.63,363.6,-0.82,K
17/02/2022,3.68,3.84,3.86,3.67,364.0,-4.42,K
16/02/2022,3.85,3.83,3.95,3.78,405.8,0.0,K
15/02/2022,3.85,3.79,3.86,3.74,334.8,2.12,K
14/02/2022,3.77,3.59,3.77,3.52,752.3,4.43,K
11/02/2022,3.61,3.76,3.86,3.59,996.4,-2.96,K
10/02/2022,3.72,3.81,3.86,3.67,525.4,-1.85,K
09/02/2022,3.79,3.66,3.83,3.63,1.14,2.43,M
08/02/2022,3.7,3.65,3.75,3.59,291.7,0.0,K
07/02/2022,3.7,3.64,3.78,3.55,452.1,1.93,K
04/02/2022,3.63,3.82,3.84,3.59,891.8,-4.97,K
03/02/2022,3.82,3.85,3.89,3.72,422.4,1.6,K
02/02/2022,3.76,3.64,3.82,3.6,732.8,3.3,K
01/02/2022,3.64,3.7,3.75,3.54,714.8,0.83,K
31/01/2022,3.61,3.55,3.67,3.46,732.5,1.69,K
28/01/2022,3.55,3.4,3.55,3.38,892.7,2.9,K
27/01/2022,3.45,3.25,3.45,3.25,680.7,6.81,K
26/01/2022,3.23,3.2,3.36,3.2,1.12,2.22,M
25/01/2022,3.16,2.98,3.24,2.98,706.4,5.69,K
24/01/2022,2.99,3.12,3.12,2.95,405.0,-4.17,K
21/01/2022,3.12,2.98,3.12,2.94,537.4,3.31,K
20/01/2022,3.02,2.71,3.04,2.71,1.29,11.44,M
19/01/2022,2.71,2.6,2.76,2.6,465.0,3.04,K
18/01/2022,2.63,2.66,2.7,2.61,486.2,-1.87,K
17/01/2022,2.68,2.69,2.76,2.68,337.6,-2.19,K
14/01/2022,2.74,2.68,2.77,2.68,366.0,0.74,K
13/01/2022,2.72,2.8,2.86,2.71,697.2,-3.2,K
12/01/2022,2.81,2.7,2.82,2.67,472.1,4.07,K
11/01/2022,2.7,2.6,2.7,2.58,677.0,3.05,K
10/01/2022,2.62,2.79,2.79,2.6,478.0,-5.07,K
07/01/2022,2.76,2.75,2.8,2.61,965.9,2.22,K
06/01/2022,2.7,2.97,3.0,2.7,1.87,-8.78,M
05/01/2022,2.96,3.24,3.28,2.92,1.25,-8.07,M
04/01/2022,3.22,3.44,3.47,3.19,782.6,-5.29,K
