Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,2.2,2.05,2.21,2.0,1.2,1.38,M
23/02/2022,2.17,2.3,2.36,2.17,927.4,-3.98,K
22/02/2022,2.26,2.25,2.32,2.21,601.1,0.0,K
21/02/2022,2.26,2.41,2.42,2.25,900.1,-6.61,K
18/02/2022,2.42,2.49,2.51,2.41,636.2,-2.81,K
17/02/2022,2.49,2.55,2.63,2.45,1.06,-2.73,M
16/02/2022,2.56,2.59,2.63,2.53,1.03,-1.16,M
15/02/2022,2.59,2.45,2.59,2.43,921.6,7.92,K
14/02/2022,2.4,2.4,2.52,2.39,969.1,-1.64,K
11/02/2022,2.44,2.53,2.62,2.38,3.54,-3.94,M
10/02/2022,2.54,2.56,2.6,2.52,1.3,-0.39,M
09/02/2022,2.55,2.78,2.78,2.55,3.21,-8.27,M
08/02/2022,2.78,2.61,2.81,2.55,1.58,7.75,M
07/02/2022,2.58,2.55,2.63,2.51,1.01,1.18,M
04/02/2022,2.55,2.64,2.77,2.54,2.12,-1.16,M
03/02/2022,2.58,2.5,2.65,2.44,1.12,3.2,M
02/02/2022,2.5,2.63,2.69,2.5,1.02,-3.85,M
01/02/2022,2.6,2.63,2.73,2.5,3.06,-1.14,M
31/01/2022,2.63,2.3,2.67,2.29,2.54,13.85,M
28/01/2022,2.31,2.32,2.35,2.27,834.9,-0.86,K
27/01/2022,2.33,2.27,2.37,2.27,1.06,3.56,M
26/01/2022,2.25,2.29,2.33,2.23,1.47,0.0,M
25/01/2022,2.25,2.1,2.27,2.02,2.82,7.14,M
24/01/2022,2.1,2.15,2.15,2.03,908.6,-1.41,K
21/01/2022,2.13,2.17,2.2,2.12,979.5,-1.84,K
20/01/2022,2.17,2.1,2.24,2.1,1.82,0.46,M
19/01/2022,2.16,2.17,2.24,2.13,1.75,0.93,M
18/01/2022,2.14,2.12,2.2,2.1,2.88,0.47,M
17/01/2022,2.13,2.09,2.17,2.08,651.6,3.9,K
14/01/2022,2.05,2.1,2.12,2.02,663.3,-2.84,K
13/01/2022,2.11,2.07,2.15,2.01,900.0,-0.94,K
12/01/2022,2.13,2.01,2.13,2.0,1.0,6.5,M
11/01/2022,2.0,1.94,2.02,1.94,617.5,3.09,K
