Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,13.35,13.2,13.61,12.89,1.14,-2.27,M
23/02/2022,13.66,14.46,14.46,13.66,1.79,-5.6,M
22/02/2022,14.47,13.6,14.57,13.6,2.71,7.42,M
21/02/2022,13.47,13.96,13.96,13.43,1.0,-3.16,M
18/02/2022,13.91,13.47,14.09,13.37,1.11,4.12,M
17/02/2022,13.36,13.61,13.84,13.31,836.1,-2.12,K
16/02/2022,13.65,13.85,14.06,13.62,838.3,-1.09,K
15/02/2022,13.8,13.51,13.88,13.49,595.9,2.76,K
14/02/2022,13.43,13.49,13.63,13.22,1.29,-0.3,M
11/02/2022,13.47,13.49,13.97,13.28,1.28,0.52,M
10/02/2022,13.4,13.93,14.0,13.39,1.8,-3.53,M
09/02/2022,13.89,13.95,14.18,13.65,1.11,-0.36,M
08/02/2022,13.94,13.79,14.04,13.42,1.49,0.07,M
07/02/2022,13.93,14.09,14.11,13.76,1.42,-1.42,M
04/02/2022,14.13,15.1,15.18,13.88,2.24,-6.11,M
03/02/2022,15.05,15.39,15.64,15.05,1.04,-1.63,M
02/02/2022,15.3,15.76,16.14,15.26,1.11,-2.86,M
01/02/2022,15.75,15.95,16.62,15.7,1.14,-1.62,M
31/01/2022,16.01,15.53,16.08,15.22,1.03,3.29,M
28/01/2022,15.5,16.29,16.38,15.5,1.8,-5.2,M
27/01/2022,16.35,16.73,16.95,16.15,1.58,-1.27,M
26/01/2022,16.56,16.37,16.95,16.31,762.1,1.72,K
25/01/2022,16.28,15.8,16.45,15.74,727.2,2.07,K
24/01/2022,15.95,15.66,15.99,15.35,881.0,0.95,K
21/01/2022,15.8,15.91,16.16,15.67,1.03,-0.69,M
20/01/2022,15.91,14.87,16.1,14.87,1.16,7.35,M
19/01/2022,14.82,14.4,15.03,14.4,1.32,2.42,M
18/01/2022,14.47,14.79,14.81,14.32,473.2,-2.16,K
17/01/2022,14.79,14.87,15.06,14.55,432.5,-1.33,K
14/01/2022,14.99,14.64,14.99,14.47,735.8,0.74,K
13/01/2022,14.88,15.04,15.05,14.6,672.8,0.27,K
12/01/2022,14.84,14.72,14.96,14.5,736.4,1.5,K
11/01/2022,14.62,14.3,14.79,14.25,1.09,1.88,M
10/01/2022,14.35,15.14,15.15,14.23,906.6,-3.88,K
07/01/2022,14.93,14.55,15.03,14.28,1.08,1.77,M
06/01/2022,14.67,15.02,15.14,14.56,938.8,-2.0,K
05/01/2022,14.97,15.51,15.87,14.95,820.9,-3.54,K
04/01/2022,15.52,16.05,16.06,15.4,1.04,-1.9,M
03/01/2022,15.82,16.72,16.94,15.82,728.9,-5.33,K
30/12/2021,16.71,16.84,17.05,16.4,1.25,-0.12,M
29/12/2021,16.73,16.81,17.35,16.55,564.6,-0.24,K
28/12/2021,16.77,16.37,16.91,16.37,836.7,2.07,K
27/12/2021,16.43,16.4,16.8,16.37,809.5,0.18,K
23/12/2021,16.4,16.56,16.58,16.22,605.6,-0.24,K
