Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,15.07,14.5,15.27,14.1,381.5,1.48,K
23/02/2022,14.85,14.91,15.19,14.75,144.2,-0.07,K
22/02/2022,14.86,14.9,15.73,14.7,347.1,-0.27,K
21/02/2022,14.9,15.05,15.29,14.85,218.4,-1.59,K
18/02/2022,15.14,15.07,15.25,14.91,185.7,0.93,K
17/02/2022,15.0,15.29,15.35,14.7,227.7,-1.96,K
16/02/2022,15.3,15.34,15.49,15.15,271.0,0.66,K
15/02/2022,15.2,14.76,15.33,14.76,176.7,3.05,K
14/02/2022,14.75,14.59,14.93,14.45,409.2,1.03,K
11/02/2022,14.6,14.8,15.2,14.42,618.6,-0.41,K
10/02/2022,14.66,14.51,14.75,14.41,141.5,0.89,K
09/02/2022,14.53,14.51,14.94,14.45,388.1,-0.07,K
08/02/2022,14.54,14.68,14.91,14.35,145.5,0.28,K
07/02/2022,14.5,14.77,14.81,14.3,182.4,-1.83,K
04/02/2022,14.77,14.96,14.99,14.34,457.0,-1.2,K
03/02/2022,14.95,14.98,15.08,14.49,273.6,0.67,K
02/02/2022,14.85,15.15,15.55,14.77,300.2,-1.85,K
01/02/2022,15.13,14.9,15.25,14.6,270.4,1.54,K
31/01/2022,14.9,13.85,14.9,13.7,628.6,7.58,K
28/01/2022,13.85,14.0,14.11,13.62,478.0,-2.12,K
27/01/2022,14.15,14.39,14.47,13.99,291.1,0.64,K
26/01/2022,14.06,14.3,14.59,13.99,322.2,-1.26,K
25/01/2022,14.24,13.82,14.35,13.7,411.5,2.96,K
24/01/2022,13.83,14.05,14.07,13.52,233.8,-2.54,K
21/01/2022,14.19,13.99,14.25,13.77,547.6,0.78,K
20/01/2022,14.08,13.42,14.38,13.31,590.3,6.42,K
19/01/2022,13.23,13.15,13.89,13.11,324.2,1.15,K
18/01/2022,13.08,13.2,13.35,13.02,469.3,-1.28,K
17/01/2022,13.25,13.21,13.43,13.1,185.4,0.3,K
14/01/2022,13.21,13.05,13.34,12.69,1.01,1.23,M
13/01/2022,13.05,13.43,13.5,12.97,208.0,-2.76,K
12/01/2022,13.42,13.0,13.57,12.79,420.0,3.23,K
11/01/2022,13.0,12.91,13.1,12.46,612.5,0.93,K
10/01/2022,12.88,12.8,13.06,12.52,241.0,-1.38,K
07/01/2022,13.06,13.1,13.55,12.74,428.4,0.23,K
06/01/2022,13.03,13.6,13.7,12.87,243.9,-2.1,K
05/01/2022,13.31,13.91,14.28,13.31,199.7,-4.72,K
04/01/2022,13.97,14.75,14.81,13.97,176.8,-5.22,K
03/01/2022,14.74,15.64,15.82,14.65,283.2,-5.69,K
30/12/2021,15.63,15.1,15.66,14.75,339.5,4.69,K
29/12/2021,14.93,15.01,15.05,14.61,160.8,-0.53,K
28/12/2021,15.01,15.55,15.73,14.83,218.6,-2.97,K
27/12/2021,15.47,15.08,15.94,15.05,360.5,2.59,K
23/12/2021,15.08,15.47,15.79,14.97,157.6,-1.44,K
22/12/2021,15.3,15.58,15.66,15.12,136.7,-1.73,K
21/12/2021,15.57,15.68,15.79,15.37,243.8,-0.7,K
20/12/2021,15.68,16.04,16.2,15.6,156.0,-4.1,K
17/12/2021,16.35,16.7,16.79,16.23,240.8,-2.1,K
16/12/2021,16.7,16.61,17.13,16.47,371.2,1.27,K
15/12/2021,16.49,16.49,16.6,16.12,280.9,1.17,K
14/12/2021,16.3,16.18,16.48,16.03,361.4,0.37,K
13/12/2021,16.24,16.89,16.9,16.08,374.0,-3.04,K
10/12/2021,16.75,16.21,16.9,16.21,450.0,3.46,K
09/12/2021,16.19,16.0,16.21,15.86,499.6,0.0,K
08/12/2021,16.19,15.69,16.5,15.57,448.4,3.19,K
07/12/2021,15.69,15.54,15.88,15.47,282.7,2.95,K
06/12/2021,15.24,14.45,15.36,14.45,682.0,4.31,K
03/12/2021,14.61,13.59,14.71,13.5,587.3,7.43,K
02/12/2021,13.6,13.62,13.65,13.17,309.9,1.64,K
01/12/2021,13.38,13.26,13.75,13.2,341.9,2.69,K
30/11/2021,13.03,13.11,13.21,12.71,494.1,-1.14,K
29/11/2021,13.18,13.97,14.01,13.15,286.1,-3.94,K
26/11/2021,13.72,14.1,14.12,13.35,679.2,-7.42,K
25/11/2021,14.82,13.61,14.82,13.55,384.8,9.7,K
24/11/2021,13.51,13.42,13.87,13.35,200.9,-0.66,K
23/11/2021,13.6,14.05,14.05,13.38,298.9,-2.16,K
22/11/2021,13.9,14.44,14.87,13.59,389.2,-3.14,K
19/11/2021,14.35,14.37,14.95,14.17,453.6,-0.14,K
18/11/2021,14.37,15.01,15.29,14.33,348.6,-3.43,K
17/11/2021,14.88,15.47,15.57,14.65,350.2,-3.12,K
16/11/2021,15.36,16.23,16.38,15.36,266.9,-5.36,K
12/11/2021,16.23,16.55,16.91,16.08,312.1,-1.81,K
11/11/2021,16.53,16.4,16.9,16.24,470.4,1.35,K
10/11/2021,16.31,15.54,16.36,15.42,385.8,3.29,K
09/11/2021,15.79,15.17,16.05,15.17,494.3,3.2,K
08/11/2021,15.3,15.36,15.7,15.02,357.1,-1.03,K
05/11/2021,15.46,15.36,16.49,15.24,647.6,2.11,K
04/11/2021,15.14,15.18,15.27,14.75,626.3,-0.2,K
03/11/2021,15.17,15.12,15.69,14.95,851.6,-0.26,K
01/11/2021,15.21,15.47,15.66,15.1,731.1,-0.65,K
29/10/2021,15.31,16.49,16.5,15.31,891.7,-6.36,K
28/10/2021,16.35,16.05,16.44,15.78,490.8,1.87,K
27/10/2021,16.05,16.68,16.9,15.98,525.0,-4.29,K
26/10/2021,16.77,17.0,17.18,16.53,435.6,-2.44,K
25/10/2021,17.19,16.51,17.27,16.39,304.7,5.59,K
22/10/2021,16.28,16.34,16.56,15.29,1.12,-1.69,M
21/10/2021,16.56,17.1,17.12,16.06,823.7,-5.15,K
20/10/2021,17.46,17.26,17.64,17.15,232.3,1.63,K
19/10/2021,17.18,18.0,18.0,17.07,312.3,-4.61,K
18/10/2021,18.01,17.85,18.13,17.44,240.5,0.78,K
15/10/2021,17.87,17.4,18.02,17.34,280.5,2.76,K
14/10/2021,17.39,17.21,17.5,17.11,369.2,1.34,K
13/10/2021,17.16,17.08,17.54,16.87,273.5,0.35,K
11/10/2021,17.1,17.2,17.47,17.09,250.4,-0.87,K
08/10/2021,17.25,17.0,17.69,16.85,521.7,1.71,K
07/10/2021,16.96,16.7,17.3,16.7,269.7,2.17,K
06/10/2021,16.6,16.42,16.7,16.08,438.7,-0.72,K
05/10/2021,16.72,17.13,17.13,16.64,364.7,-2.62,K
04/10/2021,17.17,17.5,17.56,16.97,225.5,-2.05,K
01/10/2021,17.53,16.51,17.64,16.45,562.6,6.24,K
30/09/2021,16.5,17.05,17.28,16.43,815.7,-3.23,K
29/09/2021,17.05,18.07,18.16,16.63,991.3,-5.59,K
28/09/2021,18.06,18.25,18.45,17.65,867.0,-3.22,K
27/09/2021,18.66,17.92,18.73,17.9,533.0,4.13,K
24/09/2021,17.92,17.99,18.11,17.76,468.8,-0.44,K
23/09/2021,18.0,17.8,18.32,17.71,408.5,0.9,K
22/09/2021,17.84,17.7,17.99,17.46,438.3,1.31,K
21/09/2021,17.61,16.8,17.61,16.61,352.2,5.51,K
20/09/2021,16.69,16.4,16.89,16.23,400.5,-1.24,K
17/09/2021,16.9,16.89,17.06,16.46,302.5,0.3,K
16/09/2021,16.85,17.32,17.34,16.81,265.4,-2.38,K
15/09/2021,17.26,17.71,17.72,17.21,297.5,-1.76,K
14/09/2021,17.57,17.84,18.08,17.54,215.0,-1.57,K
13/09/2021,17.85,17.05,18.01,17.01,305.2,6.0,K
10/09/2021,16.84,17.12,17.73,16.79,504.6,0.3,K
09/09/2021,16.79,16.9,16.98,16.05,818.9,-0.65,K
08/09/2021,16.9,17.2,17.32,16.41,907.5,-1.86,K
06/09/2021,17.22,16.8,17.49,16.72,212.4,2.68,K
03/09/2021,16.77,17.24,17.33,16.77,443.2,-2.84,K
02/09/2021,17.26,17.8,17.8,17.06,374.7,-2.87,K
01/09/2021,17.77,17.94,18.06,17.36,327.2,0.23,K
31/08/2021,17.73,18.6,18.62,17.54,484.4,-4.11,K
30/08/2021,18.49,18.77,18.88,18.18,438.0,-2.32,K
27/08/2021,18.93,17.71,19.02,17.61,729.7,7.68,K
26/08/2021,17.58,18.1,18.26,17.58,550.3,-3.14,K
25/08/2021,18.15,17.82,18.2,17.54,758.9,1.62,K
24/08/2021,17.86,16.8,17.86,16.7,1.09,7.27,M
23/08/2021,16.65,16.95,17.49,16.6,1.09,-0.3,M
20/08/2021,16.7,16.51,16.87,16.34,849.0,0.6,K
19/08/2021,16.6,16.08,16.82,15.8,1.04,2.79,M
18/08/2021,16.15,16.31,17.08,15.82,1.59,-0.8,M
17/08/2021,16.28,16.75,16.75,15.88,935.5,-3.27,K
16/08/2021,16.83,18.29,18.29,16.83,1.06,-7.98,M
13/08/2021,18.29,19.13,19.14,18.26,397.5,-3.94,K
12/08/2021,19.04,19.55,19.65,19.04,338.9,-2.96,K
11/08/2021,19.62,19.9,19.9,19.55,512.2,-1.51,K
10/08/2021,19.92,20.49,20.49,19.8,939.2,-2.16,K
09/08/2021,20.36,20.32,20.5,20.16,461.1,0.0,K
06/08/2021,20.36,20.23,20.56,19.99,452.4,0.54,K
05/08/2021,20.25,20.92,21.27,20.17,518.7,-3.3,K
04/08/2021,20.94,21.25,21.6,20.61,388.5,-2.06,K
03/08/2021,21.38,21.77,21.86,20.82,668.5,-1.7,K
02/08/2021,21.75,21.58,22.63,21.58,443.8,0.79,K
30/07/2021,21.58,22.2,22.49,21.35,425.7,-4.09,K
29/07/2021,22.5,23.35,23.35,22.45,244.3,-2.43,K
28/07/2021,23.06,23.06,23.28,22.9,228.1,0.0,K
27/07/2021,23.06,23.2,23.36,22.78,385.2,-1.33,K
26/07/2021,23.37,24.16,24.16,23.28,509.5,-3.43,K
23/07/2021,24.2,24.64,24.73,24.15,143.9,-1.59,K
22/07/2021,24.59,24.67,24.78,24.33,228.8,0.41,K
21/07/2021,24.49,24.81,25.0,24.27,423.5,-1.57,K
20/07/2021,24.88,25.01,25.37,24.61,553.3,-0.2,K
19/07/2021,24.93,25.49,25.49,24.28,1.16,-6.0,M
16/07/2021,26.52,26.37,26.85,26.22,489.7,0.65,K
15/07/2021,26.35,26.43,27.21,26.32,588.6,-0.83,K
14/07/2021,26.57,25.77,27.18,25.51,1.85,4.24,M
13/07/2021,25.49,24.44,25.53,24.08,771.1,4.0,K
12/07/2021,24.51,25.35,25.38,24.47,548.8,-2.97,K
08/07/2021,25.26,24.9,25.58,24.61,441.7,-1.41,K
07/07/2021,25.62,25.56,26.0,25.28,542.7,1.22,K
06/07/2021,25.31,26.42,26.54,25.1,709.6,-4.2,K
05/07/2021,26.42,26.26,28.12,25.7,1.67,1.65,M
02/07/2021,25.99,25.72,27.55,24.94,2.28,12.9,M
01/07/2021,23.02,24.32,24.43,22.67,727.3,-5.42,K
30/06/2021,24.34,24.29,24.34,23.51,373.5,1.37,K
29/06/2021,24.01,24.61,24.71,23.51,260.8,-2.44,K
28/06/2021,24.61,24.89,24.89,24.07,233.6,0.49,K
25/06/2021,24.49,25.72,25.72,24.36,320.2,-3.85,K
24/06/2021,25.47,26.2,26.2,24.81,944.4,-2.79,K
23/06/2021,26.2,24.14,26.29,24.05,1.07,8.53,M
22/06/2021,24.14,24.22,24.26,23.78,207.2,0.17,K
21/06/2021,24.1,24.19,24.34,23.91,205.1,-0.37,K
18/06/2021,24.19,23.79,24.34,23.62,269.8,1.6,K
17/06/2021,23.81,24.18,24.18,23.81,131.4,-1.08,K
16/06/2021,24.07,23.78,24.39,23.67,401.9,1.99,K
15/06/2021,23.6,24.48,24.48,23.44,457.6,-3.32,K
14/06/2021,24.41,23.94,24.49,23.77,239.7,3.43,K
11/06/2021,23.6,24.28,24.54,23.39,228.7,-2.76,K
10/06/2021,24.27,24.0,24.27,23.6,175.7,1.08,K
09/06/2021,24.01,24.57,24.73,23.94,168.7,-2.64,K
08/06/2021,24.66,24.79,25.07,24.14,529.1,-0.48,K
07/06/2021,24.78,24.18,25.0,23.8,415.2,2.86,K
04/06/2021,24.09,24.02,24.2,23.55,333.4,0.29,K
02/06/2021,24.02,24.24,24.4,23.81,290.1,-0.95,K
01/06/2021,24.25,23.53,24.48,23.53,428.2,3.24,K
31/05/2021,23.49,22.94,23.49,22.86,172.7,2.71,K
28/05/2021,22.87,22.82,23.21,22.64,292.8,-0.57,K
27/05/2021,23.0,22.65,23.0,21.95,883.5,1.95,K
26/05/2021,22.56,21.96,22.6,21.78,290.6,2.73,K
25/05/2021,21.96,22.7,22.77,21.94,258.2,-3.05,K
24/05/2021,22.65,22.5,22.91,22.5,220.6,0.22,K
21/05/2021,22.6,22.95,22.95,22.29,217.9,-1.31,K
20/05/2021,22.9,23.14,23.36,22.65,219.8,0.13,K
19/05/2021,22.87,22.89,23.5,22.63,252.2,-0.44,K
18/05/2021,22.97,22.5,23.03,22.28,236.5,2.09,K
17/05/2021,22.5,22.3,22.68,22.03,342.1,0.9,K
14/05/2021,22.3,22.82,22.82,22.2,270.3,0.0,K
13/05/2021,22.3,21.74,22.75,21.63,753.6,6.29,K
12/05/2021,20.98,21.59,21.65,20.66,651.6,-3.09,K
11/05/2021,21.65,21.9,21.9,21.31,428.6,-1.28,K
10/05/2021,21.93,22.65,22.77,21.63,388.0,-2.96,K
07/05/2021,22.6,22.58,22.78,22.27,308.8,0.09,K
06/05/2021,22.58,23.0,23.02,22.53,1.5,-1.4,M
05/05/2021,22.9,22.6,22.99,22.39,226.6,1.33,K
04/05/2021,22.6,22.97,23.15,22.45,394.0,-1.95,K
03/05/2021,23.05,22.67,23.19,22.49,308.9,1.81,K
30/04/2021,22.64,22.5,22.87,22.27,242.3,0.13,K
29/04/2021,22.61,22.64,23.09,22.37,268.7,-0.18,K
28/04/2021,22.65,21.93,22.74,21.92,1.25,3.42,M
27/04/2021,21.9,22.0,22.24,21.51,1.09,0.46,M
26/04/2021,21.8,22.7,22.73,21.72,413.7,-4.09,K
23/04/2021,22.73,22.09,22.97,22.09,448.9,3.32,K
22/04/2021,22.0,21.6,22.22,21.53,433.7,2.33,K
20/04/2021,21.5,22.0,22.13,21.24,645.3,-2.76,K
19/04/2021,22.11,22.05,22.22,21.9,245.0,0.5,K
16/04/2021,22.0,21.92,22.07,21.61,246.1,0.0,K
15/04/2021,22.0,22.34,22.5,21.87,340.6,-1.52,K
14/04/2021,22.34,21.62,22.34,21.51,453.0,3.62,K
13/04/2021,21.56,21.61,21.74,21.49,285.6,-0.23,K
12/04/2021,21.61,21.74,21.9,21.47,318.8,-0.64,K
09/04/2021,21.75,21.57,21.85,21.32,352.0,0.51,K
08/04/2021,21.64,21.28,21.93,21.05,651.0,1.69,K
07/04/2021,21.28,21.08,21.48,20.65,708.5,1.04,K
06/04/2021,21.06,20.42,21.12,20.18,547.8,3.59,K
05/04/2021,20.33,19.22,20.6,19.15,793.4,6.44,K
01/04/2021,19.1,18.85,19.31,18.82,376.1,1.43,K
