Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,13.36,12.98,13.37,12.88,7.23,0.38,M
23/02/2022,13.31,13.5,13.61,13.28,4.81,-0.97,M
22/02/2022,13.44,13.5,13.61,13.34,3.18,-0.67,M
21/02/2022,13.53,13.62,13.68,13.51,2.37,-0.15,M
18/02/2022,13.55,13.9,13.9,13.45,8.73,-1.67,M
17/02/2022,13.78,13.81,13.91,13.74,3.89,-0.29,M
16/02/2022,13.82,13.85,13.93,13.76,4.05,-0.14,M
15/02/2022,13.84,13.96,14.04,13.78,4.56,-0.29,M
14/02/2022,13.88,13.91,14.09,13.81,6.6,-0.14,M
11/02/2022,13.9,14.0,14.11,13.8,7.41,-0.43,M
10/02/2022,13.96,14.16,14.25,13.89,8.99,-1.2,M
09/02/2022,14.13,13.4,14.15,12.81,29.05,5.06,M
08/02/2022,13.45,13.05,13.46,12.94,6.97,2.13,M
07/02/2022,13.17,13.17,13.31,13.06,10.9,-1.05,M
04/02/2022,13.31,13.56,13.56,13.14,3.37,-0.97,M
03/02/2022,13.44,13.05,13.54,13.05,6.52,2.28,M
02/02/2022,13.14,13.13,13.2,13.02,3.63,-0.38,M
01/02/2022,13.19,13.38,13.54,13.01,8.63,-0.6,M
31/01/2022,13.27,13.0,13.4,12.92,10.11,2.16,M
28/01/2022,12.99,12.67,12.99,12.67,7.07,1.48,M
27/01/2022,12.8,12.7,12.88,12.57,12.93,0.95,M
26/01/2022,12.68,13.01,13.05,12.55,7.67,-2.24,M
25/01/2022,12.97,12.85,13.0,12.67,9.93,1.17,M
24/01/2022,12.82,12.98,12.98,12.7,4.47,-0.77,M
21/01/2022,12.92,12.84,12.96,12.66,5.55,0.39,M
20/01/2022,12.87,12.91,13.08,12.81,4.51,-0.92,M
19/01/2022,12.99,12.72,13.05,12.69,5.96,2.2,M
18/01/2022,12.71,12.9,12.91,12.45,7.37,-1.78,M
17/01/2022,12.94,12.7,12.94,12.61,3.48,2.45,M
14/01/2022,12.63,12.69,12.73,12.53,3.12,-0.63,M
13/01/2022,12.71,12.42,12.71,12.41,3.55,1.76,M
12/01/2022,12.49,12.4,12.56,12.32,6.14,0.81,M
11/01/2022,12.39,12.33,12.45,12.24,4.12,0.65,M
10/01/2022,12.31,12.3,12.5,12.16,10.25,-0.97,M
07/01/2022,12.43,12.57,12.67,12.37,5.87,-1.43,M
06/01/2022,12.61,12.63,12.79,12.36,5.26,-0.71,M
05/01/2022,12.7,12.85,12.95,12.66,3.29,-0.94,M
04/01/2022,12.82,12.78,12.82,12.46,6.0,1.5,M
03/01/2022,12.63,12.91,13.17,12.6,5.55,-3.95,M
30/12/2021,13.15,12.87,13.15,12.8,7.15,2.02,M
29/12/2021,12.89,12.76,12.95,12.76,2.59,1.02,M
28/12/2021,12.76,12.84,12.96,12.74,3.37,-1.01,M
27/12/2021,12.89,13.0,13.01,12.73,7.28,0.16,M
23/12/2021,12.87,12.83,12.94,12.81,2.89,-0.08,M
22/12/2021,12.88,12.82,12.96,12.75,3.61,0.39,M
21/12/2021,12.83,12.89,12.91,12.54,4.32,-0.7,M
20/12/2021,12.92,13.05,13.12,12.89,4.11,-1.0,M
17/12/2021,13.05,12.99,13.11,12.95,13.59,-0.15,M
16/12/2021,13.07,13.22,13.28,13.02,4.86,-0.31,M
15/12/2021,13.11,12.98,13.19,12.94,5.67,0.92,M
14/12/2021,12.99,13.04,13.37,12.91,4.56,-0.54,M
13/12/2021,13.06,13.3,13.35,13.06,8.17,-1.36,M
10/12/2021,13.24,13.18,13.37,13.09,4.34,1.3,M
09/12/2021,13.07,13.21,13.42,12.96,4.27,-1.95,M
08/12/2021,13.33,13.45,13.6,13.19,4.81,-0.67,M
07/12/2021,13.42,13.67,13.79,13.39,5.29,-1.32,M
06/12/2021,13.6,13.84,14.0,13.59,4.58,-1.23,M
03/12/2021,13.77,13.71,14.0,13.67,6.25,0.36,M
02/12/2021,13.72,13.93,14.06,13.55,6.6,-0.51,M
01/12/2021,13.79,13.81,14.08,13.7,5.47,-0.07,M
30/11/2021,13.8,13.92,13.92,13.62,16.68,-0.65,M
29/11/2021,13.89,14.01,14.08,13.84,3.79,0.14,M
26/11/2021,13.87,13.83,14.04,13.59,5.26,-2.39,M
25/11/2021,14.21,14.03,14.46,13.89,8.03,1.86,M
24/11/2021,13.95,13.62,14.01,13.6,6.85,0.65,M
23/11/2021,13.86,13.52,13.86,13.38,8.99,1.09,M
22/11/2021,13.71,14.78,14.78,13.71,24.41,1.71,M
19/11/2021,13.48,13.42,13.9,13.2,14.36,5.15,M
18/11/2021,12.82,12.77,13.0,12.77,3.88,0.0,M
17/11/2021,12.82,13.0,13.09,12.69,4.15,-1.0,M
16/11/2021,12.95,12.96,13.1,12.86,4.82,-1.22,M
12/11/2021,13.11,13.09,13.29,12.99,5.22,-0.38,M
11/11/2021,13.16,13.21,13.26,13.05,5.97,0.61,M
10/11/2021,13.08,12.98,13.47,12.87,11.0,2.11,M
09/11/2021,12.81,12.9,12.97,12.61,6.51,0.0,M
08/11/2021,12.81,12.83,12.91,12.68,5.52,-0.39,M
05/11/2021,12.86,12.5,13.05,12.48,11.82,4.13,M
04/11/2021,12.35,12.49,12.51,12.25,8.7,-0.56,M
03/11/2021,12.42,11.44,12.53,11.43,17.76,8.38,M
01/11/2021,11.46,11.41,11.58,11.23,5.21,2.14,M
29/10/2021,11.22,11.26,11.33,11.15,6.22,0.0,M
28/10/2021,11.22,11.25,11.42,11.16,10.61,-1.41,M
27/10/2021,11.38,11.61,11.76,11.36,8.69,-1.73,M
26/10/2021,11.58,11.97,11.97,11.53,7.26,-3.26,M
25/10/2021,11.97,11.99,12.11,11.84,4.93,0.84,M
22/10/2021,11.87,11.85,11.95,11.51,12.88,-0.92,M
21/10/2021,11.98,12.15,12.36,11.92,9.2,-3.15,M
20/10/2021,12.37,12.27,12.54,12.21,4.04,0.9,M
19/10/2021,12.26,12.43,12.45,12.16,9.87,-1.76,M
18/10/2021,12.48,12.54,12.62,12.34,9.72,-0.72,M
15/10/2021,12.57,12.48,12.67,12.35,9.36,0.72,M
14/10/2021,12.48,12.52,12.56,12.32,4.12,0.24,M
13/10/2021,12.45,12.17,12.51,12.04,8.58,2.81,M
11/10/2021,12.11,12.05,12.23,11.97,6.2,-0.08,M
08/10/2021,12.12,11.7,12.19,11.64,7.84,4.48,M
07/10/2021,11.6,11.6,11.75,11.45,5.79,0.17,M
06/10/2021,11.58,11.45,11.67,11.44,7.66,-0.94,M
05/10/2021,11.69,11.7,11.77,11.54,3.88,0.26,M
04/10/2021,11.66,11.69,11.81,11.51,5.37,-1.52,M
01/10/2021,11.84,11.8,11.85,11.6,5.2,0.77,M
30/09/2021,11.75,11.7,11.86,11.64,5.28,-0.51,M
29/09/2021,11.81,11.88,12.01,11.76,5.11,-0.08,M
28/09/2021,11.82,12.18,12.2,11.81,4.89,-3.75,M
27/09/2021,12.28,12.18,12.39,12.16,3.18,0.33,M
24/09/2021,12.24,12.22,12.4,12.14,3.75,-1.05,M
23/09/2021,12.37,12.28,12.45,12.27,2.95,0.73,M
22/09/2021,12.28,12.19,12.38,12.08,4.32,1.74,M
21/09/2021,12.07,11.94,12.19,11.85,3.43,1.09,M
20/09/2021,11.94,12.14,12.15,11.84,4.33,-1.81,M
17/09/2021,12.16,12.22,12.22,12.0,8.11,-0.49,M
16/09/2021,12.22,12.02,12.22,11.94,4.04,1.41,M
15/09/2021,12.05,12.22,12.35,12.02,3.6,-1.15,M
14/09/2021,12.19,12.25,12.44,12.19,5.28,-0.73,M
13/09/2021,12.28,11.98,12.44,11.98,5.04,2.08,M
10/09/2021,12.03,12.06,12.17,11.78,11.58,0.33,M
09/09/2021,11.99,11.8,12.06,11.64,9.74,2.13,M
08/09/2021,11.74,12.05,12.05,11.74,8.92,-3.29,M
06/09/2021,12.14,11.78,12.19,11.76,3.28,2.02,M
03/09/2021,11.9,11.89,11.93,11.74,10.23,0.51,M
02/09/2021,11.84,12.15,12.22,11.81,7.38,-3.11,M
01/09/2021,12.22,12.5,12.52,12.22,6.62,-1.93,M
31/08/2021,12.46,12.25,12.46,12.15,8.81,1.96,M
30/08/2021,12.22,12.13,12.23,12.03,4.07,0.0,M
27/08/2021,12.22,12.35,12.35,12.14,2.65,0.0,M
26/08/2021,12.22,12.29,12.36,12.12,9.04,-0.24,M
25/08/2021,12.25,12.2,12.26,12.08,3.17,0.33,M
24/08/2021,12.21,12.1,12.26,11.98,4.27,1.08,M
23/08/2021,12.08,12.1,12.13,11.84,5.15,-0.08,M
20/08/2021,12.09,11.84,12.2,11.79,6.51,1.09,M
19/08/2021,11.96,11.59,11.96,11.48,7.29,2.66,M
18/08/2021,11.65,11.61,11.83,11.44,13.15,0.34,M
17/08/2021,11.61,11.57,11.63,11.44,8.26,-0.34,M
16/08/2021,11.65,11.68,11.68,11.43,5.49,-0.51,M
13/08/2021,11.71,11.59,11.74,11.49,5.35,1.47,M
12/08/2021,11.54,11.55,11.65,11.44,4.81,0.44,M
11/08/2021,11.49,11.3,11.56,11.18,6.73,1.68,M
10/08/2021,11.3,11.51,11.53,11.19,8.24,-1.4,M
09/08/2021,11.46,11.39,11.59,11.36,4.71,0.09,M
06/08/2021,11.45,11.25,11.45,11.22,4.73,1.87,M
05/08/2021,11.24,11.35,11.48,11.19,6.63,-1.49,M
04/08/2021,11.41,11.35,11.52,11.31,5.14,-0.17,M
03/08/2021,11.43,11.49,11.55,11.24,5.51,-0.61,M
02/08/2021,11.5,11.35,11.71,11.27,7.27,1.59,M
30/07/2021,11.32,11.39,11.6,11.32,5.7,-1.48,M
29/07/2021,11.49,11.6,11.61,11.33,10.24,-0.61,M
28/07/2021,11.56,11.47,11.74,11.45,9.46,0.87,M
27/07/2021,11.46,11.6,12.1,11.4,10.34,-0.78,M
26/07/2021,11.55,11.85,11.85,11.42,7.89,-2.2,M
23/07/2021,11.81,11.82,11.9,11.72,5.52,-0.08,M
22/07/2021,11.82,11.67,11.85,11.61,3.54,0.6,M
21/07/2021,11.75,11.85,11.89,11.68,5.65,-0.59,M
20/07/2021,11.82,11.93,12.04,11.77,4.18,-0.59,M
19/07/2021,11.89,11.75,11.91,11.69,5.26,0.34,M
16/07/2021,11.85,11.87,12.17,11.83,7.73,-0.17,M
15/07/2021,11.87,11.8,11.97,11.76,5.89,0.08,M
14/07/2021,11.86,11.83,11.95,11.68,5.87,0.76,M
