Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,32.82,31.44,33.3,30.84,6.44,0.67,M
23/02/2022,32.6,32.57,33.89,32.27,4.99,-0.03,M
22/02/2022,32.61,31.42,32.75,31.31,5.31,4.65,M
21/02/2022,31.16,31.6,31.9,31.12,2.35,-2.07,M
18/02/2022,31.82,32.27,32.64,31.31,4.67,-1.24,M
17/02/2022,32.22,30.41,32.65,30.41,14.13,5.81,M
16/02/2022,30.45,30.44,31.11,30.08,6.12,0.76,M
15/02/2022,30.22,28.87,30.28,28.74,6.86,5.41,M
14/02/2022,28.67,27.63,28.7,27.45,4.51,3.76,M
11/02/2022,27.63,27.74,28.71,27.3,5.15,-0.25,M
10/02/2022,27.7,28.55,28.7,27.16,4.98,-2.81,M
09/02/2022,28.5,28.0,28.76,27.82,3.4,1.97,M
08/02/2022,27.95,28.37,28.37,27.42,3.9,-1.72,M
07/02/2022,28.44,28.46,29.62,28.38,5.27,-0.11,M
04/02/2022,28.47,28.21,28.7,27.19,3.57,0.96,M
03/02/2022,28.2,28.62,28.82,27.91,2.75,-1.47,M
02/02/2022,28.62,29.09,29.79,28.34,4.37,-1.11,M
01/02/2022,28.94,29.01,30.1,28.76,6.02,-0.45,M
31/01/2022,29.07,27.82,29.75,27.81,6.02,4.64,M
28/01/2022,27.78,27.4,28.12,27.1,3.69,-0.5,M
27/01/2022,27.92,27.11,28.29,27.1,6.61,3.37,M
26/01/2022,27.01,26.62,27.88,26.58,6.92,2.39,M
25/01/2022,26.38,25.5,26.54,25.21,4.66,2.05,M
24/01/2022,25.85,26.88,26.88,25.56,3.32,-2.93,M
21/01/2022,26.63,26.35,27.22,25.97,4.11,0.99,M
20/01/2022,26.37,25.52,26.88,25.52,5.42,4.23,M
19/01/2022,25.3,24.39,26.01,24.29,6.25,4.68,M
18/01/2022,24.17,25.1,25.3,24.09,5.12,-4.43,M
17/01/2022,25.29,25.0,25.96,25.0,2.9,0.36,M
14/01/2022,25.2,25.11,25.4,24.83,2.96,-0.08,M
13/01/2022,25.22,25.3,25.89,25.11,5.11,-0.36,M
12/01/2022,25.31,25.18,25.71,24.86,5.13,0.0,M
11/01/2022,25.31,24.62,25.38,24.45,5.95,3.31,M
10/01/2022,24.5,24.92,25.09,23.96,4.58,-2.39,M
07/01/2022,25.1,25.86,25.87,25.0,4.76,-3.46,M
06/01/2022,26.0,25.2,26.14,24.8,6.94,3.09,M
05/01/2022,25.22,26.36,26.53,25.22,6.06,-4.43,M
04/01/2022,26.39,27.52,27.69,26.23,4.41,-4.04,M
03/01/2022,27.5,28.64,29.77,27.49,5.59,-3.98,M
30/12/2021,28.64,28.02,28.92,27.58,4.39,2.69,M
29/12/2021,27.89,28.36,28.63,27.74,3.21,-1.52,M
28/12/2021,28.32,28.63,29.06,28.26,3.27,-1.7,M
27/12/2021,28.81,28.72,29.5,28.57,3.04,0.24,M
23/12/2021,28.74,29.6,29.6,28.33,2.73,-1.81,M
22/12/2021,29.27,29.19,29.7,28.93,3.29,0.52,M
21/12/2021,29.12,29.45,29.55,28.41,4.09,-0.17,M
20/12/2021,29.17,29.22,29.37,28.52,5.62,-1.75,M
17/12/2021,29.69,29.85,30.46,29.55,7.92,-2.14,M
16/12/2021,30.34,31.96,32.59,30.3,5.88,-4.59,M
15/12/2021,31.8,31.06,32.0,30.2,6.54,2.91,M
14/12/2021,30.9,32.9,32.9,30.9,3.76,-3.5,M
13/12/2021,32.02,32.34,33.23,31.73,4.03,-0.96,M
10/12/2021,32.33,31.46,33.24,31.34,3.85,2.5,M
09/12/2021,31.54,32.03,32.34,31.28,3.04,-1.93,M
08/12/2021,32.16,31.57,32.27,31.17,2.46,2.49,M
07/12/2021,31.38,30.78,31.67,30.55,3.24,2.48,M
06/12/2021,30.62,30.65,30.87,29.8,5.35,0.39,M
03/12/2021,30.5,30.39,32.03,30.13,6.28,0.76,M
02/12/2021,30.27,30.52,31.63,29.68,6.28,1.54,M
01/12/2021,29.81,31.97,32.21,29.5,6.64,-5.93,M
30/11/2021,31.69,32.06,32.32,30.38,9.8,-1.4,M
29/11/2021,32.14,31.46,32.72,31.32,3.28,2.59,M
26/11/2021,31.33,31.95,32.1,30.95,2.48,-3.27,M
25/11/2021,32.39,31.95,32.81,31.95,1.71,0.84,M
24/11/2021,32.12,31.67,32.45,30.86,5.28,2.13,M
23/11/2021,31.45,33.17,33.33,31.12,7.49,-4.98,M
22/11/2021,33.1,35.24,35.33,32.87,5.73,-6.29,M
19/11/2021,35.32,35.36,36.17,34.84,2.86,-0.11,M
18/11/2021,35.36,34.8,35.69,34.37,3.28,2.46,M
17/11/2021,34.51,34.98,35.26,33.71,2.81,-0.75,M
16/11/2021,34.77,35.83,35.87,34.38,3.0,-2.22,M
12/11/2021,35.56,36.6,36.6,35.28,3.17,-2.2,M
11/11/2021,36.36,35.49,36.95,35.4,4.16,3.59,M
10/11/2021,35.1,35.05,35.74,34.75,2.5,-0.03,M
09/11/2021,35.11,34.68,36.16,34.59,2.47,1.77,M
08/11/2021,34.5,34.63,35.03,34.22,1.77,-1.43,M
05/11/2021,35.0,34.71,36.1,34.6,3.78,1.6,M
04/11/2021,34.45,33.99,35.2,33.85,3.87,0.38,M
03/11/2021,34.32,32.91,34.83,32.76,5.46,3.69,M
01/11/2021,33.1,33.16,34.09,33.0,4.42,1.04,M
29/10/2021,32.76,33.11,33.54,32.64,3.14,-0.46,M
28/10/2021,32.91,33.4,34.06,32.65,3.96,-0.87,M
27/10/2021,33.2,33.59,34.25,32.88,4.33,-0.6,M
26/10/2021,33.4,33.07,34.0,33.06,5.06,0.06,M
25/10/2021,33.38,32.15,34.17,32.06,5.12,4.71,M
22/10/2021,31.88,31.75,32.31,30.19,6.61,-2.09,M
21/10/2021,32.56,32.72,33.39,32.03,5.02,-2.57,M
20/10/2021,33.42,34.68,35.01,33.05,3.59,-2.82,M
19/10/2021,34.39,34.72,35.19,34.1,3.47,-3.94,M
18/10/2021,35.8,35.08,35.93,34.52,2.21,1.45,M
15/10/2021,35.29,36.36,36.42,35.29,1.94,-2.57,M
14/10/2021,36.22,35.73,36.51,35.04,2.58,1.34,M
13/10/2021,35.74,34.48,36.07,34.28,3.28,4.87,M
11/10/2021,34.08,34.64,34.91,33.86,3.98,-1.67,M
08/10/2021,34.66,33.57,35.48,33.45,4.05,3.87,M
07/10/2021,33.37,33.18,33.67,32.86,2.55,0.06,M
06/10/2021,33.35,33.5,33.58,32.77,3.9,-1.33,M
05/10/2021,33.8,35.01,35.14,33.65,4.66,-3.07,M
04/10/2021,34.87,36.44,36.44,33.92,5.61,-5.17,M
01/10/2021,36.77,35.97,36.77,35.7,3.12,1.86,M
30/09/2021,36.1,35.11,36.23,35.0,4.98,1.75,M
29/09/2021,35.48,35.8,35.81,34.6,6.26,-0.34,M
28/09/2021,35.6,36.2,36.32,35.11,5.09,-3.44,M
27/09/2021,36.87,37.8,37.8,36.08,5.04,-2.97,M
24/09/2021,38.0,38.86,39.03,37.84,6.38,-2.89,M
23/09/2021,39.13,39.21,39.23,38.44,4.83,0.13,M
22/09/2021,39.08,37.5,39.66,36.83,6.53,5.34,M
21/09/2021,37.1,36.6,37.39,36.6,3.2,0.54,M
20/09/2021,36.9,37.41,37.66,36.2,2.79,-2.54,M
17/09/2021,37.86,39.04,39.04,37.63,4.13,-2.42,M
16/09/2021,38.8,38.8,39.24,38.43,1.9,-0.51,M
15/09/2021,39.0,38.78,39.37,38.1,3.07,1.17,M
14/09/2021,38.55,38.07,38.77,37.89,2.91,1.45,M
13/09/2021,38.0,37.9,38.79,37.6,3.5,-0.52,M
10/09/2021,38.2,38.12,39.05,38.12,3.93,0.74,M
09/09/2021,37.92,37.4,38.53,36.81,3.98,1.39,M
08/09/2021,37.4,38.97,38.97,36.91,6.14,-4.1,M
06/09/2021,39.0,39.14,39.7,38.76,1.47,-0.43,M
03/09/2021,39.17,39.38,39.51,38.57,5.26,-0.33,M
02/09/2021,39.3,40.53,40.53,38.85,3.85,-3.2,M
01/09/2021,40.6,39.97,41.24,39.57,6.41,2.53,M
31/08/2021,39.6,40.0,40.04,38.75,5.36,-0.75,M
30/08/2021,39.9,39.36,40.19,39.29,2.42,1.06,M
27/08/2021,39.48,38.95,39.78,38.47,2.77,1.36,M
26/08/2021,38.95,39.0,40.39,38.81,4.71,-0.33,M
25/08/2021,39.08,37.5,39.16,37.26,4.28,4.16,M
24/08/2021,37.52,37.17,37.77,36.82,3.37,1.54,M
23/08/2021,36.95,37.44,37.49,36.69,2.93,-1.2,M
20/08/2021,37.4,36.15,37.58,35.95,3.28,2.19,M
19/08/2021,36.6,34.42,37.18,34.18,5.29,5.78,M
18/08/2021,34.6,34.54,35.15,34.05,4.9,-0.06,M
17/08/2021,34.62,34.49,34.77,33.84,4.34,-0.29,M
16/08/2021,34.72,35.86,35.95,34.48,3.38,-3.42,M
13/08/2021,35.95,35.65,36.06,35.05,3.55,1.13,M
12/08/2021,35.55,35.81,36.07,35.55,3.96,-1.25,M
11/08/2021,36.0,36.45,36.8,35.97,3.65,-2.12,M
10/08/2021,36.78,37.21,37.42,36.45,3.25,-1.45,M
09/08/2021,37.32,37.29,37.74,36.93,2.8,0.16,M
06/08/2021,37.26,37.53,37.57,36.71,3.59,-0.72,M
05/08/2021,37.53,37.07,38.04,36.92,7.72,1.6,M
04/08/2021,36.94,36.46,36.98,35.77,4.68,1.21,M
03/08/2021,36.5,36.49,36.61,35.32,4.13,-1.27,M
02/08/2021,36.97,35.55,37.43,35.55,5.12,4.55,M
30/07/2021,35.36,34.85,35.7,34.78,3.08,-0.37,M
29/07/2021,35.49,36.15,36.29,35.32,4.47,-2.5,M
28/07/2021,36.4,37.23,37.42,36.05,5.0,-1.27,M
27/07/2021,36.87,37.86,37.96,36.1,5.23,-2.67,M
26/07/2021,37.88,37.64,37.88,37.01,2.23,0.91,M
23/07/2021,37.54,38.19,38.26,37.4,1.69,-1.47,M
22/07/2021,38.1,37.15,38.23,37.15,3.87,2.31,M
21/07/2021,37.24,37.47,37.82,36.35,2.8,-0.61,M
20/07/2021,37.47,37.51,37.85,37.13,3.05,0.13,M
19/07/2021,37.42,37.56,37.85,37.08,3.28,-1.21,M
16/07/2021,37.88,38.47,38.85,37.66,2.9,-1.56,M
15/07/2021,38.48,37.88,38.79,37.81,2.77,1.58,M
14/07/2021,37.88,38.52,38.88,37.49,2.38,-0.55,M
13/07/2021,38.09,38.1,38.46,37.4,4.11,0.93,M
12/07/2021,37.74,37.26,37.79,36.96,2.27,0.99,M
08/07/2021,37.37,37.7,37.74,36.95,2.91,-2.43,M
07/07/2021,38.3,37.35,38.66,37.08,4.0,3.26,M
06/07/2021,37.09,37.23,37.32,36.68,2.26,-0.38,M
05/07/2021,37.23,37.89,37.89,37.03,2.03,-1.74,M
02/07/2021,37.89,36.54,37.94,36.48,3.08,3.92,M
01/07/2021,36.46,37.46,37.66,35.85,6.46,-3.16,M
30/06/2021,37.65,37.21,37.87,36.85,5.16,0.67,M
29/06/2021,37.4,37.77,38.02,36.95,3.71,-0.56,M
28/06/2021,37.61,36.97,38.32,36.97,6.28,2.03,M
25/06/2021,36.86,37.54,37.86,36.35,4.34,-1.81,M
24/06/2021,37.54,38.0,38.27,37.15,3.1,-0.9,M
23/06/2021,37.88,37.77,38.17,37.54,3.02,0.61,M
22/06/2021,37.65,37.03,37.75,36.56,3.57,2.42,M
21/06/2021,36.76,36.32,36.84,36.25,2.72,1.52,M
18/06/2021,36.21,36.34,36.95,36.07,6.29,0.14,M
17/06/2021,36.16,35.4,36.28,35.33,3.7,1.8,M
16/06/2021,35.52,35.9,36.96,34.93,6.45,-0.87,M
15/06/2021,35.83,36.14,36.18,35.37,2.74,-0.56,M
14/06/2021,36.03,35.45,36.25,35.28,2.02,2.36,M
11/06/2021,35.2,35.8,35.8,34.84,1.76,-1.68,M
10/06/2021,35.8,35.33,36.0,35.17,2.06,1.68,M
09/06/2021,35.21,35.83,35.89,35.04,2.45,-1.76,M
08/06/2021,35.84,36.15,36.18,35.55,3.99,-0.86,M
07/06/2021,36.15,34.86,36.25,34.66,3.96,3.61,M
04/06/2021,34.89,34.33,35.38,34.17,4.48,1.22,M
02/06/2021,34.47,34.14,34.82,34.13,3.12,1.26,M
01/06/2021,34.04,34.8,35.0,33.99,4.44,-1.25,M
31/05/2021,34.47,33.63,34.64,33.63,2.77,2.74,M
28/05/2021,33.55,33.3,33.95,33.18,1.74,-0.15,M
27/05/2021,33.6,33.07,33.6,32.61,3.47,2.0,M
26/05/2021,32.94,33.44,33.69,32.32,2.85,-0.54,M
25/05/2021,33.12,32.58,33.69,32.5,2.86,1.75,M
24/05/2021,32.55,30.86,32.82,30.86,3.41,5.41,M
21/05/2021,30.88,31.86,31.97,30.75,3.11,-2.77,M
20/05/2021,31.76,30.68,31.85,30.53,4.08,3.86,M
19/05/2021,30.58,30.77,31.05,30.24,3.0,-1.86,M
18/05/2021,31.16,30.32,31.53,30.32,3.62,2.6,M
17/05/2021,30.37,30.97,31.06,30.33,2.32,-2.06,M
14/05/2021,31.01,31.05,31.17,30.76,1.79,0.91,M
13/05/2021,30.73,30.63,31.1,30.24,2.51,0.99,M
12/05/2021,30.43,31.33,31.33,30.15,6.76,-4.31,M
11/05/2021,31.8,31.63,32.1,30.94,7.72,-3.69,M
10/05/2021,33.02,33.7,33.78,32.22,4.91,-2.83,M
07/05/2021,33.98,33.25,34.45,33.2,6.77,2.78,M
06/05/2021,33.06,32.88,34.45,32.44,6.72,1.5,M
05/05/2021,32.57,32.69,32.97,31.93,5.46,0.59,M
04/05/2021,32.38,32.5,33.15,32.28,7.76,-0.22,M
03/05/2021,32.45,30.98,32.68,30.83,8.28,4.34,M
30/04/2021,31.1,30.98,31.5,30.79,4.29,-0.32,M
29/04/2021,31.2,30.97,31.52,30.75,3.86,0.81,M
28/04/2021,30.95,30.87,31.09,30.35,3.18,0.91,M
27/04/2021,30.67,31.28,31.56,30.56,2.83,-1.73,M
26/04/2021,31.21,31.7,31.81,31.0,3.2,-0.64,M
23/04/2021,31.41,31.0,31.74,30.81,2.84,1.75,M
22/04/2021,30.87,31.22,31.83,30.76,2.57,-0.71,M
20/04/2021,31.09,31.18,31.7,31.03,2.73,-0.58,M
19/04/2021,31.27,31.13,31.99,30.94,4.17,0.39,M
16/04/2021,31.15,31.72,31.74,31.1,3.07,-0.51,M
15/04/2021,31.31,31.0,31.51,30.95,3.64,1.23,M
14/04/2021,30.93,31.27,31.79,30.58,4.16,-1.25,M
13/04/2021,31.32,31.45,31.71,31.05,3.08,0.1,M
12/04/2021,31.29,30.61,31.55,30.55,3.51,2.36,M
09/04/2021,30.57,30.83,30.93,30.24,3.4,-1.7,M
08/04/2021,31.1,30.78,31.38,30.55,3.77,1.34,M
07/04/2021,30.69,30.49,30.78,29.57,4.89,2.13,M
06/04/2021,30.05,29.97,30.34,29.58,3.74,0.5,M
05/04/2021,29.9,28.91,29.9,28.76,3.27,4.07,M
01/04/2021,28.73,28.96,30.02,28.51,4.78,-0.69,M
31/03/2021,28.93,29.0,29.8,28.77,4.09,-0.24,M
30/03/2021,29.0,27.68,29.16,27.58,5.14,4.05,M
29/03/2021,27.87,28.01,28.37,27.45,4.86,-1.1,M
26/03/2021,28.18,28.23,28.63,27.96,3.75,-0.11,M
25/03/2021,28.21,27.84,28.36,27.55,3.78,1.33,M
24/03/2021,27.84,28.82,28.94,27.68,2.93,-3.33,M
