Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,1.83,1.69,1.83,1.66,1.15,2.81,M
23/02/2022,1.78,1.85,1.87,1.78,557.3,-2.73,K
22/02/2022,1.83,1.85,1.88,1.81,711.0,-1.08,K
21/02/2022,1.85,1.95,1.95,1.85,398.7,-4.15,K
18/02/2022,1.93,1.95,1.97,1.91,358.7,-1.03,K
17/02/2022,1.95,1.97,1.99,1.93,427.9,-1.02,K
16/02/2022,1.97,1.98,2.0,1.95,815.7,0.51,K
15/02/2022,1.96,1.94,1.99,1.94,638.2,1.55,K
14/02/2022,1.93,1.92,1.95,1.88,608.1,1.58,K
11/02/2022,1.9,1.96,2.03,1.9,1.76,-2.56,M
10/02/2022,1.95,1.98,2.02,1.95,603.5,-1.02,K
09/02/2022,1.97,2.0,2.03,1.97,700.9,-1.01,K
08/02/2022,1.99,2.05,2.05,1.98,1.05,-2.93,M
07/02/2022,2.05,1.98,2.05,1.93,1.23,4.59,M
04/02/2022,1.96,2.04,2.04,1.93,1.0,-3.45,M
03/02/2022,2.03,2.03,2.09,2.0,945.4,1.0,K
02/02/2022,2.01,2.04,2.2,2.01,3.66,-1.47,M
01/02/2022,2.04,2.09,2.17,2.04,1.5,-2.86,M
31/01/2022,2.1,2.06,2.15,2.03,1.56,1.94,M
28/01/2022,2.06,2.01,2.06,1.99,664.0,0.98,K
27/01/2022,2.04,1.96,2.07,1.96,1.25,5.15,M
26/01/2022,1.94,1.97,2.01,1.91,956.8,0.52,K
25/01/2022,1.93,1.86,1.96,1.84,1.59,4.32,M
24/01/2022,1.85,1.89,1.9,1.81,577.4,-1.6,K
21/01/2022,1.88,1.83,1.91,1.81,1.13,2.73,M
20/01/2022,1.83,1.77,1.86,1.77,989.4,2.23,K
19/01/2022,1.79,1.76,1.83,1.76,750.5,3.47,K
18/01/2022,1.73,1.8,1.82,1.73,1.15,-5.46,M
17/01/2022,1.83,1.8,1.84,1.79,304.3,1.1,K
