Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,4.28,4.17,4.42,4.11,5.69,-2.06,M
23/02/2022,4.37,4.42,4.66,4.32,1.36,-0.46,M
22/02/2022,4.39,4.53,4.59,4.37,1.63,-2.23,M
21/02/2022,4.49,4.86,4.89,4.42,1.71,-7.42,M
18/02/2022,4.85,5.01,5.27,4.84,1.64,-3.19,M
17/02/2022,5.01,5.09,5.17,4.87,2.01,-1.38,M
16/02/2022,5.08,4.98,5.15,4.89,2.05,2.21,M
15/02/2022,4.97,4.99,5.25,4.83,4.39,-0.2,M
14/02/2022,4.98,5.16,5.5,4.97,2.85,-3.3,M
11/02/2022,5.15,5.66,5.71,5.15,3.34,-8.53,M
10/02/2022,5.63,5.7,5.78,5.54,1.8,-1.05,M
09/02/2022,5.69,5.51,5.84,5.43,2.09,3.27,M
08/02/2022,5.51,5.73,5.93,5.51,1.65,-4.34,M
07/02/2022,5.76,5.48,5.92,5.45,2.94,4.92,M
04/02/2022,5.49,5.31,5.54,5.08,4.03,3.39,M
03/02/2022,5.31,5.23,5.79,5.03,4.88,1.53,M
02/02/2022,5.23,4.85,5.32,4.65,4.26,7.84,M
01/02/2022,4.85,4.28,5.02,4.25,5.9,13.58,M
31/01/2022,4.27,4.27,4.4,4.22,1.47,0.23,M
28/01/2022,4.26,4.29,4.5,4.16,2.72,-1.39,M
27/01/2022,4.32,4.54,4.64,4.3,2.02,-3.79,M
26/01/2022,4.49,4.43,4.65,4.39,2.03,2.75,M
25/01/2022,4.37,4.33,4.5,4.21,2.43,0.0,M
24/01/2022,4.37,4.53,4.53,4.25,1.77,-3.96,M
21/01/2022,4.55,4.38,4.59,4.25,2.97,2.25,M
20/01/2022,4.45,4.17,4.57,4.17,1.86,6.46,M
19/01/2022,4.18,4.37,4.53,4.18,1.41,-2.11,M
18/01/2022,4.27,4.41,4.45,4.26,1.41,-3.17,M
17/01/2022,4.41,4.69,4.7,4.31,3.07,-4.13,M
14/01/2022,4.6,4.45,4.73,4.39,1.72,3.37,M
13/01/2022,4.45,4.62,4.7,4.45,1.1,-3.26,M
12/01/2022,4.6,4.85,5.02,4.59,2.34,-4.56,M
11/01/2022,4.82,5.05,5.29,4.82,2.06,-5.12,M
10/01/2022,5.08,4.99,5.15,4.78,1.56,-0.97,M
07/01/2022,5.13,4.69,5.25,4.49,2.44,8.69,M
06/01/2022,4.72,4.5,4.72,4.39,2.58,6.79,M
05/01/2022,4.42,4.8,5.0,4.39,3.44,-10.53,M
04/01/2022,4.94,5.54,5.65,4.8,3.17,-10.02,M
03/01/2022,5.49,5.96,6.01,5.48,1.93,-8.19,M
30/12/2021,5.98,5.75,5.98,5.52,4.5,6.6,M
29/12/2021,5.61,5.74,5.77,5.44,1.72,-1.58,M
28/12/2021,5.7,5.79,5.92,5.67,1.02,-2.06,M
27/12/2021,5.82,5.81,5.92,5.6,919.1,1.57,K
23/12/2021,5.73,5.85,6.04,5.52,1.57,-1.04,M
22/12/2021,5.79,5.9,6.06,5.65,1.47,-0.69,M
21/12/2021,5.83,6.16,6.35,5.79,2.23,-4.74,M
20/12/2021,6.12,6.25,6.35,6.12,1.28,-2.08,M
17/12/2021,6.25,6.43,6.5,6.22,1.1,-2.5,M
16/12/2021,6.41,6.8,7.0,6.33,1.83,-4.33,M
15/12/2021,6.7,6.42,6.87,6.14,1.66,5.18,M
14/12/2021,6.37,6.94,7.14,6.11,2.99,-7.68,M
13/12/2021,6.9,6.46,7.05,6.34,3.04,7.48,M
10/12/2021,6.42,6.3,6.55,6.19,1.7,2.39,M
09/12/2021,6.27,6.41,6.41,6.06,1.43,-2.03,M
08/12/2021,6.4,6.44,6.64,6.17,2.69,0.79,M
07/12/2021,6.35,6.47,6.66,6.34,2.46,-0.16,M
06/12/2021,6.36,6.77,6.93,6.36,2.33,-5.07,M
03/12/2021,6.7,6.83,7.28,6.66,2.97,-0.3,M
02/12/2021,6.72,7.1,7.55,6.7,4.1,-4.0,M
01/12/2021,7.0,8.03,8.1,7.0,3.3,-11.28,M
30/11/2021,7.89,7.63,8.04,7.42,3.31,2.73,M
29/11/2021,7.68,8.07,8.21,7.68,2.76,-0.39,M
26/11/2021,7.71,7.84,8.4,7.6,5.86,-7.11,M
25/11/2021,8.3,7.38,8.3,7.38,5.06,12.62,M
24/11/2021,7.37,6.56,7.41,6.49,7.69,10.49,M
23/11/2021,6.67,6.56,6.73,6.43,5.07,2.62,M
22/11/2021,6.5,6.59,6.74,6.38,5.22,-1.37,M
19/11/2021,6.59,6.47,6.67,6.3,2.26,3.62,M
18/11/2021,6.36,6.53,6.62,6.24,3.64,-2.9,M
17/11/2021,6.55,6.4,6.8,6.04,4.62,2.66,M
16/11/2021,6.38,6.27,6.38,5.75,7.64,2.9,M
12/11/2021,6.2,6.39,6.7,6.06,3.42,-2.82,M
11/11/2021,6.38,5.92,6.52,5.82,6.18,8.69,M
10/11/2021,5.87,5.97,6.13,5.76,1.62,-1.84,M
09/11/2021,5.98,5.9,6.03,5.81,1.35,1.53,M
08/11/2021,5.89,5.8,6.02,5.72,1.53,1.55,M
05/11/2021,5.8,5.94,6.2,5.68,5.11,-2.52,M
04/11/2021,5.95,6.52,6.79,5.92,5.04,-9.57,M
03/11/2021,6.58,6.2,6.71,6.14,5.22,4.44,M
01/11/2021,6.3,5.96,6.3,5.75,5.69,6.78,M
29/10/2021,5.9,5.95,6.15,5.54,5.58,-0.84,M
28/10/2021,5.95,5.3,6.0,5.24,8.42,7.4,M
27/10/2021,5.54,5.26,5.57,4.56,14.1,2.78,M
26/10/2021,5.39,5.89,6.04,5.32,8.69,-10.17,M
25/10/2021,6.0,6.46,6.58,6.0,2.77,-4.76,M
22/10/2021,6.3,6.81,6.82,5.9,11.02,-7.35,M
21/10/2021,6.8,7.74,8.14,6.8,4.29,-14.47,M
20/10/2021,7.95,8.22,8.48,7.75,4.28,-2.33,M
19/10/2021,8.14,8.42,8.68,8.0,2.48,-4.24,M
18/10/2021,8.5,8.09,8.5,7.87,1.91,3.91,M
15/10/2021,8.18,7.34,8.18,7.34,2.88,10.99,M
14/10/2021,7.37,7.2,7.48,7.12,2.12,2.36,M
13/10/2021,7.2,6.67,7.3,6.67,2.35,5.42,M
11/10/2021,6.83,6.44,7.2,6.2,3.16,5.24,M
