Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,5.29,5.24,5.39,5.02,2.28,-1.49,M
23/02/2022,5.37,5.35,5.52,5.34,869.2,0.19,K
22/02/2022,5.36,5.51,5.58,5.33,1.29,-1.83,M
21/02/2022,5.46,5.61,5.65,5.38,732.8,-2.67,K
18/02/2022,5.61,5.69,5.75,5.59,1.05,-0.53,M
17/02/2022,5.64,5.77,5.85,5.63,839.5,-2.59,K
16/02/2022,5.79,5.85,5.91,5.76,800.9,-1.03,K
15/02/2022,5.85,5.6,5.87,5.58,953.4,5.98,K
14/02/2022,5.52,5.55,5.62,5.43,1.31,-0.54,M
11/02/2022,5.55,5.62,5.85,5.49,2.01,-0.72,M
10/02/2022,5.59,5.63,5.73,5.52,1.46,-0.36,M
09/02/2022,5.61,5.82,5.92,5.58,1.77,-3.44,M
08/02/2022,5.81,5.88,6.02,5.75,1.5,-1.02,M
07/02/2022,5.87,6.1,6.14,5.87,1.3,-3.45,M
04/02/2022,6.08,6.55,6.56,6.06,2.04,-7.46,M
03/02/2022,6.57,6.41,6.6,6.25,1.19,2.5,M
02/02/2022,6.41,6.38,6.52,6.32,899.4,0.47,K
01/02/2022,6.38,6.38,6.61,6.38,1.41,-0.62,M
31/01/2022,6.42,6.15,6.43,6.03,1.41,4.39,M
28/01/2022,6.15,6.16,6.28,6.08,954.6,-0.49,K
27/01/2022,6.18,6.19,6.38,6.17,1.72,0.65,M
26/01/2022,6.14,5.99,6.19,5.99,1.94,3.54,M
25/01/2022,5.93,5.8,6.01,5.72,1.3,1.37,M
24/01/2022,5.85,5.86,5.88,5.7,1.39,-1.02,M
21/01/2022,5.91,5.65,5.93,5.57,2.0,4.23,M
20/01/2022,5.67,5.46,5.86,5.44,1.9,4.04,M
19/01/2022,5.45,5.27,5.48,5.23,1.01,4.41,M
18/01/2022,5.22,5.25,5.26,5.15,741.5,-0.76,K
17/01/2022,5.26,5.4,5.43,5.24,1.19,-2.41,M
14/01/2022,5.39,5.45,5.5,5.3,1.46,-1.1,M
13/01/2022,5.45,5.52,5.62,5.41,898.5,-1.45,K
12/01/2022,5.53,5.37,5.6,5.31,893.3,4.54,K
11/01/2022,5.29,5.32,5.44,5.27,1.16,-0.56,M
10/01/2022,5.32,5.6,5.6,5.3,1.09,-4.14,M
07/01/2022,5.55,5.38,5.63,5.33,1.43,2.78,M
06/01/2022,5.4,5.16,5.66,5.08,4.72,4.65,M
05/01/2022,5.16,5.42,5.46,5.16,1.63,-4.44,M
04/01/2022,5.4,5.69,5.7,5.36,1.9,-4.76,M
03/01/2022,5.67,6.0,6.04,5.64,1.62,-4.71,M
30/12/2021,5.95,5.82,6.07,5.75,1.51,3.12,M
29/12/2021,5.77,6.02,6.2,5.75,2.34,-4.15,M
28/12/2021,6.02,5.76,6.04,5.76,1.82,4.51,M
27/12/2021,5.76,5.46,5.77,5.46,1.52,5.69,M
23/12/2021,5.45,5.48,5.56,5.41,1.17,0.18,M
22/12/2021,5.44,5.51,5.58,5.41,913.0,-1.09,K
21/12/2021,5.5,5.64,5.67,5.47,769.3,-1.08,K
20/12/2021,5.56,5.69,5.71,5.51,1.36,-3.97,M
17/12/2021,5.79,5.57,5.79,5.41,1.73,4.32,M
16/12/2021,5.55,5.64,5.7,5.49,752.9,-0.18,K
15/12/2021,5.56,5.51,5.64,5.3,1.41,1.65,M
14/12/2021,5.47,5.87,6.04,5.45,2.97,-6.81,M
13/12/2021,5.87,5.81,5.88,5.61,2.25,2.26,M
10/12/2021,5.74,5.57,5.82,5.57,1.55,3.24,M
09/12/2021,5.56,5.78,5.79,5.47,1.66,-4.3,M
08/12/2021,5.81,5.55,5.91,5.43,1.34,5.25,M
07/12/2021,5.52,5.77,5.85,5.52,1.13,-2.82,M
06/12/2021,5.68,5.57,5.73,5.53,857.2,1.79,K
03/12/2021,5.58,5.45,5.75,5.45,1.52,2.39,M
02/12/2021,5.45,5.31,5.53,5.31,1.53,4.61,M
01/12/2021,5.21,5.48,5.61,5.21,1.95,-4.23,M
30/11/2021,5.44,5.5,5.51,5.18,4.35,-1.09,M
29/11/2021,5.5,5.7,5.78,5.45,1.87,-3.51,M
