Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,24.4,24.29,24.59,23.81,3.0,-2.36,M
23/02/2022,24.99,24.45,25.03,24.42,2.16,2.54,M
22/02/2022,24.37,24.07,24.51,24.05,2.26,1.67,M
21/02/2022,23.97,23.85,24.18,23.82,1.64,0.71,M
18/02/2022,23.8,23.83,24.12,23.78,1.48,0.42,M
17/02/2022,23.7,23.81,23.97,23.7,1.58,-0.21,M
16/02/2022,23.75,23.96,24.1,23.75,2.2,-0.67,M
15/02/2022,23.91,23.82,24.09,23.79,1.72,0.67,M
14/02/2022,23.75,23.83,23.99,23.75,1.48,-0.13,M
11/02/2022,23.78,24.0,24.04,23.78,1.38,-0.5,M
10/02/2022,23.9,23.78,23.96,23.76,1.36,0.59,M
09/02/2022,23.76,23.8,23.98,23.75,1.43,0.13,M
08/02/2022,23.73,23.91,23.95,23.73,1.09,-0.5,M
07/02/2022,23.85,23.96,24.16,23.85,1.31,-0.21,M
04/02/2022,23.9,24.09,24.11,23.9,1.06,-0.54,M
03/02/2022,24.03,24.05,24.21,23.99,1.24,0.25,M
02/02/2022,23.97,23.99,24.25,23.91,1.34,0.0,M
01/02/2022,23.97,24.18,24.25,23.95,2.13,-0.79,M
31/01/2022,24.16,24.17,24.24,24.05,1.26,0.12,M
28/01/2022,24.13,24.14,24.28,24.07,1.08,-0.04,M
27/01/2022,24.14,24.18,24.38,24.05,1.3,0.46,M
26/01/2022,24.03,24.08,24.3,24.03,916.2,0.13,K
25/01/2022,24.0,24.08,24.25,23.97,1.1,-0.58,M
24/01/2022,24.14,24.25,24.51,24.08,1.07,-0.29,M
21/01/2022,24.21,24.0,24.24,23.88,918.8,0.83,K
20/01/2022,24.01,24.15,24.24,23.95,1.19,-0.33,M
19/01/2022,24.09,24.01,24.42,24.0,1.33,0.21,M
18/01/2022,24.04,23.7,24.2,23.7,927.4,1.14,K
17/01/2022,23.77,23.64,23.89,23.64,875.0,0.42,K
14/01/2022,23.67,23.65,23.75,23.64,1.02,0.17,M
13/01/2022,23.63,23.59,23.75,23.51,825.0,0.13,K
12/01/2022,23.6,23.4,23.68,23.36,1.07,0.85,M
11/01/2022,23.4,23.52,23.67,23.38,798.2,-0.43,K
10/01/2022,23.5,23.71,23.76,23.5,891.9,-0.68,K
07/01/2022,23.66,23.78,23.97,23.6,733.9,-0.55,K
06/01/2022,23.79,24.04,24.05,23.71,1.01,-0.46,M
05/01/2022,23.9,24.26,24.32,23.88,921.0,-1.48,K
04/01/2022,24.26,24.26,24.43,24.1,1.04,0.12,M
03/01/2022,24.23,24.31,24.54,24.1,943.6,-0.33,K
30/12/2021,24.31,24.26,24.34,24.1,1.25,0.75,M
29/12/2021,24.13,24.32,24.44,24.05,895.8,-0.49,K
28/12/2021,24.25,24.34,24.41,24.18,688.6,-0.21,K
27/12/2021,24.3,24.46,24.49,24.27,530.4,0.12,K
23/12/2021,24.27,24.37,24.7,24.27,702.2,-1.42,K
22/12/2021,24.62,24.3,24.65,24.3,992.4,1.32,K
21/12/2021,24.3,24.25,24.49,24.25,523.7,0.25,K
20/12/2021,24.24,24.42,24.51,24.11,1.17,-0.78,M
17/12/2021,24.43,24.48,24.7,24.38,1.4,-0.37,M
16/12/2021,24.52,24.45,24.74,24.31,1.57,0.12,M
15/12/2021,24.49,24.29,24.6,24.01,1.45,0.82,M
14/12/2021,24.29,24.46,24.66,24.19,1.32,-0.45,M
13/12/2021,24.4,24.3,24.53,24.25,1.09,0.74,M
10/12/2021,24.22,24.3,24.64,24.18,1.01,-0.33,M
09/12/2021,24.3,24.25,24.43,24.16,666.1,-0.29,K
08/12/2021,24.37,24.16,24.43,24.15,590.7,1.08,K
07/12/2021,24.11,24.45,24.6,24.11,740.7,-0.78,K
06/12/2021,24.3,24.36,24.78,24.22,1.03,-0.08,M
03/12/2021,24.32,24.24,24.8,24.14,1.23,0.54,M
02/12/2021,24.19,23.58,24.37,23.48,1.58,3.55,M
01/12/2021,23.36,23.37,23.75,23.3,1.91,0.26,M
30/11/2021,23.3,23.1,23.43,23.04,1.87,0.65,M
29/11/2021,23.15,23.22,23.23,23.0,852.5,0.96,K
26/11/2021,22.93,22.74,22.93,22.64,1.31,0.0,M
25/11/2021,22.93,22.91,23.22,22.89,818.4,0.53,K
24/11/2021,22.81,22.62,22.94,22.62,1.68,0.84,M
23/11/2021,22.62,22.58,22.7,22.38,1.18,0.76,M
22/11/2021,22.45,22.62,22.79,22.45,954.3,-0.49,K
19/11/2021,22.56,22.62,22.88,22.56,1.05,-0.04,M
18/11/2021,22.57,22.73,22.97,22.55,1.03,-0.09,M
17/11/2021,22.59,22.81,22.94,22.38,1.61,-0.79,M
16/11/2021,22.77,23.18,23.21,22.66,1.37,-1.39,M
12/11/2021,23.09,23.07,23.39,22.99,1.09,-0.04,M
11/11/2021,23.1,23.11,23.36,23.04,984.8,0.17,K
10/11/2021,23.06,22.9,23.25,22.9,1.63,0.87,M
09/11/2021,22.86,22.97,23.04,22.85,1.35,-0.35,M
08/11/2021,22.94,23.03,23.22,22.86,1.25,-0.39,M
05/11/2021,23.03,23.37,23.37,23.02,1.15,-0.73,M
04/11/2021,23.2,23.74,23.74,23.09,2.48,-1.65,M
03/11/2021,23.59,23.7,23.85,23.32,3.28,0.13,M
01/11/2021,23.56,23.37,23.87,23.24,2.09,2.26,M
29/10/2021,23.04,23.44,23.5,22.95,2.64,0.22,M
28/10/2021,22.99,23.21,23.47,22.99,1.1,-1.08,M
27/10/2021,23.24,23.07,23.51,23.02,1.25,1.13,M
26/10/2021,22.98,22.79,23.22,22.77,802.7,0.0,K
25/10/2021,22.98,22.94,23.06,22.64,800.3,1.06,K
22/10/2021,22.74,22.83,23.02,22.21,1.77,-0.7,M
21/10/2021,22.9,23.01,23.04,22.61,1.52,-1.55,M
20/10/2021,23.26,23.31,23.46,23.1,694.6,0.3,K
19/10/2021,23.19,23.55,23.64,23.05,1.34,-1.82,M
