Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,9.93,9.5,10.14,9.15,1.09,4.2,M
23/02/2022,9.53,9.65,9.76,9.52,591.5,-0.52,K
22/02/2022,9.58,9.53,9.74,9.4,505.3,1.16,K
21/02/2022,9.47,9.98,9.98,9.15,441.9,-3.37,K
18/02/2022,9.8,10.12,10.13,9.75,774.1,-0.61,K
17/02/2022,9.86,9.89,10.12,9.83,419.8,0.0,K
16/02/2022,9.86,10.14,10.15,9.79,368.3,-2.57,K
15/02/2022,10.12,9.75,10.12,9.72,422.7,4.98,K
14/02/2022,9.64,9.65,9.9,9.56,564.0,0.1,K
11/02/2022,9.63,9.97,10.2,9.61,623.4,-1.73,K
10/02/2022,9.8,9.85,10.23,9.75,564.6,0.72,K
09/02/2022,9.73,9.65,9.95,9.65,429.6,1.35,K
08/02/2022,9.6,9.83,9.91,9.57,328.3,-1.13,K
07/02/2022,9.71,9.88,10.1,9.7,560.6,-1.62,K
04/02/2022,9.87,10.0,10.0,9.48,515.9,1.13,K
03/02/2022,9.76,10.1,10.2,9.76,502.7,-2.79,K
02/02/2022,10.04,10.06,10.45,10.02,1.13,0.7,M
01/02/2022,9.97,9.3,10.06,9.15,2.34,1.73,M
31/01/2022,9.8,9.69,9.94,9.34,1.08,3.16,M
28/01/2022,9.5,9.1,9.5,8.93,382.1,2.48,K
27/01/2022,9.27,9.11,9.28,8.93,604.5,1.87,K
26/01/2022,9.1,9.33,9.49,9.1,458.1,-1.62,K
25/01/2022,9.25,8.8,9.25,8.75,335.7,3.93,K
24/01/2022,8.9,8.95,8.96,8.62,456.6,-0.34,K
21/01/2022,8.93,8.92,9.14,8.6,513.5,-2.93,K
20/01/2022,9.2,8.66,9.21,8.66,510.1,3.72,K
19/01/2022,8.87,8.21,8.87,8.1,572.8,9.64,K
18/01/2022,8.09,8.3,8.45,8.09,618.9,-5.16,K
17/01/2022,8.53,8.11,8.53,8.08,236.7,3.39,K
14/01/2022,8.25,8.22,8.4,8.11,485.3,-1.67,K
13/01/2022,8.39,8.45,8.49,8.27,452.5,-2.21,K
12/01/2022,8.58,8.5,8.65,8.26,374.6,2.75,K
11/01/2022,8.35,8.38,8.66,8.18,606.0,-2.68,K
10/01/2022,8.58,8.79,8.79,8.27,637.6,-2.5,K
07/01/2022,8.8,8.51,8.91,8.42,247.2,1.03,K
06/01/2022,8.71,8.41,8.92,8.2,527.2,3.2,K
05/01/2022,8.44,8.98,9.15,8.44,973.6,-7.76,K
04/01/2022,9.15,9.37,9.37,9.0,402.0,-0.22,K
03/01/2022,9.17,9.6,9.76,8.97,864.7,-5.76,K
30/12/2021,9.73,9.74,10.05,9.56,2.59,1.35,M
29/12/2021,9.6,9.72,9.76,9.45,801.9,-1.03,K
28/12/2021,9.7,9.6,9.7,9.44,355.8,1.46,K
27/12/2021,9.56,9.39,9.61,9.22,535.1,2.69,K
23/12/2021,9.31,8.83,9.46,8.83,757.8,4.26,K
22/12/2021,8.93,9.18,9.18,8.78,615.2,-0.33,K
21/12/2021,8.96,9.0,9.18,8.84,337.4,-0.55,K
20/12/2021,9.01,9.23,9.32,8.82,555.9,-3.84,K
17/12/2021,9.37,8.47,9.38,8.19,2.29,10.24,M
16/12/2021,8.5,8.28,8.68,8.24,1.06,1.07,M
15/12/2021,8.41,8.01,8.44,7.9,598.6,5.12,K
14/12/2021,8.0,8.28,8.38,7.98,487.1,-4.76,K
13/12/2021,8.4,8.3,8.44,8.19,391.8,0.6,K
10/12/2021,8.35,8.27,8.38,8.13,476.0,1.21,K
09/12/2021,8.25,8.14,8.46,7.95,1.33,0.61,M
08/12/2021,8.2,7.66,8.26,7.63,983.1,7.19,K
07/12/2021,7.65,7.6,7.85,7.39,816.3,1.59,K
06/12/2021,7.53,7.3,7.53,7.2,798.8,1.76,K
03/12/2021,7.4,7.39,7.51,7.18,1.23,0.14,M
02/12/2021,7.39,6.98,7.45,6.89,1.99,7.1,M
01/12/2021,6.9,7.52,7.64,6.7,2.45,-6.76,M
30/11/2021,7.4,8.17,8.17,7.4,4.39,-9.76,M
29/11/2021,8.2,8.61,8.61,8.2,1.11,-1.68,M
26/11/2021,8.34,8.39,8.57,8.13,1.25,-3.02,M
25/11/2021,8.6,8.59,8.67,8.35,631.8,1.9,K
24/11/2021,8.44,8.11,8.56,7.82,856.4,4.2,K
23/11/2021,8.1,8.5,8.57,8.02,1.13,-4.03,M
22/11/2021,8.44,8.86,8.99,8.43,1.02,-4.74,M
19/11/2021,8.86,8.84,9.06,8.7,879.6,0.11,K
18/11/2021,8.85,8.87,9.15,8.77,1.14,-0.56,M
17/11/2021,8.9,9.61,9.69,8.84,1.55,-7.0,M
16/11/2021,9.57,9.86,9.86,9.42,888.0,-2.94,K
12/11/2021,9.86,9.98,10.07,9.65,1.36,-0.3,M
11/11/2021,9.89,9.65,10.2,9.59,1.06,3.45,M
10/11/2021,9.56,9.5,9.71,9.4,800.0,-0.42,K
09/11/2021,9.6,9.56,9.77,9.33,1.33,0.42,M
08/11/2021,9.56,9.27,9.56,9.13,594.2,2.47,K
05/11/2021,9.33,9.52,9.58,9.08,1.75,-2.1,M
04/11/2021,9.53,9.33,9.53,9.05,769.1,2.47,K
03/11/2021,9.3,8.82,9.57,8.71,1.11,3.33,M
01/11/2021,9.0,9.17,9.17,8.4,1.18,2.97,M
29/10/2021,8.74,8.6,8.74,8.44,836.7,-0.11,K
28/10/2021,8.75,8.78,9.03,8.48,1.43,0.0,M
