Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,18.5,18.3,18.73,17.9,702.2,-1.33,K
23/02/2022,18.75,18.49,19.04,18.49,661.7,1.46,K
22/02/2022,18.48,18.79,19.05,18.42,721.0,-1.12,K
21/02/2022,18.69,19.49,19.49,18.69,691.2,-3.11,K
18/02/2022,19.29,19.24,19.56,19.16,508.1,0.73,K
17/02/2022,19.15,19.23,19.47,19.15,502.6,-1.08,K
16/02/2022,19.36,19.55,19.95,19.22,744.2,-1.27,K
15/02/2022,19.61,19.38,19.71,19.3,374.2,1.66,K
14/02/2022,19.29,19.27,19.45,19.05,317.2,0.36,K
11/02/2022,19.22,20.01,20.15,19.05,1.09,-3.17,M
10/02/2022,19.85,19.91,20.41,19.81,851.4,-0.2,K
09/02/2022,19.89,19.93,20.25,19.83,423.9,-0.05,K
08/02/2022,19.9,19.7,20.04,19.54,510.6,0.81,K
07/02/2022,19.74,19.53,19.99,19.15,838.2,0.66,K
04/02/2022,19.61,19.78,19.86,19.27,611.7,-1.06,K
03/02/2022,19.82,20.53,20.64,19.67,907.1,-3.46,K
02/02/2022,20.53,20.68,20.81,20.3,552.3,-0.73,K
01/02/2022,20.68,20.99,21.19,20.38,587.6,-0.91,K
31/01/2022,20.87,20.48,21.08,20.3,596.2,2.3,K
28/01/2022,20.4,20.11,20.47,19.98,795.6,1.09,K
27/01/2022,20.18,20.41,20.54,19.94,708.2,-0.39,K
26/01/2022,20.26,20.2,20.85,20.15,614.3,0.8,K
25/01/2022,20.1,19.91,20.23,19.61,559.1,0.8,K
24/01/2022,19.94,20.21,20.28,19.82,434.7,-1.58,K
21/01/2022,20.26,20.69,20.74,20.26,580.1,-1.94,K
20/01/2022,20.66,20.34,20.82,20.24,519.7,1.67,K
19/01/2022,20.32,20.72,20.88,20.32,610.5,-1.55,K
18/01/2022,20.64,20.28,20.69,20.04,608.6,1.83,K
17/01/2022,20.27,20.43,20.62,20.27,331.5,-0.78,K
14/01/2022,20.43,20.6,20.93,20.25,613.3,-1.26,K
13/01/2022,20.69,20.5,20.79,20.39,343.1,0.68,K
12/01/2022,20.55,19.84,20.79,19.74,721.1,3.68,K
11/01/2022,19.82,19.4,19.82,19.25,646.4,2.16,K
10/01/2022,19.4,19.34,19.53,19.12,398.8,0.31,K
07/01/2022,19.34,18.98,19.6,18.96,483.5,1.31,K
06/01/2022,19.09,19.16,19.52,18.78,1.01,0.47,M
05/01/2022,19.0,20.27,20.27,18.98,745.1,-5.94,K
04/01/2022,20.2,20.57,20.71,20.0,600.9,-1.37,K
03/01/2022,20.48,20.11,20.81,20.05,499.8,2.66,K
30/12/2021,19.95,20.48,20.71,19.95,646.3,-3.2,K
29/12/2021,20.61,20.6,20.91,20.57,365.2,0.0,K
28/12/2021,20.61,20.5,20.97,20.41,427.6,0.78,K
27/12/2021,20.45,20.19,20.5,20.09,244.7,1.29,K
23/12/2021,20.19,20.09,20.24,19.91,260.7,0.5,K
22/12/2021,20.09,20.5,20.5,19.91,472.5,-1.42,K
21/12/2021,20.38,20.44,20.59,19.94,434.5,-0.29,K
20/12/2021,20.44,20.63,20.71,19.91,741.9,-1.49,K
17/12/2021,20.75,21.52,21.52,20.73,1.13,-4.42,M
16/12/2021,21.71,21.21,21.88,21.21,479.2,2.89,K
15/12/2021,21.1,21.11,21.15,20.73,562.1,0.0,K
14/12/2021,21.1,21.51,21.76,20.94,790.7,-2.41,K
13/12/2021,21.62,21.57,21.76,21.28,459.2,0.79,K
10/12/2021,21.45,21.37,21.51,20.99,525.0,1.27,K
09/12/2021,21.18,21.0,21.42,20.82,533.0,-0.56,K
08/12/2021,21.3,21.01,22.08,20.87,576.8,1.77,K
07/12/2021,20.93,20.77,21.18,20.66,468.7,1.7,K
06/12/2021,20.58,19.8,20.83,19.64,633.4,4.79,K
03/12/2021,19.64,19.48,19.81,19.4,750.0,1.5,K
02/12/2021,19.35,19.23,19.57,19.0,630.7,1.63,K
01/12/2021,19.04,19.51,19.78,18.82,1.18,-1.4,M
30/11/2021,19.31,20.29,20.29,18.97,1.39,-4.12,M
29/11/2021,20.14,20.6,20.66,19.94,627.9,-0.79,K
26/11/2021,20.3,20.5,20.53,19.81,566.6,-1.98,K
25/11/2021,20.71,20.66,21.05,20.49,524.5,0.44,K
24/11/2021,20.62,19.93,20.62,19.8,817.4,2.49,K
23/11/2021,20.12,20.3,20.45,19.86,681.6,-0.89,K
22/11/2021,20.3,20.39,20.42,19.79,896.9,0.2,K
19/11/2021,20.26,20.25,20.71,19.93,917.1,0.21,K
18/11/2021,20.22,20.57,20.72,19.99,777.1,-2.09,K
17/11/2021,20.65,21.03,21.14,20.21,1.06,-1.15,M
16/11/2021,20.89,22.2,22.2,20.69,1.41,-5.05,M
12/11/2021,22.0,22.69,22.8,21.87,1.08,-2.44,M
11/11/2021,22.55,22.1,22.86,21.9,1.57,2.55,M
10/11/2021,21.99,21.88,22.06,21.51,593.2,0.69,K
09/11/2021,21.84,21.66,22.07,21.52,551.0,1.06,K
08/11/2021,21.61,21.68,22.3,21.58,667.1,-0.32,K
05/11/2021,21.68,21.78,21.88,21.36,534.2,1.17,K
04/11/2021,21.43,21.7,22.19,21.41,837.8,-1.56,K
03/11/2021,21.77,21.04,22.08,20.91,929.8,2.83,K
01/11/2021,21.17,21.1,21.32,20.6,982.8,1.34,K
29/10/2021,20.89,21.64,21.82,20.61,1.45,-3.06,M
28/10/2021,21.55,22.06,22.47,21.51,773.7,-4.14,K
27/10/2021,22.48,21.97,22.81,21.83,1.09,3.21,M
26/10/2021,21.78,22.27,22.52,21.66,953.3,-2.98,K
25/10/2021,22.45,21.37,22.62,21.17,1.21,6.3,M
22/10/2021,21.12,21.66,22.0,20.57,1.49,-2.49,M
21/10/2021,21.66,21.98,22.18,21.35,1.18,-3.09,M
20/10/2021,22.35,21.94,22.39,21.62,1.04,2.71,M
19/10/2021,21.76,21.62,22.3,21.48,1.21,0.18,M
18/10/2021,21.72,21.48,21.96,21.22,1.05,1.02,M
15/10/2021,21.5,20.5,21.51,20.5,927.7,4.52,K
14/10/2021,20.57,20.45,20.69,20.19,600.3,1.13,K
13/10/2021,20.34,20.19,20.74,20.13,531.2,0.74,K
11/10/2021,20.19,20.42,20.78,20.19,664.8,-1.17,K
08/10/2021,20.43,19.85,20.64,19.81,676.4,3.6,K
07/10/2021,19.72,19.81,20.08,19.34,765.8,0.1,K
06/10/2021,19.7,19.7,19.81,19.38,889.5,-1.05,K
05/10/2021,19.91,20.21,20.45,19.91,603.1,-0.8,K
04/10/2021,20.07,21.0,21.05,20.07,600.4,-4.56,K
01/10/2021,21.03,20.07,21.09,20.02,1.1,4.26,M
30/09/2021,20.17,20.1,20.9,20.07,1.16,0.8,M
29/09/2021,20.01,19.81,20.16,19.72,705.7,1.57,K
28/09/2021,19.7,20.26,20.43,19.66,800.2,-3.24,K
27/09/2021,20.36,20.05,20.72,20.05,1.08,1.85,M
24/09/2021,19.99,19.83,20.14,19.7,768.7,0.15,K
23/09/2021,19.96,19.75,20.24,19.68,802.8,1.42,K
22/09/2021,19.68,19.63,19.92,19.57,581.4,1.55,K
21/09/2021,19.38,19.41,19.81,19.19,766.1,0.31,K
20/09/2021,19.32,19.33,19.47,18.89,1.02,-2.57,M
17/09/2021,19.83,19.69,19.83,19.4,1.36,0.66,M
16/09/2021,19.7,19.9,20.15,19.57,1.08,-1.4,M
15/09/2021,19.98,19.88,20.1,19.57,782.9,0.5,K
14/09/2021,19.88,20.02,20.2,19.77,661.2,-0.5,K
13/09/2021,19.98,20.16,20.39,19.86,723.3,0.35,K
10/09/2021,19.91,20.4,20.81,19.74,1.31,-1.44,M
09/09/2021,20.2,19.98,20.38,19.6,908.6,1.05,K
08/09/2021,19.99,20.63,20.66,19.77,925.3,-3.24,K
06/09/2021,20.66,20.89,21.23,20.66,493.7,-1.01,K
03/09/2021,20.87,21.01,21.11,20.52,1.13,-0.33,M
02/09/2021,20.94,21.66,21.73,20.83,870.4,-3.19,K
01/09/2021,21.63,22.53,22.53,21.59,980.4,-2.92,K
31/08/2021,22.28,22.42,22.99,21.82,1.83,-0.13,M
30/08/2021,22.31,21.93,22.37,21.87,573.9,1.41,K
27/08/2021,22.0,22.03,22.17,21.81,476.3,0.92,K
26/08/2021,21.8,22.29,22.36,21.69,720.6,-2.55,K
25/08/2021,22.37,22.45,22.7,22.08,836.3,-0.4,K
24/08/2021,22.46,21.6,22.6,21.41,1.42,4.9,M
23/08/2021,21.41,21.0,21.6,21.0,832.3,2.05,K
20/08/2021,20.98,21.24,21.33,20.83,1.73,-2.55,M
19/08/2021,21.53,20.81,21.53,20.68,984.1,1.75,K
18/08/2021,21.16,21.14,21.28,20.96,1.75,-0.14,M
17/08/2021,21.19,21.45,21.45,20.54,1.66,-1.3,M
16/08/2021,21.47,22.25,22.25,21.08,1.6,-3.77,M
13/08/2021,22.31,22.55,22.84,22.28,701.3,-0.27,K
12/08/2021,22.37,22.89,23.08,22.37,849.2,-2.19,K
11/08/2021,22.87,22.81,23.2,22.38,1.02,0.31,M
10/08/2021,22.8,22.36,23.06,22.25,1.48,2.06,M
09/08/2021,22.34,21.11,22.49,21.08,1.81,5.63,M
06/08/2021,21.15,21.38,22.01,21.12,1.95,-2.98,M
05/08/2021,21.8,22.09,22.39,21.44,1.44,-0.41,M
04/08/2021,21.89,21.92,22.41,21.47,1.51,-0.41,M
03/08/2021,21.98,21.86,22.1,21.36,1.06,0.92,M
02/08/2021,21.78,21.91,22.38,21.69,1.17,-0.55,M
30/07/2021,21.9,22.14,22.34,21.85,703.5,-1.62,K
29/07/2021,22.26,22.24,22.7,22.11,692.3,-0.13,K
28/07/2021,22.29,22.55,22.69,22.2,568.2,-0.85,K
27/07/2021,22.48,22.32,22.48,22.07,662.1,0.4,K
26/07/2021,22.39,22.51,22.74,22.26,783.9,-0.58,K
23/07/2021,22.52,22.94,23.1,22.47,1.06,-1.49,M
22/07/2021,22.86,22.79,23.07,22.68,570.9,0.13,K
21/07/2021,22.83,22.87,23.13,22.56,747.0,0.26,K
20/07/2021,22.77,22.55,22.9,22.44,617.9,0.57,K
19/07/2021,22.64,22.75,22.89,22.35,909.2,-1.26,K
16/07/2021,22.93,22.88,23.25,22.76,694.5,0.84,K
15/07/2021,22.74,23.12,23.42,22.74,1.06,-1.9,M
14/07/2021,23.18,23.52,23.77,23.14,878.3,-0.86,K
13/07/2021,23.38,23.58,23.61,23.14,744.0,-0.85,K
12/07/2021,23.58,23.38,23.84,23.21,925.6,1.73,K
08/07/2021,23.18,22.99,23.27,22.92,812.5,-0.64,K
07/07/2021,23.33,22.87,23.67,22.87,1.29,2.5,M
06/07/2021,22.76,23.15,23.25,22.58,941.3,-2.02,K
05/07/2021,23.23,23.17,23.25,22.96,616.3,0.52,K
02/07/2021,23.11,23.36,23.5,22.85,1.23,0.26,M
01/07/2021,23.05,24.25,24.28,22.9,2.91,-2.91,M
30/06/2021,23.74,23.55,23.76,23.2,1.16,0.68,M
29/06/2021,23.58,23.83,24.09,23.51,1.0,-1.09,M
28/06/2021,23.84,23.52,23.96,23.21,1.86,1.66,M
25/06/2021,23.45,23.82,24.3,23.26,1.03,-1.3,M
24/06/2021,23.76,23.73,23.94,23.51,896.3,0.47,K
23/06/2021,23.65,23.56,23.84,23.37,612.6,0.04,K
22/06/2021,23.64,23.44,23.83,23.37,655.3,-0.17,K
21/06/2021,23.68,23.51,23.72,23.13,764.7,0.77,K
18/06/2021,23.5,23.35,23.65,23.06,1.14,0.64,M
17/06/2021,23.35,23.71,23.87,22.99,1.51,-1.56,M
16/06/2021,23.72,24.57,24.65,23.66,2.07,-3.46,M
15/06/2021,24.57,24.29,24.58,24.01,1.17,1.11,M
14/06/2021,24.3,24.25,24.39,23.86,1.6,0.21,M
11/06/2021,24.25,24.64,24.84,23.8,1.51,-2.02,M
10/06/2021,24.75,25.1,25.15,24.1,1.73,-1.12,M
09/06/2021,25.03,25.18,25.76,24.75,2.62,1.25,M
08/06/2021,24.72,24.8,25.04,24.34,1.22,-0.08,M
07/06/2021,24.74,25.03,25.25,24.4,1.41,-2.33,M
04/06/2021,25.33,25.33,25.8,25.02,1.21,-0.16,M
02/06/2021,25.37,24.84,25.46,24.62,1.83,2.38,M
01/06/2021,24.78,24.73,25.04,24.16,2.09,0.73,M
31/05/2021,24.6,24.39,24.6,23.92,1.65,-0.04,M
28/05/2021,24.61,24.66,24.73,24.2,998.4,-0.12,K
27/05/2021,24.64,24.8,25.14,24.62,1.41,-0.44,M
26/05/2021,24.75,25.65,25.65,24.44,2.11,-3.17,M
25/05/2021,25.56,26.25,26.41,25.39,955.1,-2.63,K
24/05/2021,26.25,26.43,26.46,25.69,908.0,-0.3,K
21/05/2021,26.33,26.3,26.7,25.94,992.9,-0.45,K
20/05/2021,26.45,25.46,26.78,25.35,2.01,4.46,M
19/05/2021,25.32,25.49,25.58,25.08,668.8,-1.44,K
18/05/2021,25.69,25.46,25.75,25.15,747.2,0.59,K
17/05/2021,25.54,24.88,25.83,24.77,1.24,2.53,M
14/05/2021,24.91,25.54,25.74,24.81,1.04,-1.54,M
13/05/2021,25.3,24.7,25.5,24.7,1.66,2.26,M
12/05/2021,24.74,25.43,25.9,24.68,1.39,-3.25,M
11/05/2021,25.57,25.71,25.74,25.06,1.25,-0.97,M
10/05/2021,25.82,24.9,25.94,24.88,2.72,5.52,M
07/05/2021,24.47,24.06,24.59,23.66,1.09,2.17,M
06/05/2021,23.95,23.62,23.96,23.42,951.7,1.78,K
05/05/2021,23.53,23.63,23.91,23.42,1.66,0.13,M
04/05/2021,23.5,23.64,23.64,23.2,715.2,-0.63,K
03/05/2021,23.65,23.76,24.03,23.33,2.09,0.98,M
30/04/2021,23.42,23.99,24.42,23.42,1.69,-2.38,M
29/04/2021,23.99,23.49,24.0,22.56,2.17,2.09,M
28/04/2021,23.5,23.66,23.75,23.25,1.2,-0.38,M
27/04/2021,23.59,23.5,24.22,23.27,1.97,0.38,M
26/04/2021,23.5,23.85,24.33,23.31,1.62,-0.25,M
23/04/2021,23.56,23.42,23.8,23.02,1.21,1.03,M
22/04/2021,23.32,23.69,23.74,23.2,1.09,-1.02,M
20/04/2021,23.56,23.69,23.95,23.3,1.12,-0.59,M
19/04/2021,23.7,24.33,24.47,23.62,1.74,-2.31,M
16/04/2021,24.26,24.27,24.92,24.11,1.53,0.17,M
15/04/2021,24.22,25.31,25.46,24.18,2.29,-3.04,M
14/04/2021,24.98,23.8,25.58,23.57,3.87,6.57,M
13/04/2021,23.44,24.18,24.76,23.07,2.83,-1.8,M
12/04/2021,23.87,22.31,24.08,22.3,3.36,8.16,M
09/04/2021,22.07,21.59,22.09,21.3,1.59,2.22,M
08/04/2021,21.59,21.49,21.64,21.25,629.0,0.51,K
07/04/2021,21.48,21.78,21.83,21.18,810.8,-0.69,K
06/04/2021,21.63,20.57,21.78,20.5,1.24,4.75,M
05/04/2021,20.65,20.66,20.92,20.38,1.13,0.73,M
01/04/2021,20.5,21.08,21.14,20.45,780.9,-1.68,K
31/03/2021,20.85,20.21,21.06,20.15,1.23,3.27,M
30/03/2021,20.19,20.12,20.5,19.81,1.31,0.2,M
29/03/2021,20.15,20.29,20.5,19.93,810.1,-1.08,K
26/03/2021,20.37,20.51,20.57,20.0,705.4,-0.63,K
25/03/2021,20.5,20.14,20.5,19.82,807.6,1.79,K
