Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,15.46,14.71,15.69,14.52,10.57,3.62,M
23/02/2022,14.92,15.37,15.43,14.92,5.76,-2.61,M
22/02/2022,15.32,15.24,15.62,15.14,9.44,1.46,M
21/02/2022,15.1,15.05,15.24,14.87,2.66,0.4,M
18/02/2022,15.04,15.53,15.59,14.95,7.04,-3.03,M
17/02/2022,15.51,15.65,15.84,15.38,5.52,-1.84,M
16/02/2022,15.8,15.16,15.8,15.1,8.6,4.43,M
15/02/2022,15.13,14.7,15.17,14.65,5.73,3.49,M
14/02/2022,14.62,14.55,14.92,14.48,4.35,0.62,M
11/02/2022,14.53,14.56,14.86,14.35,7.13,0.14,M
10/02/2022,14.51,14.34,14.63,14.02,5.19,1.19,M
09/02/2022,14.34,14.22,14.43,13.8,5.29,1.27,M
08/02/2022,14.16,14.0,14.22,13.69,6.81,0.78,M
07/02/2022,14.05,14.5,14.56,14.01,5.71,-3.24,M
04/02/2022,14.52,14.8,14.86,14.35,5.74,-2.22,M
03/02/2022,14.85,14.44,15.0,14.41,6.94,3.2,M
02/02/2022,14.39,14.84,15.0,14.37,5.39,-3.03,M
01/02/2022,14.84,15.1,15.2,14.81,4.03,-1.79,M
31/01/2022,15.11,15.12,15.4,14.99,4.78,-0.33,M
28/01/2022,15.16,14.85,15.24,14.71,6.39,0.26,M
27/01/2022,15.12,14.45,15.16,14.37,9.99,5.73,M
26/01/2022,14.3,14.13,14.83,14.02,12.43,2.07,M
25/01/2022,14.01,13.45,14.07,13.4,8.03,4.09,M
24/01/2022,13.46,13.89,13.94,13.37,6.06,-2.82,M
21/01/2022,13.85,13.58,14.04,13.54,5.86,1.47,M
20/01/2022,13.65,13.34,13.86,13.3,5.94,3.17,M
19/01/2022,13.23,12.97,13.4,12.89,5.5,3.2,M
18/01/2022,12.82,12.8,12.95,12.57,4.46,-0.31,M
17/01/2022,12.86,13.05,13.15,12.82,3.46,-2.28,M
14/01/2022,13.16,13.3,13.38,12.91,7.01,-1.64,M
13/01/2022,13.38,13.4,13.62,13.31,4.84,-0.89,M
12/01/2022,13.5,12.92,13.55,12.87,8.12,3.93,M
11/01/2022,12.99,12.66,13.06,12.63,5.72,1.64,M
10/01/2022,12.78,12.95,12.99,12.46,5.04,-1.31,M
07/01/2022,12.95,12.97,13.21,12.77,5.58,-0.69,M
06/01/2022,13.04,13.19,13.33,12.99,5.93,-1.44,M
05/01/2022,13.23,13.49,13.7,13.18,10.31,-2.65,M
04/01/2022,13.59,14.31,14.31,13.48,7.25,-3.75,M
03/01/2022,14.12,14.54,14.92,14.08,7.86,-2.89,M
30/12/2021,14.54,14.43,14.86,14.38,8.87,0.97,M
29/12/2021,14.4,14.72,14.77,14.28,3.59,-1.44,M
28/12/2021,14.61,14.61,14.72,14.35,3.78,0.34,M
27/12/2021,14.56,14.4,14.6,14.22,5.34,2.03,M
23/12/2021,14.27,14.32,14.4,14.16,2.24,0.0,M
22/12/2021,14.27,14.2,14.32,14.0,2.87,0.42,M
21/12/2021,14.21,14.36,14.49,14.15,4.48,-0.77,M
20/12/2021,14.32,15.0,15.03,14.17,8.38,-5.73,M
17/12/2021,15.19,15.14,15.32,14.95,14.75,-0.98,M
