Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,96.05,92.98,97.0,90.54,676.2,1.3,K
23/02/2022,94.82,95.85,97.08,93.6,469.0,-0.58,K
22/02/2022,95.37,95.4,96.1,93.98,289.9,1.52,K
21/02/2022,93.94,94.6,96.87,93.53,380.6,-0.69,K
18/02/2022,94.59,95.48,95.65,93.36,435.6,-0.22,K
17/02/2022,94.8,97.15,97.42,94.4,345.9,-2.31,K
16/02/2022,97.04,96.97,98.0,95.32,341.2,0.56,K
15/02/2022,96.5,99.99,100.65,96.21,341.2,-2.53,K
14/02/2022,99.0,99.47,100.95,98.47,224.6,-0.2,K
11/02/2022,99.2,101.26,102.4,98.78,342.4,-1.96,K
10/02/2022,101.18,99.44,103.9,98.3,421.5,2.1,K
09/02/2022,99.1,98.73,100.13,98.73,232.9,0.43,K
08/02/2022,98.68,99.88,101.7,98.68,381.5,-1.2,K
07/02/2022,99.88,99.38,101.32,99.0,415.3,0.18,K
04/02/2022,99.7,95.62,99.71,94.26,454.0,4.28,K
03/02/2022,95.61,98.47,99.4,95.11,342.9,-2.89,K
02/02/2022,98.46,99.55,100.82,96.3,463.3,-0.65,K
01/02/2022,99.1,93.9,99.53,93.8,618.4,5.54,K
31/01/2022,93.9,92.82,94.85,92.24,341.8,1.2,K
28/01/2022,92.79,90.19,92.9,90.19,370.4,2.85,K
27/01/2022,90.22,91.11,91.36,88.85,355.4,-0.31,K
26/01/2022,90.5,93.02,95.23,90.14,439.7,-2.71,K
25/01/2022,93.02,90.13,93.47,89.86,485.7,1.44,K
24/01/2022,91.7,89.67,91.71,87.89,521.0,1.92,K
21/01/2022,89.97,90.69,91.25,89.47,506.2,-1.31,K
20/01/2022,91.16,91.95,93.47,91.0,352.0,-0.82,K
19/01/2022,91.91,92.5,93.67,91.4,309.5,0.32,K
18/01/2022,91.62,91.85,93.12,91.25,405.0,-1.54,K
17/01/2022,93.05,93.09,94.49,90.49,500.9,-1.02,K
14/01/2022,94.01,96.92,97.29,93.13,349.6,-3.0,K
13/01/2022,96.92,96.49,98.2,95.2,360.4,0.33,K
12/01/2022,96.6,94.69,96.7,94.19,205.2,2.53,K
11/01/2022,94.22,93.53,95.33,92.81,198.6,0.74,K
10/01/2022,93.53,95.15,97.58,93.31,270.5,-2.01,K
07/01/2022,95.45,93.86,95.45,91.61,226.8,1.1,K
06/01/2022,94.41,96.88,97.79,94.24,360.5,-2.09,K
05/01/2022,96.43,101.95,102.34,95.58,359.2,-5.42,K
04/01/2022,101.96,101.73,102.96,99.51,349.4,0.26,K
03/01/2022,101.7,104.3,105.0,101.2,266.0,-1.49,K
30/12/2021,103.24,102.8,103.61,100.79,343.4,1.32,K
29/12/2021,101.9,100.2,102.82,99.96,254.8,2.3,K
28/12/2021,99.61,98.42,100.29,98.03,218.1,1.22,K
27/12/2021,98.41,97.45,99.07,96.8,233.9,1.51,K
23/12/2021,96.95,93.84,97.84,93.74,279.5,3.31,K
22/12/2021,93.84,95.77,97.0,92.32,417.6,-6.83,K
21/12/2021,100.72,103.04,104.5,100.17,515.1,-2.24,K
20/12/2021,103.03,100.34,103.03,98.16,615.3,2.14,K
17/12/2021,100.87,101.53,103.38,100.17,414.8,0.75,K
16/12/2021,100.12,99.0,102.0,98.15,588.8,1.8,K
15/12/2021,98.35,96.93,99.0,95.5,406.9,2.34,K
14/12/2021,96.1,96.6,97.9,95.88,262.8,-0.58,K
13/12/2021,96.66,98.19,98.7,95.38,304.1,-0.77,K
10/12/2021,97.41,94.9,98.07,94.67,257.5,3.58,K
09/12/2021,94.04,94.02,95.34,92.92,260.3,-1.46,K
08/12/2021,95.43,98.06,99.84,95.34,365.8,-2.02,K
