Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,87.54,84.62,88.04,83.73,37.21,1.24,M
23/02/2022,86.47,88.09,88.34,85.55,24.41,-1.05,M
22/02/2022,87.39,86.69,87.4,85.8,23.59,1.73,M
21/02/2022,85.9,86.6,87.99,85.5,14.56,0.08,M
18/02/2022,85.83,86.44,87.03,85.43,22.5,0.21,M
17/02/2022,85.65,88.85,89.0,85.37,36.26,-4.3,M
16/02/2022,89.5,89.44,90.62,89.1,20.77,0.73,M
15/02/2022,88.85,89.02,89.94,87.7,29.62,-2.97,M
14/02/2022,91.57,91.11,92.17,90.82,22.8,-0.43,M
11/02/2022,91.97,93.36,93.4,91.6,34.56,-2.02,M
10/02/2022,93.87,92.45,94.48,92.03,47.89,2.69,M
09/02/2022,91.41,90.0,91.8,89.33,24.82,0.02,M
08/02/2022,91.39,90.45,91.48,89.5,26.6,1.4,M
07/02/2022,90.13,88.15,90.24,88.15,24.92,2.44,M
04/02/2022,87.98,85.75,88.17,85.55,24.54,2.6,M
03/02/2022,85.75,86.3,86.78,85.32,19.18,-0.05,M
02/02/2022,85.79,85.5,86.29,84.72,17.49,0.56,M
01/02/2022,85.31,81.5,85.33,81.37,24.13,5.49,M
31/01/2022,80.87,82.94,82.94,80.87,31.4,-3.33,M
28/01/2022,83.66,85.58,86.35,82.83,28.45,-0.98,M
27/01/2022,84.49,85.0,85.46,83.27,20.99,0.23,M
26/01/2022,84.3,85.9,86.56,83.82,25.81,0.29,M
25/01/2022,84.06,84.06,85.05,83.05,22.49,0.23,M
24/01/2022,83.87,83.7,83.96,82.08,29.04,-1.22,M
21/01/2022,84.91,86.47,86.73,84.34,32.62,-2.08,M
20/01/2022,86.71,88.8,88.97,86.64,22.75,-1.7,M
19/01/2022,88.21,88.48,89.0,87.88,29.33,2.2,M
18/01/2022,86.31,84.58,86.88,84.48,24.08,2.45,M
17/01/2022,84.25,84.0,84.6,84.0,9.69,-0.52,M
14/01/2022,84.69,83.72,84.93,82.91,21.18,0.58,M
13/01/2022,84.2,84.84,85.23,83.7,23.15,-1.52,M
12/01/2022,85.5,86.49,86.58,84.93,27.34,1.09,M
11/01/2022,84.58,83.48,85.15,83.31,28.42,1.9,M
10/01/2022,83.0,82.49,84.27,82.3,25.06,-1.19,M
07/01/2022,84.0,80.4,84.0,79.79,35.21,5.82,M
06/01/2022,79.38,78.64,80.35,78.31,22.04,2.02,M
05/01/2022,77.81,77.37,78.68,77.13,22.04,0.95,M
