Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,11.47,10.73,11.59,10.73,2.48,0.17,M
23/02/2022,11.45,11.46,11.86,11.35,2.29,0.35,M
22/02/2022,11.41,11.19,11.54,11.01,6.84,3.73,M
21/02/2022,11.0,11.8,11.95,10.86,2.91,-5.74,M
18/02/2022,11.67,12.18,12.18,11.16,12.64,-3.31,M
17/02/2022,12.07,12.36,12.48,11.99,3.49,-2.58,M
16/02/2022,12.39,12.5,12.54,12.18,4.18,-0.8,M
15/02/2022,12.49,12.48,12.74,12.22,2.62,0.73,M
14/02/2022,12.4,11.46,12.49,11.45,2.83,6.53,M
11/02/2022,11.64,11.72,12.09,11.31,2.93,-0.68,M
10/02/2022,11.72,12.15,12.17,11.63,1.97,-2.41,M
09/02/2022,12.01,12.02,12.11,11.65,1.96,1.87,M
08/02/2022,11.79,11.97,12.05,11.62,1.76,-0.76,M
07/02/2022,11.88,11.78,12.13,11.65,1.5,-1.16,M
04/02/2022,12.02,12.38,12.38,11.53,2.1,-1.96,M
03/02/2022,12.26,12.45,12.71,12.02,1.38,-1.53,M
02/02/2022,12.45,12.45,12.81,12.2,1.59,0.0,M
01/02/2022,12.45,12.49,12.53,12.11,1.24,1.38,M
31/01/2022,12.28,11.99,12.38,11.94,3.28,2.5,M
28/01/2022,11.98,11.95,12.03,11.35,1.41,0.59,M
27/01/2022,11.91,12.06,12.31,11.71,2.54,-0.5,M
26/01/2022,11.97,11.5,12.31,11.45,3.38,3.73,M
25/01/2022,11.54,11.01,11.64,11.0,2.6,4.06,M
24/01/2022,11.09,11.18,11.25,10.72,1.46,-0.81,M
21/01/2022,11.18,10.94,11.32,10.89,1.93,1.64,M
20/01/2022,11.0,10.06,11.32,10.0,5.29,10.11,M
19/01/2022,9.99,9.74,10.17,9.72,1.65,2.57,M
18/01/2022,9.74,10.0,10.27,9.62,2.26,-4.51,M
17/01/2022,10.2,10.39,10.39,9.95,1.14,-0.49,M
14/01/2022,10.25,10.23,10.28,9.8,2.14,0.2,M
13/01/2022,10.23,10.6,10.68,10.03,2.98,-5.37,M
12/01/2022,10.81,10.45,11.03,10.13,2.72,5.77,M
11/01/2022,10.22,10.0,10.45,10.0,1.15,1.59,M
10/01/2022,10.06,10.35,10.35,9.75,3.01,-1.37,M
07/01/2022,10.2,10.49,10.49,10.04,1.82,-2.76,M
06/01/2022,10.49,10.02,10.49,9.84,4.9,4.9,M
05/01/2022,10.0,10.85,10.85,9.94,5.38,-7.66,M
04/01/2022,10.83,11.44,11.52,10.75,4.09,-4.41,M
03/01/2022,11.33,11.98,11.98,10.96,4.27,-5.43,M
30/12/2021,11.98,11.48,11.98,11.31,3.26,5.18,M
29/12/2021,11.39,11.98,11.98,11.25,1.51,-3.64,M
28/12/2021,11.82,11.91,12.31,11.71,1.39,-2.31,M
27/12/2021,12.1,12.3,12.41,11.69,1.74,-0.66,M
23/12/2021,12.18,12.39,12.49,11.95,1.36,-1.77,M
22/12/2021,12.4,12.7,12.71,12.12,1.12,-1.51,M
21/12/2021,12.59,12.71,12.96,12.33,1.89,-1.72,M
20/12/2021,12.81,12.7,13.0,12.48,2.12,-2.21,M
17/12/2021,13.1,13.12,13.15,12.8,2.62,0.31,M
16/12/2021,13.06,13.36,13.47,12.73,2.22,-1.14,M
15/12/2021,13.21,12.78,13.34,12.68,3.08,1.38,M
14/12/2021,13.03,13.2,13.41,12.8,1.49,-0.69,M
13/12/2021,13.12,13.2,13.55,13.05,3.29,0.23,M
10/12/2021,13.09,12.91,13.28,12.74,3.23,3.56,M
09/12/2021,12.64,12.27,12.9,12.0,2.46,2.02,M
08/12/2021,12.39,11.7,12.5,11.48,2.98,5.9,M
07/12/2021,11.7,11.72,12.34,11.57,3.05,0.95,M
06/12/2021,11.59,11.57,12.0,11.22,1.99,-0.17,M
03/12/2021,11.61,11.31,11.83,11.27,1.89,7.4,M
02/12/2021,10.81,10.67,11.1,10.49,2.39,2.27,M
01/12/2021,10.57,11.18,11.45,10.57,2.63,-4.0,M
30/11/2021,11.01,11.13,11.28,10.49,4.72,-2.48,M
29/11/2021,11.29,11.42,11.62,11.06,2.49,1.71,M
26/11/2021,11.1,11.32,11.35,10.76,2.06,-3.65,M
25/11/2021,11.52,11.61,11.9,11.32,1.54,1.32,M
24/11/2021,11.37,11.54,11.86,11.0,3.19,0.26,M
23/11/2021,11.34,12.06,12.13,11.11,4.2,-5.34,M
22/11/2021,11.98,12.65,12.81,11.95,1.71,-5.45,M
19/11/2021,12.67,12.12,12.84,12.12,2.16,4.45,M
18/11/2021,12.13,11.88,12.39,11.73,2.22,2.45,M
17/11/2021,11.84,12.07,12.14,11.49,3.51,-0.67,M
16/11/2021,11.92,12.73,12.73,11.84,2.27,-5.47,M
12/11/2021,12.61,13.12,13.49,12.55,1.6,-4.11,M
11/11/2021,13.15,12.64,13.52,12.53,2.86,5.2,M
10/11/2021,12.5,12.6,13.09,12.25,2.73,-0.79,M
09/11/2021,12.6,12.43,13.19,12.2,3.92,1.53,M
08/11/2021,12.41,12.69,12.69,11.85,1.66,0.32,M
05/11/2021,12.37,12.47,12.86,12.07,3.18,1.89,M
04/11/2021,12.14,11.82,13.16,11.75,7.74,2.1,M
03/11/2021,11.89,11.32,12.07,11.19,5.94,7.21,M
01/11/2021,11.09,10.81,11.51,10.55,8.42,-0.54,M
29/10/2021,11.15,11.8,11.8,10.63,8.04,-4.04,M
28/10/2021,11.62,12.02,12.24,11.52,4.11,-4.05,M
27/10/2021,12.11,11.81,12.39,11.69,3.95,3.5,M
26/10/2021,11.7,12.27,12.27,11.52,5.68,-5.42,M
25/10/2021,12.37,12.49,12.93,12.14,10.62,0.24,M
22/10/2021,12.34,12.71,12.71,11.28,15.49,-6.37,M
21/10/2021,13.18,13.89,14.02,12.7,4.8,-6.59,M
20/10/2021,14.11,14.6,14.76,13.92,2.12,-2.89,M
19/10/2021,14.53,15.31,15.37,14.27,2.22,-6.14,M
18/10/2021,15.48,15.59,15.67,15.29,1.4,-1.59,M
15/10/2021,15.73,15.52,15.81,15.34,1.63,1.88,M
14/10/2021,15.44,15.39,15.58,15.07,1.57,0.32,M
13/10/2021,15.39,15.04,15.64,15.04,2.21,1.18,M
11/10/2021,15.21,15.31,15.51,14.94,2.46,-0.65,M
08/10/2021,15.31,15.38,15.69,15.12,3.2,0.46,M
07/10/2021,15.24,14.73,15.27,14.49,3.51,3.89,M
06/10/2021,14.67,14.0,14.79,13.69,4.98,3.09,M
05/10/2021,14.23,14.48,14.72,14.01,4.13,-1.66,M
04/10/2021,14.47,14.91,15.03,14.22,1.65,-3.4,M
01/10/2021,14.98,14.84,15.38,14.07,6.25,1.77,M
30/09/2021,14.72,15.31,15.31,14.5,6.12,-3.29,M
29/09/2021,15.22,15.58,15.83,15.01,4.51,-1.42,M
28/09/2021,15.44,16.0,16.28,15.42,3.65,-4.34,M
27/09/2021,16.14,16.25,16.4,15.84,2.61,-0.62,M
24/09/2021,16.24,16.61,16.73,16.21,7.4,-5.2,M
23/09/2021,17.13,16.64,17.72,16.6,3.34,3.63,M
22/09/2021,16.53,16.08,16.95,15.93,3.69,4.29,M
21/09/2021,15.85,15.22,16.0,15.01,1.86,5.25,M
20/09/2021,15.06,15.37,15.37,14.81,1.62,-4.44,M
17/09/2021,15.76,15.71,16.12,15.58,5.31,-0.88,M
16/09/2021,15.9,15.8,16.16,15.63,1.2,0.89,M
15/09/2021,15.76,15.79,16.5,15.51,2.56,-0.82,M
14/09/2021,15.89,15.75,16.47,15.56,1.91,1.21,M
13/09/2021,15.7,15.52,15.87,15.21,1.83,2.35,M
10/09/2021,15.34,16.14,16.14,15.25,1.98,-0.32,M
09/09/2021,15.39,15.49,15.68,14.69,3.68,-0.77,M
08/09/2021,15.51,16.18,17.21,15.36,4.5,-4.5,M
06/09/2021,16.24,15.66,16.24,15.24,1.91,5.73,M
03/09/2021,15.36,15.18,15.49,14.94,3.25,2.33,M
02/09/2021,15.01,15.32,15.46,14.88,2.48,-2.02,M
01/09/2021,15.32,15.35,15.57,14.73,3.36,2.34,M
31/08/2021,14.97,15.57,15.71,14.65,2.06,-4.28,M
30/08/2021,15.64,16.05,16.52,15.52,1.16,-2.55,M
27/08/2021,16.05,15.62,16.05,15.19,1.97,4.29,M
26/08/2021,15.39,15.8,16.13,15.03,2.58,-2.59,M
25/08/2021,15.8,15.76,15.92,15.3,2.67,-1.19,M
24/08/2021,15.99,15.99,16.32,15.68,2.48,1.07,M
23/08/2021,15.82,16.09,16.64,15.54,2.61,-0.19,M
20/08/2021,15.85,15.01,16.07,14.83,3.52,3.32,M
19/08/2021,15.34,14.55,15.55,13.97,2.04,3.86,M
18/08/2021,14.77,14.52,15.4,14.32,3.73,2.64,M
17/08/2021,14.39,13.67,14.98,13.4,5.55,3.67,M
16/08/2021,13.88,15.18,15.18,13.79,7.7,-8.62,M
13/08/2021,15.19,15.91,16.13,14.99,3.67,-5.3,M
12/08/2021,16.04,16.21,16.66,16.0,1.79,-1.05,M
11/08/2021,16.21,16.0,16.26,15.98,1.86,1.31,M
10/08/2021,16.0,16.47,16.92,15.9,2.89,-2.97,M
09/08/2021,16.49,16.22,16.6,16.19,2.46,0.92,M
06/08/2021,16.34,16.61,16.9,16.12,4.21,-1.63,M
05/08/2021,16.61,17.13,17.38,16.61,2.87,-3.88,M
04/08/2021,17.28,17.8,17.96,17.28,2.05,-3.03,M
03/08/2021,17.82,18.04,18.04,17.3,3.45,-0.78,M
02/08/2021,17.96,18.34,18.59,17.78,3.23,-0.88,M
30/07/2021,18.12,17.91,18.69,17.55,3.02,1.12,M
29/07/2021,17.92,17.7,17.96,17.41,5.98,1.3,M
28/07/2021,17.69,17.74,18.01,16.45,6.48,3.69,M
27/07/2021,17.06,17.44,17.65,16.94,2.03,-2.18,M
26/07/2021,17.44,17.67,17.78,17.17,4.58,-1.25,M
23/07/2021,17.66,17.84,17.84,17.5,2.44,0.46,M
22/07/2021,17.58,16.83,17.6,16.83,3.49,4.77,M
21/07/2021,16.78,16.49,16.82,16.43,2.27,1.76,M
20/07/2021,16.49,16.34,16.6,16.15,2.33,1.54,M
19/07/2021,16.24,16.12,16.7,15.82,4.25,0.0,M
16/07/2021,16.24,15.99,16.34,15.82,2.03,1.63,M
15/07/2021,15.98,15.87,16.09,15.7,1.64,0.0,M
14/07/2021,15.98,15.56,15.98,15.54,1.76,2.7,M
13/07/2021,15.56,15.63,15.82,15.4,2.64,-0.45,M
12/07/2021,15.63,15.46,16.17,15.32,8.54,2.09,M
08/07/2021,15.31,15.35,15.96,15.25,8.43,-1.23,M
07/07/2021,15.5,15.31,15.6,15.3,2.03,1.31,M
06/07/2021,15.3,15.41,15.66,15.24,1.7,-0.52,M
05/07/2021,15.38,15.2,15.83,15.2,1.71,1.25,M
02/07/2021,15.19,14.68,15.39,14.65,2.83,3.9,M
