Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,23.52,22.5,23.67,22.39,9.47,0.0,M
23/02/2022,23.52,23.87,24.21,23.51,7.48,-1.42,M
22/02/2022,23.86,23.9,24.35,23.7,6.66,1.58,M
21/02/2022,23.49,23.98,24.0,23.14,4.18,-1.88,M
18/02/2022,23.94,24.23,24.3,23.8,4.46,-0.83,M
17/02/2022,24.14,24.45,24.65,24.12,12.47,-1.27,M
16/02/2022,24.45,23.68,24.7,23.62,19.22,3.51,M
15/02/2022,23.62,23.34,24.07,23.28,10.9,2.38,M
14/02/2022,23.07,22.85,23.44,22.77,7.62,0.96,M
11/02/2022,22.85,22.91,23.32,22.71,8.11,0.04,M
10/02/2022,22.84,22.82,23.1,22.6,7.72,0.35,M
09/02/2022,22.76,22.15,22.86,22.15,8.02,2.94,M
08/02/2022,22.11,22.12,22.3,21.78,4.75,-0.5,M
07/02/2022,22.22,22.58,22.63,22.08,5.62,-1.86,M
04/02/2022,22.64,22.4,22.68,21.67,10.1,0.8,M
03/02/2022,22.46,22.45,22.72,22.32,7.87,0.36,M
02/02/2022,22.38,22.57,22.64,22.25,3.96,-0.84,M
01/02/2022,22.57,22.72,22.9,22.3,5.67,-1.44,M
31/01/2022,22.9,22.7,22.94,22.32,11.31,0.79,M
28/01/2022,22.72,22.4,22.78,22.11,11.38,0.98,M
27/01/2022,22.5,21.82,22.73,21.68,14.1,4.85,M
26/01/2022,21.46,21.85,22.3,21.3,9.75,-0.37,M
25/01/2022,21.54,21.02,21.89,20.82,10.98,2.47,M
24/01/2022,21.02,21.5,21.5,20.8,10.34,-1.78,M
21/01/2022,21.4,21.1,21.59,21.0,5.39,0.52,M
20/01/2022,21.29,20.59,21.72,20.4,15.27,3.75,M
19/01/2022,20.52,19.7,20.83,19.65,10.71,4.69,M
18/01/2022,19.6,19.52,19.84,19.4,4.52,0.36,M
17/01/2022,19.53,19.67,20.05,19.53,3.25,-1.51,M
14/01/2022,19.83,20.24,20.24,19.6,8.61,-1.49,M
13/01/2022,20.13,20.4,20.42,20.04,10.6,-1.42,M
12/01/2022,20.42,19.44,20.49,19.26,12.46,5.15,M
11/01/2022,19.42,18.78,19.57,18.75,8.96,2.0,M
10/01/2022,19.04,19.0,19.1,18.59,5.53,-0.68,M
07/01/2022,19.17,19.24,19.26,18.89,6.7,-0.21,M
06/01/2022,19.21,19.49,19.66,19.0,9.04,-0.67,M
05/01/2022,19.34,20.09,20.19,19.19,9.41,-4.4,M
04/01/2022,20.23,20.49,20.54,19.86,9.31,-0.59,M
03/01/2022,20.35,21.31,21.4,20.28,7.65,-4.91,M
30/12/2021,21.4,21.2,21.75,20.76,13.4,1.42,M
29/12/2021,21.1,21.44,21.51,20.98,3.63,-1.72,M
28/12/2021,21.47,21.22,21.47,21.06,3.74,0.75,M
27/12/2021,21.31,21.23,21.52,21.01,4.2,1.28,M
23/12/2021,21.04,21.33,21.33,20.86,3.93,-1.03,M
22/12/2021,21.26,21.35,21.4,21.04,3.37,-0.42,M
21/12/2021,21.35,21.53,21.69,21.12,4.0,-0.84,M
20/12/2021,21.53,22.14,22.27,21.4,5.38,-2.58,M
17/12/2021,22.1,22.22,22.37,22.0,16.84,-1.82,M
16/12/2021,22.51,22.62,22.73,22.2,7.08,0.04,M
15/12/2021,22.5,22.52,22.74,22.03,7.89,-0.13,M
14/12/2021,22.53,22.92,23.29,22.4,9.05,-1.87,M
13/12/2021,22.96,22.86,23.6,22.72,9.42,0.48,M
10/12/2021,22.85,22.37,23.09,22.35,6.75,2.51,M
09/12/2021,22.29,22.81,23.0,22.12,6.11,-2.88,M
08/12/2021,22.95,22.17,23.31,22.17,9.92,3.38,M
07/12/2021,22.2,22.28,22.65,22.01,7.62,0.45,M
06/12/2021,22.1,22.1,22.21,21.65,7.25,0.91,M
03/12/2021,21.9,21.48,22.6,21.42,7.91,1.91,M
02/12/2021,21.49,21.5,21.7,21.1,8.36,1.51,M
01/12/2021,21.17,21.99,21.99,21.0,10.78,-2.71,M
30/11/2021,21.76,21.59,21.94,21.08,14.74,0.46,M
29/11/2021,21.66,21.9,22.03,21.45,8.75,-0.05,M
26/11/2021,21.67,21.86,21.86,21.3,6.31,-2.69,M
25/11/2021,22.27,22.26,22.62,22.09,5.9,0.77,M
24/11/2021,22.1,22.24,22.71,21.84,10.54,-1.47,M
23/11/2021,22.43,21.83,22.52,21.5,8.48,2.84,M
22/11/2021,21.81,22.18,22.64,21.8,5.63,-1.62,M
19/11/2021,22.17,20.8,22.86,20.8,7.42,-0.14,M
18/11/2021,22.2,22.33,22.55,21.91,7.49,1.0,M
17/11/2021,21.98,22.47,22.8,21.81,12.46,-1.57,M
16/11/2021,22.33,23.5,23.82,22.25,12.08,-1.93,M
12/11/2021,22.77,23.0,23.55,22.63,10.77,-1.77,M
11/11/2021,23.18,23.21,23.7,22.95,5.66,0.87,M
10/11/2021,22.98,22.6,23.4,22.59,4.58,0.44,M
09/11/2021,22.88,22.39,23.17,22.27,6.52,2.74,M
08/11/2021,22.27,22.1,22.64,21.93,7.54,-1.5,M
05/11/2021,22.61,22.16,22.81,22.12,8.99,2.73,M
04/11/2021,22.01,22.86,22.93,21.8,11.3,-3.72,M
03/11/2021,22.86,21.43,23.13,21.31,14.12,5.06,M
01/11/2021,21.76,21.25,22.1,21.25,10.57,3.72,M
29/10/2021,20.98,21.2,21.82,20.83,11.52,-1.13,M
28/10/2021,21.22,21.69,21.99,21.07,8.22,-1.8,M
27/10/2021,21.61,21.49,22.27,21.26,13.52,1.6,M
26/10/2021,21.27,22.33,22.48,21.18,14.37,-5.97,M
25/10/2021,22.62,22.1,22.79,21.77,13.4,5.16,M
22/10/2021,21.51,21.32,22.31,20.19,27.89,-2.36,M
21/10/2021,22.03,22.6,22.94,21.62,24.43,-5.17,M
20/10/2021,23.23,23.39,23.7,23.09,9.44,-0.04,M
19/10/2021,23.24,24.46,24.52,22.84,14.18,-6.03,M
18/10/2021,24.73,24.4,24.99,24.26,9.43,0.73,M
15/10/2021,24.55,24.89,24.89,24.35,9.39,-1.72,M
14/10/2021,24.98,25.14,25.15,24.45,10.18,-0.36,M
13/10/2021,25.07,25.1,25.4,24.81,14.08,1.09,M
11/10/2021,24.8,25.3,25.74,24.68,19.89,0.36,M
08/10/2021,24.71,24.3,25.07,24.2,16.22,2.74,M
07/10/2021,24.05,23.2,24.23,23.11,14.01,3.44,M
06/10/2021,23.25,23.38,23.64,22.54,17.03,-1.69,M
05/10/2021,23.65,23.82,23.96,23.44,7.53,-0.88,M
04/10/2021,23.86,23.5,23.95,23.28,12.56,-0.79,M
01/10/2021,24.05,23.66,24.12,23.45,6.29,2.38,M
30/09/2021,23.49,23.75,23.93,23.33,12.34,-1.09,M
29/09/2021,23.75,23.91,24.29,23.7,9.06,-0.38,M
28/09/2021,23.84,24.67,24.8,23.46,17.76,-3.95,M
27/09/2021,24.82,25.13,25.16,24.44,7.33,-1.27,M
24/09/2021,25.14,25.16,25.33,24.85,6.26,-0.98,M
23/09/2021,25.39,25.24,25.7,25.17,8.51,0.59,M
