Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,3.91,3.58,3.97,3.52,79.29,2.36,M
23/02/2022,3.82,3.88,4.12,3.82,76.38,-1.29,M
22/02/2022,3.87,3.81,4.0,3.72,74.99,2.93,M
21/02/2022,3.76,3.93,3.94,3.76,51.17,-4.57,M
18/02/2022,3.94,4.06,4.11,3.9,73.8,-1.75,M
17/02/2022,4.01,4.13,4.18,4.01,60.12,-3.37,M
16/02/2022,4.15,4.14,4.32,4.11,45.59,0.73,M
15/02/2022,4.12,4.09,4.16,4.06,36.15,2.49,M
14/02/2022,4.02,4.12,4.2,3.98,56.3,-2.43,M
11/02/2022,4.12,4.34,4.42,4.06,73.34,-5.07,M
10/02/2022,4.34,4.05,4.38,3.99,88.37,7.43,M
09/02/2022,4.04,4.17,4.25,4.0,48.64,-2.42,M
08/02/2022,4.14,4.05,4.15,3.99,40.45,1.97,M
07/02/2022,4.06,4.22,4.28,4.02,57.98,-3.79,M
04/02/2022,4.22,4.47,4.51,4.21,52.35,-5.8,M
03/02/2022,4.48,4.45,4.66,4.31,56.05,1.82,M
02/02/2022,4.4,4.78,4.81,4.38,51.65,-6.38,M
01/02/2022,4.7,4.85,5.03,4.65,61.18,-0.42,M
31/01/2022,4.72,4.56,4.86,4.53,51.63,3.28,M
28/01/2022,4.57,4.6,4.6,4.42,41.58,-1.08,M
27/01/2022,4.62,4.41,4.67,4.39,50.31,6.21,M
26/01/2022,4.35,4.47,4.55,4.29,39.03,0.0,M
25/01/2022,4.35,4.11,4.38,4.1,45.92,3.08,M
24/01/2022,4.22,4.36,4.36,4.07,38.37,-2.99,M
21/01/2022,4.35,4.16,4.57,4.12,84.23,3.33,M
20/01/2022,4.21,4.0,4.33,4.0,55.36,5.25,M
19/01/2022,4.0,3.8,4.13,3.78,67.92,6.67,M
18/01/2022,3.75,3.87,3.89,3.75,40.34,-3.85,M
17/01/2022,3.9,3.93,3.98,3.83,27.8,-1.76,M
14/01/2022,3.97,4.01,4.05,3.89,42.46,-0.5,M
13/01/2022,3.99,4.06,4.15,3.92,48.51,-2.92,M
12/01/2022,4.11,4.04,4.24,3.99,47.08,1.73,M
11/01/2022,4.04,3.99,4.13,3.99,32.85,0.75,M
10/01/2022,4.01,4.15,4.17,4.0,28.2,-3.84,M
07/01/2022,4.17,4.38,4.48,4.15,52.38,-4.36,M
06/01/2022,4.36,4.61,4.61,4.33,33.04,-4.6,M
05/01/2022,4.57,4.71,4.73,4.48,30.42,-3.38,M
04/01/2022,4.73,5.01,5.06,4.7,30.37,-5.02,M
03/01/2022,4.98,5.27,5.34,4.86,37.54,-5.14,M
30/12/2021,5.25,5.04,5.32,5.02,58.25,4.58,M
29/12/2021,5.02,4.98,5.05,4.86,22.33,1.41,M
28/12/2021,4.95,4.86,5.05,4.78,25.43,1.85,M
27/12/2021,4.86,4.53,4.89,4.52,35.55,8.0,M
23/12/2021,4.5,4.51,4.58,4.4,30.61,0.0,M
22/12/2021,4.5,4.64,4.68,4.5,27.36,-2.39,M
21/12/2021,4.61,4.86,4.87,4.61,30.45,-2.74,M
20/12/2021,4.74,4.71,4.93,4.67,42.57,-2.27,M
17/12/2021,4.85,4.9,4.98,4.71,53.81,-1.22,M
16/12/2021,4.91,5.25,5.31,4.87,72.82,-5.58,M
15/12/2021,5.2,4.98,5.24,4.82,36.0,4.84,M
14/12/2021,4.96,5.37,5.46,4.92,42.96,-6.59,M
13/12/2021,5.31,5.51,5.68,5.31,25.01,-3.1,M
10/12/2021,5.48,5.52,5.75,5.41,32.26,2.24,M
09/12/2021,5.36,5.64,5.77,5.3,35.26,-7.11,M
08/12/2021,5.77,5.79,5.89,5.43,49.97,-0.52,M
07/12/2021,5.8,5.8,5.91,5.6,33.51,3.39,M
06/12/2021,5.61,5.43,5.63,5.36,24.89,4.66,M
03/12/2021,5.36,5.17,5.45,5.15,39.28,4.08,M
02/12/2021,5.15,5.26,5.44,4.98,51.12,-0.96,M
01/12/2021,5.2,5.81,5.85,5.2,37.62,-8.29,M
30/11/2021,5.67,5.79,5.88,5.55,43.42,-3.08,M
