Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,26.16,26.0,26.61,24.68,1.36,-2.35,M
23/02/2022,26.79,26.59,27.94,26.37,1.28,1.21,M
22/02/2022,26.47,26.33,26.98,25.8,1.14,2.16,M
21/02/2022,25.91,26.36,26.62,25.71,913.1,-1.48,K
18/02/2022,26.3,26.15,26.44,25.67,926.4,0.88,K
17/02/2022,26.07,26.9,27.12,25.87,1.28,-2.8,M
16/02/2022,26.82,26.6,26.84,26.24,1.38,0.45,M
15/02/2022,26.7,25.66,26.96,25.52,1.47,4.26,M
14/02/2022,25.61,24.3,25.79,24.29,1.11,3.47,M
11/02/2022,24.75,24.6,25.73,24.39,1.58,0.65,M
10/02/2022,24.59,24.75,25.22,24.0,703.5,-0.53,K
09/02/2022,24.72,24.25,25.18,24.13,921.0,2.11,K
08/02/2022,24.21,24.1,24.5,23.82,873.4,-0.08,K
07/02/2022,24.23,24.63,24.93,24.19,913.4,-1.9,K
04/02/2022,24.7,25.43,25.46,24.3,1.15,-3.55,M
03/02/2022,25.61,26.04,26.5,25.43,844.1,-1.5,K
02/02/2022,26.0,26.3,26.69,25.86,717.1,-0.8,K
01/02/2022,26.21,26.1,26.6,25.62,1.15,-0.34,M
31/01/2022,26.3,24.92,26.3,24.72,878.0,5.41,K
28/01/2022,24.95,25.11,25.37,24.68,1.07,-0.64,M
27/01/2022,25.11,25.08,25.78,24.64,1.42,0.36,M
26/01/2022,25.02,23.43,25.62,23.24,3.08,7.84,M
25/01/2022,23.2,22.66,23.61,22.45,1.2,1.71,M
24/01/2022,22.81,23.23,23.23,22.62,531.3,-1.98,K
21/01/2022,23.27,23.04,23.77,22.68,1.2,0.52,M
20/01/2022,23.15,22.14,23.88,22.05,1.85,4.47,M
19/01/2022,22.16,21.69,22.6,21.66,747.4,2.12,K
18/01/2022,21.7,22.83,22.88,20.85,3.14,-4.91,M
17/01/2022,22.82,22.05,23.12,22.0,1.15,3.26,M
14/01/2022,22.1,22.49,22.63,21.87,463.4,-1.91,K
13/01/2022,22.53,22.66,22.77,22.05,538.3,-0.53,K
12/01/2022,22.65,21.83,22.87,21.59,936.9,3.57,K
11/01/2022,21.87,21.51,21.89,21.43,839.4,1.72,K
10/01/2022,21.5,22.1,22.1,21.4,1.26,-2.71,M
07/01/2022,22.1,22.02,22.21,21.63,922.9,-0.18,K
06/01/2022,22.14,22.0,22.58,21.85,2.46,1.19,M
05/01/2022,21.88,23.32,23.33,21.69,2.11,-5.81,M
04/01/2022,23.23,24.49,24.6,23.17,946.7,-4.29,K
03/01/2022,24.27,25.44,25.83,24.27,680.1,-4.6,K
30/12/2021,25.44,24.55,25.78,24.52,1.16,3.63,M
29/12/2021,24.55,24.98,24.99,24.32,377.8,-0.81,K
28/12/2021,24.75,24.48,25.05,24.48,521.7,0.12,K
27/12/2021,24.72,24.32,25.0,24.32,550.8,1.81,K
23/12/2021,24.28,24.54,24.86,24.2,380.3,-1.46,K
22/12/2021,24.64,24.96,25.11,24.15,962.7,-0.85,K
21/12/2021,24.85,24.89,25.09,24.15,1.33,-0.24,M
20/12/2021,24.91,25.0,25.38,24.84,959.7,-1.97,K
17/12/2021,25.41,24.6,25.65,24.2,1.21,2.63,M
16/12/2021,24.76,25.16,25.52,24.18,1.68,-1.16,M
15/12/2021,25.05,24.59,25.05,23.62,1.88,1.71,M
14/12/2021,24.63,25.66,26.19,24.51,633.6,-4.42,K
13/12/2021,25.77,25.85,26.1,25.5,776.5,-0.35,K
10/12/2021,25.86,25.65,26.9,25.49,1.52,1.29,M
09/12/2021,25.53,25.94,26.06,25.38,778.0,-2.56,K
08/12/2021,26.2,25.01,26.2,24.85,822.8,4.8,K
07/12/2021,25.0,25.51,25.89,24.97,550.1,-1.22,K
06/12/2021,25.31,24.6,25.51,24.6,1.2,3.14,M
03/12/2021,24.54,23.8,24.82,23.78,1.29,3.11,M
02/12/2021,23.8,24.54,24.64,23.45,1.43,-2.06,M
01/12/2021,24.3,24.7,25.24,24.27,843.3,-0.86,K
30/11/2021,24.51,25.34,25.37,23.76,1.61,-3.31,M
29/11/2021,25.35,26.07,26.07,25.29,477.3,-1.29,K
26/11/2021,25.68,25.35,25.72,24.9,585.4,-1.12,K
25/11/2021,25.97,25.79,26.45,25.72,385.6,0.7,K
24/11/2021,25.79,25.8,26.29,25.41,507.5,-0.73,K
23/11/2021,25.98,26.55,26.56,25.31,939.5,-2.18,K
22/11/2021,26.56,26.86,27.22,25.96,888.1,-0.64,K
19/11/2021,26.73,27.08,27.78,26.58,801.7,-0.78,K
18/11/2021,26.94,26.94,27.39,26.35,1.16,0.3,M
17/11/2021,26.86,27.88,28.14,26.47,889.6,-3.03,K
16/11/2021,27.7,29.35,29.35,27.7,810.4,-4.75,K
12/11/2021,29.08,29.2,30.24,29.0,964.7,-0.62,K
11/11/2021,29.26,29.7,30.3,29.09,1.39,0.38,M
10/11/2021,29.15,27.56,29.63,27.56,970.4,5.39,K
09/11/2021,27.66,27.12,28.62,27.03,781.0,1.5,K
08/11/2021,27.25,27.58,27.58,26.84,422.4,-1.12,K
05/11/2021,27.56,27.4,28.11,27.34,791.1,1.32,K
04/11/2021,27.2,27.5,28.29,26.84,726.1,-1.02,K
03/11/2021,27.48,26.38,27.79,26.36,1.01,4.17,M
01/11/2021,26.38,26.02,26.87,26.02,1.31,1.7,M
29/10/2021,25.94,26.51,26.8,25.94,1.3,-1.74,M
28/10/2021,26.4,26.88,27.23,26.2,604.1,-2.76,K
27/10/2021,27.15,27.34,27.72,26.89,1.12,0.26,M
26/10/2021,27.08,27.68,27.68,26.49,1.08,-3.04,M
25/10/2021,27.93,27.15,28.31,27.03,1.01,4.1,M
22/10/2021,26.83,26.61,27.28,25.13,2.33,-0.63,M
21/10/2021,27.0,27.81,28.09,26.43,1.12,-4.53,M
20/10/2021,28.28,29.22,29.43,28.15,1.07,-2.75,M
19/10/2021,29.08,29.92,30.15,28.88,1.12,-3.64,M
18/10/2021,30.18,29.92,30.87,29.77,763.5,0.6,K
15/10/2021,30.0,29.59,30.2,29.51,487.3,1.42,K
14/10/2021,29.58,29.85,30.15,29.23,530.7,-0.84,K
13/10/2021,29.83,29.2,30.21,28.98,675.8,3.18,K
11/10/2021,28.91,29.3,29.61,28.81,790.9,-1.7,K
08/10/2021,29.41,28.84,29.62,28.74,1.4,2.87,M
