Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,49.83,48.6,49.89,48.15,2.29,1.4,M
23/02/2022,49.14,49.43,50.2,49.14,1.46,0.16,M
22/02/2022,49.06,49.88,50.03,48.83,1.38,-1.03,M
21/02/2022,49.57,49.28,50.0,48.99,977.0,0.12,K
18/02/2022,49.51,49.75,49.87,49.16,1.39,-0.48,M
17/02/2022,49.75,49.4,49.91,48.92,1.42,0.93,M
16/02/2022,49.29,49.04,49.83,48.83,2.22,0.59,M
15/02/2022,49.0,50.05,50.27,49.0,2.38,-1.67,M
14/02/2022,49.83,50.33,50.33,49.45,1.89,-0.02,M
11/02/2022,49.84,49.59,50.44,49.28,1.73,0.52,M
10/02/2022,49.58,50.68,50.71,49.32,2.21,-2.02,M
09/02/2022,50.6,49.25,50.6,49.19,2.64,2.72,M
08/02/2022,49.26,49.17,49.26,48.3,1.93,0.33,M
07/02/2022,49.1,49.55,49.55,48.42,1.71,-1.23,M
04/02/2022,49.71,49.99,50.18,49.16,1.25,-0.86,M
03/02/2022,50.14,49.52,50.3,49.52,1.27,1.25,M
02/02/2022,49.52,49.53,49.98,49.43,1.4,-0.18,M
01/02/2022,49.61,49.68,50.34,49.38,1.42,-0.14,M
31/01/2022,49.68,48.79,50.0,48.55,2.53,1.66,M
28/01/2022,48.87,48.02,49.35,48.02,2.09,0.35,M
27/01/2022,48.7,48.44,48.84,47.72,1.43,1.93,M
26/01/2022,47.78,48.57,48.91,47.32,2.8,-1.38,M
25/01/2022,48.45,47.83,48.58,47.62,1.75,0.77,M
24/01/2022,48.08,48.56,48.84,47.92,1.71,-0.58,M
21/01/2022,48.36,48.31,48.56,47.49,1.9,-0.08,M
20/01/2022,48.4,48.96,49.09,48.4,1.66,-0.6,M
19/01/2022,48.69,47.66,49.1,47.56,2.3,2.27,M
18/01/2022,47.61,47.49,47.89,47.13,1.16,0.21,M
17/01/2022,47.51,46.79,48.19,46.71,1.28,1.34,M
14/01/2022,46.88,47.03,47.24,46.73,1.11,-0.34,M
13/01/2022,47.04,46.45,47.31,46.37,1.32,0.75,M
12/01/2022,46.69,46.58,47.12,46.06,1.73,0.26,M
11/01/2022,46.57,46.44,46.95,46.34,2.79,-0.49,M
10/01/2022,46.8,46.23,47.17,46.07,1.86,0.3,M
07/01/2022,46.66,47.06,47.12,46.42,1.7,-0.68,M
06/01/2022,46.98,47.57,47.78,46.78,1.74,-1.61,M
05/01/2022,47.75,47.54,48.6,47.12,2.39,-0.13,M
04/01/2022,47.81,47.56,48.15,47.33,1.59,0.0,M
03/01/2022,47.81,48.17,48.79,47.44,1.96,-0.79,M
30/12/2021,48.19,48.93,48.99,48.04,2.35,-0.17,M
29/12/2021,48.27,48.27,48.6,47.92,930.2,0.6,K
28/12/2021,47.98,48.53,48.53,47.87,1.06,-3.21,M
27/12/2021,49.57,50.3,50.42,49.57,1.49,-0.6,M
23/12/2021,49.87,49.99,50.12,49.49,1.38,-0.02,M
22/12/2021,49.88,49.13,49.88,48.91,1.92,1.28,M
21/12/2021,49.25,48.89,49.33,48.6,1.29,0.41,M
20/12/2021,49.05,48.78,49.24,48.47,1.37,-0.41,M
17/12/2021,49.25,48.97,49.57,48.7,3.26,0.22,M
16/12/2021,49.14,49.19,49.19,48.43,2.35,0.92,M
15/12/2021,48.69,48.9,49.25,48.55,2.12,-0.43,M
14/12/2021,48.9,49.53,49.64,48.47,2.45,-0.2,M
13/12/2021,49.0,49.38,49.38,48.7,1.93,-0.2,M
10/12/2021,49.1,48.21,49.26,48.01,1.8,2.04,M
09/12/2021,48.12,49.16,49.45,47.66,2.1,-1.96,M
08/12/2021,49.08,49.58,49.99,48.33,2.58,-1.76,M
07/12/2021,49.96,50.14,50.5,49.57,2.35,-0.28,M
06/12/2021,50.1,50.71,51.02,50.1,1.7,-1.47,M
03/12/2021,50.85,50.22,51.2,50.22,2.51,1.21,M
02/12/2021,50.24,50.47,51.31,50.1,2.41,0.52,M
01/12/2021,49.98,49.8,51.07,49.8,2.29,-0.62,M
30/11/2021,50.29,50.2,50.47,49.5,5.89,-0.06,M
29/11/2021,50.32,50.59,51.42,50.11,1.82,-1.02,M
