Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,10.38,10.83,10.92,10.09,1.05,-5.81,M
23/02/2022,11.02,10.66,11.24,10.59,868.3,3.09,K
22/02/2022,10.69,10.52,11.0,10.45,467.8,1.33,K
21/02/2022,10.55,10.69,10.85,10.52,518.6,-0.66,K
18/02/2022,10.62,10.61,10.8,10.53,334.8,-0.47,K
17/02/2022,10.67,10.75,10.87,10.41,437.3,-0.74,K
16/02/2022,10.75,10.84,10.93,10.58,554.8,-0.09,K
15/02/2022,10.76,10.42,10.87,10.36,496.9,4.26,K
14/02/2022,10.32,10.28,10.49,10.22,281.5,0.39,K
11/02/2022,10.28,10.31,10.61,10.14,607.9,-0.68,K
10/02/2022,10.35,10.42,10.64,10.26,345.6,-0.67,K
09/02/2022,10.42,10.25,10.44,10.02,693.8,1.86,K
08/02/2022,10.23,9.88,10.38,9.7,716.8,3.12,K
07/02/2022,9.92,10.41,10.5,9.85,538.9,-4.62,K
04/02/2022,10.4,10.37,10.5,10.1,566.3,-0.19,K
03/02/2022,10.42,9.75,10.47,9.63,1.08,6.87,M
02/02/2022,9.75,9.79,10.0,9.56,551.5,-0.1,K
01/02/2022,9.76,9.7,9.95,9.54,703.2,0.62,K
31/01/2022,9.7,9.29,9.73,9.21,464.9,4.86,K
28/01/2022,9.25,9.16,9.68,9.11,640.8,-1.49,K
27/01/2022,9.39,9.0,9.41,8.99,682.8,4.92,K
26/01/2022,8.95,8.97,9.21,8.95,426.1,-0.22,K
25/01/2022,8.97,8.41,9.0,8.25,717.2,7.17,K
24/01/2022,8.37,8.61,8.66,8.31,367.1,-3.57,K
21/01/2022,8.68,8.42,8.83,8.38,508.2,2.36,K
20/01/2022,8.48,7.81,8.48,7.79,533.9,8.72,K
19/01/2022,7.8,8.03,8.08,7.8,722.2,-0.38,K
18/01/2022,7.83,7.88,8.08,7.76,541.6,0.38,K
17/01/2022,7.8,7.91,7.98,7.8,187.7,-1.39,K
14/01/2022,7.91,7.99,7.99,7.75,238.7,-0.63,K
13/01/2022,7.96,7.9,8.06,7.9,337.7,-0.38,K
12/01/2022,7.99,8.01,8.14,7.95,221.0,-0.13,K
11/01/2022,8.0,7.88,8.02,7.68,365.8,3.76,K
10/01/2022,7.71,7.9,8.05,7.69,467.1,-3.62,K
07/01/2022,8.0,7.81,8.02,7.68,425.3,4.44,K
06/01/2022,7.66,8.02,8.25,7.61,997.2,-7.49,K
05/01/2022,8.28,8.35,8.46,8.14,959.5,-0.6,K
04/01/2022,8.33,8.48,8.53,8.23,390.0,-0.83,K
