Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,9.18,8.96,9.18,8.74,699.9,-0.33,K
23/02/2022,9.21,8.99,9.21,8.95,444.5,1.77,K
22/02/2022,9.05,8.95,9.31,8.76,523.0,2.38,K
21/02/2022,8.84,9.05,9.36,8.84,714.8,-1.56,K
18/02/2022,8.98,8.94,9.15,8.84,359.8,1.35,K
17/02/2022,8.86,8.95,9.1,8.84,274.7,-2.21,K
16/02/2022,9.06,9.14,9.16,8.94,462.6,-0.11,K
15/02/2022,9.07,8.6,9.07,8.48,943.5,5.83,K
14/02/2022,8.57,8.54,8.74,8.45,365.0,0.35,K
11/02/2022,8.54,8.7,8.74,8.42,546.0,-1.84,K
10/02/2022,8.7,8.7,8.8,8.42,427.4,0.0,K
09/02/2022,8.7,8.8,8.86,8.56,340.1,-0.8,K
08/02/2022,8.77,8.93,8.99,8.7,304.2,-2.56,K
07/02/2022,9.0,8.58,9.0,8.47,604.7,3.93,K
04/02/2022,8.66,8.89,8.89,8.42,724.9,-2.59,K
03/02/2022,8.89,9.37,9.41,8.84,995.8,-4.51,K
02/02/2022,9.31,9.38,9.54,9.22,323.5,-1.48,K
01/02/2022,9.45,9.55,9.55,9.28,444.2,0.43,K
31/01/2022,9.41,9.35,9.59,9.29,565.5,0.86,K
28/01/2022,9.33,9.03,9.34,8.99,444.6,3.32,K
27/01/2022,9.03,9.15,9.15,8.97,256.9,-0.33,K
26/01/2022,9.06,8.94,9.2,8.9,563.8,2.14,K
25/01/2022,8.87,8.63,8.93,8.57,388.6,1.6,K
24/01/2022,8.73,8.73,8.75,8.47,427.3,-1.02,K
21/01/2022,8.82,8.61,8.83,8.52,479.3,2.44,K
20/01/2022,8.61,8.49,8.72,8.36,412.2,2.26,K
19/01/2022,8.42,8.2,8.5,8.2,523.0,2.68,K
18/01/2022,8.2,8.23,8.3,8.06,385.5,0.86,K
17/01/2022,8.13,8.7,8.77,8.13,565.8,-5.68,K
14/01/2022,8.62,8.32,8.68,8.31,641.6,3.36,K
13/01/2022,8.34,8.45,8.51,8.32,452.5,-0.71,K
12/01/2022,8.4,8.11,8.48,8.11,410.7,3.96,K
11/01/2022,8.08,7.99,8.2,7.95,300.1,0.62,K
10/01/2022,8.03,8.31,8.4,8.01,410.3,-2.31,K
07/01/2022,8.22,8.23,8.37,7.97,516.5,0.86,K
06/01/2022,8.15,8.1,8.22,7.87,1.56,1.75,M
05/01/2022,8.01,8.22,8.55,7.96,540.0,-3.49,K
04/01/2022,8.3,8.88,8.95,8.28,1.15,-6.11,M
03/01/2022,8.84,9.14,9.43,8.84,680.6,-3.28,K
30/12/2021,9.14,9.35,9.38,9.12,836.0,-2.25,K
