Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,29.32,27.74,29.57,27.52,9.96,2.52,M
23/02/2022,28.6,29.61,30.17,28.5,7.3,-3.15,M
22/02/2022,29.53,29.8,30.09,29.53,5.14,0.03,M
21/02/2022,29.52,29.81,29.89,29.36,4.77,-0.97,M
18/02/2022,29.81,30.83,31.0,29.68,6.68,-2.74,M
17/02/2022,30.65,31.56,31.82,30.57,8.09,-2.08,M
16/02/2022,31.3,33.0,33.17,30.77,20.71,-4.81,M
15/02/2022,32.88,31.0,32.88,30.96,11.76,8.02,M
14/02/2022,30.44,29.5,30.94,29.5,10.96,3.08,M
11/02/2022,29.53,29.8,30.01,29.46,9.35,-0.71,M
10/02/2022,29.74,30.29,30.55,29.62,8.57,-1.82,M
09/02/2022,30.29,30.54,30.97,30.27,5.01,0.23,M
08/02/2022,30.22,30.77,30.94,30.05,6.43,-2.52,M
07/02/2022,31.0,30.9,31.34,30.52,5.01,0.49,M
04/02/2022,30.85,30.96,30.98,30.44,5.17,-0.32,M
03/02/2022,30.95,31.82,32.11,30.87,5.51,-2.58,M
02/02/2022,31.77,32.21,32.92,31.66,4.93,-0.9,M
01/02/2022,32.06,32.1,32.69,31.77,4.46,-0.31,M
31/01/2022,32.16,31.63,32.5,31.43,7.2,1.71,M
28/01/2022,31.62,32.33,32.33,30.96,9.01,-2.41,M
27/01/2022,32.4,30.99,32.5,30.75,10.35,5.4,M
26/01/2022,30.74,30.45,31.34,30.26,12.18,1.79,M
25/01/2022,30.2,29.87,30.34,29.62,7.03,1.0,M
24/01/2022,29.9,30.55,30.56,29.33,10.71,-2.32,M
21/01/2022,30.61,30.69,30.75,30.12,6.5,-0.42,M
20/01/2022,30.74,30.57,31.18,30.34,6.34,0.79,M
19/01/2022,30.5,30.81,31.3,30.45,6.67,-0.13,M
18/01/2022,30.54,30.31,30.78,29.89,9.92,0.63,M
17/01/2022,30.35,30.61,30.78,30.03,5.19,-1.14,M
14/01/2022,30.7,29.0,30.86,28.73,12.71,6.04,M
13/01/2022,28.95,30.16,30.33,28.95,12.6,-4.2,M
12/01/2022,30.22,28.99,30.4,28.69,10.75,4.06,M
11/01/2022,29.04,28.51,29.07,28.13,7.27,1.68,M
