Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,2.7,2.59,2.84,2.5,929.0,1.89,K
23/02/2022,2.65,2.8,2.86,2.65,565.9,-5.36,K
22/02/2022,2.8,2.78,2.84,2.64,612.6,2.56,K
21/02/2022,2.73,2.86,2.87,2.66,427.2,-4.55,K
18/02/2022,2.86,2.99,2.99,2.85,393.5,-3.38,K
17/02/2022,2.96,3.01,3.05,2.9,319.0,-1.66,K
16/02/2022,3.01,3.12,3.12,2.94,434.0,-0.66,K
15/02/2022,3.03,3.09,3.14,3.02,684.2,-0.33,K
14/02/2022,3.04,3.07,3.15,3.0,452.6,0.66,K
11/02/2022,3.02,3.29,3.37,3.02,640.1,-7.08,K
10/02/2022,3.25,3.31,3.39,3.15,357.5,-0.31,K
09/02/2022,3.26,3.43,3.5,3.26,292.1,-4.96,K
08/02/2022,3.43,3.23,3.43,3.19,387.8,5.54,K
07/02/2022,3.25,3.4,3.49,3.23,405.8,-3.85,K
04/02/2022,3.38,3.5,3.54,3.33,680.4,-4.79,K
03/02/2022,3.55,3.75,3.84,3.55,586.4,-2.74,K
02/02/2022,3.65,3.66,3.9,3.63,784.5,-0.27,K
01/02/2022,3.66,3.71,3.93,3.56,648.5,-1.88,K
31/01/2022,3.73,3.7,3.82,3.57,683.2,0.81,K
28/01/2022,3.7,3.62,3.75,3.45,814.5,0.82,K
27/01/2022,3.67,3.52,3.68,3.41,1.13,5.46,M
26/01/2022,3.48,3.36,3.58,3.34,1.07,3.57,M
25/01/2022,3.36,3.08,3.37,3.05,861.3,8.74,K
24/01/2022,3.09,3.24,3.29,3.02,826.0,-4.92,K
21/01/2022,3.25,3.07,3.28,3.02,870.7,5.52,K
20/01/2022,3.08,2.98,3.1,2.97,538.4,6.57,K
19/01/2022,2.89,2.95,3.04,2.89,539.3,0.7,K
18/01/2022,2.87,2.97,2.98,2.84,563.5,-3.37,K
17/01/2022,2.97,2.9,3.08,2.88,1.24,2.77,M
14/01/2022,2.89,2.94,2.99,2.77,617.2,-1.37,K
13/01/2022,2.93,2.9,2.99,2.78,1.44,2.81,M
12/01/2022,2.85,2.62,3.05,2.59,3.11,8.78,M
11/01/2022,2.62,2.64,2.71,2.5,1.34,0.38,M
10/01/2022,2.61,2.8,2.8,2.6,1.31,-6.79,M
07/01/2022,2.8,2.66,2.8,2.58,1.13,5.26,M
06/01/2022,2.66,2.82,2.89,2.64,2.54,-5.0,M
05/01/2022,2.8,2.96,3.03,2.76,1.24,-5.41,M
04/01/2022,2.96,3.15,3.17,2.92,1.66,-5.73,M
03/01/2022,3.14,3.52,3.6,3.14,1.91,-10.29,M
30/12/2021,3.5,3.5,3.78,3.46,1.36,0.57,M
29/12/2021,3.48,3.75,3.83,3.47,511.9,-6.2,K
28/12/2021,3.71,3.41,3.75,3.41,739.8,8.48,K
27/12/2021,3.42,3.34,3.48,3.3,486.2,2.4,K
23/12/2021,3.34,3.26,3.42,3.22,592.9,1.21,K
22/12/2021,3.3,3.15,3.32,3.13,666.2,3.12,K
21/12/2021,3.2,3.2,3.24,3.06,1.11,1.59,M
20/12/2021,3.15,3.28,3.41,3.13,1.22,-4.55,M
17/12/2021,3.3,3.56,3.56,3.22,1.46,-5.17,M
16/12/2021,3.48,3.56,3.67,3.43,786.3,-3.6,K
