Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,7.33,7.09,7.42,6.88,1.82,-0.81,M
23/02/2022,7.39,7.53,7.75,7.38,1.14,-1.73,M
22/02/2022,7.52,7.68,7.76,7.48,1.16,-1.18,M
21/02/2022,7.61,8.0,8.01,7.57,1.24,-4.64,M
18/02/2022,7.98,8.08,8.16,7.96,953.1,-0.99,K
17/02/2022,8.06,8.16,8.17,8.01,1.06,-1.23,M
16/02/2022,8.16,8.13,8.18,8.0,1.12,0.37,M
15/02/2022,8.13,7.8,8.13,7.72,2.01,4.36,M
14/02/2022,7.79,7.94,8.15,7.63,2.77,-1.89,M
11/02/2022,7.94,8.14,8.31,7.81,2.41,-2.46,M
10/02/2022,8.14,8.24,8.33,8.0,1.35,-0.97,M
09/02/2022,8.22,8.33,8.47,8.1,1.23,-1.79,M
08/02/2022,8.37,7.98,8.4,7.9,1.61,4.23,M
07/02/2022,8.03,8.03,8.15,7.93,1.57,-0.12,M
04/02/2022,8.04,8.21,8.24,7.86,1.74,-1.95,M
03/02/2022,8.2,8.39,8.53,8.12,1.31,-2.26,M
02/02/2022,8.39,8.4,8.55,8.2,3.06,0.12,M
01/02/2022,8.38,8.24,8.38,8.11,1.9,2.07,M
31/01/2022,8.21,8.02,8.27,7.88,1.96,2.88,M
28/01/2022,7.98,7.83,8.0,7.76,1.16,1.53,M
27/01/2022,7.86,8.04,8.13,7.78,1.56,-1.01,M
26/01/2022,7.94,7.7,8.02,7.65,2.31,3.79,M
25/01/2022,7.65,7.4,7.67,7.28,1.37,2.55,M
24/01/2022,7.46,7.5,7.53,7.19,1.56,-0.8,M
21/01/2022,7.52,7.48,7.65,7.39,1.4,0.13,M
20/01/2022,7.51,7.1,7.62,7.09,1.87,6.07,M
19/01/2022,7.08,6.92,7.18,6.91,2.05,2.91,M
18/01/2022,6.88,7.15,7.2,6.84,2.45,-4.18,M
17/01/2022,7.18,7.2,7.32,7.03,1.13,0.0,M
14/01/2022,7.18,7.0,7.18,6.9,1.9,2.43,M
13/01/2022,7.01,7.5,7.5,7.0,2.06,-6.28,M
12/01/2022,7.48,7.11,7.53,7.08,2.13,5.65,M
11/01/2022,7.08,7.11,7.17,6.93,1.95,-0.7,M
10/01/2022,7.13,7.09,7.14,6.98,1.57,-0.14,M
07/01/2022,7.14,7.11,7.3,7.04,1.98,0.28,M
06/01/2022,7.12,7.14,7.25,6.95,2.58,0.28,M
05/01/2022,7.1,7.32,7.44,7.04,2.39,-3.66,M
04/01/2022,7.37,7.65,7.78,7.31,2.65,-3.79,M
03/01/2022,7.66,8.0,8.16,7.6,2.17,-3.77,M
30/12/2021,7.96,7.75,8.07,7.66,1.69,2.98,M
29/12/2021,7.73,7.9,8.03,7.66,986.4,-2.15,K
28/12/2021,7.9,7.88,8.1,7.77,1.08,0.38,M
27/12/2021,7.87,7.66,7.92,7.6,1.48,2.74,M
23/12/2021,7.66,7.59,7.8,7.44,2.83,2.0,M
22/12/2021,7.51,7.47,7.7,7.36,1.59,0.54,M
21/12/2021,7.47,7.71,7.82,7.47,1.27,-1.84,M
20/12/2021,7.61,7.59,7.78,7.49,1.71,-1.68,M
17/12/2021,7.74,7.59,7.75,7.47,1.61,1.44,M
16/12/2021,7.63,7.77,8.09,7.56,2.01,-1.29,M
15/12/2021,7.73,7.85,7.85,7.39,4.13,-0.9,M
14/12/2021,7.8,8.26,8.32,7.8,2.29,-4.53,M
