Date,Close,Open,Max,Min,Volume,Var (%),Volume Unit
24/02/2022,22.0,21.42,22.58,20.97,4.13,-2.44,M
23/02/2022,22.55,22.2,22.94,22.2,2.78,1.49,M
22/02/2022,22.22,21.5,22.46,21.32,1.75,4.71,M
21/02/2022,21.22,22.18,22.32,21.12,1.54,-4.33,M
18/02/2022,22.18,22.02,22.48,21.9,1.41,0.77,M
17/02/2022,22.01,22.27,22.65,21.92,945.5,-1.52,K
16/02/2022,22.35,22.91,22.92,22.27,2.1,-2.53,M
15/02/2022,22.93,21.89,22.93,21.83,3.24,5.23,M
14/02/2022,21.79,21.23,22.05,21.22,1.52,2.69,M
11/02/2022,21.22,21.81,22.24,20.9,1.7,-2.17,M
10/02/2022,21.69,21.73,22.05,21.13,1.53,0.14,M
09/02/2022,21.66,22.2,22.34,21.23,1.93,-1.05,M
08/02/2022,21.89,22.24,22.5,21.89,4.6,-2.88,M
07/02/2022,22.54,21.53,22.54,21.11,6.91,4.26,M
04/02/2022,21.62,22.43,22.43,20.86,2.39,-3.83,M
03/02/2022,22.48,21.99,23.04,21.96,3.59,2.18,M
02/02/2022,22.0,22.37,22.68,21.93,2.29,-0.9,M
01/02/2022,22.2,22.11,22.92,21.98,4.13,0.41,M
31/01/2022,22.11,21.61,22.11,21.46,1.79,2.46,M
28/01/2022,21.58,21.46,21.83,21.34,1.84,0.28,M
27/01/2022,21.52,21.0,21.73,20.98,6.63,3.46,M
26/01/2022,20.8,20.97,21.6,20.71,2.19,0.1,M
25/01/2022,20.78,19.48,20.9,19.35,2.77,6.02,M
24/01/2022,19.6,20.37,20.48,19.43,2.46,-4.02,M
21/01/2022,20.42,19.68,20.59,19.63,2.05,2.1,M
20/01/2022,20.0,19.35,20.88,19.05,3.09,3.25,M
19/01/2022,19.37,19.8,20.18,19.37,2.26,-1.32,M
18/01/2022,19.63,19.2,19.93,18.87,3.18,2.94,M
17/01/2022,19.07,18.84,19.42,18.84,1.51,0.9,M
14/01/2022,18.9,18.59,19.03,18.27,2.26,1.67,M
13/01/2022,18.59,18.72,18.79,18.2,3.27,-0.69,M
12/01/2022,18.72,18.53,19.08,18.19,2.82,0.48,M
11/01/2022,18.63,18.03,18.95,17.97,2.92,3.16,M
10/01/2022,18.06,18.58,18.76,17.88,2.92,-3.99,M
07/01/2022,18.81,18.94,19.0,18.31,3.02,-0.42,M
06/01/2022,18.89,18.88,19.78,18.6,3.41,-0.11,M
05/01/2022,18.91,19.72,20.13,18.91,3.08,-3.86,M
04/01/2022,19.67,20.2,20.31,19.53,2.78,-1.65,M
03/01/2022,20.0,20.59,20.94,19.58,3.94,-2.72,M
30/12/2021,20.56,20.54,20.8,20.17,2.04,1.18,M
29/12/2021,20.32,20.86,21.18,20.26,1.34,-2.59,M
28/12/2021,20.86,20.15,20.89,20.01,1.71,3.94,M
27/12/2021,20.07,20.45,20.82,20.05,1.81,-1.28,M
23/12/2021,20.33,20.75,20.75,20.25,1.73,-1.69,M
22/12/2021,20.68,21.16,21.16,20.38,2.38,-1.71,M
21/12/2021,21.04,21.47,21.62,20.77,2.31,-1.41,M
20/12/2021,21.34,21.43,21.83,21.06,3.44,-1.61,M
17/12/2021,21.69,22.89,22.91,21.69,6.01,-8.29,M
16/12/2021,23.65,23.44,24.5,23.31,2.37,1.07,M
15/12/2021,23.4,23.05,23.58,22.7,1.95,1.47,M
14/12/2021,23.06,24.24,24.31,23.04,1.85,-2.45,M
13/12/2021,23.64,23.97,24.47,23.64,1.85,-1.66,M
10/12/2021,24.04,23.83,24.6,23.75,1.65,2.25,M
09/12/2021,23.51,23.98,24.32,23.39,1.72,-3.69,M
08/12/2021,24.41,23.96,24.64,23.52,6.49,3.04,M
07/12/2021,23.69,24.63,24.74,23.6,2.5,-0.59,M
06/12/2021,23.83,23.88,24.37,23.37,2.72,0.29,M
03/12/2021,23.76,23.13,24.35,23.13,3.71,2.59,M
02/12/2021,23.16,22.22,23.26,21.71,3.93,5.8,M
01/12/2021,21.89,21.96,23.04,21.83,3.95,0.27,M
30/11/2021,21.83,21.4,22.28,20.66,4.44,4.35,M
29/11/2021,20.92,21.2,21.4,20.85,1.62,0.14,M
26/11/2021,20.89,21.49,21.55,20.34,3.5,-5.9,M
25/11/2021,22.2,21.61,22.55,21.61,1.54,2.26,M
24/11/2021,21.71,21.21,21.92,21.05,2.58,1.88,M
23/11/2021,21.31,21.82,21.98,20.82,3.69,-2.2,M
22/11/2021,21.79,22.41,22.62,21.62,5.66,-2.72,M
19/11/2021,22.4,22.93,23.05,22.14,4.29,-2.44,M
18/11/2021,22.96,22.58,23.36,22.5,2.3,2.14,M
17/11/2021,22.48,22.75,23.14,21.92,3.88,0.0,M
16/11/2021,22.48,23.93,23.99,22.25,2.99,-5.59,M
12/11/2021,23.81,24.19,24.76,23.5,1.67,-1.69,M
11/11/2021,24.22,23.53,25.63,23.26,4.25,3.95,M
10/11/2021,23.3,22.84,23.94,22.55,2.7,2.28,M
09/11/2021,22.78,23.5,23.85,22.29,4.24,-0.26,M
08/11/2021,22.84,22.47,23.1,22.03,3.04,1.6,M
05/11/2021,22.48,22.15,23.12,21.94,2.14,2.23,M
04/11/2021,21.99,22.57,22.99,21.7,2.06,-2.87,M
03/11/2021,22.64,21.0,23.15,20.96,3.23,6.84,M
01/11/2021,21.19,21.04,22.03,21.04,2.12,1.58,M
29/10/2021,20.86,21.69,22.02,20.67,1.97,-3.43,M
28/10/2021,21.6,21.85,22.09,21.13,3.91,-1.37,M
